SA1_7DIGITCODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
1101822,23,0,0,0,0,0,0,21
1101823,14,3,3,0,0,0,0,19
1101824,0,0,0,0,0,0,0,0
1101901,27,3,0,0,0,0,0,32
1101902,28,0,4,3,0,0,0,33
1101903,13,0,3,0,0,0,0,16
1101904,24,6,3,0,0,0,0,27
1101905,19,3,4,0,0,0,3,32
1101906,43,4,6,0,0,0,0,56
1101907,33,4,0,0,0,0,0,40
1101909,21,3,4,0,0,0,0,23
1101911,32,4,0,0,0,0,0,40
1101912,36,0,0,0,0,0,0,37
1101913,36,3,0,0,0,0,0,36
1101914,74,4,3,0,0,0,0,87
1101915,24,3,0,0,0,0,0,23
1101916,50,3,4,0,0,0,0,55
1101917,83,5,3,0,0,0,0,92
1101918,31,0,5,0,0,0,0,32
1101919,22,5,0,0,0,0,0,25
1101920,22,3,6,0,0,0,0,23
1101921,32,3,0,0,0,0,0,40
1101922,21,0,3,0,0,0,0,27
1101923,48,5,3,0,0,0,3,57
1102001,45,4,3,0,0,0,0,55
1102002,53,3,3,0,0,0,0,61
1102003,41,0,0,0,0,0,0,41
1102004,17,0,4,0,0,0,0,26
1102005,15,0,0,0,0,0,0,14
1102006,20,3,0,0,0,0,0,23
1102007,29,4,4,0,0,0,0,41
1102008,30,3,0,3,0,0,0,35
1102009,0,0,0,0,0,0,0,0
1102010,0,0,0,0,0,0,0,0
1102011,26,0,0,0,0,0,0,29
1102012,0,0,0,0,0,0,0,0
1102013,8,0,0,0,0,0,0,14
1102014,23,3,0,0,0,0,0,24
1102015,16,3,3,0,0,0,0,18
1102016,20,0,0,0,0,0,0,23
1102017,15,0,3,0,0,0,0,23
1102018,31,0,0,0,0,0,0,35
1102019,22,0,0,0,0,0,0,22
1102020,42,0,0,0,0,0,7,51
1102021,0,0,0,0,0,0,0,0
1102022,26,0,4,0,0,0,0,27
1102023,35,0,0,0,0,0,0,38
1102024,19,0,0,0,0,0,0,19
1102025,23,0,3,0,0,0,0,31
1102026,27,0,0,0,0,0,0,26
1102027,19,3,0,0,0,0,0,27
1102028,34,3,0,0,0,0,0,39
1102029,31,0,0,0,0,0,0,30
1102030,17,0,3,0,0,0,0,22
1102031,12,0,0,0,0,0,0,21
1102032,8,0,3,0,0,0,0,11
1102101,34,3,0,0,0,0,0,37
1102102,16,0,3,0,0,0,0,15
1102104,33,0,0,0,0,0,0,40
1102105,34,4,0,0,0,0,0,41
1102106,34,3,0,0,0,0,0,41
1102107,54,4,0,0,0,0,0,57
1102108,39,0,3,4,0,0,0,52
1102109,3,3,0,0,0,0,0,5
1102201,0,0,0,0,0,0,0,0
1102301,21,4,0,0,0,0,0,24
1102302,27,4,3,0,0,0,0,35
1102303,28,8,0,0,0,0,0,33
1102304,5,0,0,0,0,0,0,5
1102305,35,0,0,0,0,0,0,45
1102306,20,3,4,0,0,0,0,23
1102307,15,0,0,0,0,0,0,21
1102308,24,3,5,0,0,0,3,34
1102309,18,0,0,0,0,0,0,20
1102310,0,0,0,0,0,0,0,0
1102401,24,0,0,0,0,0,0,26
1102402,22,3,0,0,0,0,0,27
1102403,18,0,4,0,0,0,0,25
1102404,41,9,0,0,0,0,0,46
1102405,18,0,3,0,0,0,0,22
1102406,19,3,0,0,0,0,0,21
1102407,20,4,5,0,0,0,0,27
1102408,19,3,4,0,0,0,0,28
1102409,18,3,0,0,0,0,0,23
1102410,23,0,0,0,0,0,0,21
1102411,10,3,0,0,0,0,0,16
1102412,28,3,0,0,0,0,0,32
1102501,0,0,0,0,0,0,0,0
1102502,11,6,0,0,0,0,0,22
1102503,4,0,0,0,0,0,0,4
1102504,9,0,0,0,0,0,0,9
1102505,7,0,0,0,0,0,0,7
1102506,18,3,0,0,0,0,0,23
1102507,16,3,0,0,0,0,0,18
1102508,28,3,0,0,0,0,0,35
1102509,17,0,0,0,0,0,0,15
1102510,27,3,0,0,0,0,0,38
1102511,33,0,3,0,0,0,0,38
1102512,42,0,4,0,0,0,0,39
1102513,43,8,3,0,0,0,0,51
1102514,14,0,0,0,0,0,0,20
1102516,28,3,0,3,0,0,0,33
1102517,26,3,0,0,0,0,0,29
1102518,47,6,3,0,0,0,0,55
1102519,15,0,0,0,0,0,0,21
1102520,31,7,3,0,0,0,0,40
1102521,15,3,0,0,0,0,0,21
1102522,19,3,0,0,0,0,0,25
1102523,18,3,3,0,0,0,0,20
1102524,24,3,0,0,0,0,0,33
1102525,21,3,3,0,0,0,0,29
1102526,47,6,0,0,0,0,0,59
1102527,29,7,0,0,0,0,0,40
1102528,31,8,0,0,0,0,3,46
1102529,19,0,0,0,0,0,0,21
1102530,29,0,0,0,0,0,0,30
1102531,0,0,0,0,0,0,0,0
1102532,21,3,0,0,0,0,0,20
1102601,21,3,3,0,0,0,0,30
1102602,27,4,6,0,0,0,0,35
1102603,19,3,0,0,0,0,0,24
1102604,13,0,0,0,0,0,0,13
1102605,24,6,3,0,0,0,0,36
1102606,24,0,0,0,0,0,0,27
1102607,32,5,3,0,0,0,0,36
1102608,20,3,6,0,0,0,0,24
1102609,29,3,0,0,0,0,0,29
1102610,17,4,0,0,0,0,0,16
1102611,20,3,0,0,0,0,0,21
1102612,12,0,0,0,0,0,0,18
1102613,21,0,0,0,0,0,0,26
1102614,36,5,0,0,0,0,0,45
1102615,32,5,0,0,0,0,0,38
1102616,16,4,0,0,0,0,0,21
1102617,23,0,3,0,0,0,0,22
1102618,21,5,0,0,0,0,0,23
1102619,39,4,0,0,0,0,0,42
1102620,24,4,6,0,0,0,0,26
1102621,15,7,8,0,0,0,0,31
1102622,23,3,0,0,0,0,0,28
1102623,13,0,0,0,0,0,0,15
1102701,15,0,3,0,0,0,0,13
1102702,21,0,0,0,0,0,0,19
1102703,11,0,0,0,0,0,0,14
1102704,9,0,0,0,0,0,0,14
1102705,20,3,0,0,0,0,0,26
1102706,18,5,4,0,0,0,0,35
1102707,28,0,3,0,0,0,0,34
1102708,16,0,0,0,0,0,0,20
1102709,44,0,0,0,0,0,0,51
1102710,13,0,0,0,0,0,0,16
1102711,0,0,0,0,0,0,0,0
1102712,18,0,3,0,0,0,0,24
1102713,31,3,0,0,0,0,0,36
1102714,0,0,0,0,0,0,0,0
1102715,3,0,0,0,0,0,0,3
1102716,0,0,0,0,0,0,0,0
1102717,17,0,3,0,0,0,0,23
1102718,18,0,4,0,0,0,0,21
1102719,21,4,0,0,0,0,0,26
1102720,15,0,0,0,0,0,3,21
1102721,26,8,3,0,0,0,0,31
1102722,4,0,0,0,0,0,0,5
1102723,11,4,0,0,0,0,0,18
1102724,33,0,0,0,0,0,0,36
1102725,12,4,0,0,0,0,0,16
1102726,8,0,0,0,0,0,0,10
1102727,29,7,3,0,0,0,0,30
1102728,7,0,0,0,0,0,0,12
1102729,28,5,0,0,0,0,0,36
1102801,0,0,0,0,0,0,0,0
1102802,85,4,3,0,0,0,0,93
1102803,57,4,0,0,0,0,0,63
1102804,29,0,0,0,0,0,0,30
1102805,46,0,0,0,0,0,0,42
1102806,58,0,3,0,0,0,0,61
1102807,43,3,0,0,0,0,0,49
1102808,76,0,0,0,0,0,0,79
1102809,96,3,4,0,0,0,0,104
1102810,57,9,3,0,0,0,0,64
1102811,69,4,0,0,0,0,0,69
1102812,48,5,3,0,0,0,4,58
1102813,32,0,0,0,0,0,0,33
1102814,46,4,0,0,0,0,0,54
1102815,45,3,3,0,0,0,0,56
1102816,32,0,0,0,0,0,0,34
1102817,56,4,0,0,0,0,0,56
1102818,57,3,4,0,0,0,0,63
1102901,36,6,0,0,0,0,0,49
1102902,29,4,4,0,0,0,0,35
1102903,57,3,0,0,0,0,0,61
1102904,76,0,3,0,0,0,0,75
1102905,40,8,4,0,0,0,0,55
1102906,23,0,0,0,0,0,0,29
1102907,24,7,0,0,0,0,0,32
1102908,39,0,0,0,0,0,0,47
1102909,36,3,0,0,0,0,0,37
1102910,53,4,3,0,0,0,0,65
1102911,36,0,5,0,0,0,3,43
1102912,40,3,3,0,0,0,0,51
1102913,47,0,0,0,0,0,0,46
1102914,35,0,0,0,0,0,0,40
1102915,73,3,7,0,0,0,0,89
1102916,48,4,0,0,0,0,0,54
1102917,25,3,0,0,0,0,0,32
1102918,45,0,0,0,0,0,0,43
1102919,14,0,0,0,0,0,0,16
1102920,0,0,0,0,0,0,0,0
1102921,0,0,0,0,0,0,0,0
1102922,82,3,3,0,0,0,0,92
1102923,49,3,5,0,0,0,0,60
1102924,73,7,6,0,0,0,0,86
1102925,53,0,3,0,0,0,0,61
1102926,32,3,0,0,0,0,0,37
1102927,50,5,6,0,0,0,0,55
1102928,27,0,0,0,0,0,0,29
1103002,70,3,0,0,0,0,0,77
1103003,24,3,0,0,0,0,0,26
1103004,41,5,0,0,0,0,0,48
1103005,38,3,0,0,0,0,0,37
1103006,48,3,3,0,0,0,0,53
1103007,41,3,0,0,0,0,0,44
1103008,27,0,5,0,0,0,0,33
1103009,34,0,3,0,0,0,0,41
1103010,32,3,0,0,0,0,0,37
1103011,34,0,0,0,0,0,0,38
1103012,37,3,0,0,0,0,0,38
1103013,0,0,0,0,0,0,0,0
1103014,39,4,8,0,0,0,0,55
1103101,42,4,0,0,0,0,0,52
1103102,11,0,0,0,0,0,0,15
1103103,3,0,0,0,0,0,0,3
1103104,22,0,0,0,0,0,0,23
1103105,60,0,3,0,0,0,0,62
1103106,26,0,3,0,0,0,0,28
1103107,4,0,0,0,0,0,0,3
1103108,34,0,5,0,0,0,0,45
1103109,37,0,0,0,0,0,0,44
1103110,41,4,3,0,0,0,0,53
1103111,46,3,3,0,0,0,0,47
1103112,26,0,0,0,0,0,0,24
1103113,63,4,3,0,0,0,0,76
1103114,66,3,0,0,0,0,0,75
1103115,73,4,0,3,0,0,0,79
1103116,53,4,3,0,0,0,0,58
1103117,32,6,0,3,0,0,0,39
1103118,52,3,0,0,0,0,0,58
1103119,60,3,3,0,0,0,0,63
1103120,51,8,0,0,0,0,0,57
1103121,40,0,3,0,0,0,0,38
1103122,42,4,0,0,0,0,0,48
1103123,33,3,0,0,0,0,0,36
1103124,43,0,0,0,0,0,0,46
1103125,28,0,0,0,0,0,0,25
1103126,5,0,0,0,0,0,0,7
1103127,41,0,0,3,0,0,0,44
1103128,18,0,0,0,0,0,0,23
1103129,79,6,0,0,0,0,0,85
1103130,33,6,0,0,0,0,0,46
1103131,7,0,0,0,0,0,0,7
1103132,0,0,0,0,0,0,0,0
1103133,55,10,3,0,0,0,0,63
1103134,44,3,0,0,0,0,0,55
1103135,48,7,0,0,0,0,0,58
1103136,39,4,3,0,0,0,3,53
1103137,3,0,0,0,0,0,0,3
1103138,58,5,0,0,0,0,0,66
1103201,46,0,0,0,0,0,0,46
1103202,35,3,3,0,0,0,0,37
1103203,111,7,6,0,0,0,0,122
1103204,47,5,3,0,0,0,0,61
1103205,20,0,0,0,0,0,0,21
1103206,0,0,0,0,0,0,0,0
1103207,14,3,0,0,0,0,0,21
1103208,25,0,0,0,0,0,0,23
1103210,8,0,0,0,0,0,0,8
1103211,60,4,3,0,0,0,0,66
1103212,47,4,3,0,0,0,0,61
1103213,10,0,0,0,0,0,0,11
1103214,71,4,5,0,0,0,0,77
1103215,25,3,3,0,0,0,0,29
1103216,33,3,0,0,0,0,0,46
1103217,12,0,0,0,0,0,0,12
1103218,55,3,5,0,0,0,0,62
1103219,26,6,0,0,0,0,0,36
1103220,17,0,0,0,0,0,0,21
1103221,9,3,0,0,0,0,0,17
1103223,0,0,0,0,0,0,0,0
1103224,22,0,0,0,0,0,0,28
1103225,27,3,0,0,0,0,0,29
1103226,5,4,0,0,0,0,0,8
1103227,32,0,0,0,0,0,0,38
1103228,36,7,3,0,0,0,0,48
1103229,28,11,0,3,0,0,0,40
1103230,36,0,3,0,0,0,0,34
1103231,37,3,3,4,0,0,0,47
1103232,44,3,3,0,0,0,3,54
1103233,44,0,3,0,0,0,0,54
1103234,81,9,3,0,0,0,0,101
1103235,25,3,0,0,0,0,0,31
1103236,19,0,0,0,0,0,0,27
1103237,25,0,0,0,0,0,0,26
1103238,36,4,4,0,0,0,0,45
1103239,50,3,0,0,0,0,0,56
1103240,20,0,0,0,0,0,0,20
1103241,17,4,0,0,0,0,0,25
1103242,28,0,4,0,0,0,0,31
1103243,58,0,0,0,0,0,0,59
1103244,34,0,0,0,0,0,0,37
1103245,19,0,0,0,0,0,0,23
1103246,54,3,3,0,0,0,0,57
1103247,55,0,6,0,0,0,0,61
1103248,22,3,0,0,0,0,0,28
1103301,29,3,0,0,0,0,0,37
1103302,59,5,3,0,0,0,0,69
1103303,51,3,0,0,0,0,0,63
1103304,45,0,0,0,0,0,0,46
1103305,46,3,0,0,0,0,0,51
1103306,27,4,3,0,0,0,0,35
1103307,23,0,3,0,0,0,0,28
1103308,60,3,0,0,0,0,0,66
1103309,3,0,0,0,0,0,0,3
1103310,46,3,4,0,0,0,0,57
1103311,49,3,4,0,0,0,0,57
1103312,42,0,3,0,0,0,0,43
1103313,39,0,0,0,0,0,0,40
1103314,50,4,3,0,0,0,0,53
1103315,99,8,5,0,0,0,0,115
1103316,0,0,0,0,0,0,0,0
1103317,66,4,4,0,0,0,0,76
1103318,26,3,0,3,0,0,0,28
1103319,56,0,3,0,0,0,0,59
1103320,0,0,0,0,0,0,0,0
1103401,51,4,0,0,0,0,0,54
1103402,30,6,3,0,0,0,0,40
1103403,62,3,4,0,0,0,0,76
1103404,26,3,0,0,0,0,0,29
1103405,43,4,3,0,0,0,0,48
1103406,13,0,3,0,0,0,0,17
1103407,41,3,0,0,0,0,0,50
1103408,39,3,3,0,0,0,0,43
1103409,44,3,0,0,0,0,0,49
1103410,47,3,0,0,0,0,0,50
1103411,64,4,0,0,0,0,0,71
1103412,59,3,3,3,0,0,0,68
1103413,44,0,0,0,0,0,0,46
1103414,29,3,0,0,0,0,0,27
1103415,4,0,0,0,0,0,0,5
1103416,37,7,0,0,0,0,0,45
1103417,31,3,0,0,0,0,0,35
1103418,0,0,0,0,0,0,0,0
1103419,47,5,0,0,0,0,0,52
1103501,82,3,3,0,0,0,0,88
1103502,25,4,0,0,0,0,0,32
1103503,61,0,4,0,0,0,0,67
1103504,51,3,0,0,0,0,0,62
1103505,53,4,3,0,0,0,0,55
1103506,79,3,3,0,0,0,0,92
1103507,36,4,0,0,0,0,0,40
1103508,58,4,5,0,0,0,0,73
1103509,36,0,0,0,0,0,0,40
1103510,58,4,6,0,0,0,0,65
1103511,64,6,4,0,0,0,0,76
1103512,35,0,0,0,0,0,0,33
1103513,40,3,3,0,0,0,0,44
1103514,46,3,0,0,0,0,0,52
1103515,17,3,0,0,0,0,0,23
1103516,21,0,6,0,0,0,0,30
1103517,6,0,0,0,0,0,0,6
1103601,40,0,0,0,0,0,0,41
1103602,33,3,0,0,0,0,0,39
1103603,68,3,0,0,0,0,0,73
1103604,37,3,3,0,0,0,0,43
1103605,58,4,0,0,0,0,0,70
1103606,36,0,3,0,0,0,0,43
1103607,26,6,0,0,0,0,0,32
1103608,37,3,0,0,0,0,0,43
1103609,59,10,0,0,0,0,0,66
1103610,59,3,0,0,0,0,0,68
1103611,32,7,5,0,0,0,0,42
1103612,20,0,3,0,0,0,0,21
1103613,50,0,4,0,0,0,0,49
1103614,75,3,3,0,0,0,0,83
1103615,21,3,3,0,0,0,0,30
1103616,50,3,4,4,0,0,0,58
1103617,48,3,0,0,0,0,0,49
1103618,40,9,0,0,0,0,0,52
1103619,47,11,3,0,0,0,0,60
1103620,42,0,7,0,0,0,0,51
1103621,80,8,3,0,0,0,0,94
1103622,36,4,0,0,0,0,0,40
1103701,62,7,0,0,0,0,0,73
1103702,60,0,4,0,0,0,0,63
1103703,68,6,3,0,0,0,0,75
1103704,37,0,0,0,0,0,0,35
1103705,61,4,0,0,0,0,0,65
1103706,49,4,0,0,0,0,0,53
1103707,71,0,0,0,0,0,0,78
1103708,20,3,3,0,0,0,0,28
1103709,66,3,0,0,0,0,0,70
1103710,47,0,0,0,0,0,0,48
1103711,33,3,0,0,0,0,0,33
1103712,22,3,0,0,0,0,0,19
1103713,48,0,0,0,0,0,0,51
1103714,46,4,0,0,0,0,0,56
1103801,50,7,3,0,0,0,0,59
1103802,57,5,0,3,0,0,0,69
1103803,37,6,3,0,0,0,0,46
1103804,41,0,3,0,0,0,0,50
1103805,43,0,0,0,0,0,0,43
1103806,22,3,4,0,0,0,0,32
1103807,52,0,3,0,0,0,0,57
1103808,0,0,0,0,0,0,0,0
1103809,69,3,5,0,0,0,0,78
1103810,39,3,0,0,0,0,0,37
1103811,60,0,3,0,0,0,0,70
1103812,45,6,4,0,0,0,0,55
1103813,75,7,0,3,0,0,0,93
1103814,44,7,5,0,0,0,0,55
1103815,41,3,0,0,0,0,0,42
1103816,52,3,0,0,0,0,0,60
1103817,43,4,0,0,0,0,0,46
