SA1_7DIGITCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
1100701,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,6,5,0,9
1100702,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,3,0,7
1100703,0,0,0,0,0,0,3,0,3,8,7,0,16,0,0,0,16,9,0,28
1100704,0,0,0,0,0,0,0,0,0,7,3,0,5,0,0,0,5,3,0,11
1100705,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,14,11,0,25
1100706,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,6,0,0,7
1100707,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,3,3,0,12
1100708,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,0,0,10
1100709,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,7
1100710,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,3,11,0,14
1100801,0,0,0,0,0,0,0,0,0,10,7,0,15,0,0,0,15,0,0,12
1100802,0,0,0,0,0,0,0,0,0,11,8,0,21,0,0,0,21,11,0,29
1100803,0,0,0,0,0,0,0,0,0,6,6,0,10,0,0,0,13,20,0,34
1100804,0,0,0,0,0,0,0,0,3,7,0,0,8,0,0,0,14,11,0,25
1100805,0,0,0,0,0,0,0,0,0,3,6,0,14,0,0,0,17,27,0,38
1100806,0,0,0,0,0,0,0,0,0,5,7,0,12,0,0,0,12,12,0,23
1100807,0,0,0,0,0,0,0,0,0,9,8,0,12,0,0,0,19,9,0,26
1100808,0,0,0,0,0,0,0,0,0,17,3,0,23,0,3,8,27,7,0,35
1100809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100810,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,3,7,0,7
1100811,0,0,0,0,0,0,0,0,0,10,3,0,16,0,0,0,11,0,0,17
1100812,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,8,0,0,10
1100813,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,10,8,0,16
1100814,0,0,0,0,0,0,0,0,0,9,3,0,13,0,0,0,13,3,0,18
1100815,0,0,0,0,0,0,0,0,0,7,5,0,18,0,4,4,22,6,3,27
1100816,0,0,0,0,0,0,0,0,0,8,5,0,16,0,0,0,18,24,0,39
