SA3_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
10902,2419,1358,1475,1369,1667,2010,1606,860,288,13056
10903,7107,3924,3976,4106,5078,6542,7063,4148,1514,43453
11001,6706,5476,4518,3993,4301,4900,4141,2610,897,37537
11002,6610,3856,3694,3746,4723,5768,5731,3436,1176,38731
11003,5062,2772,3175,2839,3066,3474,2482,1386,457,24713
11004,17124,9671,10560,9762,9937,10440,9223,5713,2144,84579
11101,22921,14174,13956,15650,16282,16266,14591,9036,3617,126496
11102,15291,9565,10014,9773,10181,10800,10368,6413,2625,85022
11103,29411,25129,28022,23119,21725,20370,16713,9872,4635,179000
11201,14188,7984,9561,10956,11801,12569,12094,6029,2598,87772
11202,12550,7813,7335,7875,9265,10913,9529,4723,1893,71896
11203,16084,9217,8868,11161,12115,14018,13616,8467,3844,97392
11301,9815,5937,6694,5889,6178,6275,4660,2832,1286,49559
11302,2752,1483,1469,1689,1845,2223,1919,1150,398,14931
11303,19434,13069,12801,11477,11324,11928,10453,6117,2566,99169
11401,17311,10200,11007,11112,12278,16036,17051,9819,3504,108328
11402,8788,5109,4741,5335,6739,7240,7792,5175,1765,52678
11501,30207,19638,13800,23147,21822,18612,15426,8512,3603,154767
11502,4995,3824,2239,2925,4291,3894,3071,1945,729,27914
11503,4738,3235,2781,2830,3753,3650,2518,1193,307,25006
11504,14027,7272,7062,10322,7894,4983,3267,1470,389,56682
11601,27951,17965,22535,22493,16835,15037,11781,5792,2220,142602
11602,35969,17003,21381,29706,17173,10885,7138,2801,727,142771
11603,27163,16233,16308,16127,13940,12177,8326,3950,1395,115629
11701,8879,7979,13753,9023,6713,5287,3857,2435,844,58771
11702,7269,5687,12192,9449,7633,5489,3798,2296,958,54771
11703,16676,27656,69874,40690,23759,18517,12566,5990,2059,217795
11801,19353,12343,25763,19641,16564,12806,10595,6941,3169,127167
11802,20665,16173,24573,20345,17462,14078,10662,6904,3371,134243
11901,39298,24948,25748,24733,22470,21148,15133,8555,4204,186245
11902,26255,17365,22847,20265,17935,15525,10845,6904,3146,141091
11903,20978,17064,20122,17504,16367,16396,12476,7320,3652,131869
11904,22260,17018,27756,21936,17552,15671,12090,7835,3801,145918
12001,13934,8792,13918,13357,11596,10156,8028,4718,2206,86706
12002,10010,5018,8025,9681,8959,6508,5001,2373,827,56398
12003,21850,22178,35218,23438,18782,16938,11976,7317,3968,161666
12101,21710,12291,16714,20266,16302,12293,9709,5474,2698,117456
12102,17218,9885,9608,14347,12630,9934,7551,4421,1864,87455
12103,24203,16127,9353,16477,18869,15276,11737,8166,4145,124357
12104,13063,8290,16661,15371,12805,11013,9397,6039,2136,94778
12201,7720,4436,6026,6425,6487,5325,3560,2303,891,43173
12202,11443,7286,4876,7057,9358,9157,7609,4831,1863,63482
12203,29567,18285,17982,22020,24156,17999,13055,9359,4481,156903
12301,17437,9680,9849,10670,10054,7249,5112,2539,991,73578
12302,39001,22401,25802,26836,20477,19675,14951,6762,1982,177879
12303,9905,5770,5551,5791,6162,5326,4402,2220,708,45837
12401,13617,8085,7117,9569,10929,11161,10477,5237,1757,77950
12402,0,0,0,0,0,0,3,0,0,8
12403,34230,20815,24116,23596,19703,16246,12497,6092,2024,159310
12404,6891,4853,5959,4701,4773,4502,3401,2096,829,38002
12405,12063,7247,8619,7880,6902,6849,4675,1933,628,56790
12501,16518,13737,25621,16446,11038,9968,6306,2821,1092,103544
12502,14503,8514,9366,11629,9669,8986,6315,3571,1477,74024
12503,34575,22664,26432,22842,18924,16710,12144,6672,2852,163816
12504,28898,16309,30934,28922,15987,12934,9750,5936,2452,152128
12601,10440,6562,6842,8397,7206,6460,4994,2728,1209,54832
12602,23984,16722,25511,23590,17711,16274,12449,7042,3920,147202
12701,34662,19382,22244,21702,16927,14207,8881,3908,1179,143080
12702,34572,27276,25122,23288,25610,26474,19190,9592,4051,195172
12703,29769,18147,20641,20472,16980,14042,9182,4980,1966,136178
12801,20648,13386,14190,15203,16171,14811,11899,7656,3890,117865
12802,21764,13535,12152,15291,15642,13658,10979,6182,2542,111740
19797,0,0,0,0,0,0,0,0,0,0
19999,1260,1357,2187,1859,1678,1648,1055,277,49,11371
