SA3_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
10102,5726,578,285,34,7,6629,8637,1134,506,14,5,10294,1252,931,1355,9,6,3555,404,129,49,0,0,582,33,96,33,0,0,168,680,254,288,6,5,1232,445,50,64,4,7,570,10,11,5,0,0,28,2824,1468,1802,26,20,6141,195,41,31,6,9,282,175,41,39,0,4,257,17553,3262,2661,73,43,23599
10103,2952,65,84,22,18,3134,2188,56,75,7,7,2336,584,155,228,10,4,983,45,13,3,0,0,62,46,9,6,0,0,57,446,44,70,9,7,569,127,23,47,8,17,215,13,3,0,0,0,18,1256,239,361,22,27,1901,195,17,8,6,8,233,107,5,18,4,4,130,6688,385,551,60,59,7739
10104,13639,933,407,369,43,15397,7311,294,169,22,21,7812,2167,650,737,20,9,3578,355,170,78,15,0,611,138,89,32,3,0,260,1515,208,164,31,16,1933,177,19,20,80,10,302,41,12,4,0,5,67,4393,1161,1024,146,41,6760,490,190,44,23,13,761,445,74,33,13,12,571,26272,2649,1679,576,126,31301
10105,5282,229,24,28,10,5577,4419,121,23,4,9,4571,1617,420,204,27,3,2263,403,83,35,0,0,519,44,69,18,0,0,130,627,64,36,6,0,734,103,15,11,14,0,140,14,3,4,0,0,22,2797,644,310,43,9,3813,243,74,4,3,0,330,206,20,8,4,12,250,12948,1096,367,91,38,14540
10106,5169,165,23,31,20,5409,4930,74,10,7,10,5036,1083,228,105,10,4,1421,140,16,7,0,0,161,82,30,22,0,5,140,710,49,21,10,6,790,148,13,6,6,5,179,12,4,4,0,0,18,2164,342,165,21,17,2714,370,48,12,7,16,452,238,23,10,0,13,292,12876,647,223,76,73,13896
10201,19067,3196,1534,175,35,24005,20378,1556,1231,41,19,23223,6953,2110,3114,270,58,12513,635,680,438,0,8,1761,168,157,191,0,0,519,1970,358,415,49,18,2813,264,71,40,20,3,402,54,19,28,7,0,110,10053,3393,4228,352,87,18107,694,1122,382,11,10,2213,572,284,142,19,26,1038,50761,9553,7509,587,179,68590
10202,18472,1831,984,166,19,21474,20121,910,448,28,14,21525,9081,1685,1513,42,28,12346,600,622,342,0,5,1570,188,211,179,3,5,589,2308,286,234,12,15,2857,397,70,21,106,8,595,63,21,12,3,0,98,12634,2899,2304,163,52,18062,539,383,150,11,4,1087,691,170,86,23,7,978,52461,6190,3982,390,99,63124
10301,5842,306,93,22,15,6276,5664,180,41,5,7,5891,2278,836,434,12,9,3565,344,123,52,0,4,518,51,62,11,0,0,126,711,115,39,0,6,874,88,18,8,3,6,122,26,9,0,0,0,31,3499,1161,542,18,17,5242,238,31,34,6,3,311,194,33,15,0,5,251,15434,1706,727,51,49,17974
10302,8496,158,61,59,33,8812,5716,73,16,23,18,5845,1577,312,331,16,3,2243,552,41,74,0,0,669,143,49,36,0,0,225,1387,83,62,9,17,1554,301,38,32,30,14,409,52,7,13,0,0,79,4015,530,552,57,34,5182,641,43,39,11,17,745,369,22,37,6,16,453,19233,824,706,151,116,21032
10303,7143,245,17,61,16,7491,5539,97,10,20,5,5675,2081,541,101,19,6,2754,455,112,35,0,0,603,49,46,11,0,0,111,737,64,12,8,7,824,131,11,5,17,11,165,19,9,0,0,0,27,3466,776,171,43,17,4482,316,95,5,8,7,436,307,44,6,45,5,410,16776,1260,212,185,55,18485
10304,7184,293,63,106,10,7649,7507,135,46,67,9,7762,3021,744,287,25,5,4079,514,190,84,0,0,794,92,86,53,0,0,233,889,92,33,16,7,1036,141,16,9,16,11,188,27,7,3,0,0,40,4688,1129,461,50,28,6366,285,80,33,12,9,414,268,43,28,8,7,349,19929,1675,627,244,67,22545
10401,8536,339,164,309,28,9372,5425,149,49,67,5,5697,1801,449,432,25,12,2721,203,58,41,0,0,297,83,109,24,0,0,219,1091,136,129,26,12,1379,125,20,19,88,3,257,30,19,5,5,0,54,3330,792,648,137,29,4931,250,24,30,11,11,328,320,49,29,11,16,423,17865,1342,914,544,88,20753
10402,11657,949,657,368,48,13682,9258,599,332,35,18,10239,3176,1167,1423,19,23,5809,414,232,213,3,0,861,223,144,126,0,0,493,1635,291,290,34,20,2269,222,41,29,109,17,413,44,17,14,0,3,81,5712,1886,2092,163,66,9921,408,189,74,16,5,685,385,87,80,39,16,605,27423,3708,3236,624,150,35136
10501,2543,17,8,160,81,2812,1512,5,6,19,21,1568,354,56,46,0,0,455,366,52,26,4,6,452,259,37,13,0,6,325,483,21,19,18,9,553,386,58,47,15,3,509,22,3,0,0,0,37,1881,229,151,41,35,2329,372,0,6,46,27,458,237,6,3,14,19,281,6549,269,176,282,178,7453
