SOSR_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
SOSR101,2357,45,49297,3643,30309,2515,152,32975,19,36632,82,3970,4144,34,8152,7,8239,35,183,32,71,283,0,320,3762,34460,6689,260,41409,21,45195,38,21,0,0,22,47,109,50693,36782,6727,288,43794,112,94597,22986,1027,14,11,1056,13,24052,1868,20359,1731,78,22175,12,24053,65,3061,3615,27,6703,3,6769,13,113,16,33,166,3,180,1945,23540,5366,143,29042,11,31001,22,13,3,0,19,17,54,24959,24582,5380,152,30116,42,55110,11342,516,13,3,524,11,11874,887,10537,951,33,11522,3,12408,23,1647,2198,13,3852,0,3880,7,56,16,22,92,0,97,915,12234,3159,68,15465,3,16388,5,11,0,0,13,9,27,12264,12761,3175,72,16003,26,28289,379854,24276,362,229,24869,436,405159,38263,280390,18012,1366,299773,169,338198,824,31411,26736,280,58430,41,59296,275,1512,211,706,2429,25,2719,39356,313318,44964,2347,360629,235,400216,486,379,42,28,447,780,1716,419693,337966,45368,2604,385944,1455,807095
SOSR102,400,18,17813,632,1251,70,9,1325,9,1968,16,99,123,0,221,0,235,6,6,0,5,11,0,21,656,1352,193,10,1555,9,2221,20,0,0,0,0,22,48,18071,1739,201,16,1961,49,20078,6452,107,3,3,114,7,6574,218,654,43,6,704,0,924,10,43,71,0,117,0,123,7,3,0,0,3,0,8,236,704,111,9,822,0,1061,9,0,0,0,0,7,14,6702,813,113,13,935,17,7654,2884,63,0,0,66,3,2961,106,329,20,0,353,0,455,4,25,47,0,71,0,79,4,0,0,0,0,0,4,107,357,66,0,430,0,537,4,0,0,0,0,3,5,2995,424,69,0,495,11,3501,133782,3564,60,45,3677,173,137631,5081,11796,508,57,12368,23,17469,101,1017,807,6,1831,0,1925,62,71,9,26,103,0,163,5241,12884,1324,91,14300,23,19562,196,23,3,0,30,186,413,139216,16477,1386,138,18005,379,157600
SOSR111,27,3,2416,36,104,4,0,113,0,144,0,7,13,0,24,0,26,0,0,0,0,0,0,0,36,111,20,0,130,0,169,3,0,0,0,0,0,3,2425,137,20,0,163,3,2590,690,4,0,0,4,0,698,9,40,3,0,44,0,57,0,6,19,0,27,0,27,0,0,0,0,0,0,0,9,48,24,0,67,0,76,0,0,0,0,0,0,0,704,47,24,0,69,0,777,258,0,0,0,0,0,263,3,12,0,0,12,0,15,0,3,11,0,13,0,13,0,0,0,0,0,0,0,3,13,9,0,26,0,29,0,0,0,0,0,0,0,261,13,9,0,26,0,291,18937,284,5,0,288,35,19260,394,1079,51,3,1136,0,1530,9,122,136,3,257,0,261,5,3,0,0,3,0,11,407,1206,186,9,1397,0,1803,21,0,0,3,4,14,31,19365,1485,189,9,1684,45,21098
SOSR112,115,20,7629,175,357,22,3,386,0,562,4,34,65,0,96,0,98,0,3,0,3,7,0,9,178,395,87,3,486,0,668,12,3,0,0,5,11,23,7687,505,95,4,603,29,8327,1562,20,0,0,20,3,1590,50,102,8,3,109,0,163,0,11,27,0,36,0,35,0,0,0,0,0,0,0,51,110,34,3,151,0,202,0,0,0,0,0,3,6,1617,136,32,3,173,7,1796,461,3,0,0,3,0,467,16,26,3,0,26,0,42,0,4,13,0,17,0,17,0,0,0,0,0,0,0,11,28,13,0,45,0,62,0,0,0,0,0,0,0,478,36,13,0,49,0,527,58407,947,17,14,981,111,59494,1488,3858,160,17,4037,8,5534,27,381,404,0,782,0,810,14,27,0,12,40,3,54,1531,4265,559,34,4859,11,6401,83,18,4,0,24,86,200,60024,5229,582,51,5862,213,66095
SOSR113,54,10,4517,100,194,10,0,204,0,304,5,13,10,5,30,0,33,0,0,0,0,0,0,3,105,211,20,4,234,0,341,7,0,0,0,0,3,11,4575,260,19,5,291,9,4875,958,11,0,0,11,0,970,27,58,0,0,57,0,78,0,4,7,0,9,0,9,3,3,0,0,3,0,4,23,61,6,0,71,0,94,0,0,0,0,0,3,3,981,80,6,0,83,6,1070,320,0,0,0,0,0,319,12,21,0,0,24,0,37,0,3,3,0,8,0,10,0,0,0,0,0,0,0,16,23,5,0,33,0,46,0,0,0,0,0,0,0,331,29,5,0,31,0,364,33544,568,12,7,591,58,34188,894,1795,87,4,1884,3,2783,29,149,127,8,284,0,313,11,12,5,17,30,0,45,937,1959,218,28,2203,3,3143,61,4,0,0,4,103,166,34538,2538,231,31,2798,159,37500
SOSR114,34,12,3883,84,119,3,0,121,0,205,0,6,5,0,16,0,17,0,0,0,0,0,0,0,83,129,5,0,136,0,218,8,0,0,0,0,6,13,3930,160,5,0,164,17,4113,756,6,0,0,6,3,769,15,28,3,0,28,0,50,0,3,3,0,9,0,9,0,0,0,0,0,0,0,15,28,5,0,36,0,53,0,0,0,0,0,0,0,772,40,5,0,46,3,828,192,7,0,0,7,0,197,3,8,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,10,0,0,0,0,0,0,0,199,11,0,0,12,0,209,30074,411,3,6,425,89,30581,702,1123,46,7,1169,6,1875,22,73,41,0,116,0,134,10,4,0,5,9,0,15,726,1199,82,7,1289,5,2028,57,0,0,0,0,68,126,30856,1613,90,16,1717,167,32735
SOSR115,64,6,5880,119,177,12,0,188,0,305,0,13,19,0,30,0,30,3,0,0,3,3,0,4,116,188,33,3,224,0,339,19,0,0,0,0,4,27,5945,246,31,3,290,18,6250,1222,22,0,0,22,0,1247,33,60,5,0,69,0,100,0,5,5,0,10,0,9,0,0,0,0,0,0,0,36,65,9,0,72,0,113,3,0,0,0,0,0,5,1259,83,9,0,95,0,1359,372,4,0,0,4,0,370,12,22,0,0,22,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,0,0,22,0,34,0,0,0,0,0,0,0,381,27,0,0,27,0,409,46877,629,13,5,654,128,47654,1073,1787,70,7,1859,10,2944,18,98,88,0,188,0,202,18,19,0,13,33,3,55,1104,1902,156,25,2084,15,3200,154,5,0,0,9,107,271,48136,2538,174,36,2740,251,51133
SOSR121,14,6,2003,26,34,3,0,42,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,36,3,0,40,0,68,8,0,0,0,0,3,9,2013,52,3,0,59,9,2076,468,3,0,0,3,0,468,3,7,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,14,0,18,3,0,0,0,0,0,4,474,13,0,0,13,3,488,134,5,0,0,5,0,145,6,4,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,4,0,10,0,0,0,0,0,0,0,145,6,0,0,6,3,156,14056,167,0,0,167,50,14277,299,327,19,0,345,0,644,3,12,7,0,18,0,21,0,0,0,0,0,0,0,305,343,24,0,367,0,674,35,0,0,0,0,31,70,14394,512,24,3,535,79,15015
SOSR122,16,3,1021,20,21,0,0,21,0,37,0,3,4,0,3,0,3,0,0,0,0,0,0,0,20,23,4,0,19,0,41,4,0,0,0,0,6,3,1026,37,4,0,41,5,1071,236,4,0,0,4,0,244,5,7,0,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,11,0,18,0,0,0,0,0,0,0,238,18,0,0,18,4,263,76,3,0,0,3,0,77,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,78,3,0,0,3,0,82,7123,114,0,3,124,16,7259,153,178,10,0,191,0,347,3,8,7,0,13,0,19,7,0,0,0,0,0,7,165,191,20,0,207,0,372,24,0,0,0,0,28,51,7312,305,20,4,325,43,7678
SOSR131,192,34,13091,243,523,12,3,536,0,778,4,15,35,0,48,0,54,4,7,0,0,7,0,10,251,542,51,3,594,0,845,36,0,0,0,0,19,55,13146,732,48,5,788,56,13988,2981,60,0,0,60,5,3044,62,222,7,0,228,0,296,0,13,22,0,32,0,33,5,3,0,0,3,0,3,68,236,29,0,265,0,336,6,0,0,0,0,7,9,3050,293,29,0,319,11,3385,1027,31,0,0,38,0,1065,16,95,5,0,104,0,122,0,5,10,0,20,0,20,3,0,0,0,0,0,4,22,101,22,0,125,0,148,3,0,0,0,0,0,4,1051,140,20,0,164,0,1211,87205,1391,12,28,1432,238,88877,2006,3257,98,6,3365,17,5384,58,191,206,0,393,0,453,32,27,0,13,38,0,69,2094,3477,304,19,3800,17,5905,259,19,0,0,21,199,475,89555,4884,315,47,5253,455,95260
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
