SOSR_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SOSR101,109512,699,125,25,7,5,35,14462,124874,128996,6562,2380,519,91,27,50,15996,154626,124644,21622,11675,3623,945,225,126,17310,180171,80333,40945,34286,10902,3229,897,491,14320,185401,40449,31389,52098,20123,6179,1839,1123,10777,163979,28296,24157,56810,25486,8040,2408,1605,9141,155946,24136,22633,53842,25598,8209,2596,1689,8531,147226,21379,20552,49871,24747,8386,2586,1780,8092,137389,18251,19234,44060,24099,8736,2834,1880,7611,126703,14477,15926,37307,21894,8357,2692,1881,6693,109237,10818,11104,33773,20225,7817,2535,1828,6236,94333,7148,6772,24314,15758,6722,2309,1929,5103,70055,4719,4528,16406,12653,6299,2589,2477,4463,54134,3490,3529,10872,9088,5183,2355,2823,4192,41534,4850,5082,12638,9598,5730,2776,3801,8285,52767,621505,234732,440465,224324,83937,28675,23513,141218,1798364
SOSR102,26313,301,50,11,0,3,5,2704,29387,25516,2231,976,181,37,8,16,2416,31383,17937,5111,3545,1074,262,61,33,1875,29896,9612,6762,8323,3170,930,255,120,1623,30799,5045,4753,11003,5346,1646,489,279,1399,29956,4326,4398,12749,6575,2119,644,392,1509,32711,4236,4337,12778,6864,2303,639,425,1643,33226,4108,4065,12511,7372,2413,694,405,1681,33258,3879,3772,12482,7743,2750,740,382,1887,33629,3143,3101,11530,7551,2628,705,352,1718,30720,2553,2660,10946,7252,2627,741,385,1906,29063,1944,1949,8232,6243,2529,756,396,1763,23817,1437,1285,5428,4890,2510,925,665,1765,18907,1063,964,3642,3617,2097,949,738,1822,14899,1194,1477,4110,3570,2045,961,917,3749,18027,112300,47166,118301,71455,26888,8578,5519,29466,419667
SOSR111,3452,78,7,3,3,0,0,355,3902,3228,453,192,41,4,3,4,329,4254,2221,889,730,221,62,21,10,285,4436,1161,899,1261,555,164,51,23,262,4383,597,578,1441,772,304,77,49,223,4046,474,493,1518,900,345,107,83,209,4125,496,484,1583,942,322,111,64,235,4236,423,447,1500,909,355,105,57,204,4004,376,374,1475,1068,337,94,55,240,4016,316,319,1290,1001,346,93,56,228,3658,260,267,1152,903,377,120,77,214,3375,199,184,783,705,340,106,71,196,2580,141,111,469,493,300,134,128,211,1993,90,92,309,357,235,122,125,202,1536,119,126,346,329,262,111,122,299,1705,13570,5785,14053,9198,3762,1257,933,3696,52252
SOSR112,12376,272,39,10,3,5,0,1643,14349,10362,1610,781,206,33,3,3,1370,14364,7136,2616,2279,832,237,79,31,1095,14298,3819,2778,3674,1875,628,209,118,950,14036,2228,1894,4152,2484,959,315,248,780,13060,1870,1753,4691,2955,1197,378,285,828,13957,1986,1717,5092,3107,1261,402,282,969,14809,1920,1655,4883,3176,1350,437,270,970,14664,2110,1592,5045,3638,1541,464,248,1065,15708,1688,1356,4714,3527,1463,406,230,977,14365,1512,1192,4736,3337,1355,428,265,1055,13885,1164,896,3455,2869,1347,441,303,954,11430,811,562,2288,2244,1402,579,479,1008,9368,585,445,1559,1560,1104,524,529,844,7152,693,663,1756,1647,1169,544,605,1548,8620,50249,20996,49137,33459,15055,5228,3894,16048,194076
SOSR113,6525,171,22,3,0,0,4,887,7610,4867,1012,554,132,30,10,5,646,7253,3406,1528,1364,554,176,43,26,606,7715,1768,1435,2228,1013,370,127,82,550,7569,1054,1024,2358,1421,584,219,131,463,7252,923,993,2776,1788,744,229,217,562,8226,962,937,2905,1993,766,289,180,532,8567,1070,910,3140,2134,824,240,164,648,9123,1081,935,3462,2402,1014,288,139,713,10028,991,893,3307,2476,975,258,117,753,9773,939,805,3519,2422,1037,295,163,807,9980,705,592,2792,2082,978,317,212,771,8451,490,370,1724,1721,1024,404,278,758,6770,378,332,1100,1184,810,370,321,785,5286,434,409,1283,1166,802,382,359,1591,6431,25584,12346,32527,22490,10129,3471,2410,11068,120026
SOSR114,5643,151,23,3,3,0,0,924,6753,3895,829,396,91,14,5,3,572,5808,2761,1191,1093,452,137,48,26,516,6233,1564,1184,1772,931,337,108,57,512,6471,957,878,2109,1215,502,170,105,432,6378,875,859,2412,1565,600,190,155,504,7159,951,859,2436,1606,612,221,136,552,7369,940,806,2593,1761,736,241,137,619,7830,975,791,2762,2012,832,247,153,634,8409,852,702,2694,2032,822,228,137,688,8158,776,651,2906,2049,911,267,173,705,8436,613,486,2167,1745,878,316,198,663,7062,467,299,1342,1457,882,398,299,680,5816,304,252,821,999,695,380,335,633,4419,376,332,969,998,731,372,421,1047,5243,21962,10271,26497,18904,8704,3192,2328,9684,101541
SOSR115,8277,174,30,11,0,0,7,1361,9856,5776,1019,503,142,23,7,4,746,8219,4006,1757,1632,667,175,56,28,755,9084,2028,1772,2752,1486,490,150,79,644,9398,1289,1302,3052,1917,752,238,155,666,9383,1211,1206,3607,2391,983,327,187,758,10675,1335,1292,3713,2436,1013,310,217,813,11128,1577,1315,4001,2670,1146,321,216,906,12149,1542,1245,4282,3101,1322,361,203,910,12963,1422,1183,4243,3184,1317,349,225,999,12928,1212,1034,4427,3085,1353,422,221,1085,12843,904,756,3146,2689,1367,476,277,957,10561,619,452,1866,2022,1296,516,373,854,7995,432,354,1157,1339,1010,512,411,810,6026,503,518,1366,1430,1047,503,516,1345,7225,32136,15383,39768,28570,13287,4551,3130,13603,150430
SOSR121,2383,34,3,3,0,0,4,386,2816,1427,256,121,36,6,0,0,204,2055,957,443,385,145,39,11,3,183,2170,491,416,639,341,102,48,16,175,2229,338,327,846,499,208,55,46,158,2475,344,334,1039,703,280,82,81,204,3076,377,351,1111,794,291,110,65,223,3319,418,403,1144,788,322,101,72,226,3469,419,382,1294,910,382,102,68,259,3816,372,336,1209,911,381,115,49,259,3635,312,291,1123,857,403,99,59,251,3402,211,185,785,692,318,103,66,188,2545,145,76,394,420,285,114,85,169,1690,83,77,205,266,190,106,94,132,1144,76,86,216,214,191,95,89,144,1114,8361,3991,10533,7568,3412,1137,793,3165,38963
SOSR122,1259,19,3,0,4,0,0,240,1523,746,132,71,23,0,0,3,100,1082,518,196,215,86,30,3,3,116,1169,298,209,336,194,59,23,12,104,1237,197,185,437,301,105,33,29,105,1389,209,195,558,358,136,56,40,142,1691,230,194,614,432,144,40,48,150,1857,281,251,643,433,178,64,52,151,2062,262,224,710,519,235,82,47,189,2268,265,213,648,525,225,78,44,168,2165,188,157,643,498,227,94,40,170,2017,112,119,448,340,188,66,32,118,1436,72,46,219,253,163,81,61,118,1009,37,23,111,137,92,50,50,89,590,42,33,102,128,88,55,68,96,604,4719,2196,5760,4239,1874,715,517,2067,22088
SOSR131,14098,132,8,3,0,0,5,2766,17018,8753,942,444,84,15,3,10,1282,11532,5391,1838,1598,636,158,49,18,1067,10761,2989,2034,3446,1915,626,163,88,1122,12381,1880,1511,4568,3242,1205,322,197,1182,14104,1890,1694,6227,4484,1698,510,291,1596,18394,2366,1969,6938,4812,1996,554,330,1819,20780,2645,2080,7194,5317,2191,640,379,1946,22387,2610,2032,7051,5680,2517,724,355,2090,23051,2178,1673,6440,5127,2385,675,331,1909,20713,1561,1335,5837,4716,2245,677,300,1726,18403,956,810,3504,3244,1680,547,336,1267,12347,545,424,1717,1842,1254,464,407,846,7497,275,213,855,964,727,357,367,535,4284,245,287,730,796,580,297,369,658,3961,48379,18975,56568,42865,19260,5975,3786,21807,217622
