SOSR_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR101,728,1781,5925,8445,14397,25489,32857,29263,16191,135084,244,1266,4752,5011,7705,9925,8923,9190,4412,51425,12217,21639,54708,41124,35169,31215,28108,22264,17023,263469,115103,311088,720002,633859,557398,456889,316734,174046,82873,3367988
SOSR102,292,405,1109,1355,2778,6652,9245,8950,5783,36569,51,96,234,290,407,550,706,903,441,3679,2492,3382,6628,6390,7780,8403,9741,9803,7496,62103,27444,63995,120062,122028,129442,123321,100911,60883,28517,776608
SOSR111,55,77,166,228,383,860,1058,1007,663,4504,6,11,45,75,86,64,63,62,28,446,391,516,1050,981,1030,1079,1098,1079,610,7827,3591,8193,17087,16025,15902,14769,11302,6220,2623,95701
SOSR112,176,288,698,867,1524,3149,4160,3993,2775,17627,19,54,156,194,235,264,258,187,105,1474,1831,2748,5037,4288,4610,4869,5229,4848,3237,36702,13262,28699,55554,52710,56275,57015,47850,29135,13194,353698
SOSR113,111,192,486,606,1158,2692,3698,3376,2174,14504,15,21,76,76,116,149,162,183,96,894,944,1190,2663,2406,2933,3446,4174,4040,2849,24648,7431,14613,30273,30145,34488,37904,35448,21998,10089,222395
SOSR114,91,120,300,417,810,1985,2973,2953,1892,11545,7,22,53,39,90,108,146,114,63,644,991,1038,2148,2294,2765,3127,3746,3507,2163,21779,6189,11626,24424,26099,29186,31898,29984,18757,8174,186340
SOSR115,103,138,434,604,1191,2995,4708,4149,2637,16965,6,28,64,70,125,169,242,215,90,1013,1418,1422,3116,3408,4104,4833,5620,4668,2789,31387,9255,16807,35950,38741,44831,50506,46256,26137,11431,279912
SOSR121,45,42,111,146,396,846,1214,908,463,4163,8,7,24,13,15,32,48,40,14,207,360,345,676,782,994,1258,1252,895,376,6930,2478,4263,8430,10588,13220,14702,12068,5655,1930,73346
SOSR122,15,21,64,104,262,620,834,560,273,2762,3,3,3,5,19,25,52,38,14,164,245,187,478,556,690,894,865,616,238,4762,1413,2230,4709,5965,7699,8971,7235,3345,1040,42617
SOSR131,167,161,535,857,1884,4486,6303,4176,1708,20271,24,20,69,87,137,292,344,289,132,1394,2896,2626,5192,6379,8698,9329,8059,4140,1503,48810,15625,25091,46838,63558,86545,90910,67155,26157,7362,429234
SOSR179,0,0,0,0,3,5,13,3,0,27,0,0,0,0,0,0,0,0,0,4,0,0,4,7,8,9,27,9,0,67,11,9,32,34,50,76,108,42,10,373
SOSR199,10,29,53,41,61,90,94,33,8,419,0,4,8,8,21,12,7,7,0,62,125,302,779,674,631,459,269,90,30,3369,441,1357,2698,1900,1798,1714,1194,282,78,11461
