SOSR_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SOSR101,..,3895,111794,186809,168507,140851,100912,49977,13254,776001,..,8593,47263,29783,20994,12273,5118,1277,216,125525,..,383,1404,4390,8428,6897,3274,1962,1296,28045,390660,..,..,..,..,..,..,..,..,390660,..,116231,..,..,..,..,..,..,..,116231,..,74075,61784,19490,11210,4434,624,25,3,171642,..,15648,14188,5099,4439,5015,3730,2380,1387,51887,..,10746,16185,5116,3648,2435,991,277,82,39476,..,25342,42577,12362,7921,6296,3719,1259,354,99832,..,6154,21533,22991,24561,24029,19226,11297,5988,135774,4498,5637,8349,5198,3996,2873,2022,1134,437,34151,395160,266701,325080,291251,253700,205111,139615,69591,23006,1969223,..,10882,150571,195106,168699,133128,84960,34212,5725,783291,..,13038,49276,26686,18569,9845,3339,612,108,121471,..,3267,15697,31741,39819,24249,10795,8102,5242,138918,370243,..,..,..,..,..,..,..,..,370243,..,118315,..,..,..,..,..,..,..,118315,..,53949,42663,10610,6533,3476,789,32,3,118053,..,13206,10554,3646,5249,11175,10489,8606,5175,68090,..,10712,12099,3040,1992,1471,538,267,114,30235
SOSR102,..,673,17791,32178,33717,33789,29724,16610,4445,168918,..,3242,11250,7367,6196,3953,1870,606,91,34582,..,101,539,1723,2864,1862,811,532,401,8834,86679,..,..,..,..,..,..,..,..,86679,..,22036,..,..,..,..,..,..,..,22036,..,19965,10219,4066,3273,1486,205,3,0,39217,..,2604,1629,703,847,1017,858,534,288,8485,..,1786,1701,773,761,497,230,72,16,5842,..,5339,5222,1619,1853,1916,1212,501,140,17800,..,1264,4572,5428,7587,8668,7689,4889,2631,42734,1591,2232,2257,1526,1307,1106,799,426,175,11425,88265,59247,55181,55382,58422,54287,43402,24169,8194,446549,..,1424,23681,34828,35602,34169,27018,12510,2151,171386,..,5023,11706,7389,6059,3613,1548,374,71,35781,..,1540,5736,10045,10694,5441,2489,2293,1549,39789,81632,..,..,..,..,..,..,..,..,81632,..,22471,..,..,..,..,..,..,..,22471,..,13704,5869,1593,1337,1063,249,9,0,23835,..,2187,988,356,874,1827,1946,1605,1004,10782,..,1833,1021,357,350,275,134,59,36,4074
SOSR111,..,111,2798,4240,4112,4254,3419,1622,378,20938,..,634,1730,929,698,489,197,40,5,4728,..,24,109,271,345,188,79,40,28,1093,12445,..,..,..,..,..,..,..,..,12445,..,2580,..,..,..,..,..,..,..,2580,..,2413,990,447,299,124,15,0,0,4281,..,352,189,75,106,102,82,44,19,971,..,203,180,85,76,34,17,5,0,598,..,520,493,185,182,155,113,41,4,1704,..,246,794,820,1014,997,793,448,231,5339,253,332,309,209,193,105,99,58,20,1572,12705,7419,7592,7254,7028,6439,4819,2313,697,56262,..,280,3582,4511,4389,4186,3038,1197,169,21347,..,980,1757,919,731,402,160,29,5,4988,..,300,1017,1386,1309,529,249,210,126,5123,11710,..,..,..,..,..,..,..,..,11710,..,2681,..,..,..,..,..,..,..,2681,..,1657,563,147,130,76,24,0,0,2605,..,290,100,57,121,179,197,132,83,1150,..,202,81,29,33,21,11,3,3,377
SOSR112,..,441,7976,12350,13229,14180,13160,7479,1944,70756,..,2227,5033,3178,2731,1858,974,262,47,16303,..,92,346,842,1232,795,319,186,145,3953,41011,..,..,..,..,..,..,..,..,41011,..,8156,..,..,..,..,..,..,..,8156,..,7660,3277,1500,1122,571,86,0,0,14212,..,1241,662,295,343,428,315,182,104,3562,..,865,764,365,322,195,90,21,3,2626,..,2137,2051,762,854,879,589,226,53,7554,..,869,2514,2659,3620,4486,3721,2264,966,21106,928,1224,1119,727,625,569,440,222,75,5931,41940,24913,23729,22685,24081,23953,19691,10844,3335,195175,..,844,10367,13400,14180,14621,11918,5704,926,71962,..,3266,5165,3170,2708,1762,732,176,17,16997,..,1245,3740,5052,4863,2191,1020,898,622,19626,39032,..,..,..,..,..,..,..,..,39032,..,8356,..,..,..,..,..,..,..,8356,..,5134,1782,624,546,415,92,4,0,8608,..,967,357,183,440,815,752,529,351,4401,..,764,408,144,132,103,58,12,12,1636
SOSR113,..,206,4253,6682,7925,9606,10016,5839,1471,46004,..,1152,2896,1935,1633,1220,701,239,47,9813,..,44,200,559,824,474,250,173,103,2625,23678,..,..,..,..,..,..,..,..,23678,..,4803,..,..,..,..,..,..,..,4803,..,5138,2352,1143,860,442,69,3,0,10007,..,746,349,172,293,319,243,154,77,2363,..,438,375,234,189,137,52,25,6,1463,..,680,831,445,542,548,424,175,36,3680,..,478,1393,1593,2440,3085,2844,1836,870,14543,560,725,694,488,456,417,403,165,59,3963,24237,14412,13345,13255,15169,16236,15003,8611,2675,122941,..,462,5488,7567,8607,10105,9282,4408,739,46665,..,1790,2893,1924,1643,1111,548,162,21,10095,..,788,2346,3069,2851,1337,686,673,444,12191,22501,..,..,..,..,..,..,..,..,22501,..,4809,..,..,..,..,..,..,..,4809,..,3261,1097,427,424,286,60,3,0,5548,..,545,181,98,252,505,498,360,254,2694,..,377,206,70,79,56,31,13,7,827
SOSR114,..,185,3355,6013,6662,7875,8324,4921,1196,38532,..,988,2492,1766,1549,1153,670,193,29,8836,..,39,154,427,596,391,188,124,97,2009,20387,..,..,..,..,..,..,..,..,20387,..,3857,..,..,..,..,..,..,..,3857,..,4057,1614,825,665,338,46,0,0,7550,..,569,278,138,187,271,196,121,79,1834,..,332,327,193,163,98,42,8,3,1184,..,597,747,356,408,471,366,134,34,3112,..,414,1041,1215,2036,2728,2469,1673,708,12292,440,517,515,362,307,347,328,129,50,3001,20831,11552,10518,11301,12577,13670,12631,7308,2199,102587,..,369,4546,6609,7328,8232,7828,3680,551,39141,..,1519,2579,1808,1545,1076,479,118,19,9149,..,597,1761,2519,2342,1043,491,503,391,9643,19623,..,..,..,..,..,..,..,..,19623,..,4022,..,..,..,..,..,..,..,4022,..,2573,785,330,303,264,59,3,0,4323,..,439,140,74,197,355,390,320,220,2129,..,316,203,54,80,47,24,8,9,746
SOSR115,..,244,5461,9146,10288,12829,13012,6944,1632,59563,..,1340,3444,2659,2550,1954,1048,291,49,13325,..,46,200,583,985,661,315,188,119,3092,30987,..,..,..,..,..,..,..,..,30987,..,5886,..,..,..,..,..,..,..,5886,..,6243,2691,1268,1016,513,65,4,0,11800,..,779,379,186,294,407,341,207,101,2692,..,436,424,242,270,146,94,34,5,1658,..,718,858,437,589,702,529,227,48,4115,..,529,1401,1738,2802,4140,4002,2301,1006,17917,586,747,748,530,532,570,584,270,70,4635,31573,16971,15604,16783,19327,21930,19988,10468,3028,155681,..,523,7201,10175,11339,13421,11853,5088,778,60378,..,2016,3660,2754,2611,1756,825,182,31,13841,..,753,2419,3495,3473,1444,806,759,521,13671,29482,..,..,..,..,..,..,..,..,29482,..,6260,..,..,..,..,..,..,..,6260,..,3847,1364,478,428,348,91,3,0,6552,..,609,165,99,290,587,657,483,299,3186,..,470,209,77,118,98,50,13,8,1036
SOSR121,..,53,1191,2592,3458,4004,3641,1649,356,16953,..,302,817,742,775,558,312,85,11,3597,..,17,68,153,238,197,80,38,33,828,8482,..,..,..,..,..,..,..,..,8482,..,1729,..,..,..,..,..,..,..,1729,..,1805,771,333,270,127,21,0,0,3330,..,203,96,72,85,114,106,59,34,768,..,132,94,73,83,48,27,11,3,461,..,123,160,95,144,212,130,56,8,927,..,95,264,388,698,1098,936,560,189,4222,147,222,178,160,148,169,163,54,12,1255,8632,4686,3636,4612,5900,6526,5413,2512,645,42559,..,109,1658,3011,3697,4169,3219,1126,180,17169,..,452,897,774,784,539,262,46,4,3751,..,184,542,848,788,381,208,193,93,3237,8080,..,..,..,..,..,..,..,..,8080,..,1944,..,..,..,..,..,..,..,1944,..,1125,409,150,117,87,7,0,0,1891,..,154,36,36,80,135,175,134,105,852,..,139,74,35,37,31,14,7,3,341
SOSR122,..,25,634,1384,1775,2252,2047,938,177,9234,..,150,423,411,440,394,184,55,7,2056,..,9,29,93,162,115,60,44,29,523,4499,..,..,..,..,..,..,..,..,4499,..,976,..,..,..,..,..,..,..,976,..,993,418,190,151,71,17,0,0,1837,..,112,66,33,71,78,64,40,17,480,..,74,61,46,42,43,18,9,3,291,..,45,89,49,118,148,81,45,9,588,..,63,174,276,552,847,724,388,114,3138,96,126,122,88,114,123,128,44,16,846,4591,2564,2010,2573,3429,4070,3309,1559,372,24472,..,68,884,1585,1996,2313,1816,622,72,9365,..,222,469,432,489,359,129,31,7,2139,..,98,308,450,470,195,125,93,65,1802,4249,..,..,..,..,..,..,..,..,4249,..,998,..,..,..,..,..,..,..,998,..,597,211,73,73,40,7,0,0,1004,..,89,28,10,46,100,97,70,54,493,..,77,28,29,27,16,7,4,0,187
SOSR131,..,326,6886,17076,24404,26905,22161,8579,1529,107859,..,1148,3694,3592,4284,3636,1741,381,59,18536,..,54,222,700,1331,955,500,306,171,4256,47938,..,..,..,..,..,..,..,..,47938,..,11118,..,..,..,..,..,..,..,11118,..,11015,5073,2081,1541,625,77,0,0,20414,..,924,466,276,475,751,653,415,265,4222,..,706,638,374,453,445,224,101,20,2951,..,500,655,473,865,1176,748,240,49,4696,..,598,1371,1936,3975,5974,4954,2283,696,21778,739,1191,1081,738,972,1092,839,309,55,7018,48678,27578,20078,27246,38303,41555,31893,12616,2844,250793,..,673,9513,20159,26857,27033,18511,5608,642,108994,..,1773,4114,3832,4468,3208,1203,170,25,18786,..,551,1708,2756,2973,1485,875,789,518,11655,44886,..,..,..,..,..,..,..,..,44886,..,11825,..,..,..,..,..,..,..,11825,..,6736,2773,853,637,341,81,4,0,11431,..,604,223,144,337,761,946,796,613,4428,..,807,483,211,248,249,119,29,21,2164
