SOSR_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOSR101,38762,35344,74113,121766,114022,235796,35473,35034,70504,21850,20602,42448,179091,169661,348751,73576,71940,145514,37314,35658,72969,26602,25516,52119,137487,133107,270598,7146,7238,14382,7125,11653,18781,12046,5727,17775,12202,19178,31375,398,405,800,38914,44206,83116,73212,81925,155143,26165,27749,53915,8449,9171,17616,20755,29069,49822,554,669,1219,129134,148583,277714,8773,10960,19737,9944,17047,26991,250,359,603,18966,28366,47334,141635,139396,281026,683986,698668,1382652
SOSR102,9990,8887,18876,30009,28294,58302,7180,7024,14199,3726,3513,7237,40915,38825,79742,20329,19761,40089,6545,6658,13204,3921,3789,7711,30792,30212,61008,1270,1539,2803,928,1627,2551,3832,2263,6091,2947,4972,7926,107,97,203,9080,10493,19572,10600,12165,22762,4297,4780,9071,1479,1893,3375,3969,7046,11014,70,86,150,20412,25964,46377,643,867,1512,1309,2713,4028,29,68,94,1980,3650,5635,29164,31685,60847,142335,149721,292053
SOSR111,1303,1200,2497,3779,3559,7345,1371,1325,2694,626,633,1256,5778,5521,11297,2559,2448,5000,949,956,1903,593,622,1220,4098,4021,8118,203,226,429,113,223,335,490,351,842,446,798,1238,14,13,22,1259,1609,2871,595,1046,1647,256,474,732,140,218,357,466,838,1309,3,5,5,1467,2584,4048,93,122,215,198,370,567,8,5,11,298,500,802,4058,4157,8215,18255,19589,37843
SOSR112,4443,4181,8623,12723,11926,24651,4459,4509,8969,2349,2172,4516,19530,18604,38141,8039,7639,15677,3877,4016,7895,2509,2806,5315,14426,14460,28890,555,782,1342,445,938,1380,1682,1279,2954,1616,2898,4512,45,49,86,4338,5945,10277,2609,4010,6614,1253,1834,3083,437,784,1226,1759,3431,5195,28,39,65,6089,10097,16182,299,364,664,581,1232,1817,24,33,53,902,1628,2534,18904,17692,36601,68635,72612,141246
SOSR113,2538,2312,4849,8243,7719,15956,1986,1954,3938,872,873,1750,11096,10547,21647,5868,5635,11500,1485,1451,2936,904,805,1704,8258,7886,16145,309,420,733,214,487,700,932,705,1636,807,1618,2424,40,26,73,2309,3257,5566,642,1063,1705,319,631,952,159,289,446,628,1384,2007,11,18,29,1759,3379,5140,145,224,371,306,678,989,23,27,45,477,928,1403,11857,12293,24147,38295,40596,78892
SOSR114,2255,2138,4392,7108,6768,13875,1973,2002,3974,645,561,1208,9723,9331,19059,4693,4637,9333,1790,1748,3537,536,598,1132,7024,6981,14009,193,291,491,124,401,527,766,603,1362,605,1402,2010,18,34,55,1702,2737,4444,451,743,1197,233,537,771,149,279,425,525,1236,1762,3,14,20,1374,2811,4182,92,177,269,228,543,772,5,15,23,331,731,1064,10519,11440,21963,32930,36172,69102
SOSR115,3540,3350,6888,11129,10374,21500,2602,2562,5162,1115,1039,2153,14840,13969,28813,7374,7335,14702,1751,1876,3625,1142,1219,2359,10265,10426,20688,363,406,770,184,475,663,1202,794,1998,944,1767,2705,32,40,68,2727,3478,6208,887,1688,2577,395,812,1205,190,413,607,831,1994,2824,13,28,40,2323,4933,7259,196,235,428,293,809,1095,18,31,43,505,1068,1572,15880,15989,31868,50081,53219,103296
SOSR121,849,831,1678,3029,2918,5947,655,703,1355,419,391,808,4099,4014,8117,2045,2019,4062,630,655,1276,390,431,827,3060,3099,6166,78,134,210,46,137,179,335,184,517,253,518,765,7,9,18,720,971,1695,254,393,648,71,212,288,59,88,146,217,520,735,6,7,13,605,1228,1827,31,59,88,99,212,313,0,12,12,127,280,405,3752,3767,7521,13211,14186,27404
SOSR122,497,402,900,1790,1667,3455,280,274,551,173,152,319,2238,2097,4334,1158,1158,2320,314,364,677,212,154,365,1679,1678,3358,39,71,115,18,60,75,180,120,293,126,265,391,4,9,17,367,519,895,132,201,328,48,115,163,28,45,78,109,276,384,5,5,11,316,639,961,30,39,67,61,116,178,3,7,8,92,160,257,2566,2499,5061,7760,7998,15757
SOSR131,4868,4304,9171,15726,14714,30439,5472,5245,10719,3007,2861,5870,24209,22819,47029,10647,10299,20942,4665,4981,9651,3605,3543,7148,18916,18821,37734,465,588,1044,214,569,780,2427,1159,3583,1231,2518,3752,63,34,99,4398,4859,9256,2014,2970,4988,528,1107,1635,411,721,1131,1158,3011,4167,18,38,52,4140,7840,11983,396,361,755,472,1249,1723,33,30,56,901,1638,2534,29330,25275,54606,86749,85572,172315
