SOSR_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SOSR101,10610,60588,15296,13283,3040,140974,30801,9025,81949,32755,32509,6937,193983,2667,702,8777,4005,5347,841,22329,3922,951,10979,8748,26801,1814,53213,7491,1104,19633,9867,17145,8741,63983,223456,50155,550668,233503,343207,57610,1458609
SOSR102,2987,15221,4275,4936,632,34305,4968,2524,19025,11009,16537,1996,56056,194,98,915,644,1445,138,3432,360,140,1343,1839,9069,385,13132,386,118,1428,1199,4652,1520,9297,20985,9531,72864,49727,124445,11439,288989
SOSR111,417,1789,531,629,70,3961,441,305,2087,1314,2165,236,6547,5,7,53,54,149,26,295,38,19,122,265,1346,56,1834,27,11,119,136,654,175,1114,1754,1169,7658,6059,18159,1342,36150
SOSR112,1641,7333,2212,2691,352,17040,2151,1237,8793,5196,8022,921,26315,114,58,330,275,700,56,1540,144,56,522,698,4170,175,5760,116,42,469,431,1980,612,3651,8127,4624,30372,20303,57295,5391,126111
SOSR113,683,3097,981,1352,150,7044,694,453,3231,2584,4719,464,12146,19,8,121,128,377,45,701,68,38,222,404,2524,104,3367,43,31,206,246,1216,434,2173,2648,1850,12133,10204,35313,3305,65464
SOSR114,602,3253,933,1226,165,6869,612,419,2817,2088,3658,442,10037,22,20,156,107,298,35,643,53,35,220,334,2186,95,2920,56,29,244,233,1093,396,2055,2466,1736,12119,8998,29718,3252,58290
SOSR115,1096,4808,1601,1865,267,11035,860,632,4124,3394,5363,631,14999,50,32,283,213,548,75,1208,79,46,315,493,3203,126,4267,81,31,357,360,1674,556,3070,4039,2817,17607,14316,45103,4736,88613
SOSR121,325,1392,434,588,80,3187,286,203,1255,959,1461,172,4332,16,5,70,55,158,13,321,19,3,78,127,951,55,1230,22,14,107,104,509,174,936,1118,836,5138,4129,12772,1283,25271
SOSR122,157,673,251,328,47,1664,143,84,589,488,801,93,2200,16,11,57,43,109,10,248,9,8,34,64,520,14,649,25,8,42,55,265,95,489,682,420,2592,2218,7075,775,13760
SOSR131,1683,7770,2825,3112,511,18121,1740,1109,7128,4833,6340,984,22146,120,54,516,344,915,113,2055,122,67,484,778,5323,255,7029,216,100,895,860,3142,1077,6284,8509,5202,36835,27535,77498,9580,165153
SOSR179,0,3,0,0,0,9,0,0,0,3,8,0,15,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,3,0,5,0,7,3,0,16,7,42,3,74
SOSR199,16,57,27,19,5,154,20,10,95,37,53,13,230,10,0,26,14,23,0,77,3,0,14,14,45,4,80,8,3,34,14,52,40,143,205,68,678,299,770,146,2162
