SOSR_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SOSR101,35,2167,731,450,2029,1,1802,2.8
SOSR102,41,1800,610,340,1629,0.8,1298,2.5
SOSR111,37,1600,633,280,1569,0.8,1275,2.5
SOSR112,40,1517,605,280,1448,0.8,1160,2.4
SOSR113,44,1473,531,265,1286,0.8,1019,2.3
SOSR114,44,1430,554,250,1329,0.8,1038,2.3
SOSR115,45,1500,554,250,1349,0.8,1063,2.4
SOSR121,45,1511,564,250,1401,0.8,1165,2.5
SOSR122,46,1300,527,205,1307,0.8,1036,2.4
SOSR131,45,1733,626,200,1601,0.8,1367,2.7
SOSR179,58,0,540,0,0,0,0,0
SOSR199,39,0,405,0,0,0,0,0
