SOSR_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SOSR101,430,47,53,53,131069,131656,5990,248,183,100,151246,157780,134590,4542,5562,273,210683,355650,207746,9232,15927,544,81494,314947,183537,11194,26791,1486,50698,273705,153268,9249,28111,3310,27906,221844,110420,5855,17885,6245,12520,152924,56469,2147,6183,9107,4760,78665,17072,499,1319,9765,1562,30209,869516,43016,102026,30875,671943,1717381,812,60,54,61,123887,124874,14041,644,409,101,139432,154626,170557,7537,9071,529,177886,365579,210675,13048,24660,1734,69807,319928,182291,14245,41045,5439,41592,284607,146320,10649,41154,14563,23251,235941,94377,5607,26471,27807,10128,164386,39702,1643,9368,40675,4284,95672,8352,312,2922,38656,2527,52767,867126,53736,155159,129556,592790,1798364,1240,105,108,113,254957,256521,20033,891,597,199,290683,312400,305142,12082,14631,801,388576,721227,418420,22280,40588,2278,151299,634879,365827,25439,67840,6925,92285,558311,299594,19903,69263,17866,51156,457780,204793,11456,44354,34051,22646,317307,96168,3785,15560,49780,9043,174334,25422,805,4241,48417,4090,82975,1736646,96753,257185,160428,1264730,3515745
SOSR102,50,8,13,6,30710,30797,770,65,30,13,31882,32756,19795,955,873,51,37771,59439,34751,2561,3748,155,18210,59424,36476,3398,8320,448,14396,63032,37141,2881,9745,1164,8113,59046,33254,1939,7266,2500,3169,48128,18719,668,2674,3818,1248,27137,5681,157,539,3808,328,10512,186650,12635,33200,11961,145824,390271,51,16,8,5,29293,29387,1585,144,39,20,29590,31383,25668,1635,1496,113,31785,60694,36812,3631,5908,413,15902,62664,37926,4340,11858,1420,10941,66486,37362,3405,13807,3924,5849,64346,30297,1698,9901,8688,2287,52877,14314,502,3749,14281,953,33803,3044,113,950,13452,471,18027,187058,15487,47711,42333,127076,419667,107,23,28,16,60004,60181,2362,207,69,36,61473,64140,45463,2592,2365,163,69552,120129,71565,6200,9654,567,34115,122090,74403,7740,20174,1867,25338,129517,74501,6282,23551,5085,13965,123390,63551,3640,17171,11188,5458,101006,33041,1176,6424,18105,2198,60940,8721,271,1490,17263,803,28538,373701,28126,80912,54290,272907,809935
SOSR111,8,0,3,0,4001,4014,134,12,3,3,3810,3965,3108,215,150,9,4793,8270,4583,410,522,25,2333,7874,4517,458,1055,55,1583,7666,4685,318,1123,157,814,7104,3844,185,721,292,313,5356,1926,52,240,363,111,2689,490,9,56,326,44,918,23298,1660,3863,1232,17805,47859,10,0,3,0,3884,3902,282,25,8,8,3934,4254,3881,347,255,23,4320,8825,4814,520,772,58,1998,8168,4701,508,1568,173,1283,8236,4625,424,1588,458,582,7675,3470,189,1037,1023,241,5951,1449,42,345,1581,122,3537,247,8,64,1319,55,1705,23481,2065,5645,4643,16425,52252,20,0,6,0,7885,7913,413,35,8,7,7745,8223,6993,556,404,30,9108,17097,9401,931,1295,84,4334,16041,9218,971,2625,227,2870,15905,9305,742,2712,610,1398,14772,7311,373,1757,1315,545,11310,3374,92,582,1944,239,6229,743,22,117,1645,100,2622,46780,3727,9508,5870,34228,100115
SOSR112,46,5,10,3,14407,14476,582,39,20,12,13744,14398,9314,573,436,42,16893,27256,13972,1237,1664,60,8793,25730,14874,1582,3556,173,6651,26836,16161,1483,4660,483,4181,26964,15265,984,3426,1145,1735,22555,8785,290,1242,1649,682,12641,2581,61,199,1563,183,4593,81576,6257,15217,5130,67267,175452,31,9,8,7,14300,14349,964,88,32,12,13265,14364,11473,1002,751,75,15034,28340,14411,1785,2687,193,7936,27017,15519,2170,5450,680,5656,29475,16507,1809,6607,1803,3348,30073,13853,914,4863,4243,1446,25319,6820,256,1791,6987,662,16518,1336,51,475,6426,334,8620,80915,8077,22669,20427,61979,194076,79,14,24,10,28706,28829,1552,123,50,27,27008,28762,20789,1574,1186,118,31928,55597,28385,3024,4354,254,16731,52744,30392,3753,9005,858,12311,56316,32674,3288,11268,2283,7529,57040,29116,1901,8295,5387,3175,47872,15602,550,3034,8632,1342,29158,3912,114,679,7990,523,13209,162496,14336,37892,25560,129244,369524
SOSR113,15,3,8,5,8314,8341,253,23,6,8,7100,7388,4885,327,259,16,9525,15015,7491,775,1033,40,5345,14687,8927,1043,2410,157,4287,16828,10982,1013,3143,397,2606,18137,11653,772,2580,912,1116,17031,6863,249,967,1414,466,9962,1968,65,206,1301,137,3665,53040,4273,10614,4239,38889,111059,13,7,6,3,7584,7610,504,69,15,8,6648,7253,6100,575,365,38,8210,15284,8133,1078,1566,125,4575,15479,9397,1340,3304,417,3237,17687,11457,1145,4176,1306,1720,19800,10806,598,3112,3150,758,18432,5266,171,1171,5115,339,12055,1090,35,281,4869,166,6431,52760,5010,13999,15028,33231,120026,32,14,14,8,15890,15950,758,91,28,11,13750,14638,10981,900,628,56,17735,30304,15623,1853,2600,171,9916,30165,18326,2388,5713,570,7520,34512,22438,2149,7313,1701,4330,37936,22460,1370,5692,4064,1877,35465,12131,423,2134,6527,803,22019,3057,95,488,6169,298,10099,105800,9283,24609,19273,72127,231091
SOSR114,15,0,3,4,6965,6990,199,15,4,8,5628,5854,3751,250,180,18,7541,11739,6777,618,754,27,4416,12592,7514,829,1842,111,3703,14002,9110,795,2750,355,2330,15340,9837,584,2197,790,1100,14500,5825,222,785,1248,450,8527,1576,46,132,1048,131,2938,44595,3362,8655,3607,32260,92481,20,3,0,3,6721,6753,380,58,4,11,5356,5808,4961,413,292,36,7012,12706,7181,826,1383,123,4020,13529,8110,1089,2709,382,2917,15202,9493,906,3483,1062,1616,16562,9206,531,2547,2602,607,15500,4403,162,882,4460,333,10240,794,31,218,4032,171,5243,44545,4012,11529,12707,28749,101541,30,6,6,5,13687,13744,583,71,12,15,10982,11658,8711,661,471,49,14549,24441,13962,1440,2142,146,8430,26122,15623,1918,4547,499,6623,29205,18606,1699,6238,1415,3951,31907,19039,1118,4740,3394,1707,29996,10223,389,1669,5712,776,18767,2371,71,354,5080,305,8178,89140,7376,20183,16314,61005,194026
SOSR115,22,8,9,0,10192,10232,277,11,4,7,8313,8614,6159,365,245,16,10711,17493,10237,851,1167,55,6409,18709,11793,1316,2811,177,5471,21565,14799,1308,4243,517,3759,24631,15368,1000,3516,1298,1692,22871,8175,377,1227,1697,651,12132,2192,56,198,1569,208,4215,69008,5303,13420,5331,47406,140464,20,3,3,6,9822,9856,531,62,15,9,7595,8219,7891,637,404,54,9498,18481,11039,1230,1860,170,5752,20054,12615,1598,4147,564,4353,23281,15523,1324,4887,1594,2562,25886,13903,721,3654,4031,1089,23402,6114,219,1214,6066,405,14020,1206,45,290,5475,207,7225,68848,5837,16485,17974,41288,150430,41,14,16,6,20018,20085,810,71,23,16,15912,16834,14044,1003,655,67,20206,35972,21276,2084,3025,227,12154,38766,24405,2914,6961,737,9822,44847,30328,2631,9130,2111,6320,50519,29273,1723,7170,5328,2775,46275,14289,595,2441,7760,1057,26147,3396,105,484,7038,411,11444,137858,11140,29908,23299,88686,290897
SOSR121,4,0,3,0,2892,2900,68,6,4,3,2134,2213,1340,87,61,3,2543,4035,2875,229,309,9,1622,5045,3809,328,787,43,1476,6440,4612,373,1168,162,939,7260,4275,253,899,298,405,6124,1918,99,277,398,142,2833,454,12,41,263,38,815,19356,1395,3550,1173,12192,37665,4,0,0,4,2805,2816,114,12,3,0,1920,2055,1822,153,108,9,2305,4399,3255,322,473,45,1455,5554,4072,398,1066,139,1110,6787,4778,350,1305,406,617,7450,3783,176,888,909,193,5947,1316,49,223,1147,99,2833,221,4,35,825,31,1114,19370,1467,4096,3485,10535,38963,11,0,3,3,5697,5717,189,22,6,3,4056,4275,3162,246,169,14,4852,8442,6131,548,789,51,3078,10602,7880,733,1849,185,2582,13224,9394,718,2471,576,1552,14709,8053,430,1786,1205,596,12074,3236,148,500,1541,243,5664,681,20,79,1087,74,1934,38727,2858,7645,4662,22728,76622
SOSR122,7,0,0,0,1665,1671,31,11,3,0,1119,1163,726,43,41,3,1491,2311,1581,123,192,9,997,2894,1993,228,517,41,1022,3795,2613,300,827,86,725,4555,2435,192,643,193,319,3789,1094,55,237,244,115,1746,217,8,30,140,31,439,10698,961,2493,723,7472,22356,3,0,0,0,1515,1523,74,11,3,0,998,1082,975,81,57,4,1288,2407,1754,172,253,18,882,3082,2234,237,595,92,762,3916,2678,232,802,247,464,4430,2114,120,500,582,138,3456,744,29,159,620,45,1595,95,3,33,459,17,604,10674,893,2389,2016,6114,22088,8,0,0,0,3184,3192,105,14,7,3,2110,2238,1706,122,95,8,2784,4713,3339,293,446,21,1875,5975,4224,465,1112,132,1782,7709,5289,540,1626,336,1185,8979,4547,317,1144,779,452,7240,1840,86,391,865,161,3341,315,12,62,602,55,1046,21367,1855,4882,2744,13588,44437
SOSR131,53,3,4,5,18664,18729,439,28,18,3,13112,13601,8150,393,342,38,14803,23718,19470,1101,1705,73,8730,31084,27949,1949,4789,309,8407,43405,31357,2235,6832,813,5945,47179,26103,1462,4999,1543,2320,36434,10149,441,1368,1729,700,14394,1893,71,190,1080,179,3412,125559,7694,20260,5594,72852,231960,38,3,3,6,16967,17018,765,48,18,11,10697,11532,10775,592,513,40,11219,23136,22395,1221,2031,198,6665,32498,30235,1791,4860,756,5535,43171,31281,1499,5838,1921,3236,43769,21772,775,3526,3603,1071,30752,6546,180,781,3942,339,11785,841,20,169,2792,138,3961,124640,6139,17728,13253,55862,217622,87,9,7,9,35637,35753,1199,80,32,12,23809,25135,18920,990,853,74,26017,46857,41860,2321,3732,269,15396,63585,58184,3740,9650,1059,13938,86576,62629,3730,12672,2736,9177,90948,47878,2241,8527,5146,3394,67180,16697,626,2149,5671,1038,26179,2739,94,356,3867,312,7371,250195,13834,37986,18849,128715,449576
