SOSR_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SOSR101,37756,121582,269001,230278,164992,125786,72222,27885,8842,1058338,5232,6898,13580,12503,12056,8364,5225,2459,848,67165,7492,13136,32342,37127,58688,46993,30852,15691,5045,247363,1641,2154,5315,6004,8738,9663,12724,7108,2863,56204,453,1103,3534,4339,6965,11017,14742,12457,5674,60293,147,775,2681,2445,3399,3980,3515,3255,1326,21516,6485,11413,28606,21833,18472,15702,13420,9713,5585,131235,59212,157055,355050,314529,273322,221505,152701,78561,30171,1642100,40174,127801,297354,248881,177089,120472,61889,24595,9844,1108094,3878,4974,10685,10653,11713,8234,5811,3079,1246,60276,4644,8337,22374,28752,58717,58461,43046,22535,10160,257023,1106,1515,3975,5078,8124,12286,15087,9985,6406,63558,278,681,2390,4100,7429,14473,18113,16805,10513,74790,94,490,2075,2567,4306,5950,5404,5936,3083,29909,5730,10226,26105,19295,16700,15506,14683,12548,11442,132236,55896,154029,364951,319330,284079,235382,164027,95483,52701,1725884,77928,249388,566350,479161,342076,246257,134114,52478,18686,2166431,9113,11874,24267,23157,23765,16603,11034,5536,2094,127438,12137,21470,54712,65880,117407,105454,73893,38223,15202,504385,2747,3667,9287,11079,16864,21946,27811,17092,9265,119764
SOSR102,7023,21503,35722,33493,22884,21261,14453,6234,2132,164700,2056,2786,4702,4476,3828,2960,2060,1078,343,24287,2962,5608,12853,15016,26705,22362,14444,7201,1939,109090,697,768,1823,2151,3855,4913,7674,4082,1492,27447,179,242,670,781,1436,3045,4571,4029,2014,16970,26,53,125,151,210,277,333,340,159,1674,1265,1728,3511,3351,4075,4194,4563,4140,2431,29265,14203,32687,59403,59405,63002,59020,48095,27113,10504,373435,7680,22611,41929,40460,26919,20572,12082,5519,1987,179755,1512,2026,3744,3902,3993,2787,2019,1245,430,21661,2212,4193,9817,12646,26577,26183,19715,10115,3523,114979,476,630,1508,1864,3711,6671,8785,5743,2950,32330,113,164,439,577,1339,3607,4678,4918,3770,19601,23,49,109,142,197,270,369,564,283,1999,1226,1650,3112,3042,3704,4211,5171,5661,5064,32837,13239,31312,60660,62621,66440,64297,52819,33767,18013,403173,14699,44109,77645,73946,49806,41832,26536,11758,4119,344456,3572,4808,8447,8381,7825,5749,4079,2323,773,45949,5177,9802,22662,27660,53280,48545,34156,17323,5465,224070,1169,1398,3333,4012,7563,11588,16456,9824,4442,59781
SOSR111,742,2072,4228,3867,2231,2088,1277,496,130,17140,300,472,847,757,639,492,295,130,39,3965,431,965,2228,2211,3414,2732,1706,711,162,14555,119,125,312,335,578,783,992,453,126,3824,31,47,90,142,209,430,539,457,228,2187,3,7,30,37,43,31,37,21,10,215,213,265,535,524,555,536,503,421,215,3763,1841,3953,8262,7865,7667,7098,5350,2688,918,45654,845,2703,5638,4705,2980,2184,1129,476,181,20842,254,353,683,700,689,539,371,156,52,3800,377,746,1616,1891,3257,3069,2229,1035,340,14558,64,145,269,279,608,881,1084,625,287,4232,20,30,79,86,177,426,519,544,435,2322,3,8,22,45,40,29,34,34,18,228,184,251,511,457,480,543,590,665,395,4067,1746,4238,8819,8158,8235,7672,5951,3528,1701,50044,1590,4779,9864,8574,5216,4273,2405,967,309,37977,553,827,1531,1450,1326,1036,665,281,91,7765,810,1708,3843,4101,6674,5801,3933,1742,503,29115,179,274,581,609,1182,1658,2073,1076,411,8062
SOSR112,2650,7776,14124,13141,9288,9462,6975,3161,1022,67604,944,1316,2095,1893,1700,1352,986,564,149,10998,1598,3017,6371,6396,10550,9633,6412,3310,790,48073,476,461,1086,1121,1830,2223,3328,1767,607,12895,99,164,405,495,862,1674,2223,1810,920,8660,12,30,81,104,114,123,129,104,43,740,942,1596,3077,2568,2472,2490,2487,1918,1056,18609,6736,14360,27242,25709,26816,26955,22542,12634,4592,167587,3288,9323,18186,16723,11972,10082,6613,3263,1190,80640,762,1041,1949,1869,1952,1509,1203,699,243,11219,1205,2256,4899,5243,10834,11922,9179,4894,1809,52240,307,428,951,989,1784,2545,3505,2437,1266,14218,75,118,291,371,657,1481,1933,2182,1853,8965,6,22,69,91,120,141,127,88,64,730,888,1150,1960,1719,2131,2377,2748,2933,2182,18094,6529,14339,28312,26995,29459,30067,25303,16504,8606,186112,5938,17100,32313,29861,21267,19550,13590,6416,2211,148247,1708,2356,4044,3760,3650,2860,2188,1269,395,22218,2803,5269,11270,11631,21380,21557,15592,8210,2603,100315,787,888,2034,2104,3615,4767,6830,4206,1870,27114
SOSR113,1390,3520,6756,6173,4255,4922,4180,2007,678,33874,654,887,1407,1373,1159,950,767,386,131,7717,1074,1881,4272,4622,7681,7190,5170,2628,670,35182,292,309,721,798,1413,1850,2886,1563,464,10297,59,104,274,356,654,1414,2008,1588,766,7218,12,7,38,45,77,86,91,89,36,486,498,670,1534,1310,1584,1710,1925,1688,922,11849,3976,7374,15006,14678,16816,18120,17028,9957,3660,106616,1468,4135,8565,8067,5526,5038,3550,1759,671,38793,502,687,1256,1215,1294,1035,854,505,145,7502,776,1511,3321,4057,7585,8305,6872,3586,1189,37201,201,291,747,751,1367,2321,3129,1960,1026,11789,53,90,210,256,511,1278,1693,1791,1415,7289,5,14,36,28,39,63,72,94,60,412,448,524,1126,1094,1351,1739,2247,2349,1928,12805,3452,7240,15270,15473,17674,19785,18424,12037,6430,115783,2859,7658,15323,14246,9780,9964,7729,3770,1350,72669,1155,1574,2663,2588,2456,1987,1620,895,273,15214,1851,3388,7595,8678,15270,15500,12040,6212,1857,72380,494,595,1466,1545,2779,4169,6018,3522,1496,22080
SOSR114,1132,2812,5547,5874,3946,4459,3747,1639,522,29679,494,706,1094,1028,1004,896,684,362,113,6376,824,1458,3172,3503,5995,5755,4327,2170,474,27688,209,219,556,662,1079,1511,2244,1318,404,8208,52,87,210,257,496,1104,1604,1475,676,5964,6,20,32,29,50,64,86,54,26,359,511,527,1116,1237,1429,1549,1797,1509,714,10383,3225,5831,11732,12581,14000,15334,14492,8527,2929,88654,1294,3538,7775,7862,5290,4658,3230,1613,632,35884,403,532,979,1069,1251,1016,841,453,159,6700,600,977,2317,2848,6048,6792,5779,3013,995,29368,147,207,485,509,910,1592,2259,1615,761,8477,39,31,88,156,316,880,1369,1477,1216,5580,3,3,22,15,42,45,58,62,38,286,479,509,1031,1061,1338,1578,1949,2001,1448,11392,2968,5794,12699,13521,15189,16559,15487,10232,5240,97685,2421,6351,13319,13733,9230,9120,6984,3250,1151,65563,895,1234,2069,2097,2252,1909,1527,811,270,13069,1423,2440,5490,6345,12047,12550,10104,5183,1467,57058,356,426,1042,1168,1992,3103,4505,2930,1166,16681
SOSR115,1700,4189,8031,8299,5976,7005,5814,2384,703,44090,768,916,1573,1581,1454,1387,952,517,133,9286,1286,2264,5049,5649,9470,9515,6715,3007,700,43660,333,312,805,914,1698,2403,3854,1909,672,12895,62,89,269,368,720,1692,2657,2125,1027,9015,5,23,47,48,80,99,138,117,34,599,713,810,1702,1832,2168,2514,2739,2062,944,15490,4863,8597,17480,18701,21562,24628,22862,12129,4219,135032,2032,5175,11299,11510,8454,7594,5216,2297,926,54499,587,680,1469,1609,1763,1487,1132,617,210,9555,806,1435,3471,4344,9147,10524,8310,4110,1409,43558,208,249,637,746,1442,2579,3708,2265,1175,13010,47,47,160,243,474,1306,2052,2019,1611,7956,3,4,21,21,44,71,101,102,51,415,706,615,1412,1571,1944,2317,2881,2606,1844,15901,4386,8204,18477,20049,23267,25881,23394,14010,7217,144879,3731,9363,19330,19806,14431,14600,11023,4678,1630,98588,1355,1599,3041,3190,3217,2879,2080,1132,342,18838,2092,3697,8522,9993,18616,20043,15018,7119,2107,87212,538,554,1438,1661,3136,4985,7561,4176,1844,25900
SOSR121,490,1057,1778,2193,1844,2193,1619,618,142,11938,184,253,388,440,447,382,275,103,25,2491,327,591,1250,1673,2898,2823,1891,712,150,12314,96,103,203,248,493,681,966,441,132,3361,30,25,65,88,240,516,699,498,210,2380,4,4,7,9,15,17,31,23,5,123,200,181,341,398,500,641,642,432,155,3476,1332,2210,4034,5036,6440,7256,6127,2827,815,36080,538,1252,2616,3224,2432,2340,1446,503,126,14477,132,202,343,397,507,404,254,141,42,2425,248,359,899,1289,2765,3055,2188,819,244,11860,57,70,149,190,425,680,916,472,211,3180,12,11,40,55,151,334,518,406,258,1783,4,0,10,9,3,12,14,22,15,89,160,166,331,384,489,621,610,463,222,3455,1145,2052,4395,5554,6781,7447,5942,2831,1110,37263,1023,2305,4396,5423,4279,4533,3066,1121,276,26417,320,451,733,835,951,786,526,242,66,4910,576,945,2147,2957,5663,5879,4076,1532,393,24172,155,174,354,439,919,1365,1883,911,340,6541
SOSR122,257,568,987,1212,994,1248,911,313,79,6568,129,117,202,222,269,248,188,67,20,1464,202,293,712,937,1688,1735,1083,449,78,7183,52,48,122,158,309,450,603,264,54,2058,10,19,37,67,162,393,516,321,108,1630,0,0,3,3,8,14,32,24,8,90,126,104,244,292,350,467,457,306,87,2441,779,1155,2305,2890,3793,4546,3786,1749,434,21439,275,672,1399,1716,1365,1285,820,275,72,7873,90,97,174,229,271,225,154,59,20,1320,110,177,472,710,1585,1790,1222,476,96,6642,34,45,91,112,250,462,503,219,96,1815,6,4,25,41,101,234,319,242,157,1125,0,3,0,8,10,11,20,15,6,77,119,75,231,265,337,424,409,309,151,2318,636,1078,2403,3071,3914,4426,3453,1595,604,21179,532,1240,2387,2925,2357,2534,1725,592,152,14441,218,214,380,447,537,477,342,124,40,2782,315,479,1180,1646,3279,3525,2304,920,177,13827,83,87,214,274,560,908,1110,485,151,3868
SOSR131,3111,6843,10371,13502,13537,15940,11066,3485,728,78583,1103,1246,1839,2210,2617,2412,1513,529,105,13575,2388,3391,7051,9779,18244,16913,9843,3383,519,71514,490,392,969,1476,2975,3878,5370,2052,466,18064,95,111,377,607,1269,2835,4026,2541,862,12717,12,12,40,55,90,173,207,163,56,816,1497,1595,3050,3449,4662,5010,4399,2224,669,26560,8702,13586,23704,31074,43388,47164,36420,14383,3408,221822,3385,7706,14706,19940,18598,16141,8938,2668,708,92791,722,760,1520,2016,2821,2413,1519,541,108,12426,1096,1727,4020,6439,15045,15924,10269,3295,840,58665,240,221,559,875,1987,3187,3936,1599,550,13138,72,48,156,258,618,1652,2273,1636,844,7553,10,9,25,34,53,118,136,124,75,583,1396,1032,2141,2931,4037,4312,3661,1914,834,22252,6918,11507,23132,32482,43155,43746,30736,11772,3960,207409,6495,14549,25081,33442,32137,32084,19999,6154,1441,171374,1822,2008,3359,4229,5436,4824,3035,1076,210,26002,3485,5118,11075,16222,33289,32839,20109,6678,1360,130174,733,616,1525,2347,4962,7062,9306,3649,1013,31210
