SOSR_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOSR101,293029,50571,63888,1364,697,409544,315972,68585,88784,1006,957,475296,88295,47533,204593,3054,1687,345163,19226,18526,25824,39,125,63744,29121,11197,33830,1041,739,75926,1720,2542,4961,37,109,9373,4461,1992,3479,423,222,10583,2769,923,2256,90,87,6126,145595,82717,274941,4690,2975,510915,3815,2663,5104,57,165,11795,17884,5865,13269,467,1289,38765,776295,210402,445979,7578,6074,1446323
SOSR102,102974,14656,6949,1647,334,126565,107358,8472,4698,231,203,120967,32582,13399,15658,619,339,62594,7503,5995,4813,26,34,18378,12469,3352,3060,209,145,19246,540,908,590,11,32,2079,1539,426,345,461,65,2831,916,278,255,36,25,1509,55549,24354,24728,1362,641,106635,1249,1792,704,23,91,3867,6307,1972,1515,214,335,10345,273431,51248,38598,3487,1601,368375
SOSR111,12528,917,58,61,149,13708,15562,594,47,22,32,16261,6181,2996,625,32,32,9866,1438,502,130,3,10,2091,1645,391,56,10,13,2116,95,108,27,0,11,236,325,43,17,39,13,438,111,23,6,0,0,153,9793,4071,860,93,79,14894,241,120,4,3,59,425,821,191,47,7,117,1180,38937,5885,1022,184,436,46467
SOSR112,49059,4178,1886,738,217,56074,47357,1908,943,154,129,50491,20789,7438,6187,222,185,34819,5105,2035,1552,106,20,8816,7164,1307,945,77,104,9600,565,571,304,9,84,1529,1022,173,135,276,75,1678,542,139,110,14,21,824,35181,11661,9224,711,489,57272,808,477,394,24,58,1754,3365,828,627,118,206,5148,135774,19052,13081,1742,1096,170737
SOSR113,34948,4084,1271,708,136,41144,26885,1437,454,52,92,28922,11810,4040,3137,106,95,19181,2859,1205,733,12,10,4816,4754,852,613,63,57,6342,352,394,204,0,3,960,815,186,117,287,41,1450,407,94,56,17,9,580,21004,6769,4860,476,208,33329,475,511,147,8,12,1150,2454,568,375,228,82,3699,85765,13374,7099,1476,527,108244
SOSR114,29801,2206,1201,934,191,34329,23912,953,489,99,118,25567,9934,2591,2899,107,86,15621,2360,353,547,5,20,3287,4402,644,624,79,66,5812,363,255,257,3,7,892,689,97,120,249,41,1196,373,78,67,14,11,536,18118,4013,4511,456,237,27336,353,260,135,21,15,789,2250,327,376,116,95,3163,74441,7760,6711,1624,647,91181
SOSR115,48635,2038,757,1704,279,53412,38929,773,346,314,210,40572,13898,2347,2132,188,129,18699,2348,289,386,3,32,3061,7535,578,614,185,100,9015,706,243,281,3,13,1253,1352,131,231,375,59,2149,649,70,73,30,14,833,26489,3667,3717,782,344,35006,756,365,119,42,21,1307,3541,338,346,179,123,4525,118355,7181,5281,3024,980,134817
SOSR121,13247,333,79,386,100,14152,11827,119,48,47,70,12119,2639,323,288,26,24,3297,239,32,66,0,0,336,1976,86,90,31,32,2222,211,39,59,0,3,313,325,17,39,89,14,490,185,7,15,14,3,213,5579,511,553,162,67,6866,156,91,5,11,48,306,857,54,38,37,45,1031,31667,1104,720,645,334,34473
SOSR122,8233,110,23,319,93,8776,6584,46,20,37,59,6745,1214,72,62,12,11,1369,143,13,39,0,0,201,1317,46,36,27,32,1455,169,18,35,0,0,227,293,14,18,86,35,446,144,8,8,4,8,178,3285,177,199,140,88,3881,106,11,3,10,13,145,597,17,47,39,44,746,18805,354,293,546,285,20291
SOSR131,79076,432,166,1570,714,81964,61753,197,54,549,510,63063,8441,177,105,82,106,8916,182,4,3,0,3,192,12780,118,125,338,241,13597,488,18,15,3,40,559,4044,34,28,303,168,4576,2766,21,23,84,56,2953,28701,363,301,820,609,30803,2190,53,58,87,42,2427,4634,37,30,252,212,5158,176355,1079,605,3279,2096,183411
