SOSR_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SOSR101,169643,385509,92950,10036,658137,100745,17414,776295,15523,21307,8139,962,45926,22301,3495,71723,29826,51812,18492,1893,102018,28920,7737,138679,45346,73114,26632,2855,147949,51220,11230,210402,19395,17605,8247,1402,46654,34117,6527,87299,38525,31252,14498,2707,86983,50657,13284,150929,62028,38159,13798,4106,118090,66054,21910,206051,386,356,173,23,944,613,139,1699,120330,87380,36716,8243,252669,151442,41868,445979,72,31,17,5,132,210,10,355,130,64,68,9,268,455,20,745,33,52,28,3,115,143,15,277,1377,1461,676,138,3648,1769,789,6204,1613,1606,797,150,4169,2583,832,7578,1268,1405,468,82,3232,2402,443,6074,338207,549012,157558,21374,1066150,308395,71778,1446323
SOSR102,74848,99305,35631,2836,212628,52349,8461,273431,6704,2533,3422,333,12985,14497,1081,28563,5339,3626,3490,256,12710,8511,1463,22686,12038,6160,6908,594,25694,23012,2543,51248,3627,1596,2162,230,7618,11382,1227,20226,1789,754,854,116,3516,4281,823,8619,2952,941,685,113,4686,3950,791,9429,61,32,35,5,128,175,20,325,8428,3321,3738,460,15946,19790,2855,38598,256,40,69,12,384,779,41,1204,303,67,124,12,499,893,41,1437,6,7,11,0,25,22,3,47,165,170,132,8,473,274,53,806,726,283,338,31,1382,1964,144,3487,381,203,119,11,718,804,78,1601,96430,109269,46729,3936,256365,97923,14086,368375
SOSR111,10897,13514,5214,394,30024,7762,1148,38937,888,414,565,51,1916,2794,227,4937,153,66,109,11,337,568,57,952,1042,480,676,57,2249,3362,282,5885,83,42,84,16,228,598,39,866,14,11,0,0,19,64,0,87,11,0,0,0,17,42,3,57,0,0,0,0,0,0,0,4,107,55,87,16,265,707,47,1022,3,5,10,0,21,44,0,69,11,3,0,0,12,22,0,35,0,3,3,0,7,3,0,9,23,17,14,0,49,25,3,77,40,23,26,0,88,96,6,184,90,21,27,5,141,287,9,436,12183,14084,6026,479,32771,12214,1485,46467
SOSR112,39052,40579,18992,1367,99990,31187,4592,135774,2765,1060,1687,142,5645,8108,672,14429,981,427,647,57,2114,2228,280,4624,3746,1484,2328,194,7756,10337,957,19052,1618,704,1001,115,3432,6372,599,10403,209,74,132,15,435,764,83,1282,412,75,96,11,593,664,88,1351,4,4,3,3,13,24,0,41,2244,854,1229,143,4476,7830,777,13081,66,19,28,0,113,335,16,461,146,21,24,3,196,372,14,588,9,3,7,0,15,15,0,34,135,130,159,8,436,188,41,657,349,171,223,10,759,911,67,1742,237,157,91,8,493,560,49,1096,45632,43255,22865,1721,113477,50821,6442,170737
SOSR113,26164,23780,11818,866,62626,20770,2367,85765,2061,592,969,65,3685,5019,266,8965,1133,527,625,26,2316,1901,188,4409,3195,1117,1598,88,6001,6919,459,13374,802,414,578,68,1857,3253,217,5329,169,38,80,9,298,428,41,767,313,43,81,9,448,493,35,976,3,3,5,0,7,12,0,27,1290,495,734,91,2611,4192,295,7099,101,17,31,5,153,358,14,528,167,26,38,5,231,439,18,689,11,6,6,0,22,29,0,51,53,30,42,0,121,71,23,216,328,77,109,13,533,896,51,1476,133,84,56,3,272,237,13,527,31112,25557,14316,1057,72041,33010,3193,108244
SOSR114,23216,20392,9652,713,53972,18414,2053,74441,1206,424,558,43,2233,3207,230,5668,532,354,300,11,1198,761,127,2091,1738,781,863,56,3437,3971,354,7760,946,373,612,60,1984,3949,246,6184,97,31,45,0,175,198,20,391,32,3,10,0,42,80,0,119,6,0,0,0,10,11,0,19,1077,410,670,60,2208,4230,264,6711,170,24,20,3,213,457,15,684,158,16,22,3,192,353,19,567,12,10,3,0,22,26,6,52,87,47,30,3,170,120,15,311,421,94,77,12,606,958,59,1624,152,97,55,5,308,310,26,647,26611,21769,11310,844,60535,27883,2757,91181
SOSR115,36633,32714,14640,1034,85026,30258,3069,118355,1189,376,491,44,2096,3186,154,5434,435,221,284,13,949,706,90,1745,1625,591,772,59,3048,3891,241,7181,710,235,442,44,1435,3295,196,4918,44,27,28,0,104,151,13,265,6,3,0,0,8,41,5,56,8,4,7,0,17,24,0,39,771,267,471,44,1556,3513,216,5281,253,34,30,9,323,604,22,957,299,55,47,4,410,599,36,1041,32,4,7,0,43,51,3,102,253,201,94,16,567,324,36,922,840,296,175,31,1342,1581,100,3024,282,172,99,9,568,375,38,980,40148,34045,16168,1182,91535,39620,3664,134817
SOSR121,10132,9695,3612,277,23716,7172,777,31667,242,66,82,10,397,346,21,768,99,40,53,3,197,120,21,338,345,106,133,9,599,469,42,1104,99,42,61,3,209,397,16,622,14,5,10,0,30,42,6,76,0,0,0,0,0,6,0,8,0,5,0,0,5,9,0,10,117,48,71,3,242,450,22,720,35,5,11,0,53,102,3,152,130,15,11,0,160,160,12,332,4,4,0,0,8,5,0,17,35,28,8,4,81,67,6,150,208,54,28,4,297,332,19,645,103,55,24,0,181,144,6,334,10909,9957,3874,298,25032,8569,868,34473
SOSR122,5992,5015,2107,189,13308,5014,485,18805,74,26,35,0,140,131,12,287,28,11,3,0,41,27,3,72,99,38,43,0,183,162,13,354,41,16,27,3,83,187,6,280,0,0,0,0,0,0,0,3,3,4,0,0,7,0,0,5,0,3,0,0,4,3,0,5,44,23,27,3,99,191,6,293,45,11,10,0,63,125,4,188,61,7,13,3,84,140,3,228,3,0,0,0,5,12,0,22,38,22,11,0,68,36,3,107,139,38,38,3,219,318,13,546,79,50,25,0,150,128,11,285,6354,5171,2228,197,13952,5817,524,20291
SOSR131,61312,61753,14401,1284,138747,33662,3944,176355,340,197,79,9,626,321,33,975,38,33,5,0,76,29,4,108,376,233,84,9,695,347,37,1079,129,62,36,9,230,234,15,487,7,3,0,0,9,25,0,33,7,0,3,0,10,4,3,17,16,8,8,0,30,33,6,69,153,75,48,10,281,297,28,605,248,75,44,4,375,610,34,1022,284,90,57,7,440,552,50,1035,138,146,61,7,352,331,26,708,179,164,39,4,391,97,22,511,848,477,203,33,1562,1591,124,3279,606,615,146,17,1384,628,80,2096,63296,63145,14881,1347,142669,36523,4210,183411
