SOSR_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
SOSR101,..,2954,9251,2343,2579,2685,2565,2625,1307,1597,27913,..,3321,13362,3892,4658,5521,5326,4737,2144,1831,44805,..,36,171,151,364,894,1496,2902,3000,1243,10261,..,21,73,24,26,43,62,117,92,50,513,..,3387,13609,4065,5054,6452,6889,7759,5239,3127,55580,..,5,25,10,7,8,11,29,56,96,245,..,6346,22884,6418,7636,9148,9469,10414,6601,4818,83732,7270,10111,5560,975,1210,1332,1874,2462,2124,1469,34387,9746,17755,19326,5278,7208,9963,13712,16691,12044,4677,116400,63,377,664,410,890,1631,2163,3203,2809,1741,13948,47,102,113,38,49,62,83,86,80,70,718,9862,18238,20099,5728,8150,11649,15957,19974,14931,6482,131063,15,22,23,8,8,8,13,16,18,349,473,17143,28371,25677,6707,9366,12985,17843,22456,17072,8299,165920,22678,7026,13899,4639,5068,5395,5180,5080,2911,2247,74115,38427,33291,73022,12238,15161,18322,19543,20068,11141,5554,246761,491,2052,6490,1690,2678,3862,3398,3674,2318,1816,28464,219,219,411,71,96,94,109,96,55,94,1468,39135,35559
SOSR102,..,405,1414,399,421,365,321,326,153,216,4007,..,137,814,279,378,389,407,252,111,113,2883,..,0,16,9,19,57,154,156,252,89,752,..,0,3,3,3,0,4,3,8,7,30,..,137,832,290,398,447,571,415,370,212,3672,..,0,0,0,0,0,0,3,4,10,18,..,543,2241,683,821,810,892,744,526,433,7695,914,1410,796,126,141,125,161,209,169,199,4252,279,648,863,220,303,436,758,985,739,269,5511,9,16,25,10,38,69,146,228,180,91,810,5,7,10,0,4,0,4,0,3,3,35,290,676,898,230,340,505,911,1214,916,368,6351,0,0,3,0,0,0,0,0,0,14,22,1204,2084,1697,361,483,638,1074,1417,1085,578,10629,2476,736,1341,363,352,294,298,278,151,226,6513,1062,873,2854,627,780,914,1017,953,523,256,9854,20,41,162,55,83,101,183,176,130,68,1022,0,4,12,4,4,3,7,7,0,8,53,1081,918
SOSR111,..,29,128,34,31,22,29,24,27,20,355,..,12,112,43,53,33,33,33,11,14,346,..,0,7,3,6,11,16,14,10,3,67,..,0,0,0,0,0,0,0,0,0,3,..,12,113,46,56,42,52,51,25,19,414,..,0,0,0,0,0,0,0,0,0,0,..,40,246,83,93,64,84,76,50,39,767,80,106,92,12,3,11,10,8,3,11,339,15,33,132,29,29,27,23,38,8,7,346,0,4,7,3,3,5,14,9,7,5,56,0,0,0,0,0,0,0,0,0,0,3,14,39,138,34,37,33,42,45,16,17,413,0,0,0,0,0,0,0,0,0,0,3,93,148,226,49,42,41,52,53,24,29,754,233,73,125,37,33,23,23,25,9,12,586,53,90,416,79,96,78,64,68,36,14,996,0,9,34,18,14,13,27,25,8,19,170,0,0,3,0,0,0,0,0,0,0,10,53,102
SOSR112,..,125,504,117,154,167,100,119,52,79,1424,..,56,370,116,200,244,238,192,92,52,1560,..,0,8,3,12,26,55,94,116,28,332,..,0,0,0,3,0,0,6,3,0,12,..,58,376,124,214,267,295,286,211,77,1908,..,0,0,0,0,0,0,3,0,0,5,..,188,883,240,360,438,399,410,267,155,3344,286,463,303,51,45,75,53,58,47,67,1444,60,231,364,90,132,142,219,279,206,79,1799,3,5,3,3,7,19,41,93,83,65,326,0,3,3,0,0,0,0,3,4,4,19,61,235,374,91,141,159,259,367,290,143,2139,0,0,0,0,0,0,0,0,0,77,79,351,704,675,145,191,236,318,426,335,287,3665,726,234,417,123,134,96,103,127,49,52,2053,245,297,1513,282,409,333,427,499,247,99,4346,4,22,79,26,68,64,68,130,98,61,619,0,3,11,0,7,6,4,3,0,0,36,246,318
SOSR113,..,90,294,78,61,68,61,39,26,56,776,..,27,116,36,72,75,61,59,21,39,505,..,0,0,0,3,11,8,22,27,16,80,..,0,0,0,0,0,0,0,3,0,4,..,27,122,34,76,86,70,83,46,56,592,..,0,0,0,0,0,0,0,3,0,3,..,120,414,110,146,151,128,124,72,115,1377,144,224,131,33,27,15,34,33,19,42,702,27,104,158,37,42,43,57,63,36,24,597,0,0,7,4,5,9,8,20,21,28,102,0,0,3,0,0,0,0,0,0,0,4,25,102,168,43,45,55,67,86,63,52,704,0,0,0,0,0,0,0,0,0,10,10,173,323,296,71,72,69,99,122,81,101,1412,377,155,265,62,73,46,38,38,21,61,1135,139,148,552,87,141,127,117,115,68,63,1567,3,17,54,4,13,34,47,59,30,55,312,3,0,4,0,0,4,0,0,0,0,13,147,166
SOSR114,..,58,239,65,77,65,41,59,26,41,666,..,16,102,27,55,39,55,54,20,22,379,..,0,0,0,3,4,3,18,14,9,51,..,0,0,0,4,0,0,0,0,3,10,..,16,102,27,59,41,58,74,35,39,439,..,0,0,0,0,0,0,0,0,3,9,..,74,335,90,137,106,97,135,59,81,1113,110,160,104,14,21,17,20,31,27,37,549,12,40,88,16,32,38,59,75,40,33,437,0,0,3,3,0,0,16,35,36,24,118,0,0,0,0,0,0,0,0,0,0,0,12,46,91,13,30,36,73,109,83,50,551,0,0,0,0,0,0,0,0,0,6,11,125,208,201,35,54,58,96,138,111,96,1116,284,123,224,67,75,61,49,50,23,36,993,66,85,377,83,106,124,105,106,46,35,1141,3,4,18,9,7,22,31,35,11,22,160,0,0,3,0,5,0,3,0,0,3,14,67,94
SOSR115,..,109,287,97,93,68,71,63,35,60,881,..,21,149,36,73,57,47,39,20,25,475,..,0,0,0,0,7,12,22,11,10,63,..,0,0,0,0,0,0,0,3,0,3,..,23,149,39,73,57,57,58,34,36,537,..,0,0,0,0,0,0,0,0,0,4,..,133,440,134,173,127,127,126,71,101,1426,160,232,163,44,32,40,25,25,21,45,792,27,61,106,25,40,41,56,54,45,24,479,0,3,0,0,6,3,3,14,19,26,81,0,0,0,0,0,0,0,3,0,3,8,27,64,103,25,43,46,64,74,69,57,574,0,0,0,0,0,0,0,0,0,9,9,185,300,271,70,76,87,89,106,88,109,1373,466,160,282,75,77,61,40,64,38,62,1333,122,115,514,95,146,124,159,145,68,57,1545,0,15,24,6,15,31,50,75,31,41,286,0,0,3,0,0,0,0,3,4,3,22,129,133
SOSR121,..,32,96,32,31,23,15,8,3,10,250,..,0,22,9,8,11,4,6,5,5,77,..,0,0,0,0,0,3,0,3,0,8,..,0,0,0,0,0,0,0,0,4,3,..,0,25,9,8,9,6,8,8,8,84,..,0,0,0,0,0,0,0,0,0,3,..,29,122,39,39,33,24,14,13,17,332,35,65,30,8,3,7,3,6,3,10,171,9,8,25,3,8,3,8,7,8,8,81,0,0,3,0,0,0,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,9,8,29,3,6,5,10,12,8,9,100,0,0,0,0,0,0,0,0,0,3,3,37,71,62,11,9,12,12,19,10,18,266,104,39,62,19,17,20,10,5,3,12,289,16,15,57,10,20,23,28,26,21,5,225,0,0,0,0,0,0,10,17,0,8,32,0,0,0,0,0,0,0,0,0,0,0,16,15
SOSR122,..,13,43,8,17,0,8,14,0,10,107,..,4,3,0,0,4,4,3,3,4,32,..,0,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,4,8,0,0,4,4,3,3,5,38,..,0,0,0,0,0,0,0,0,3,7,..,15,55,10,16,6,11,18,3,16,147,15,30,25,4,0,3,7,4,0,0,89,3,9,8,3,0,0,5,0,4,4,39,0,0,0,0,0,0,0,3,0,3,10,0,0,0,0,0,0,0,0,0,0,0,3,9,8,3,0,0,5,3,3,10,50,0,0,3,0,0,0,0,0,0,0,3,17,40,33,11,0,3,8,5,5,8,143,54,13,43,15,11,6,15,3,0,9,175,12,14,35,4,10,6,14,8,4,12,123,0,0,0,0,0,0,3,5,0,0,18,0,0,0,0,0,0,0,0,0,0,5,11,14
SOSR131,..,163,413,100,93,103,75,77,38,76,1131,..,35,116,41,35,47,39,46,12,21,393,..,0,0,0,0,3,7,14,9,18,51,..,0,0,0,0,3,0,0,0,0,8,..,35,120,41,32,48,52,66,28,40,453,..,0,0,3,0,0,0,0,0,5,6,..,196,531,142,131,149,122,136,59,123,1590,232,424,258,47,38,51,27,52,38,86,1249,61,135,135,21,31,39,46,52,32,41,584,3,3,9,0,3,0,3,15,20,20,72,0,0,0,0,0,0,0,3,0,6,12,61,138,138,26,32,39,53,67,49,62,674,0,0,0,0,0,0,0,0,0,45,51,291,558,399,68,69,92,80,120,88,190,1963,638,244,378,112,113,94,87,76,36,100,1873,234,139,338,71,77,109,118,89,44,55,1271,4,11,43,4,5,14,16,23,12,14,160,3,0,3,0,0,0,0,0,0,0,11,240,153
