SOSR_CODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
SOSR101,1937,454,581,45,587,262,449,1812,113,6247,727,967,433,23,429,54,507,163,55,3353,21045,15108,24259,1048,13827,6857,15801,17246,1443,116636,2486,3622,2679,51,2539,422,2140,1029,229,15200,23518,10098,72807,323,16239,2378,7905,23689,1687,158642,18388,15413,4439,194,14293,10209,8814,2976,819,75539,31390,13958,9804,1842,13232,96145,8720,12255,1324,188669,23399,3017,21239,41204,5641,16165,2416,22411,1017,136503,11148,8181,3786,3632,22997,4975,43950,5010,1435,105115,11187,28176,6608,312,7192,4167,474,845,708,59678,25682,54168,1942,620,46522,4922,785,880,2567,138091,6116,6158,1183,366,7795,16059,713,1111,646,40148,30383,124631,13547,657,33238,4612,673,1481,2111,211324,9896,11136,4175,6736,10607,2266,2571,25698,737,73830,13924,28084,7488,23258,28281,656,3489,3517,2121,110808,13725,101815,3827,21862,18216,675,699,2400,903,164124,13066,99845,7781,65167,33240,1802,1886,8749,1634,233170,5505,8806,2676,9164,3862,1649,332,1828,460,34272,6848,8524,27022,11778,8116,1660,1142,5521,619,71219,13631,14504,12888,4355,12961,7318,9961,11003,19725,106342
SOSR102,379,72,241,9,110,93,107,736,16,1766,617,795,1956,23,379,32,2430,218,70,6512,3686,2543,7319,203,2329,1553,3842,3394,303,25173,563,820,1517,26,799,95,879,385,68,5160,4523,1278,21357,58,3592,525,2964,7561,387,42246,1880,1186,844,31,1478,1896,1362,440,92,9209,6638,1414,2743,448,2293,26359,1528,3736,205,45370,4855,378,4148,10585,1309,4547,846,6752,163,33588,1595,1054,926,506,3242,699,7685,1381,191,17269,906,1850,1170,53,825,625,129,172,82,5818,1835,3597,352,74,6998,593,168,247,217,14090,779,526,261,101,1422,3109,219,354,79,6844,2501,12045,2991,85,5293,428,138,447,184,24112,1149,1251,1314,1472,2299,380,395,6272,129,14669,3741,6775,2447,6856,9081,193,866,1537,693,32187,2722,24116,1024,5686,4434,126,177,676,208,39166,3151,26700,2319,22286,9489,401,558,3150,433,68491,836,1269,602,1788,638,340,92,431,55,6051,1220,1280,8230,2591,1816,376,304,1480,124,17420,1573,1478,2740,735,1935,1141,1512,1970,3152,16239
SOSR111,118,36,55,0,32,16,55,269,3,588,157,221,821,3,124,16,925,77,31,2366,579,352,1214,40,418,272,832,935,63,4710,62,78,217,4,108,10,113,48,9,652,463,153,2376,5,501,107,466,807,46,4924,190,119,169,0,187,261,195,73,10,1207,854,140,376,64,351,3683,221,567,28,6293,616,28,558,1241,139,659,89,1013,29,4371,239,104,130,35,489,110,1322,116,28,2579,66,147,111,7,58,91,12,22,0,514,150,295,26,4,658,53,3,10,11,1210,85,49,55,11,165,318,34,39,14,770,202,1105,356,4,600,43,22,54,20,2410,104,149,147,168,284,36,127,854,14,1886,366,761,386,778,1134,12,108,174,66,3796,332,2742,120,769,454,8,10,106,10,4563,314,2804,287,2914,1089,36,57,402,45,7954,91,85,51,146,57,42,13,44,3,530,152,167,1193,314,234,39,75,269,13,2448,175,144,408,101,200,135,214,333,362,2068
SOSR112,952,215,321,11,207,122,190,1329,26,3365,170,248,766,10,100,17,1129,101,36,2584,1499,653,2877,132,874,729,1180,2954,117,11019,273,362,670,8,429,63,382,161,18,2366,1728,379,7727,41,1300,242,1257,2428,105,15207,661,326,386,18,529,1030,607,346,42,3944,3300,619,1465,206,1197,12896,671,2050,113,22513,2740,102,2285,4588,720,2050,271,3883,112,16751,651,286,396,133,1478,284,3542,327,43,7139,269,644,353,15,320,360,22,58,4,2052,492,964,66,21,1807,149,18,25,47,3589,286,206,103,41,541,1321,75,134,26,2734,627,4057,1021,36,2171,141,40,148,49,8285,386,554,622,514,795,99,158,3254,47,6444,1485,2990,1282,3259,3448,81,515,712,259,14016,1407,11498,573,3008,2084,72,79,466,101,19293,1479,12096,1116,10835,4104,178,281,1633,224,31946,369,526,313,633,207,131,30,226,28,2465,482,527,3632,1076,778,144,143,779,44,7598,581,463,1128,373,640,507,597,929,1361,6585
SOSR113,702,85,182,10,123,55,131,745,29,2065,290,456,1512,15,269,12,2620,174,64,5409,802,356,1813,80,557,422,926,1786,77,6817,145,156,646,10,240,21,288,176,13,1702,918,183,4142,22,742,110,952,1637,71,8768,313,156,315,5,252,451,308,139,18,1962,1805,243,924,122,602,7384,366,1213,45,12692,1578,60,1223,2642,463,1194,197,2303,65,9734,336,146,207,82,769,149,2042,240,40,4015,103,196,182,5,128,145,16,35,10,821,202,373,29,15,942,90,18,22,27,1708,111,65,75,13,330,777,66,91,17,1549,245,1541,547,24,1031,71,43,119,21,3640,184,262,335,328,493,36,194,2028,38,3904,631,1104,671,1634,1640,41,343,482,114,6666,516,4681,171,1639,800,31,57,212,26,8131,592,5140,536,5756,1919,68,107,809,105,15045,165,200,160,328,109,48,24,129,21,1183,248,315,2299,604,435,84,85,432,24,4523,320,220,707,198,388,317,384,671,919,4125
SOSR114,1064,153,378,16,192,74,334,1035,33,3279,125,167,411,4,80,3,763,67,13,1641,745,362,1608,65,529,323,855,2323,95,6903,113,161,422,8,185,27,191,128,21,1255,879,172,3991,11,608,106,819,1326,71,7988,364,146,220,4,299,531,274,160,8,2009,1558,262,813,65,516,5863,300,986,55,10415,1531,59,1128,2352,373,1020,112,1927,59,8553,352,128,204,64,733,150,2017,187,26,3863,83,223,147,3,96,101,11,28,13,710,236,347,22,12,855,73,9,13,31,1585,104,74,40,16,246,770,44,66,25,1389,289,1707,494,28,1159,74,29,83,33,3890,186,247,296,277,391,51,78,1525,29,3078,649,1069,633,1237,1410,27,462,501,115,6095,526,4638,139,1496,732,30,32,230,41,7863,476,4260,451,4858,1480,45,52,704,81,12407,145,234,150,247,92,36,23,108,14,1041,179,244,2026,523,403,89,56,327,22,3878,358,249,636,205,358,291,331,577,836,3838
SOSR115,2002,206,667,17,299,98,563,2198,69,6121,167,238,879,32,151,5,1733,134,34,3374,1061,385,2405,112,728,535,1190,2239,87,8736,160,132,665,8,229,38,397,204,19,1856,1444,250,6578,26,1082,145,1670,2270,117,13571,439,257,337,18,449,712,386,272,26,2896,2108,360,1153,125,718,8284,427,1358,65,14605,2094,72,1524,3328,499,954,153,2513,89,11234,557,169,322,124,1110,241,3118,274,61,5967,161,363,310,10,193,144,19,43,15,1255,275,412,30,17,1160,88,32,38,32,2073,175,93,85,22,373,927,83,72,23,1857,411,2344,722,33,1646,64,46,130,39,5436,270,325,513,361,613,70,175,2353,38,4714,1237,1863,1113,2484,2362,44,839,852,206,11003,859,7419,296,2361,1318,22,52,365,55,12752,776,6266,661,7187,2296,75,121,1050,119,18544,242,419,312,418,180,57,57,221,15,1926,300,389,3052,624,516,105,86,469,45,5582,513,380,964,266,618,416,656,908,1180,5899
SOSR121,570,40,156,3,71,31,149,503,35,1550,54,53,229,4,34,0,428,28,13,845,315,136,720,24,182,159,318,494,23,2376,40,50,189,3,63,7,99,50,9,507,402,85,1898,8,311,45,489,631,27,3899,143,70,89,3,127,181,85,55,10,766,622,107,303,48,207,2213,103,336,24,3961,509,20,426,994,145,276,51,676,30,3128,228,74,66,32,381,67,906,83,14,1852,36,97,81,3,71,28,3,15,8,342,101,163,7,4,336,15,4,10,13,662,47,25,26,8,110,247,24,34,10,524,148,702,245,7,509,38,13,33,18,1711,95,77,146,97,185,15,47,564,14,1236,254,470,249,609,587,15,207,203,35,2617,272,2079,72,677,383,3,23,99,18,3628,246,1959,210,1856,623,19,28,259,37,5232,91,101,78,109,34,23,13,56,3,507,88,82,887,170,164,33,27,120,9,1568,173,96,272,62,182,108,165,224,338,1613
SOSR122,388,17,148,0,29,9,102,397,13,1112,19,20,99,0,8,0,179,21,10,360,156,63,335,15,114,64,194,333,16,1292,34,29,110,5,41,8,66,37,0,333,215,32,969,3,173,11,303,382,15,2118,77,34,38,0,58,109,53,37,3,409,355,55,138,9,119,1121,42,198,22,2049,449,19,254,521,107,189,20,428,18,1996,140,33,47,25,178,46,508,36,5,1020,17,54,37,0,34,24,9,3,3,178,32,74,5,0,142,19,3,6,3,284,37,20,13,3,39,108,13,16,6,260,71,354,152,7,256,12,4,16,14,884,54,48,75,49,106,11,21,376,10,741,184,275,135,351,343,7,127,148,27,1583,145,1053,43,387,219,4,9,85,5,1959,127,981,115,949,328,5,15,158,25,2704,47,69,51,80,46,10,16,38,4,367,46,30,485,82,78,14,10,61,7,815,80,56,159,55,79,51,84,122,215,904
SOSR131,32240,656,1895,97,1523,285,1502,7726,451,46389,428,367,1455,11,248,19,2468,182,65,5246,2409,832,3870,139,1389,748,1452,2486,160,13491,353,283,940,3,399,36,519,231,50,2814,3617,477,10358,28,2772,261,3292,3654,274,24732,1330,567,577,18,916,1277,587,389,43,5705,3391,601,1575,210,1266,10420,538,1488,102,19583,2519,118,1443,3659,605,1562,177,2750,118,12958,1273,401,483,165,1863,300,4860,335,93,9759,306,618,398,13,308,194,30,77,29,1973,630,1114,65,28,1702,155,32,38,95,3867,455,279,147,34,655,1628,115,157,57,3529,1226,5580,1478,49,3298,166,61,191,112,12155,614,488,831,484,1402,81,255,2597,69,6823,2070,3055,1182,3484,3420,73,816,777,304,15184,1668,11732,703,3551,2403,44,87,598,107,20900,1470,10827,912,8145,3547,117,151,1064,181,26409,470,817,515,622,286,99,60,415,38,3330,719,443,5171,978,1070,173,115,562,84,9314,1795,777,1661,417,1323,672,917,1387,2292,11236
