SOSR_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
SOSR101,756,2557,21480,49406,20191,15861,7251,4856,1969,124321,3,19,129,815,1018,1331,1586,1259,335,6497,93,422,377,1928,1184,1620,1607,1016,482,8730,596,3414,3358,17158,11620,8943,8323,4697,2536,60637,33,286,999,6727,3531,2900,1444,590,142,16648,45,218,471,2293,523,303,263,134,103,4347,46,179,516,2395,1095,824,2006,891,671,8617,31,183,258,700,911,2040,4435,4360,1100,14021,183,593,2110,7032,3486,4982,1844,562,164,20957,1692,3861,4465,35823,6106,3969,2208,1168,442,59733,78,409,2393,7796,2240,1671,987,375,143,16101,46,461,809,4807,1399,1211,620,322,147,9824,127,1254,2562,7578,3307,2239,1235,628,189,19118,51,367,315,4262,1195,785,755,424,206,8343,25,141,340,1819,1534,2785,4715,4914,2329,18600,113,386,664,4033,1714,639,351,140,58,8101,195,991,3121,12415,4390,2796,1332,616,191,26042,97,403,1021,7301,6673,5900,3190,1548,606,26738,95,446,1418,5407,2291,2653,1804,557,178,14849,0,7,29,164,307,1172,2027,1148,451,5317
SOSR102,26,111,839,1550,487,360,175,89,42,3686,3,0,15,71,144,156,176,204,43,816,9,22,5,59,28,62,95,49,27,350,76,644,606,2442,3288,3494,3958,2865,1266,18638,0,11,31,183,118,117,67,42,0,567,3,12,21,129,73,62,51,27,15,393,0,19,56,280,208,348,942,375,289,2523,0,11,7,39,49,147,252,300,108,908,3,24,79,124,61,120,28,14,6,475,50,200,192,1471,202,171,154,86,31,2561,15,33,55,293,113,67,55,18,15,655,7,23,38,241,44,25,18,7,0,403,22,66,30,144,32,25,6,3,0,334,10,103,27,282,176,151,185,127,51,1104,0,6,22,94,175,432,648,798,362,2547,10,40,47,230,100,61,29,18,9,548,11,51,120,416,131,66,27,11,0,833,3,13,20,122,107,87,57,20,18,437,5,26,131,279,162,154,99,34,3,904,0,0,0,21,38,172,261,143,46,683
SOSR111,5,3,9,81,44,29,8,10,0,181,0,0,0,0,10,11,10,4,0,35,0,0,3,8,3,0,6,3,3,20,9,40,41,168,222,228,243,149,63,1172,0,3,3,29,11,8,6,0,0,62,0,0,0,5,7,0,0,0,0,19,0,0,3,20,19,39,111,31,33,260,0,0,0,0,3,4,11,17,3,36,0,0,7,10,3,13,3,0,0,32,16,41,25,313,33,21,11,12,0,470,0,3,3,19,5,3,0,0,0,40,0,0,0,7,3,3,0,0,0,19,0,3,0,4,0,0,0,0,0,9,0,10,0,15,9,7,10,9,3,69,0,0,0,0,4,6,17,16,10,54,0,0,3,8,5,3,3,0,0,20,0,0,4,31,4,3,0,0,0,37,0,0,0,0,6,0,3,0,0,13,0,6,7,36,23,3,3,3,0,83,0,0,0,0,0,6,12,4,0,24
SOSR112,12,40,133,362,153,94,49,27,15,885,0,0,0,5,14,21,29,27,3,109,7,16,6,45,16,16,35,5,12,155,24,148,186,659,1009,1199,1547,984,491,6232,3,10,24,77,66,44,27,6,4,259,3,9,10,47,26,29,22,14,3,170,3,10,21,91,101,116,273,156,90,865,0,5,0,3,10,32,26,30,7,112,3,4,23,57,22,49,17,7,0,179,29,132,75,860,98,95,74,28,6,1405,4,7,38,87,31,21,18,14,8,218,4,15,13,65,15,10,8,5,0,142,9,6,11,44,12,4,0,0,0,95,5,35,3,85,46,59,66,33,14,344,0,6,6,33,33,55,85,81,73,370,3,10,12,80,52,25,17,7,3,209,0,7,54,182,28,16,3,0,0,297,0,3,4,12,19,16,12,4,3,69,15,20,17,105,66,39,30,15,0,315,0,0,0,3,15,22,49,28,3,118
SOSR113,0,10,12,115,77,53,21,10,4,300,0,0,3,6,18,27,30,35,3,116,0,0,0,15,0,9,13,8,6,47,7,66,72,313,624,718,1074,730,300,3906,0,6,17,64,33,34,26,11,3,198,0,0,6,19,17,14,15,15,5,90,0,3,10,34,31,72,195,107,54,507,0,0,0,5,4,18,26,17,11,72,0,4,7,24,23,14,0,5,0,82,15,49,45,470,73,53,27,27,15,773,0,3,9,32,15,10,9,7,3,82,0,0,0,9,3,7,3,0,0,22,0,0,0,8,0,3,0,0,0,12,5,23,3,39,29,35,34,31,15,208,0,3,5,15,34,73,180,180,144,636,6,5,8,34,12,9,8,4,0,77,0,3,13,63,13,0,5,0,0,92,0,0,0,4,10,3,4,4,0,24,3,0,12,59,33,42,18,8,4,171,0,0,0,3,6,26,60,15,5,117
SOSR114,3,9,53,84,46,37,19,14,9,275,0,0,0,0,10,13,16,7,5,44,0,0,0,4,0,4,9,4,3,29,9,82,85,415,513,603,827,542,250,3336,0,0,10,37,22,20,9,5,3,116,0,6,0,35,15,18,10,4,0,88,0,3,7,65,38,81,163,71,33,463,0,0,0,5,12,9,16,9,0,48,0,3,16,21,5,18,5,7,0,71,3,16,16,165,30,33,15,10,13,305,0,5,3,38,20,12,7,8,0,93,0,0,0,7,0,4,0,0,0,15,0,4,3,5,3,0,0,3,0,16,0,7,4,43,23,26,26,23,3,160,0,3,3,29,21,25,60,62,29,227,0,3,11,60,21,11,0,3,3,113,3,0,8,35,3,4,0,0,0,48,0,0,3,7,12,4,7,3,0,45,0,0,4,34,27,19,12,4,3,108,0,0,0,3,3,14,35,16,3,71
SOSR115,0,17,16,164,78,57,27,9,7,376,0,0,3,5,28,23,43,21,8,125,0,0,3,10,4,9,21,5,4,58,11,87,129,530,964,1100,1553,925,376,5678,0,5,4,50,18,27,20,5,5,135,0,3,7,28,38,23,8,11,11,130,4,8,16,80,105,145,288,124,79,840,0,0,0,3,7,14,37,24,4,95,0,3,7,30,20,24,6,3,0,91,17,40,41,404,66,64,46,35,18,734,0,6,5,45,15,14,13,6,3,109,0,0,3,8,7,0,0,3,0,18,0,0,0,5,8,3,0,0,0,17,0,17,11,79,41,49,58,25,5,293,0,3,0,26,20,45,63,57,24,239,6,12,10,52,35,13,3,3,5,137,0,7,8,56,3,7,5,0,0,91,0,0,4,14,11,17,8,3,3,59,0,3,5,71,30,35,16,13,3,179,0,3,5,7,19,42,88,18,3,177
SOSR121,0,4,4,19,12,12,7,3,4,71,0,0,0,0,4,5,6,6,0,20,0,0,0,3,0,4,8,3,0,17,3,48,25,138,283,321,428,187,58,1496,0,0,3,9,3,8,4,4,0,35,0,3,0,12,6,6,8,0,0,31,0,3,4,18,19,32,67,23,9,183,0,0,0,0,0,6,11,3,3,25,0,0,3,6,7,4,0,0,0,16,0,3,4,42,11,15,10,3,3,83,0,3,0,6,3,7,4,3,0,29,0,0,0,7,0,0,0,0,0,6,0,0,0,4,0,5,0,0,0,3,0,5,3,19,6,11,17,7,6,72,0,0,0,3,4,13,19,18,9,69,0,0,0,16,8,4,3,0,0,38,0,0,5,12,5,3,0,0,0,27,0,0,0,5,9,3,0,0,0,20,0,3,3,10,6,11,5,0,0,43,0,0,0,3,0,11,21,4,0,35
SOSR122,0,6,0,16,8,5,8,0,0,48,0,0,0,0,3,4,3,4,0,12,0,0,0,0,0,3,3,0,0,8,0,7,15,90,136,200,211,101,35,798,0,0,5,4,7,5,0,0,0,22,0,0,0,0,4,4,5,0,3,22,0,0,0,9,13,22,55,17,6,127,0,0,0,0,0,0,4,0,0,8,0,0,4,4,0,0,0,0,0,14,0,0,0,9,9,0,0,5,0,35,0,0,3,10,0,3,7,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,4,8,6,0,53,0,0,0,4,7,7,21,4,4,52,0,0,0,11,3,7,0,0,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,3,0,0,14,0,0,0,5,5,11,4,0,0,32,0,0,0,3,0,3,14,0,0,24
SOSR131,4,27,36,199,154,101,62,23,5,607,0,0,0,17,34,64,63,35,4,218,0,0,0,5,15,21,30,5,3,82,20,145,187,827,1696,2001,1991,762,207,7825,0,0,4,62,59,45,21,12,3,204,0,7,5,56,43,41,29,10,0,199,4,10,36,176,181,255,438,124,53,1276,0,3,0,9,9,33,46,47,11,151,0,9,14,28,24,28,18,3,0,118,7,14,19,156,75,82,55,26,10,429,4,4,3,55,24,31,30,6,6,161,0,0,3,17,20,15,4,0,0,60,0,0,8,28,16,17,10,6,3,94,0,20,18,97,77,68,68,24,6,379,0,3,11,42,67,204,318,186,75,899,0,17,8,80,35,22,14,3,3,179,0,3,15,45,34,20,4,0,6,123,0,3,6,88,97,60,44,23,0,324,0,3,0,59,82,61,35,8,0,248,0,0,5,26,60,174,264,67,16,616
