SOSR_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SOSR101,37,480,126261,126771,3116,10403,133314,146840,97049,68766,175295,341107,211100,38432,80812,330344,180823,25239,67417,273481,156388,16577,60112,233078,119083,7747,40195,167031,64438,2494,22093,89025,16970,355,10432,27753,849007,170495,715926,1735423,130,866,117611,118616,7799,15194,115553,138551,138016,71858,142286,352157,221212,34628,82658,338492,180708,22433,85408,288547,147221,13353,85738,246313,105006,5511,75137,185660,45021,1373,56494,102892,7281,162,31516,38954,852395,165378,792408,1810180,167,1349,243871,245384,10918,25602,248872,285389,235055,140622,317575,693262,432312,73059,163464,668837,361537,47669,152828,562026,303605,29930,145856,479390,224096,13258,115334,352685,109459,3870,78589,191915,24248,515,41947,66706,1701399,335870,1508332,3545606
SOSR102,6,262,28696,28970,457,3879,25745,30084,15788,16364,27686,59837,33770,9426,15429,58625,34639,7480,17659,59776,34937,5431,18116,58481,32962,2885,13556,49401,20058,1060,8270,29385,4975,169,3635,8779,177584,46965,158794,383339,18,477,26856,27349,876,5674,22607,29148,21661,17326,23203,62190,36748,9234,16989,62970,36239,7349,20893,64482,35591,5125,23413,64126,30903,2371,22747,56024,15374,736,18579,34683,2422,81,10829,13340,179832,48372,186118,414316,22,741,55555,56318,1332,9559,48348,59236,37450,33694,50886,122029,70516,18660,32419,121596,70874,14833,38553,124261,70529,10559,41521,122608,63866,5256,36299,105425,35426,1793,26856,64069,7400,253,14466,22119,357418,95334,344909,797661
SOSR111,5,72,5268,5348,102,930,4028,5059,3428,3211,4763,11403,6063,1780,2944,10785,5841,1342,3138,10317,5868,947,3003,9815,5821,491,2379,8699,3403,164,1236,4801,804,20,512,1336,31339,8967,27261,67570,0,119,5136,5261,208,1359,3557,5118,4659,3268,4433,12356,6490,1749,3578,11814,6191,1343,3968,11501,6011,895,4231,11132,5427,399,4033,9858,2593,123,3183,5898,385,12,1660,2063,31963,9267,33775,75011,5,196,10407,10604,315,2291,7578,10180,8090,6480,9191,23759,12548,3522,6527,22599,12033,2683,7103,21823,11874,1840,7231,20947,11248,891,6413,18554,5995,293,4419,10701,1195,31,2167,3397,63303,18234,61040,142579
SOSR112,3,221,13878,14102,318,2465,10044,12828,8553,7628,12685,28858,14185,4112,7639,25935,14170,3490,8480,26136,15419,2652,8914,26985,16179,1548,7270,25000,10550,535,4044,15126,2711,93,1788,4594,82086,22741,74747,179574,20,429,12662,13104,606,3458,8917,12982,11341,7803,12088,31242,15296,4160,9016,28475,14939,3442,10815,29199,16135,2470,11984,30589,15402,1270,12003,28668,8163,347,9906,18423,1340,59,5410,6806,83247,23440,92808,199491,22,655,26538,27214,929,5920,18964,25815,19899,15426,24774,60104,29476,8272,16661,54411,29109,6929,19297,55340,31550,5122,20901,57572,31579,2820,19272,53665,18711,889,13955,33555,4052,152,7200,11405,165331,46182,167556,379073
SOSR113,0,103,6049,6151,117,945,4036,5095,2840,3278,5237,11343,5295,2075,3556,10922,5839,1668,4340,11849,7286,1336,4674,13303,8481,864,3952,13291,5285,293,2249,7833,1241,41,903,2189,36382,10604,34998,81984,4,178,5294,5475,233,1402,3230,4862,3850,3495,5078,12417,5999,1998,4137,12135,6377,1704,4930,13010,7804,1260,5699,14763,8065,699,5696,14454,4013,202,4793,9011,633,25,2625,3284,36967,10964,41476,89414,9,278,11341,11624,353,2346,7262,9962,6689,6774,10308,23765,11290,4075,7693,23055,12217,3372,9272,24860,15089,2596,10375,28068,16542,1561,9648,27746,9299,500,7044,16837,1874,63,3531,5470,73354,21573,76471,171395
SOSR114,3,106,6397,6502,125,1160,4346,5627,3893,3680,5133,12703,6829,2142,3312,12281,6883,1852,4083,12815,7891,1547,4771,14215,9152,910,4170,14229,6111,381,2443,8943,1554,51,1063,2669,42437,11831,35719,89985,4,239,5826,6069,236,1616,3892,5749,5194,3889,4936,14016,7423,2225,4138,13788,7324,1874,4933,14132,8434,1407,5918,15755,8860,741,6088,15692,4755,254,5459,10467,738,31,3084,3856,42967,12275,44278,99517,9,341,12222,12569,357,2775,8239,11375,9084,7570,10068,26715,14252,4364,7454,26066,14210,3725,9014,26948,16333,2952,10687,29967,18009,1651,10267,29924,10871,635,7897,19407,2288,85,4146,6522,85405,24105,79990,189505
SOSR115,4,118,8893,9020,174,1316,5738,7231,4804,4675,6742,16216,9018,3140,4501,16659,9727,2838,5805,18374,12316,2553,6982,21853,14861,1668,6579,23103,8700,571,3777,13048,1982,76,1401,3462,61586,16954,50424,128964,7,267,8210,8485,335,1893,4708,6938,6502,5011,6337,17846,9983,3271,5336,18593,10645,2854,6813,20313,13526,2534,8325,24386,13966,1347,8757,24068,6683,354,7204,14234,904,45,3886,4833,62550,17568,59571,139685,13,383,17103,17503,505,3211,10446,14165,11305,9677,13080,34066,19004,6414,9832,35249,20377,5691,12613,38680,25843,5083,15307,46238,28823,3018,15328,47172,15380,922,10982,27282,2887,118,5285,8288,124132,34523,109994,268645
SOSR121,0,18,2651,2670,25,286,1613,1925,1214,1074,1706,3992,2619,888,1064,4569,3255,853,1493,5603,3903,762,1901,6571,4278,485,1635,6398,2096,154,871,3116,398,14,307,722,17798,4531,13239,35562,3,53,2502,2558,72,401,1276,1751,1643,1222,1473,4342,2986,884,1241,5106,3664,839,1625,6131,4182,783,2016,6980,3879,372,2031,6283,1503,103,1439,3043,165,8,726,898,18098,4673,14321,37094,3,73,5149,5227,99,683,2890,3677,2856,2296,3177,8332,5607,1767,2299,9679,6920,1701,3116,11733,8086,1546,3917,13545,8159,855,3670,12688,3596,260,2309,6163,561,20,1036,1621,35890,9200,27565,72656
SOSR122,0,17,1144,1164,26,150,784,957,546,540,849,1934,1109,394,625,2126,1413,457,885,2756,1973,477,1264,3710,1996,293,1116,3406,1016,76,556,1650,188,9,149,343,8271,2410,7379,18054,0,37,1035,1068,41,217,636,892,734,579,747,2054,1266,432,622,2318,1634,455,880,2971,2088,468,1217,3771,1831,218,1170,3217,704,53,724,1482,83,6,326,412,8372,2466,7352,18196,0,54,2181,2234,68,368,1417,1850,1276,1115,1595,3990,2378,821,1243,4451,3045,910,1770,5723,4060,946,2481,7488,3827,508,2290,6623,1721,135,1276,3133,267,17,477,764,16645,4874,14731,36247
SOSR131,8,128,16479,16612,216,1220,9996,11433,6466,4974,9495,20934,15916,4094,6146,26154,23592,4720,7953,36266,27571,4663,10532,42761,24812,2796,9040,36643,11450,682,4238,16377,1961,92,1400,3455,111982,23367,75281,210629,10,236,14920,15168,436,1813,7766,10012,8925,5485,7279,21693,18748,4381,5100,28239,26041,5021,6761,37829,28492,4410,8634,41536,21850,1999,8006,31860,7761,398,5619,13785,826,38,2574,3431,113078,23782,66671,203535,11,363,31402,31779,644,3032,17765,21447,15392,10462,16777,42627,34663,8472,11249,54388,49637,9746,14715,74093,56060,9072,19162,84294,46658,4794,17041,68500,19210,1084,9862,30158,2780,129,3973,6881,225060,47151,141947,414167
