SOSR_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOSR101,8056,2587,16482,8506,8384,5449,3658,5063,754,58936,142,193,171,176,237,174,169,313,47,1618,4598,6509,2096,2351,3932,1755,1941,1492,824,25495,3690,4593,3823,2881,4139,2265,2645,2972,7761,34776,283106,621105,166911,142456,215057,90950,57598,64800,29552,1671544
SOSR102,1965,628,5546,3191,2368,1664,915,1737,186,18206,26,24,30,54,40,37,20,39,8,278,594,931,547,516,603,237,368,347,144,4287,716,731,1193,941,837,555,652,842,1246,7708,44142,103489,53827,44999,42008,16896,13668,16989,4840,340857
SOSR111,420,109,1302,810,458,406,262,421,38,4232,5,7,8,12,8,14,4,21,0,82,91,108,103,98,80,46,97,91,29,741,144,110,237,200,136,90,155,257,241,1571,7055,15490,10435,9060,7395,3358,3155,3581,842,60372
SOSR112,1059,265,3211,1905,1015,919,510,1192,110,10196,20,20,29,53,32,36,12,61,4,273,261,376,273,284,248,108,162,272,80,2066,337,375,603,552,433,382,385,657,666,4394,18160,42674,24952,23664,17760,8509,6427,10502,2267,154913
SOSR113,503,114,1485,870,408,408,267,484,43,4580,3,3,6,7,6,11,5,17,0,53,102,132,127,109,86,45,111,79,41,837,169,153,311,275,173,202,232,309,315,2147,7274,14371,11509,9950,6810,3534,3673,4188,1011,62325
SOSR114,526,144,1486,896,530,456,240,584,42,4903,5,4,0,15,6,16,7,27,5,77,172,154,112,108,90,52,88,115,20,924,232,167,356,287,228,199,261,428,326,2488,9021,17494,12532,10647,8144,3993,3570,5252,1075,71720
SOSR115,737,181,1991,1135,669,572,353,785,80,6510,4,7,5,19,14,14,4,25,0,102,195,221,154,179,150,73,148,136,53,1321,326,232,556,380,307,251,360,534,495,3437,12728,24160,18256,14927,11090,5086,5490,7029,1611,100374
SOSR121,192,40,520,320,182,164,97,179,21,1720,0,8,3,4,0,3,3,6,0,20,44,59,62,33,56,26,34,41,10,375,75,66,152,112,78,72,99,132,129,913,3825,7084,5451,3971,3332,1440,1465,1931,509,29009
SOSR122,106,33,235,139,94,66,35,99,10,803,0,3,0,4,0,0,0,0,0,10,36,37,23,29,19,18,21,25,5,207,43,33,78,46,47,28,64,94,72,501,1884,3000,2403,1955,1611,618,759,1020,234,13481
SOSR131,1344,244,2292,1313,1180,653,484,986,141,8633,16,21,13,18,9,13,9,29,3,135,592,402,263,250,280,85,234,212,100,2420,1289,430,823,502,530,429,598,842,831,6270,41938,40976,28939,17710,20624,7538,9083,12304,3269,182372
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,11,3,33,9,9,8,3,25,0,108,0,0,0,0,0,0,0,0,0,3,8,10,5,5,0,0,9,3,0,31,4,10,6,3,10,3,8,19,19,84,186,453,205,217,159,95,124,224,44,1714
