SOSR_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SOSR101,..,3152,97049,211100,180823,156388,119083,64438,16970,849007,..,10884,68766,38432,25239,16577,7747,2494,355,170495,..,287,1534,5328,9899,8043,3826,2266,1563,32755,420784,..,..,..,..,..,..,..,..,420784,..,128306,..,..,..,..,..,..,..,128306,..,80699,69405,21834,13194,5684,881,28,0,191727,..,13352,14631,5787,5088,6470,5349,3103,1781,55561,..,8098,15338,6038,4122,3053,1362,381,81,38481,..,21665,44815,13477,8140,7245,4853,1738,363,102307,..,7163,29571,28340,26968,29612,23917,14575,6639,166790,4335,5118,6239,3975,3146,2553,1755,781,299,28193,425117,278727,347340,334316,276632,235631,168783,89807,28044,2184396,..,7934,138016,221212,180708,147221,105006,45021,7281,852395,..,16066,71858,34628,22433,13353,5511,1373,162,165378,..,2474,15209,32779,43446,28379,13243,9195,6035,150758,398491,..,..,..,..,..,..,..,..,398491,..,131640,..,..,..,..,..,..,..,131640,..,55802,47277,12025,7802,4538,1022,50,0,128510,..,11033,10309,3700,4767,11899,14626,10544,6167,73052,..,7328,10693,3468,2084,1643,812,263,120,26408
SOSR102,..,463,15788,33770,34639,34937,32962,20058,4975,177584,..,4149,16364,9426,7480,5431,2885,1060,169,46965,..,98,663,2052,3396,2087,1020,657,423,10391,90552,..,..,..,..,..,..,..,..,90552,..,22008,..,..,..,..,..,..,..,22008,..,21696,11362,4510,3383,1903,316,15,0,43179,..,2389,1952,873,971,1379,1207,707,339,9814,..,1772,2247,881,725,567,286,93,24,6589,..,5000,6407,1756,1833,2211,1569,677,135,19588,..,1469,5053,5362,7362,9960,9165,6133,2713,47221,1397,2002,1649,1094,980,791,702,286,110,9000,91944,61056,61484,59722,60755,59278,50101,29669,8889,482894,..,884,21661,36748,36239,35591,30903,15374,2422,179832,..,6145,17326,9234,7349,5125,2371,736,81,48372,..,1066,5653,9736,11347,6261,2957,2461,1816,41289,84740,..,..,..,..,..,..,..,..,84740,..,23236,..,..,..,..,..,..,..,23236,..,14507,6501,1864,1450,1216,321,14,0,25878,..,2077,1202,451,804,2126,2585,1918,1144,12305,..,1830,1380,417,413,363,150,63,20,4635
SOSR111,..,109,3428,6063,5841,5868,5821,3403,804,31339,..,1005,3211,1780,1342,947,491,164,20,8967,..,40,186,454,582,357,156,89,47,1912,18042,..,..,..,..,..,..,..,..,18042,..,3535,..,..,..,..,..,..,..,3535,..,3864,1751,679,519,242,47,0,0,7097,..,520,394,204,150,224,187,98,37,1815,..,369,404,190,146,87,51,20,5,1268,..,600,864,312,337,370,299,98,17,2897,..,368,1162,1106,1408,1718,1635,941,403,8734,300,315,337,214,172,160,119,34,19,1665,18341,10722,11736,11000,10491,9975,8819,4836,1354,87268,..,209,4659,6490,6191,6011,5427,2593,385,31963,..,1483,3268,1749,1343,895,399,123,12,9267,..,319,1539,2158,2108,996,493,380,248,8235,17522,..,..,..,..,..,..,..,..,17522,..,3969,..,..,..,..,..,..,..,3969,..,2617,975,295,199,158,52,0,0,4296,..,424,238,103,189,403,429,265,150,2210,..,339,246,100,79,54,19,11,0,840
SOSR112,..,326,8553,14185,14170,15419,16179,10550,2711,82086,..,2685,7628,4112,3490,2652,1548,535,93,22741,..,77,479,1088,1464,985,502,270,176,5040,45521,..,..,..,..,..,..,..,..,45521,..,9163,..,..,..,..,..,..,..,9163,..,9575,4382,1893,1400,728,134,5,0,18117,..,1422,1034,428,484,623,575,284,124,4980,..,952,1130,512,386,257,137,40,8,3419,..,1741,2646,931,887,1091,865,353,60,8573,..,996,3015,2791,3852,5238,5056,3094,1415,25456,819,936,810,587,533,406,370,186,73,4711,46343,27865,29670,26525,26670,27389,25365,15314,4667,229809,..,627,11341,15296,14939,16135,15402,8163,1340,83247,..,3883,7803,4160,3442,2470,1270,347,59,23440,..,1041,4080,5301,5401,2750,1396,1025,766,21759,43670,..,..,..,..,..,..,..,..,43670,..,9381,..,..,..,..,..,..,..,9381,..,6195,2349,856,646,530,148,5,0,10726,..,1112,599,200,511,1046,1171,753,410,5799,..,811,698,221,171,140,78,21,10,2157
SOSR113,..,121,2840,5295,5839,7286,8481,5285,1241,36382,..,1052,3278,2075,1668,1336,864,293,41,10604,..,36,259,477,754,466,243,139,107,2482,19195,..,..,..,..,..,..,..,..,19195,..,3624,..,..,..,..,..,..,..,3624,..,4510,2008,947,746,437,90,0,0,8736,..,607,367,184,288,308,311,160,64,2287,..,372,448,232,213,122,78,16,0,1490,..,508,1007,445,446,510,455,156,35,3566,..,418,1146,1271,1896,2834,2778,1772,696,12815,339,353,359,321,256,261,259,122,39,2303,19532,11603,11704,11246,12105,13561,13551,7952,2222,103480,..,236,3850,5999,6377,7804,8065,4013,633,36967,..,1576,3495,1998,1704,1260,699,202,25,10964,..,397,1889,2484,2526,1273,688,579,396,10227,18262,..,..,..,..,..,..,..,..,18262,..,3721,..,..,..,..,..,..,..,3721,..,2699,988,410,336,286,59,0,0,4781,..,459,182,82,212,484,540,374,263,2595,..,364,300,110,94,81,35,19,4,1015
SOSR114,..,121,3893,6829,6883,7891,9152,6111,1554,42437,..,1260,3680,2142,1852,1547,910,381,51,11831,..,26,187,488,717,475,241,141,107,2387,22627,..,..,..,..,..,..,..,..,22627,..,3941,..,..,..,..,..,..,..,3941,..,4596,2027,896,775,430,88,0,0,8815,..,653,424,227,234,309,317,161,89,2408,..,374,424,187,171,137,63,22,0,1387,..,625,811,328,404,515,452,174,30,3339,..,516,1254,1184,1780,2900,3021,1940,836,13427,310,395,402,283,253,242,272,112,28,2316,22939,12524,13103,12572,13072,14452,14505,9056,2694,114924,..,241,5194,7423,7324,8434,8860,4755,738,42967,..,1855,3889,2225,1874,1407,741,254,31,12275,..,439,1904,2558,2561,1209,692,545,441,10349,21653,..,..,..,..,..,..,..,..,21653,..,4286,..,..,..,..,..,..,..,4286,..,2949,1041,395,343,333,79,0,0,5139,..,483,238,106,194,484,568,403,240,2726,..,391,267,97,77,62,37,14,3,950
SOSR115,..,180,4804,9018,9727,12316,14861,8700,1982,61586,..,1434,4675,3140,2838,2553,1668,571,76,16954,..,40,245,652,983,716,411,198,157,3395,30765,..,..,..,..,..,..,..,..,30765,..,5604,..,..,..,..,..,..,..,5604,..,6635,2960,1328,1108,601,118,0,0,12757,..,736,500,266,337,495,477,257,114,3181,..,482,545,288,263,218,111,58,17,1985,..,625,1035,443,546,755,800,312,72,4588,..,505,1454,1523,2562,4201,4668,2949,1048,18908,418,528,497,382,386,413,428,202,52,3310,31184,16771,16720,17040,18758,22268,23533,13252,3507,163042,..,338,6502,9983,10645,13526,13966,6683,904,62550,..,2161,5011,3271,2854,2534,1347,354,45,17568,..,529,2418,3358,3499,1754,911,786,587,13836,29068,..,..,..,..,..,..,..,..,29068,..,6107,..,..,..,..,..,..,..,6107,..,4088,1408,562,458,444,118,9,0,7083,..,662,290,125,277,656,859,603,387,3860,..,496,357,157,136,108,74,32,26,1387
SOSR121,..,27,1214,2619,3255,3903,4278,2096,398,17798,..,300,1074,888,853,762,485,154,14,4531,..,14,75,158,276,178,96,70,31,909,8573,..,..,..,..,..,..,..,..,8573,..,1784,..,..,..,..,..,..,..,1784,..,1933,873,373,309,160,21,0,0,3673,..,185,113,68,81,145,140,77,33,846,..,146,144,63,70,70,37,23,0,554,..,96,198,88,148,243,211,69,10,1064,..,110,287,318,604,1103,1127,634,230,4416,131,144,153,123,118,140,138,54,20,1019,8698,4742,4140,4690,5724,6705,6539,3174,741,45158,..,74,1643,2986,3664,4182,3879,1503,165,18098,..,452,1222,884,839,783,372,103,8,4673,..,117,518,760,811,437,228,200,148,3210,8146,..,..,..,..,..,..,..,..,8146,..,1892,..,..,..,..,..,..,..,1892,..,1281,455,161,137,108,27,0,0,2173,..,161,59,35,46,163,241,202,110,1016,..,154,103,23,47,34,33,6,0,404
SOSR122,..,26,546,1109,1413,1973,1996,1016,188,8271,..,169,540,394,457,477,293,76,9,2410,..,5,31,88,134,96,68,48,22,503,3902,..,..,..,..,..,..,..,..,3902,..,724,..,..,..,..,..,..,..,724,..,910,454,212,156,62,5,0,0,1808,..,119,51,38,48,116,103,51,14,532,..,56,63,40,43,26,19,3,3,249,..,47,83,69,94,173,132,37,3,632,..,66,168,180,406,796,788,420,105,2933,87,94,73,71,77,79,67,41,9,595,3990,2214,2008,2200,2834,3790,3475,1694,354,22559,..,41,734,1266,1634,2088,1831,704,83,8372,..,251,579,432,455,468,218,53,6,2466,..,45,260,364,434,241,135,78,46,1610,3583,..,..,..,..,..,..,..,..,3583,..,812,..,..,..,..,..,..,..,812,..,582,239,77,66,55,15,0,0,1041,..,84,33,19,31,98,108,89,43,504,..,55,32,14,19,20,11,5,0,155
SOSR131,..,220,6466,15916,23592,27571,24812,11450,1961,111982,..,1348,4974,4094,4720,4663,2796,682,92,23367,..,35,240,742,1240,1090,597,327,219,4495,47896,..,..,..,..,..,..,..,..,47896,..,11392,..,..,..,..,..,..,..,11392,..,12421,5767,2427,1618,887,117,0,0,23231,..,852,544,368,586,862,935,598,302,5044,..,747,851,452,524,530,359,130,25,3626,..,439,734,463,751,1198,1064,373,58,5076,..,586,1357,1691,3230,5957,5964,2822,797,22416,612,992,869,659,753,824,703,285,65,5753,48511,29040,21806,26811,37026,43582,37345,16659,3510,264282,..,444,8925,18748,26041,28492,21850,7761,826,113078,..,2051,5485,4381,5021,4410,1999,398,38,23782,..,322,1725,2586,3065,1870,1065,978,588,12201,44291,..,..,..,..,..,..,..,..,44291,..,12453,..,..,..,..,..,..,..,12453,..,7468,3269,987,749,489,94,12,0,13071,..,670,261,142,311,894,1364,1160,729,5534,..,984,739,310,325,351,225,78,22,3034
