SOSR_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SOSR101,389,1619,234,282,82,16,2627,87,3550,439,157,64,27,4330,752,20196,1926,1175,445,147,24645,1490,9855,3568,2114,491,120,17631,1934,4344,1393,2349,405,68,10494,6892,4712,1917,3387,1783,102,18793,29780,3680,1872,6791,1523,153,43794,103480,3782,1889,14409,2625,339,126522,113518,1472,683,13644,2105,232,131658,79354,399,239,8467,1078,122,89663,44432,132,93,5095,503,74,50327,23326,82,53,3100,275,35,26872,12944,31,18,1806,111,11,14931,23963,26,18,3893,237,43,28186,7546,3389,770,5169,1418,1391,19682,449894,57281,15117,71835,13143,2882,610161
SOSR102,73,473,64,102,29,10,741,19,882,76,57,17,8,1064,186,6714,382,470,197,46,8003,678,2855,953,869,423,51,5827,1027,1228,384,1042,204,33,3919,2972,1406,487,1541,413,34,6852,9313,1122,406,3171,464,50,14527,25906,1108,313,5396,645,62,33426,19784,290,91,3163,281,36,23654,8824,56,25,1183,91,16,10206,3176,19,4,429,31,8,3664,1202,9,0,197,20,8,1438,526,6,0,82,6,0,619,555,5,0,138,24,6,735,1166,983,212,857,307,249,3778,75415,17165,3413,18696,3164,614,118463
SOSR111,20,35,10,17,7,0,89,10,80,27,9,16,0,143,129,448,105,121,46,10,861,868,650,361,219,59,23,2171,619,221,93,276,47,3,1255,1521,353,161,441,302,17,2796,3335,305,134,775,104,21,4678,5591,246,93,917,74,20,6945,2811,38,21,308,51,0,3226,676,8,4,85,16,0,789,171,6,0,17,0,0,199,32,0,0,16,0,0,47,10,0,0,0,0,0,18,20,0,0,9,0,0,36,275,178,74,165,90,57,842,16087,2569,1083,3379,818,155,24097
SOSR112,40,145,70,60,29,7,343,32,291,74,46,29,3,473,273,1590,332,353,131,41,2724,1464,1606,1022,667,244,54,5064,1861,612,358,893,151,26,3898,4860,933,495,1385,382,57,8112,11147,737,423,2543,342,45,15233,14695,322,296,2585,292,43,18238,5808,47,54,765,73,14,6759,1403,10,7,208,19,3,1656,383,4,10,60,10,0,472,123,5,6,26,8,0,163,56,7,0,19,3,0,79,93,0,3,35,17,0,154,675,488,177,520,194,169,2215,42906,6798,3324,10164,1933,465,65587
SOSR113,19,61,19,30,35,3,180,18,85,36,20,28,5,193,105,710,168,201,89,15,1302,485,756,496,420,168,21,2339,629,298,146,486,104,19,1682,1683,477,228,723,381,29,3516,3840,420,181,1112,241,22,5820,5246,215,141,1058,180,22,6872,2428,33,24,419,56,5,2955,930,15,0,185,14,8,1150,433,0,9,96,5,0,542,148,0,0,53,5,0,217,92,0,0,33,5,0,132,143,0,0,84,6,0,235,280,207,77,253,127,61,1015,16471,3278,1533,5188,1457,222,28152
SOSR114,23,43,42,46,27,0,185,42,102,45,35,30,10,264,305,639,220,277,124,16,1583,1303,696,444,570,191,38,3243,1103,325,147,559,110,17,2264,2471,420,218,862,199,28,4205,4112,177,128,1225,203,18,5860,4631,114,79,1058,177,23,6087,2211,20,19,413,43,6,2713,863,5,0,161,18,0,1051,382,3,6,68,5,0,462,142,0,0,43,5,0,190,47,0,0,9,0,0,59,40,3,0,18,8,0,72,342,165,59,257,152,90,1062,18021,2730,1415,5608,1281,252,29300
SOSR115,56,128,53,80,221,9,540,47,111,54,59,89,3,366,367,491,285,491,236,24,1894,1114,644,407,984,310,35,3491,1101,269,157,976,150,31,2693,2594,280,164,1275,258,24,4597,4347,159,75,1589,196,27,6384,5492,69,45,1389,159,19,7168,2788,12,3,578,29,0,3420,1114,3,4,267,13,5,1404,449,5,0,119,4,0,575,188,4,0,66,9,0,266,72,0,0,29,3,0,102,93,0,0,57,40,0,186,307,122,51,413,197,104,1196,20130,2284,1315,8364,1911,283,34293
SOSR121,6,24,4,26,54,0,118,5,16,24,19,20,0,85,58,56,40,129,50,8,335,124,106,98,222,79,12,639,125,22,26,228,43,0,440,306,27,13,241,65,7,659,627,15,10,365,39,7,1053,1001,9,3,367,27,3,1407,506,5,0,169,7,0,691,222,0,0,75,8,0,304,101,0,0,20,3,0,125,28,0,0,16,0,0,37,17,0,0,7,0,0,25,23,0,0,17,6,0,49,34,17,17,119,45,30,263,3193,280,241,2011,440,72,6242
SOSR122,11,24,15,19,73,0,141,0,6,15,20,12,3,48,37,24,34,133,55,9,296,103,60,64,195,40,3,464,93,21,31,178,26,0,357,189,26,18,176,38,0,456,245,8,11,173,22,0,459,321,7,6,155,18,5,515,151,0,3,59,5,0,220,79,0,0,20,0,0,99,31,0,0,13,0,0,43,17,0,0,12,0,0,28,4,0,0,5,0,0,7,10,0,0,6,8,0,23,27,13,33,86,27,10,203,1327,188,230,1251,337,40,3366
SOSR131,28,24,19,336,261,3,670,11,3,10,162,55,0,246,130,36,54,1032,305,23,1588,346,33,162,1219,327,20,2104,356,15,41,1205,268,11,1904,791,23,31,1392,305,23,2567,1525,3,20,1684,256,11,3497,2425,9,10,1560,227,20,4247,1533,5,4,827,110,6,2481,831,3,0,362,37,5,1237,547,4,0,190,13,3,754,294,0,3,121,16,3,433,144,0,0,42,4,3,199,248,0,0,121,23,3,392,211,22,44,1155,1111,87,2627,9423,172,400,11400,3326,216,24935
