SOSR_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOSR101,1292,7816,53795,309849,340951,110789,24466,9661,858616,671,5004,24211,30389,6083,958,216,967,68499,574,7948,30759,73839,28164,4043,736,1861,147929,1241,12950,54977,104232,34252,5001,949,2828,216434,2354,18848,47600,13973,1569,338,198,1638,86513,2620,23044,103235,20769,955,114,120,2201,153046,3928,40672,108817,26894,993,140,78,2389,183907,3344,34500,62678,15213,593,43,46,1593,118012,129,1097,3171,1536,915,451,176,211,7695,12368,118165,325500,78388,5032,1085,612,8020,549172,303,1733,2882,1441,293,84,43,165,6931,203,774,1091,537,357,146,56,335,3506,15409,141445,438240,494445,380883,117107,26126,21009,1634660
SOSR102,458,3895,32369,129273,100497,22638,4467,3240,296840,122,2499,14509,11099,728,90,36,628,29701,83,2011,8627,13644,1546,178,63,418,26577,211,4509,23138,24739,2274,274,100,1040,56282,340,5024,10550,3944,428,76,46,517,20928,94,1300,5990,1504,57,12,8,166,9140,115,1621,6353,2193,91,8,11,150,10535,42,850,2630,1272,70,7,0,47,4917,28,262,498,261,123,54,10,28,1270,623,9057,26016,9183,768,153,80,898,46789,164,938,1217,328,90,35,5,103,2885,51,186,169,133,47,13,15,83,700,1507,18591,82897,163653,103680,23113,4678,5366,403488
SOSR111,68,427,4740,25905,23452,3465,590,631,59275,19,738,4736,1978,196,12,10,181,7883,0,331,808,929,132,29,10,29,2277,22,1075,5542,2909,333,39,20,212,10156,37,617,1721,533,35,6,4,92,3029,7,69,296,57,3,0,0,15,444,0,63,172,70,10,0,0,8,321,5,0,66,36,0,0,0,0,115,4,29,43,23,18,5,3,6,133,51,781,2293,719,59,5,5,119,4039,42,192,212,69,10,3,3,26,553,5,24,21,39,17,3,0,26,151,194,2497,12812,29645,23875,3514,616,1020,74180
SOSR112,218,1773,15606,74456,57742,9978,1877,2109,163753,74,1840,9865,5238,441,28,17,429,17934,17,644,1746,1754,224,31,11,87,4512,93,2484,11612,6988,661,59,27,520,22449,133,2328,6094,1303,143,17,27,280,10315,8,210,1122,202,9,0,4,31,1587,14,178,878,333,11,0,0,28,1441,0,10,100,97,0,0,0,0,214,0,73,108,69,50,13,0,5,326,153,2799,8298,1998,217,30,35,344,13883,103,413,397,124,35,10,13,59,1155,21,97,142,111,62,10,16,125,574,593,7565,36052,83683,58711,10090,1961,3157,201813
SOSR113,111,813,7850,34783,23581,4111,790,1126,73160,36,706,3578,2361,176,18,8,197,7085,11,385,1640,2454,386,28,4,96,5009,46,1092,5218,4820,565,52,12,294,12096,44,873,2144,700,66,15,12,116,3966,7,55,344,150,5,0,0,9,579,8,100,405,224,15,0,5,13,762,0,0,12,3,0,0,0,0,18,9,43,50,37,22,9,0,0,165,66,1066,2959,1117,106,24,19,140,5490,93,399,477,178,39,9,0,126,1329,10,79,84,40,18,7,3,43,291,327,3451,16585,40939,24312,4204,830,1724,92372
SOSR114,151,989,9301,39986,27381,4485,849,1412,84551,54,803,4900,2248,211,20,12,371,8629,3,213,849,1276,184,18,8,40,2591,58,1016,5747,3531,393,38,19,416,11222,67,737,2320,719,61,18,10,132,4063,0,48,343,132,6,3,0,15,552,0,4,94,48,0,0,0,4,151,0,0,0,0,0,0,0,0,3,5,51,62,29,30,11,8,3,188,72,836,2816,935,101,27,18,152,4952,77,303,316,159,49,15,14,129,1066,16,78,100,85,34,12,18,36,378,370,3224,18280,44698,27958,4579,919,2144,102169
SOSR115,250,1973,15793,58014,40618,6995,1382,2040,127051,47,798,3729,2049,201,21,7,201,7052,9,138,848,1116,170,28,8,37,2352,57,934,4578,3161,373,47,19,236,9406,68,748,1899,608,109,15,7,120,3580,0,49,154,48,4,4,0,4,257,0,0,15,3,0,0,0,0,19,0,3,0,0,0,0,0,0,5,14,94,90,55,46,11,9,10,320,77,894,2159,713,156,28,17,134,4181,159,569,743,288,116,32,15,142,2057,30,98,162,102,43,14,21,115,585,576,4456,23439,62280,41307,7115,1451,2665,143285
SOSR121,90,600,3956,14329,11456,2585,612,569,34194,0,112,318,231,42,0,5,20,723,0,11,145,181,38,8,3,0,384,4,119,466,406,76,11,3,18,1108,7,83,218,69,14,5,0,14,410,0,11,74,23,0,0,0,0,115,0,0,3,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,29,13,11,8,0,0,68,9,108,322,110,25,10,0,20,603,41,197,273,79,29,3,8,25,651,11,31,27,29,24,7,4,11,141,154,1052,5046,14959,11610,2614,623,638,36690
SOSR122,81,568,2836,8109,4887,988,276,411,18155,0,66,91,43,10,5,0,7,221,0,3,30,19,4,0,0,0,58,0,63,121,64,13,3,0,7,281,4,57,77,25,8,0,0,9,181,0,8,3,0,0,0,0,0,18,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,13,8,75,86,31,15,0,5,10,224,42,125,81,53,13,3,3,51,379,3,20,23,24,9,0,4,29,112,135,848,3146,8273,4946,998,288,512,19148
SOSR131,1453,6386,19851,62381,65812,20467,7674,3113,187132,0,69,143,321,228,77,36,21,906,0,18,51,54,88,21,13,3,248,0,83,190,384,317,99,45,31,1151,10,85,85,45,25,3,10,15,285,0,0,0,0,3,0,0,0,7,0,0,0,4,0,0,0,0,5,0,3,5,5,0,5,0,0,13,11,88,111,66,59,24,17,5,378,22,175,197,120,98,31,30,26,692,261,775,564,322,186,54,40,156,2365,54,240,273,330,213,82,44,81,1315,1790,7660,21082,63539,66622,20737,7840,3394,192660
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
