SOSR_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
SOSR101,128,964,3634,16599,11629,10027,6261,1898,964,52106,8,35,48,547,352,299,233,183,67,1775,3,60,323,985,511,346,140,53,16,2442,653,5009,6630,39192,16817,14946,12917,8131,3732,108025,5539,11712,11989,35531,11483,9588,8081,6417,4814,105147,137189,283855,279236,740439,304077,260048,198163,114713,56501,2374220,68,626,1579,7046,2093,1418,754,247,53,13887,260695,479934,400919,635317,276526,214497,153596,87565,39859,2548914,151,1272,2179,17055,3877,2164,846,124,11,27677,6,39,79,2094,1119,1614,985,507,147,6580,68,428,1062,13890,1387,683,252,92,31,17887,32,208,674,3872,2760,2665,1838,697,262,13006,133,460,639,4180,1839,1251,655,290,57,9506,27,155,285,3342,2090,2125,2064,1283,239,11603,634,6526,18061,96897,33178,39179,24924,10229,5482,235108,3,41,55,1476,1212,2412,3038,2898,1039,12183,90,1049,989,4888,2024,3020,3613,2437,956,19062,750,5945,7414,36097,23299,22787,17295,12278,4449,130309,36,484,1438,11432,7105,6834,4002,1716,383,33429,67,485,645,5674,1478,839,564,316,153,10223
SOSR102,9,71,163,575,246,171,110,29,10,1391,0,14,31,111,114,179,147,118,64,784,0,14,60,172,74,74,40,10,0,447,76,527,650,3021,1554,1575,1627,1266,647,10948,976,2436,2548,5668,2438,2589,2948,2749,1894,24250,28459,61441,62582,133886,67991,68238,60452,38742,19113,540905,5,83,53,193,26,20,9,3,0,394,55714,115628,112008,204661,102713,98259,80706,46705,19638,836025,16,67,76,603,58,42,20,3,0,875,0,3,9,205,92,188,142,89,26,739,3,51,55,951,159,44,40,15,8,1326,3,14,21,135,66,42,37,8,0,328,21,125,153,820,421,301,197,77,22,2137,3,12,27,221,283,222,284,211,33,1284,20,193,513,2585,927,855,657,204,82,6038,0,5,9,178,181,349,351,469,171,1711,17,91,28,236,60,110,181,145,69,942,116,1103,1511,5381,5096,7958,7620,6413,2422,37612,4,28,64,423,228,216,151,66,19,1198,9,42,49,329,166,143,121,66,25,940
SOSR111,0,9,3,91,18,10,8,0,0,140,0,0,5,18,10,24,19,8,6,97,0,10,14,42,23,3,10,0,0,101,20,106,137,519,242,209,167,147,61,1612,250,534,496,1225,472,519,501,523,342,4856,6017,12629,11407,25965,12167,12026,10801,6687,2981,100680,0,4,12,26,7,0,5,0,0,56,11535,23263,20077,40264,19070,18527,16258,9089,3452,161542,0,6,7,85,29,0,0,0,0,135,0,0,0,0,0,12,3,6,0,24,0,0,5,35,7,3,0,0,0,50,0,5,0,19,5,4,0,0,0,35,0,19,12,98,47,59,42,16,6,293,0,0,3,22,12,7,19,5,0,75,3,21,31,232,96,91,54,17,9,555,0,0,0,6,6,27,19,31,9,92,0,6,9,25,9,6,13,15,0,72,9,106,176,554,600,916,993,734,261,4350,0,0,11,79,42,43,21,7,3,205,0,0,4,32,17,12,17,4,4,91
SOSR112,4,62,48,330,61,43,16,5,0,569,0,3,9,15,21,32,42,52,9,189,4,18,37,122,63,47,30,7,4,319,36,167,199,1006,448,443,509,375,162,3345,765,1896,1939,3827,1667,1670,1724,1630,1114,16229,15027,32429,30323,65196,31444,33159,31469,20989,10278,270318,0,12,19,75,28,10,0,6,0,151,28878,58593,53327,98244,48834,50504,46183,28273,11981,424813,10,60,27,435,37,20,14,0,0,601,0,0,0,14,7,22,10,5,0,66,0,19,7,167,22,16,9,0,0,239,0,9,4,59,17,9,7,0,0,119,9,38,52,253,148,107,86,51,13,757,0,0,7,62,51,51,55,28,8,257,16,93,107,909,290,266,169,68,21,1933,0,0,0,24,22,65,75,78,24,285,0,46,24,136,37,48,74,45,17,425,24,257,338,1347,1515,2612,3169,2716,1055,13033,9,29,68,372,148,127,76,36,9,867,0,17,20,148,73,72,77,42,16,462
SOSR113,0,11,5,86,33,8,15,0,0,159,0,5,4,19,10,16,33,22,11,126,0,0,6,18,20,19,14,4,0,77,13,45,71,519,177,195,231,181,73,1489,317,887,701,1810,859,916,967,851,588,7902,6020,13830,11569,27091,14165,16213,16020,10253,4991,120152,0,0,4,4,0,0,0,0,0,3,11559,25640,21574,42206,22185,25095,23892,14056,5812,192018,0,6,4,57,8,0,0,0,0,73,0,0,0,11,4,6,9,5,0,33,0,9,10,221,22,3,6,3,0,266,0,0,3,25,12,6,3,4,0,48,3,13,26,155,75,47,55,22,4,399,0,0,0,85,15,21,36,3,0,163,6,16,26,180,128,76,66,26,11,536,0,0,0,4,15,36,77,66,29,231,0,3,0,19,10,10,32,17,5,98,25,134,159,755,762,1413,1754,1436,466,6903,0,8,8,72,36,40,29,19,0,214,0,4,16,125,24,43,30,24,10,265
SOSR114,4,9,6,63,31,7,9,0,0,121,0,3,4,10,12,19,27,21,11,110,0,0,8,34,21,14,11,7,0,92,12,60,57,400,181,187,215,151,58,1317,407,1063,855,2116,908,1080,1111,1023,557,9123,7500,16117,13594,30582,15260,17322,17270,11893,5633,135174,0,6,9,30,12,6,0,0,0,55,14400,29489,24272,46271,23878,26629,26107,16688,6999,214733,0,4,3,62,7,6,0,0,0,83,0,0,0,19,4,5,6,4,0,35,0,8,17,115,26,14,4,5,0,190,0,4,3,43,9,3,0,5,0,67,9,20,10,133,65,50,45,18,7,363,0,0,3,47,20,22,24,9,0,127,5,47,61,377,124,97,60,26,12,806,0,0,3,3,7,34,31,34,9,118,0,4,0,26,3,9,19,14,4,88,23,152,158,769,765,1323,1669,1465,519,6829,3,15,38,241,60,42,34,13,3,444,0,10,6,84,26,35,27,17,8,216
SOSR115,0,14,16,84,46,26,8,0,0,193,0,0,3,15,23,34,46,28,14,171,0,0,6,32,21,11,17,5,0,91,7,63,74,581,333,352,364,265,104,2151,588,1498,1181,2875,1518,1733,1873,1489,849,13599,9967,21809,17487,40183,22209,26907,26813,16251,7304,188916,0,0,4,9,4,0,0,0,0,23,19027,40690,32274,63302,34555,40986,40701,22825,8803,303168,0,4,3,35,12,6,0,0,0,65,0,0,0,16,3,10,11,5,0,47,0,0,7,115,24,15,6,0,0,170,0,14,6,40,4,7,6,0,0,80,4,31,32,193,109,89,90,38,12,607,0,4,0,65,44,42,33,32,0,218,4,37,49,315,152,104,67,33,10,755,0,0,3,9,20,66,85,79,23,295,0,3,6,42,6,10,48,31,12,160,17,183,232,1138,1363,2552,3179,2416,743,11820,0,15,19,159,70,56,44,16,0,379,3,5,19,116,52,63,52,24,7,344
SOSR121,0,0,5,19,12,0,0,0,0,33,0,0,0,5,13,7,14,9,3,52,0,0,0,7,11,5,0,0,0,25,3,16,18,123,75,117,101,49,19,513,155,356,294,738,367,481,475,318,189,3379,2578,6232,4800,10360,6590,7684,6915,3368,1199,49733,0,0,0,0,0,0,0,0,0,0,4956,11794,9026,16732,10571,11980,10799,5007,1451,82319,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,4,38,4,4,7,7,0,54,0,0,5,0,3,0,0,0,0,11,0,6,5,52,35,32,25,13,0,168,0,0,0,15,11,10,11,7,4,52,0,11,5,29,24,16,20,9,6,110,0,0,0,4,5,20,14,7,4,46,0,0,0,5,3,4,7,0,0,28,0,56,65,265,377,783,863,558,140,3107,0,3,0,18,11,6,11,4,0,56,0,0,10,39,13,23,23,4,0,103
SOSR122,0,0,0,7,8,0,0,0,0,14,0,0,0,0,0,3,4,3,0,18,0,0,0,0,4,3,7,0,0,12,3,3,8,55,38,68,41,36,10,256,68,220,209,458,286,337,331,171,81,2161,1152,2845,2295,4963,3328,4223,3645,1710,575,24744,0,0,0,0,0,0,0,0,0,0,2176,5434,4234,7947,5234,6575,5687,2558,739,40591,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,3,0,9,0,0,0,13,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,22,13,22,11,8,0,76,0,0,0,3,3,3,9,0,0,18,0,3,4,29,18,14,18,0,0,79,0,0,0,0,0,13,3,6,0,23,0,0,0,0,6,3,7,0,0,16,0,23,29,142,182,412,412,286,72,1548,0,0,3,19,10,8,10,4,0,47,0,0,0,10,11,9,10,4,5,34
SOSR131,0,3,12,88,63,38,15,3,0,235,0,0,0,25,46,67,49,33,3,223,0,3,5,49,40,49,20,7,0,182,19,75,110,750,506,710,643,327,87,3220,838,2568,2127,4695,3423,4000,3218,1646,523,23036,13225,35471,29127,56381,41886,46587,35755,15494,4215,278147,0,0,0,28,7,5,7,0,0,42,25315,67423,55732,92519,66987,73485,56850,23613,5635,467555,3,3,6,31,14,13,4,5,0,78,0,0,6,31,17,24,16,13,0,100,3,0,8,117,24,16,10,8,0,190,0,0,0,58,36,13,16,0,0,137,7,30,29,233,165,198,154,53,4,878,0,0,8,66,58,53,55,16,0,257,4,43,60,482,333,361,203,70,16,1573,0,0,0,21,41,126,168,104,34,498,0,3,3,36,23,57,70,46,5,244,23,240,422,1442,2232,4237,4142,2341,483,15558,0,7,17,128,138,104,60,27,5,496,5,15,33,179,69,107,82,35,7,523
