SOSR_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SOSR101,17375,3290,4846,62,28,25602,3951,772,1088,11,0,5817,3429,689,1051,9,4,5180,5435,1092,1892,15,5,8437,7588,1495,2687,23,7,11797,22813,4654,9059,59,20,36609,27387,6238,13187,82,39,46938,56349,12396,27023,165,102,96035,48620,9079,18189,95,114,76088,61649,11305,16338,108,101,89495,74120,14430,12157,130,90,100932,24834,4279,6499,60,47,35717,353541,69727,114015,807,561,538646
SOSR102,4922,533,319,14,5,5783,1842,240,139,0,0,2222,1558,244,139,10,0,1950,2826,374,223,12,0,3439,3944,470,413,12,3,4839,11965,1431,1199,31,7,14643,16643,2275,1338,23,14,20292,28815,2569,1456,34,21,32899,17258,1020,538,18,9,18847,12944,656,399,13,4,14015,7577,368,300,8,12,8267,6389,595,369,13,5,7372,116679,10779,6836,199,82,134577
SOSR111,900,57,18,0,0,976,384,50,10,0,0,443,364,62,11,0,0,436,697,81,15,4,0,809,1114,131,42,0,0,1289,3909,285,108,4,0,4303,4873,255,62,0,0,5202,5658,168,52,4,3,5884,2160,37,3,0,0,2205,1321,28,15,0,0,1359,656,17,5,0,0,681,1179,57,24,6,0,1267,23217,1227,359,17,12,24842
SOSR112,2251,145,71,6,8,2470,1038,82,37,5,0,1167,986,88,37,0,0,1115,2016,150,70,3,0,2239,3256,197,104,0,5,3558,10463,544,253,6,7,11277,12115,423,144,9,11,12701,12343,252,87,5,6,12693,4656,65,32,5,0,4760,3186,49,29,4,4,3270,1822,37,24,4,3,1888,2947,114,46,8,5,3124,57091,2149,924,46,52,60262
SOSR113,1138,103,33,0,6,1283,635,36,27,0,0,699,614,56,12,4,0,680,1189,86,22,3,0,1302,1528,124,25,0,5,1684,4355,298,83,14,0,4745,4349,296,71,10,0,4728,4340,293,73,6,3,4720,1822,126,24,0,5,1981,1329,87,28,3,0,1451,828,43,19,0,3,897,1332,107,28,6,0,1475,23461,1666,440,60,22,25649
SOSR114,1093,75,17,7,4,1206,622,52,15,4,0,691,622,45,19,0,0,690,1423,83,37,4,0,1547,2131,93,39,4,3,2275,5471,251,84,21,13,5833,4923,253,78,6,6,5269,5264,211,78,7,10,5574,2527,73,44,0,5,2656,1927,62,28,3,0,2016,958,30,17,3,4,1013,1555,103,24,6,9,1696,28517,1335,486,70,50,30456
SOSR115,1892,68,25,11,3,2005,1190,48,20,9,0,1273,1133,55,12,7,5,1208,2264,58,17,21,7,2360,3126,70,24,4,5,3226,7243,178,72,27,4,7526,6723,202,51,26,10,7009,7679,172,68,16,14,7951,3961,60,28,12,5,4061,2974,39,18,10,3,3042,1562,20,15,15,10,1618,2290,62,18,9,0,2383,42033,1036,358,170,61,43656
SOSR121,609,10,5,3,0,626,343,4,4,0,3,358,327,3,5,3,0,341,638,8,7,8,0,657,788,7,0,4,0,803,2083,38,10,9,0,2140,2038,28,7,8,3,2083,2497,34,12,3,8,2549,1268,8,3,5,0,1280,1033,13,5,0,8,1056,587,0,3,3,0,596,761,9,4,0,0,776,12965,160,66,42,29,13260
SOSR122,336,6,0,0,0,344,272,0,0,0,0,280,254,0,0,0,0,260,428,5,0,0,4,434,489,3,0,4,0,497,1115,8,3,3,0,1127,913,7,4,7,4,935,913,7,0,3,0,927,436,5,3,0,0,446,392,3,0,0,0,396,245,0,0,0,0,248,368,3,0,3,0,378,6168,41,19,27,13,6264
SOSR131,4427,27,10,26,20,4508,1406,5,3,6,4,1432,1294,6,4,8,3,1316,2332,9,8,24,9,2377,3002,14,5,22,22,3066,7971,34,14,46,19,8081,8060,53,7,31,15,8161,11156,53,13,33,28,11280,6413,30,9,19,16,6487,6900,22,3,13,13,6953,6714,29,17,17,18,6796,4672,28,6,22,12,4737,64348,296,113,263,172,65193
