SOSR_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SOSR101,76325,15134,92069,818606,132071,10120,960792,2645072,226666,3832530
SOSR102,24989,5313,30494,171868,53165,5023,230064,591387,47929,869377
SOSR111,3963,707,4715,32283,11018,1492,44792,102783,8838,156414
SOSR112,13882,2399,16410,78167,27951,3513,109632,285985,31910,427530
SOSR113,6648,1160,7856,32468,12564,1554,46583,132150,14754,193489
SOSR114,7862,1235,9144,38093,13138,1641,52871,144564,15734,213174
SOSR115,10093,1696,11859,52508,18425,2330,73263,207028,23872,304163
SOSR121,1720,338,2080,14811,5184,635,20630,54406,5730,80771
SOSR122,860,136,1000,6630,2654,299,9583,28209,3846,41640
SOSR131,7016,1088,8221,84764,32353,3236,120360,309035,43557,472950
SOSR179,0,0,0,0,0,0,0,0,0,0
SOSR199,33,16,49,818,332,37,1191,5556,3362,10112
