SOSR_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SOSR101,192392,656521,521440,156037,84961,1611355,23309,1634660
SOSR102,27908,148200,148462,47179,26469,398224,5262,403488
SOSR111,4531,27011,27997,8956,4628,73131,1046,74180
SOSR112,13551,79139,71803,22694,11390,198587,3225,201813
SOSR113,6235,36603,32580,10157,5088,90656,1714,92372
SOSR114,6184,39521,37300,11288,5747,100045,2123,102169
SOSR115,6689,53062,53849,17436,9662,140688,2589,143285
SOSR121,1115,11441,14577,5423,3488,36041,650,36690
SOSR122,772,6391,7212,2633,1652,18658,488,19148
SOSR131,2659,38872,74032,39496,34293,189350,3313,192660
SOSR179,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0
