SOSR_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR101,551,1007,5044,7997,11732,20142,31065,28772,15793,122100,195,1119,5851,6254,8301,12116,11874,9711,6107,61541,10984,17800,47657,38424,27841,24491,22645,20836,17340,228023,108269,312957,752663,713735,595670,508149,377066,212732,91945,3673186
SOSR102,285,247,934,1236,1918,4414,8214,8147,5412,30816,53,100,317,414,508,647,817,860,665,4388,2640,3182,6754,6004,5628,5799,6822,7591,6110,50537,27978,66050,132405,129982,132205,130988,114163,71208,30477,835454
SOSR111,79,87,314,445,468,927,1485,1400,911,6129,8,30,160,161,194,197,136,79,44,1022,542,574,1458,1295,1075,1107,1168,1251,878,9345,5268,11248,25909,24451,23318,22719,20362,12028,4708,150010
SOSR112,240,226,719,911,1349,2575,4680,4221,2884,17802,29,72,330,320,330,344,379,275,191,2260,2050,2586,5624,4651,4124,3656,3978,4014,2913,33598,14428,30388,67765,60462,60778,62919,59296,38216,16404,410646
SOSR113,122,92,319,412,631,1390,2553,2201,1482,9197,18,14,67,67,74,128,125,116,72,677,861,964,2359,2094,1904,1934,2295,2181,1513,16111,6185,11466,26972,25824,27416,31079,30906,19083,7850,186776
SOSR114,90,54,276,393,608,1402,2790,2657,1802,10071,8,23,66,82,113,148,170,164,86,861,908,1019,2392,2146,2027,2171,2436,2405,1587,17093,6692,13247,30027,28787,29536,32979,33196,21963,9146,205570
SOSR115,135,109,348,477,785,1930,4157,3718,2331,13991,19,27,77,86,117,142,223,218,107,1023,1332,1370,3167,3127,3178,3506,4110,3690,2168,25644,9254,16474,38450,39253,42858,51471,52882,31135,11848,293625
SOSR121,47,22,95,109,213,530,1019,800,418,3249,5,5,16,22,27,42,41,49,11,221,327,298,698,755,762,938,1106,777,396,6047,2530,4184,9341,10669,12783,14992,14094,6857,2080,77538
SOSR122,25,19,57,89,168,423,704,514,250,2253,6,0,15,11,22,21,37,36,16,168,276,193,470,468,599,712,734,483,181,4102,1252,2189,4669,5067,6520,8464,7520,3607,1000,40289
SOSR131,167,90,472,680,1237,2999,5462,4029,1708,16846,25,35,124,139,168,258,327,300,169,1540,2663,2479,5456,6124,7013,8030,6908,4033,1317,44019,16524,25913,50458,62114,83126,95289,77252,33960,8216,452849
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,12,7,37,52,60,50,73,33,0,318,0,3,9,15,7,14,10,5,4,75,176,272,752,787,651,467,208,66,18,3408,409,824,2186,1856,1677,1649,1055,277,49,9981
