POA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA2000,6305,3993,725,86,38,11149,341,11492
POA2007,1315,1167,218,23,6,2727,197,2926
POA2008,2452,1632,317,59,23,4475,81,4564
POA2009,1580,2940,844,97,26,5490,93,5583
POA2010,6126,5587,1051,141,58,12961,202,13158
POA2011,4946,4099,740,86,56,9934,140,10068
POA2015,1158,2943,877,156,56,5194,62,5248
POA2016,2297,2639,669,104,51,5750,133,5889
POA2017,4804,7167,1629,166,53,13833,268,14103
POA2018,1544,4089,1820,411,166,8022,131,8159
POA2019,347,2055,1862,418,203,4888,67,4957
POA2020,1598,4013,1832,373,148,7962,143,8105
POA2021,1382,3516,1305,218,87,6506,76,6586
POA2022,1389,2839,1027,165,56,5467,88,5559
POA2023,393,1712,1378,354,170,4010,44,4056
POA2024,529,2022,1219,261,102,4122,88,4212
POA2025,510,1518,772,101,45,2947,41,2988
POA2026,2846,6640,3106,613,209,13403,197,13603
POA2027,577,1772,914,163,85,3512,62,3578
POA2028,381,1072,527,77,29,2094,33,2130
POA2029,473,1844,1247,265,115,3943,62,4006
POA2030,287,1601,1969,567,399,4829,56,4881
POA2031,2205,7134,3336,582,210,13471,141,13615
POA2032,1337,2498,1235,303,120,5495,105,5599
POA2033,804,2173,1020,205,99,4301,48,4354
POA2034,1306,3933,2182,538,181,8136,122,8258
POA2035,1930,5799,3939,964,463,13101,194,13296
POA2036,1360,4875,3902,1126,536,11801,197,12002
POA2037,2344,3704,1101,185,59,7397,139,7533
POA2038,513,1996,985,200,69,3763,27,3794
POA2039,400,2049,960,124,35,3569,32,3603
POA2040,1186,4492,2521,445,142,8779,84,8865
POA2041,891,3491,1738,287,90,6499,50,6544
POA2042,2435,4130,1218,212,81,8080,102,8179
POA2043,1133,2674,593,68,23,4493,42,4540
POA2044,475,1699,754,150,64,3139,33,3176
POA2045,205,745,836,271,149,2204,19,2224
POA2046,950,4463,3767,915,451,10542,98,10643
POA2047,429,2342,1599,353,139,4866,50,4919
POA2048,582,1593,722,141,57,3096,32,3127
POA2049,1049,2703,1039,196,64,5045,56,5099
POA2050,1130,2181,603,71,29,4016,46,4057
POA2060,1782,3966,1162,161,67,7131,69,7201
POA2061,934,1619,484,54,24,3102,42,3147
POA2062,256,1736,849,149,36,3029,27,3054
POA2063,84,742,918,268,114,2130,14,2142
POA2064,542,2040,850,124,35,3602,28,3629
POA2065,2532,7976,2949,485,175,14121,123,14244
POA2066,1084,6156,4333,919,411,12902,100,13006
POA2067,2071,5147,2045,457,166,9893,133,10028
POA2068,368,2442,2313,573,213,5902,39,5940
POA2069,249,1791,1917,582,271,4813,38,4848
POA2070,316,1957,1961,523,216,4972,32,5003
POA2071,210,1682,1889,514,249,4539,43,4578
POA2072,211,1544,1074,228,109,3167,29,3199
POA2073,179,1685,2553,793,343,5550,42,5595
POA2074,358,2863,3291,999,455,7966,60,8022
POA2075,194,2382,3309,885,482,7248,42,7291
POA2076,360,2783,3475,1044,489,8152,61,8218
POA2077,2004,8211,4317,913,441,15884,159,16044
POA2079,97,895,1103,368,189,2644,19,2664
POA2080,16,170,252,86,49,578,4,585
POA2081,37,549,737,282,162,1763,4,1769
POA2082,45,545,798,275,162,1829,12,1838
POA2083,68,261,229,75,35,671,5,679
POA2084,18,252,486,226,201,1186,5,1192
POA2085,111,1040,1666,591,334,3741,41,3780
POA2086,112,1115,2000,734,412,4381,20,4401
POA2087,231,1315,1839,553,332,4271,32,4307
POA2088,1283,5409,3542,820,372,11432,104,11544
POA2089,871,3054,1163,171,60,5324,49,5375
POA2090,799,3403,1554,252,99,6112,55,6169
POA2092,63,642,1060,323,170,2254,12,2267
POA2093,527,3464,3186,799,354,8332,61,8394
POA2094,163,1200,801,161,72,2394,13,2407
POA2095,1140,3550,1709,342,145,6887,85,6973
POA2096,350,2486,2169,488,267,5765,44,5811
POA2097,214,1711,2233,740,468,5365,47,5413
POA2099,1617,6986,5230,1446,812,16084,230,16318
POA2100,432,2324,2865,960,557,7140,76,7211
POA2101,455,2633,2738,831,597,7258,68,7328
POA2102,55,865,1218,361,189,2695,20,2712
POA2103,189,1332,1610,510,295,3933,38,3974
POA2104,121,510,543,197,144,1511,33,1544
POA2105,75,232,278,102,47,734,4,739
POA2106,101,1126,1539,468,327,3564,20,3584
POA2107,126,1409,2415,861,461,5269,48,5316
POA2108,18,210,326,93,55,697,4,704
POA2110,216,994,1284,432,260,3181,25,3206
POA2111,567,2656,2064,524,287,6104,68,6165
POA2112,1434,6744,4275,1189,582,14221,155,14376
POA2113,1870,5144,2559,628,277,10477,134,10611
POA2114,1219,4838,2750,612,306,9715,104,9823
POA2115,370,1500,1626,476,241,4208,63,4274
POA2116,258,938,902,263,124,2489,33,2524
POA2117,671,2710,2796,833,430,7440,132,7568
POA2118,444,3368,3703,1021,416,8954,94,9049
POA2119,134,1326,1761,549,261,4027,30,4058
POA2120,335,2560,2951,825,377,7047,46,7092
POA2121,1133,5451,3796,952,393,11714,117,11837
