POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA2000,96,39,29,10,42,39,3,18,9,291,52,124,140,40,101,154,18,71,195,904,1698,2355,2267,727,2594,3126,624,1771,351,15520
POA2007,25,15,13,4,12,8,0,4,0,83,14,35,33,10,25,42,8,5,41,218,452,652,574,188,749,772,170,311,92,3957
POA2008,26,21,12,4,21,18,5,6,5,117,16,36,19,8,51,72,18,26,49,294,611,888,558,271,1165,1325,310,587,88,5805
POA2009,35,24,26,9,35,19,6,11,0,175,19,35,26,17,57,77,14,38,53,326,665,815,700,345,1380,1752,428,1021,98,7204
POA2010,120,67,33,19,84,60,20,33,0,443,36,70,74,32,106,185,53,137,106,794,1254,1688,1250,740,3081,4331,1234,3330,202,17102
POA2011,66,46,18,15,37,59,12,31,6,294,27,41,41,19,83,104,35,87,52,487,736,1010,843,494,1979,2868,864,2331,121,11250
POA2015,33,21,13,12,37,48,17,18,4,195,10,33,22,23,52,81,23,45,30,325,556,632,592,382,1655,2180,624,1180,77,7880
POA2016,36,31,19,14,32,27,5,11,0,184,10,27,32,15,50,81,19,37,45,319,621,791,632,403,1441,1823,511,1115,96,7428
POA2017,137,75,45,14,78,78,14,23,9,474,54,81,63,29,189,223,32,61,132,869,1500,1616,1382,694,3871,4492,1082,2064,257,16966
POA2018,68,50,35,15,61,51,10,13,8,312,36,63,42,27,103,96,24,42,89,523,932,1254,1022,534,2383,2482,535,1136,178,10450
POA2019,45,38,25,20,67,36,7,22,4,260,20,23,27,11,49,69,8,25,47,290,664,764,691,410,1561,1728,444,903,100,7271
POA2020,61,40,55,19,71,60,4,23,3,334,42,64,76,26,152,119,21,44,139,693,1238,1521,1418,632,2787,2758,512,1141,272,12287
POA2021,40,38,20,12,34,32,9,28,4,205,9,49,27,12,34,87,32,66,30,352,597,958,684,446,1238,2171,736,2139,82,9055
POA2022,43,34,24,12,27,32,11,16,4,208,14,38,32,14,62,97,18,48,38,362,566,777,724,380,1158,1842,531,1228,101,7311
POA2023,32,34,9,11,19,13,3,16,6,136,13,48,29,7,31,52,16,47,66,318,360,793,604,316,708,1186,344,1103,117,5536
POA2024,24,27,16,14,28,20,4,13,0,153,17,25,22,11,33,71,19,45,28,272,421,706,571,337,863,1461,416,1209,69,6055
POA2025,13,7,13,10,9,8,5,15,0,79,3,34,17,8,9,36,7,36,17,169,215,452,351,207,472,856,268,859,47,3734
POA2026,111,116,69,31,78,83,18,34,9,547,56,116,85,52,143,292,75,181,165,1158,1369,2148,1721,974,2805,5055,1372,3502,318,19258
POA2027,15,23,10,3,3,7,8,8,0,84,13,28,20,12,20,44,18,44,28,239,269,507,409,198,496,907,319,940,62,4104
POA2028,17,8,3,3,4,8,3,3,0,51,10,15,14,4,8,28,9,19,18,129,196,301,214,111,336,659,209,574,41,2643
POA2029,32,26,26,16,20,22,4,15,0,149,13,28,27,21,26,72,16,51,44,292,366,710,486,317,658,1261,332,878,82,5093
POA2030,28,31,24,3,14,20,3,17,3,153,18,61,47,29,32,77,25,72,61,411,454,1070,794,397,715,1499,357,1360,133,6778
POA2031,101,86,51,37,80,89,25,39,4,508,40,74,73,32,108,207,47,117,104,807,1458,2126,1695,1000,3344,4870,1342,3072,218,19133
POA2032,26,31,24,17,26,38,5,17,0,194,23,37,24,14,43,57,12,20,48,282,667,1080,813,408,1289,1481,348,729,102,6915
POA2033,20,24,23,8,37,29,6,12,0,167,15,26,20,19,29,69,9,19,39,241,570,952,615,314,1146,1360,308,729,85,6080
POA2034,70,48,31,18,55,54,19,32,0,322,19,68,25,27,65,131,22,85,73,515,852,1299,990,642,1904,2915,811,2011,171,11596
POA2035,100,87,62,29,63,96,19,51,11,514,47,94,81,29,119,157,32,89,141,796,1472,2174,1886,1021,2967,3890,954,2164,306,16846
POA2036,106,103,79,23,105,107,22,42,8,586,37,80,62,32,100,165,34,70,113,697,1450,2094,1648,963,3005,3457,843,1803,255,15522
POA2037,39,47,21,11,44,31,5,32,3,241,25,41,22,23,60,105,14,54,56,406,764,1132,757,486,1760,2082,599,1378,100,9072
POA2038,18,27,18,10,18,29,12,19,0,152,12,19,17,8,27,54,9,27,25,196,403,635,483,318,865,1253,399,1000,48,5403
POA2039,22,22,20,6,22,28,0,14,0,140,8,26,8,5,20,52,21,36,17,197,340,477,380,245,746,1323,406,1015,33,4964
POA2040,56,63,33,28,55,77,12,26,3,356,28,30,31,23,61,118,21,63,38,410,1004,1300,1079,755,2102,3165,916,2041,99,12468
POA2041,25,43,25,14,27,27,6,27,0,196,14,33,26,17,33,77,16,45,38,295,570,976,718,419,1108,2023,648,1855,80,8397
POA2042,79,89,43,18,73,55,20,35,7,419,31,40,38,24,72,121,17,60,52,451,1035,1353,1024,629,2422,2895,818,1723,119,12016
POA2043,26,11,10,3,47,28,9,10,0,148,20,16,13,6,54,78,14,39,25,272,406,495,417,291,1495,1999,580,1068,51,6805
POA2044,40,23,21,3,35,31,6,16,0,170,12,17,14,11,45,52,14,20,21,202,431,487,454,274,1026,1223,304,645,50,4893
POA2045,18,15,12,3,12,18,0,5,0,91,8,25,15,4,13,25,14,16,7,134,300,487,353,201,445,664,198,498,28,3171
POA2046,98,61,45,27,61,99,24,51,3,465,45,66,56,29,87,129,27,78,76,596,1223,1708,1328,807,2434,3211,944,2035,185,13877
POA2047,29,32,18,12,21,18,5,24,5,162,21,31,28,4,27,48,22,46,34,256,513,768,578,364,1043,1537,462,1145,67,6474
POA2048,24,17,9,10,43,13,18,15,4,157,7,16,17,6,32,42,12,25,12,162,360,528,408,237,888,1095,370,677,43,4604
POA2049,37,31,32,11,34,39,12,19,0,215,13,23,18,14,60,57,15,26,39,249,593,786,663,408,1516,1657,493,982,76,7178
POA2050,21,27,26,13,40,23,11,16,0,182,17,21,28,11,40,57,8,35,17,235,527,771,477,312,1123,1454,416,931,47,6060
POA2060,34,37,20,7,24,32,11,19,0,186,8,33,24,18,63,112,16,74,37,389,536,854,674,409,1673,2569,680,1604,77,9083
POA2061,8,7,4,5,10,13,7,3,0,56,7,20,9,9,21,48,10,27,14,164,168,360,264,155,591,907,301,717,39,3505
POA2062,15,21,14,8,23,18,6,9,0,115,8,12,15,3,22,39,15,42,9,157,255,404,328,225,603,1051,277,841,22,4007
POA2063,8,10,15,3,9,9,0,11,0,63,11,14,13,8,12,28,9,30,8,130,202,476,352,146,328,580,202,652,26,2954
POA2064,9,19,9,12,32,24,0,11,0,114,14,17,13,3,34,61,8,19,18,189,300,589,461,246,1020,1284,292,647,50,4888
POA2065,78,84,52,21,85,71,24,44,3,456,38,62,41,36,128,198,44,109,80,744,1181,1857,1439,896,3646,5441,1452,3248,180,19324
