LGA_CODE_2021,C11_CF_1F1NW_800_1249,C11_CF_1F1NW_1250_1999,C11_CF_1F1NW_2000_2499,C11_CF_1F1NW_2500_2999,C11_CF_1F1NW_3000_3999,C11_CF_1F1NW_4000more,C11_CF_1F1NW_Ns,C11_CF_1F1NW_Tot,C11_CF_1P1NW_Neg_ni_inc,C11_CF_1P1NW_1_149,C11_CF_1P1NW_150_399,C11_CF_1P1NW_400_649,C11_CF_1P1NW_650_799,C11_CF_1P1NW_800_1249,C11_CF_1P1NW_1250_1999,C11_CF_1P1NW_2000_2499,C11_CF_1P1NW_2500_2999,C11_CF_1P1NW_3000_3999,C11_CF_1P1NW_4000more,C11_CF_1P1NW_Ns,C11_CF_1P1NW_Tot,C11_CF_1A1NW_Neg_ni_inc,C11_CF_1A1NW_1_149,C11_CF_1A1NW_150_399,C11_CF_1A1NW_400_649,C11_CF_1A1NW_650_799,C11_CF_1A1NW_800_1249,C11_CF_1A1NW_1250_1999,C11_CF_1A1NW_2000_2499,C11_CF_1A1NW_2500_2999,C11_CF_1A1NW_3000_3999,C11_CF_1A1NW_4000more,C11_CF_1A1NW_Ns,C11_CF_1A1NW_Tot,C11_CF_BA_Neg_ni_inc,C11_CF_BA_1_149,C11_CF_BA_150_399,C11_CF_BA_400_649,C11_CF_BA_650_799,C11_CF_BA_800_1249,C11_CF_BA_1250_1999,C11_CF_BA_2000_2499,C11_CF_BA_2500_2999,C11_CF_BA_3000_3999,C11_CF_BA_4000more,C11_CF_BA_Ns,C11_fc_BA_Tot,C11_CF_BNW_Neg_ni_inc,C11_CF_BNW_1_149,C11_CF_BNW_150_399,C11_CF_BNW_400_649,C11_CF_BNW_650_799,C11_CF_BNW_800_1249,C11_CF_BNW_1250_1999,C11_CF_BNW_2000_2499,C11_CF_BNW_2500_2999,C11_CF_BNW_3000_3999,C11_CF_BNW_4000more,C11_CF_BNW_Ns,C11_CF_BNW_Tot,C11_CF_LFns_Neg_ni_inc,C11_CF_LFns_1_149,C11_CF_LFns_150_399,C11_CF_LFns_400_649,C11_CF_LFns_650_799,C11_CF_LFns_800_1249,C11_CF_LFns_1250_1999,C11_CF_LFns_2000_2499,C11_CF_LFns_2500_2999,C11_CF_LFns_3000_3999,C11_CF_LFns_4000more,C11_CF_LFns_Ns,C11_CF_LFns_Tot,C11_CF_Tot_Neg_ni_inc,C11_CF_Tot_1_149,C11_CF_Tot_150_399,C11_CF_Tot_400_649,C11_CF_Tot_650_799,C11_CF_Tot_800_1249,C11_CF_Tot_1250_1999,C11_CF_Tot_2000_2499,C11_CF_Tot_2500_2999,C11_CF_Tot_3000_3999,C11_CF_Tot_4000more,C11_CF_TotFI_Ns,C11_CF_Tot_Tot,C11_1PF_F_Neg_ni_inc,C11_1PF_F_1_149,C11_1PF_F_150_399,C11_1PF_F_400_649,C11_1PF_F_650_799,C11_1PF_F_800_1249,C11_1PF_F_1250_1999,C11_1PF_F_2000_2499,C11_1PF_F_2500_2999,C11_1PF_F_3000_3999,C11_1PF_F_4000more,C11_1PF_F_Ns,C11_1PF_F_Tot,C11_1PF_P_Neg_ni_inc,C11_1PF_P_1_149,C11_1PF_P_150_399,C11_1PF_P_400_649,C11_1PF_P_650_799,C11_1PF_P_800_1249,C11_1PF_P_1250_1999,C11_1PF_P_2000_2499,C11_1PF_P_2500_2999,C11_1PF_P_3000_3999,C11_1PF_P_4000more,C11_1PF_P_Ns,C11_1PF_P_Tot,C11_1PF_A_Neg_ni_inc,C11_1PF_A_1_149,C11_1PF_A_150_399,C11_1PF_A_400_649,C11_1PF_A_650_799,C11_1PF_A_800_1249,C11_1PF_A_1250_1999,C11_1PF_A_2000_2499,C11_1PF_A_2500_2999,C11_1PF_A_3000_3999,C11_1PF_A_4000more,C11_1PF_A_Ns,C11_1PF_A_Tot,C11_1PF_U_Neg_ni_inc,C11_1PF_U_1_149,C11_1PF_U_150_399,C11_1PF_U_400_649,C11_1PF_U_650_799,C11_1PF_U_800_1249,C11_1PF_U_1250_1999,C11_1PF_U_2000_2499,C11_1PF_U_2500_2999,C11_1PF_U_3000_3999,C11_1PF_U_4000more,C11_1PF_U_Ns,C11_1PF_U_Tot,C11_1PF_N_lf_Fi_Neg_ni_inc,C11_1PF_N_lf_Fi_1_149,C11_1PF_N_lf_Fi_150_399,C11_1PF_N_lf_Fi_400_649,C11_1PF_N_lf_Fi_650_799,C11_1PF_N_lf_Fi_800_1249,C11_1PF_N_lf_Fi_1250_1999,C11_1PF_N_lf_Fi_2000_2499,C11_1PF_N_lf_Fi_2500_2999,C11_1PF_N_lf_Fi_3000_3999,C11_1PF_N_lf_Fi_4000more,C11_1PF_N_lf_Fi_Ns,C11_1PF_N_lf_Tot,C11_1PF_LFns_Neg_ni_inc,C11_1PF_LFns_1_149,C11_1PF_LFns_150_399,C11_1PF_LFns_400_649,C11_1PF_LFns_650_799,C11_1PF_LFns_800_1249,C11_1PF_LFns_1250_1999,C11_1PF_LFns_2000_2499,C11_1PF_LFns_2500_2999,C11_1PF_LFns_3000_3999,C11_1PF_LFns_4000more,C11_1PF_LFns_Ns,C11_1PF_LF_NS_Tot,C11_1PF_TotFI_Neg_ni_inc,C11_1PF_TotFI_1_149,C11_1PF_TotFI_150_399,C11_1PF_TotFI_400_649,C11_1PF_TotFI_650_799,C11_1PF_TotFI_800_1249,C11_1PF_TotFI_1250_1999,C11_1PF_TotFI_2000_2499,C11_1PF_TotFI_2500_2999,C11_1PF_TotFI_3000_3999,C11_1PF_TotFI_4000more,C11_1PF_TotFI_Ns,C11_1PF_TotFI_Tot,C11_TotFI_Neg_ni_inc,C11_TotFI_1_149,C11_TotFI_150_399,C11_TotFI_400_649,C11_TotFI_650_799,C11_TotFI_800_1249,C11_TotFI_1250_1999,C11_TotFI_2000_2499,C11_TotFI_2500_2999,C11_TotFI_3000_3999,C11_TotFI_4000more,C11_TotFI_Ns,C11_Tot_Tot,C16_CFNC_BF_Neg_ni_inc,C16_CFNC_BF_1_149,C16_CFNC_BF_150_399,C16_CFNC_BF_400_649,C16_CFNC_BF_650_799,C16_CFNC_BF_800_1249,C16_CFNC_BF_1250_1999,C16_CFNC_BF_2000_2499,C16_CFNC_BF_2500_2999,C16_CFNC_BF_3000_3999
LGA10050,213,303,53,91,33,14,58,839,0,0,4,28,29,70,25,10,6,4,0,21,193,0,0,0,0,10,15,21,4,6,0,0,11,74,0,0,0,0,0,3,9,15,0,4,0,8,50,6,0,9,63,38,75,53,7,7,6,0,30,304,0,0,0,0,5,3,3,0,0,4,0,300,316,18,10,37,119,160,700,1382,802,470,454,172,675,4990,0,3,0,15,71,173,169,28,35,6,0,65,574,0,6,42,156,116,122,45,10,6,3,0,44,544,0,4,7,16,11,16,13,5,0,0,0,10,64,5,5,41,49,8,9,3,0,0,0,0,8,127,18,14,180,215,129,148,64,6,6,5,0,76,855,0,0,3,3,0,0,0,0,0,0,0,34,45,22,31,283,456,331,467,290,48,48,14,4,229,2212,79,39,442,1317,926,2118,2756,1396,745,711,256,1358,12143,0,0,0,0,6,36,256,288,173,159
LGA10180,116,114,21,48,16,6,23,405,0,0,6,12,9,35,16,3,0,3,0,11,105,0,0,0,5,0,11,7,0,4,0,0,0,33,0,0,0,0,0,0,4,0,0,3,0,4,17,0,6,12,37,25,55,42,0,4,3,0,28,211,0,0,0,0,0,5,3,0,0,0,0,201,207,8,11,32,89,114,440,700,316,219,231,77,418,2651,0,3,9,16,53,82,79,17,18,4,0,32,314,0,0,23,61,56,70,27,4,3,0,0,22,263,0,0,6,10,3,5,3,0,0,0,0,3,32,5,0,17,18,7,3,5,0,0,0,0,9,60,11,14,87,128,73,72,33,11,3,0,0,46,474,0,0,0,0,0,4,0,0,0,0,0,17,24,14,14,137,232,188,237,145,28,28,6,0,127,1165,51,33,254,714,564,1250,1399,610,376,377,129,789,6533,8,0,0,4,14,44,141,128,84,80
LGA10250,170,198,43,74,25,9,42,620,0,0,5,29,37,66,38,10,10,4,0,19,227,0,0,0,0,0,21,14,9,0,0,0,12,63,0,0,0,0,0,5,14,12,5,0,0,7,37,9,0,12,67,40,84,74,10,10,6,5,45,358,0,0,0,0,0,6,3,0,0,0,0,239,255,18,0,21,146,151,681,1114,486,301,307,116,628,3978,0,6,10,27,57,129,143,17,17,8,0,66,483,0,6,48,126,113,124,34,7,5,0,0,56,537,0,0,9,12,3,10,3,0,0,0,0,7,44,0,3,28,40,12,7,5,4,0,0,0,9,107,10,4,115,189,110,168,53,8,0,3,0,76,743,0,0,4,0,0,0,0,0,0,0,0,24,30,17,22,211,396,293,451,240,34,25,15,0,241,1935,88,27,346,1401,1024,2276,2273,902,510,535,190,1257,10828,0,0,0,3,6,44,184,191,93,98
LGA10300,14,15,3,0,0,0,3,54,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,3,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,15,16,0,6,3,18,19,44,70,27,9,6,11,42,257,0,0,0,0,0,11,6,0,0,0,0,0,23,0,0,3,3,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,7,4,10,0,0,0,0,0,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,13,16,6,0,0,0,0,15,75,8,0,21,67,59,121,128,45,17,11,16,77,585,0,0,0,0,0,10,17,14,7,0
LGA10470,171,272,50,75,30,9,49,715,0,0,0,13,14,49,38,12,8,0,3,11,154,0,0,0,8,0,20,13,3,6,0,5,8,55,0,0,0,0,0,6,11,7,5,8,4,10,47,4,0,16,48,26,53,38,11,4,0,5,30,234,0,0,0,0,0,6,0,0,0,0,0,258,272,10,3,31,100,121,503,1094,628,445,457,160,579,4128,4,6,7,23,54,123,155,31,18,5,0,48,459,0,4,27,109,62,83,39,4,0,0,0,34,366,0,0,8,10,7,12,10,0,6,0,0,16,60,5,0,21,21,11,8,0,0,0,0,0,14,79,9,11,126,175,102,89,46,9,3,0,0,62,639,0,0,0,0,3,0,3,0,0,0,0,16,29,16,20,190,338,235,314,244,43,29,6,3,181,1628,56,24,303,1024,693,1517,2102,1112,712,696,230,1080,9550,0,3,4,0,13,31,190,201,166,161
LGA10500,834,1063,243,511,162,63,237,3636,11,10,63,155,144,286,172,62,40,40,14,93,1077,5,3,8,39,22,73,63,32,24,18,3,48,331,0,0,0,5,8,14,42,26,31,28,12,34,209,56,21,101,249,153,419,420,151,60,97,34,250,2013,4,0,11,10,6,26,25,0,3,9,3,820,922,116,60,261,710,695,2409,3867,2131,1719,2019,929,2142,17049,8,10,20,63,153,437,509,169,170,70,17,198,1825,0,15,86,207,181,227,154,42,18,23,3,83,1042,0,0,3,19,14,32,25,9,10,6,0,15,144,11,14,61,49,24,19,19,0,0,0,0,21,221,80,50,300,404,302,542,367,104,48,41,10,263,2523,0,0,11,9,7,6,9,0,3,0,0,75,110,93,88,474,748,686,1270,1090,323,256,144,36,655,5860,524,183,1221,3523,2396,5597,7149,3728,2681,3084,1373,3821,35281,7,0,3,7,8,73,661,994,740,931
LGA10550,173,154,27,34,7,0,27,480,0,5,10,32,24,79,26,5,3,0,0,15,196,0,0,0,3,3,7,6,0,3,0,0,9,42,0,0,0,0,5,0,8,7,3,0,0,10,33,0,0,14,58,49,88,40,12,0,3,0,38,292,0,0,0,0,0,4,0,0,0,0,0,220,227,8,5,45,149,171,641,804,368,167,159,44,490,3046,0,0,12,31,54,88,52,19,8,3,0,36,299,0,10,45,110,85,63,22,0,0,0,0,45,384,0,0,0,6,3,4,5,0,0,3,0,8,41,0,0,20,29,3,6,0,0,0,0,0,3,63,9,13,108,147,67,77,19,5,0,0,0,61,521,0,0,0,0,3,0,0,0,0,0,0,23,29,8,28,191,325,216,241,103,24,15,5,0,180,1339,64,41,402,1356,914,2007,1746,658,312,275,70,1073,8905,5,3,0,14,6,50,158,129,81,59
LGA10600,65,65,6,15,3,0,23,210,0,0,0,16,17,47,16,7,5,0,0,10,115,0,0,0,0,0,8,0,0,3,0,0,12,30,0,0,0,5,0,0,4,0,0,0,0,0,6,0,0,9,29,21,31,15,3,4,0,0,11,124,0,0,0,0,0,0,0,0,0,0,0,104,106,8,4,12,84,86,267,293,131,57,46,16,217,1222,0,0,4,10,22,39,34,4,3,3,0,9,115,0,0,26,54,39,36,19,0,0,0,0,23,195,0,0,0,7,3,0,8,0,0,0,0,0,17,0,4,17,27,4,0,0,0,0,0,0,7,55,7,14,61,70,45,52,6,0,0,0,0,32,296,0,0,0,0,0,0,0,0,0,0,0,5,13,7,14,114,163,115,134,63,4,9,4,0,80,700,28,22,180,602,394,761,619,220,100,99,29,449,3500,0,0,0,4,3,17,49,25,25,16
LGA10650,35,41,4,3,6,0,12,124,0,0,5,3,3,5,9,0,0,0,0,6,23,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,9,10,10,11,0,0,0,0,5,44,0,0,0,0,0,0,0,0,0,0,0,69,71,4,0,16,32,45,147,189,87,41,35,10,136,741,0,0,0,3,8,16,6,3,0,0,0,7,55,0,0,10,23,8,16,3,0,0,0,0,10,74,0,0,0,6,4,0,0,0,0,0,0,0,13,0,0,4,10,6,4,0,0,0,0,0,0,23,3,3,22,24,14,13,3,0,0,0,0,15,103,0,0,0,0,0,0,0,0,0,0,0,5,7,4,5,41,73,44,54,13,3,0,4,0,33,269,30,5,107,381,209,435,409,144,71,58,27,293,2157,3,0,0,0,4,15,37,19,17,15
LGA10750,2453,3330,716,1297,423,142,657,9990,10,24,110,276,244,543,432,117,71,54,18,187,2087,8,4,27,62,54,187,187,51,54,20,8,124,792,7,0,3,5,9,37,82,69,56,64,28,81,438,131,39,331,643,425,944,876,261,121,105,51,500,4423,5,0,11,25,31,41,39,17,7,3,3,1874,2058,261,129,629,1427,1518,5820,10876,6390,4732,4594,1778,4940,43086,12,9,31,175,379,1097,1273,386,283,159,26,423,4245,11,27,227,510,423,577,327,81,36,16,6,239,2486,5,4,31,60,61,90,76,18,12,14,0,71,450,30,29,263,267,117,110,54,10,5,0,4,99,979,168,120,1288,1699,912,1167,684,170,87,54,16,718,7089,7,5,21,16,16,26,17,5,0,0,0,301,415,234,203,1859,2720,1903,3061,2432,668,429,248,55,1855,15661,964,384,3223,7531,4968,12121,17388,9555,6441,6106,2202,8340,79221,5,5,0,6,8,87,1136,1641,1216,1160
