LGA_CODE_2021,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650more,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R1_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650more,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R1_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650more,C11_Tot_R_NS,C11_Tot_R_Tot,C16_Neg_Ni_inc_R1_74,C16_Neg_Ni_inc_R75_99,C16_Neg_Ni_inc_R100_149,C16_Neg_Ni_inc_R150_199,C16_Neg_Ni_inc_R200_224,C16_Neg_Ni_inc_R225_274,C16_Neg_Ni_inc_R275_349,C16_Neg_Ni_inc_R350_449,C16_Neg_Ni_inc_R450_549,C16_Neg_Ni_inc_R550_649,C16_Neg_Ni_inc_R650more,C16_Neg_Ni_inc_R_NS,C16_Neg_Ni_inc_R_Tot,C16_1_149_R1_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_199,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650more,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R1_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R200_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650more,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R1_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650more,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R1_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650more,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R1_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650more,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R1_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650more,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R1_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650more,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R1_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650more,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R1_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650more,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R1_74,C16_1500_1999_R75_99,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650more,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R1_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650more,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R1_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649
LGA10050,71,59,47,11,4,3,17,328,7,15,39,23,13,8,9,0,0,0,8,41,156,142,348,1158,1253,710,1037,796,300,57,26,41,197,6076,0,0,15,24,12,9,7,9,0,0,3,11,85,5,4,18,19,3,8,4,5,0,0,0,4,68,24,22,78,72,29,28,10,7,0,0,0,16,277,4,13,144,133,41,53,19,3,0,0,0,17,433,11,19,170,212,69,114,52,18,0,0,0,18,678,3,7,63,174,86,117,81,20,3,0,0,16,569,0,11,50,164,107,156,125,32,3,0,0,13,665,0,6,51,125,97,174,135,57,4,0,3,11,668,6,0,34,102,85,183,155,63,0,0,0,19,648,0,0,19,55,56,162,173,68,8,0,0,8,541,0,3,23,57,46,124,225,118,15,0,3,10,625,0,3,16,37,41,70,126,115,18,4,6,7,437,0,0,4,9,13,17,55,50,14,6
LGA10180,38,45,26,4,0,4,12,216,12,6,16,9,3,7,8,8,0,0,0,19,89,100,144,422,737,403,552,460,268,32,4,21,127,3274,0,0,3,12,9,10,3,11,3,0,0,0,61,0,0,7,9,3,3,3,3,0,0,0,0,32,9,12,32,31,15,21,12,3,0,0,0,9,154,4,7,48,47,31,26,13,7,0,0,0,0,180,4,6,66,82,53,51,37,17,0,0,0,17,332,3,9,23,73,50,72,66,19,0,0,0,9,329,4,0,25,53,33,84,86,27,5,0,0,0,318,0,0,16,37,50,79,88,51,4,0,0,9,339,0,0,11,30,49,68,95,63,7,0,0,7,349,0,0,5,17,32,53,83,71,6,0,0,4,276,3,5,6,17,34,63,115,105,24,0,0,16,387,3,0,10,9,12,35,75,59,11,0,0,8,220,0,0,0,6,0,13,18,39,7,0
LGA10250,21,89,113,22,14,0,7,313,8,8,15,10,3,8,12,13,9,0,9,33,125,104,249,294,385,283,563,1049,1064,256,59,64,142,4510,0,0,3,5,9,6,7,14,0,0,0,5,46,0,0,4,0,0,3,0,0,4,0,5,6,22,3,6,28,12,10,4,8,15,3,0,3,8,105,0,7,94,24,16,23,30,21,3,0,0,6,239,5,5,103,46,43,45,54,35,7,5,3,17,367,0,0,27,22,26,60,106,47,17,9,4,8,329,0,3,33,38,29,75,116,107,38,12,4,19,475,0,0,20,14,18,45,105,111,42,14,6,12,390,0,0,14,10,15,47,131,168,65,13,7,4,479,4,0,6,16,15,24,80,157,68,20,4,5,395,0,0,9,11,15,27,112,189,111,37,15,3,528,0,3,3,4,0,9,53,135,67,31,12,6,331,0,0,0,3,6,4,16,48,51,13
LGA10300,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,9,22,13,61,70,12,3,5,0,0,0,5,15,208,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,5,0,0,0,0,0,0,0,0,10,0,0,10,5,0,0,0,0,0,0,0,0,18,3,0,0,9,0,0,0,0,0,0,0,3,15,0,0,3,3,0,0,0,0,0,0,0,4,13,0,0,0,6,5,0,0,0,0,0,0,3,20,0,0,4,4,5,0,0,0,0,0,0,0,9,0,0,0,6,3,0,0,0,0,0,0,5,21,3,0,0,8,0,0,0,0,0,0,0,0,18,4,0,0,12,9,5,0,0,0,0,0,6,27,0,0,0,9,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0
LGA10470,41,49,36,3,0,6,12,229,3,18,12,15,11,12,10,0,0,0,4,22,95,127,180,454,681,521,787,694,327,38,7,19,130,3961,3,3,10,6,6,7,11,10,0,0,0,7,56,3,0,8,4,4,11,8,7,0,0,0,5,44,16,6,39,40,19,21,24,9,0,0,0,10,177,4,9,69,55,25,25,24,11,0,0,0,4,224,12,9,74,70,36,58,61,25,4,0,0,12,350,8,4,24,51,48,88,85,34,0,0,0,17,362,4,3,24,59,34,81,124,46,4,0,0,16,396,0,3,23,45,45,84,130,61,7,0,0,3,396,0,5,12,32,41,112,142,89,8,6,0,3,438,0,0,10,20,36,76,146,92,5,0,0,6,389,0,0,6,22,32,73,185,139,10,0,4,8,477,3,0,8,6,7,37,106,124,19,0,0,3,321,0,0,0,4,0,9,39,84,10,0
LGA10500,55,157,340,202,91,80,67,1093,14,53,21,11,3,16,44,60,29,6,7,83,349,317,836,590,533,368,816,2792,4807,2398,1145,666,601,15867,9,5,17,15,16,12,28,94,105,106,125,63,582,9,3,31,15,5,3,8,29,14,18,12,18,154,52,30,123,28,17,14,24,55,43,19,31,33,467,14,27,277,60,28,15,30,72,49,25,23,25,651,11,12,323,105,44,32,67,166,86,47,20,38,948,7,3,70,59,27,39,76,222,142,67,41,36,796,0,9,50,89,38,45,116,350,207,112,59,40,1133,10,4,26,34,49,51,122,456,308,152,93,45,1348,3,5,15,17,27,48,129,596,467,210,144,45,1720,5,0,5,15,12,39,96,520,442,269,171,36,1616,4,0,13,15,33,39,117,817,828,512,330,52,2769,6,4,12,17,21,36,77,588,778,625,460,55,2673,0,0,5,3,11,26,31,264,398,392
LGA10550,48,40,11,5,0,4,14,187,10,3,8,16,10,6,9,0,0,0,0,21,79,83,154,336,659,420,562,437,121,23,8,25,135,2962,0,0,3,0,4,5,9,0,0,0,0,11,39,0,0,4,3,4,6,8,0,0,0,0,0,32,8,4,26,23,18,18,10,7,0,0,0,6,119,0,3,57,44,21,21,21,6,0,0,0,10,178,6,13,75,78,58,59,35,19,0,0,0,9,349,0,3,23,42,53,77,57,23,0,0,0,6,277,7,0,24,37,53,71,72,25,0,0,0,5,304,0,4,19,17,37,66,83,32,3,0,0,13,265,0,0,11,31,23,56,123,51,7,5,0,11,312,0,3,7,13,24,52,81,56,8,0,0,6,240,0,0,5,11,17,34,76,92,10,0,6,7,260,0,0,5,9,11,21,49,42,3,0,4,5,145,0,0,0,0,0,3,18,25,0,0
LGA10600,20,24,14,0,0,0,0,93,0,7,4,9,0,4,0,0,0,0,0,5,29,26,60,146,168,160,222,263,129,13,0,11,38,1229,0,0,0,0,4,3,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,5,7,4,8,4,0,0,0,0,44,0,0,31,13,3,10,14,0,0,0,0,0,70,6,4,21,24,9,20,14,5,4,0,0,3,115,0,0,8,14,12,30,42,15,0,0,0,0,120,0,0,7,16,8,25,31,26,6,4,0,5,120,0,0,3,5,11,37,32,33,0,3,4,4,133,0,0,7,10,10,21,44,26,0,5,0,0,128,0,0,0,4,0,15,32,26,4,0,0,0,92,0,0,0,0,5,8,26,52,6,6,0,0,107,0,0,0,3,0,0,16,27,9,0,0,0,67,0,0,0,0,0,0,3,7,3,0
LGA10650,6,4,0,0,0,0,3,32,0,4,8,8,0,0,0,0,0,0,0,8,24,35,62,184,211,66,62,17,4,5,0,6,36,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,7,6,0,9,0,0,0,0,0,3,36,0,8,14,17,6,0,0,0,0,0,0,0,48,4,9,26,27,12,9,3,0,0,0,0,7,103,0,0,9,17,3,6,0,0,0,0,0,7,53,0,3,8,35,13,8,9,0,0,0,0,4,87,0,3,10,17,9,12,5,0,0,0,0,5,62,0,0,15,19,13,12,8,3,0,0,0,5,75,0,3,5,13,16,4,7,0,0,0,0,0,60,4,4,10,14,7,18,7,0,0,0,0,3,72,0,0,6,9,3,12,6,0,0,0,0,6,39,0,0,0,0,0,3,6,0,0,0
LGA10750,191,426,461,182,58,33,128,2016,59,109,87,63,35,51,107,80,15,7,7,190,805,864,1837,2172,2210,1567,2679,6573,6282,1588,645,317,1081,27829,22,16,65,37,17,21,76,128,58,26,12,66,545,26,10,41,33,14,12,25,33,11,3,4,15,227,147,89,260,123,48,32,76,102,33,9,9,53,977,37,66,579,148,52,49,99,128,37,8,0,62,1267,33,48,621,265,108,112,199,266,79,14,6,60,1812,20,17,158,205,88,109,299,466,121,26,18,57,1577,22,23,151,330,172,197,428,715,156,42,24,60,2328,11,11,82,125,137,188,505,941,266,83,26,53,2431,6,4,68,136,108,198,608,1237,390,103,52,63,2968,8,4,35,81,48,114,555,1282,453,143,60,58,2837,5,9,28,54,53,128,611,1982,830,291,99,85,4187,3,0,18,35,25,96,382,1513,864,383,124,66,3511,3,0,13,9,15,25,156,687,518,261
