LGA_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA10050,62,36,58,97,77,72,155,66,125,190,91,158,247,119,191,306,0,6,6,3,0,9,0,4,6,103,151,256,131,220,354,206,266,465,1549,1558,3116,1905,2001,3905,1615,1566,3175,6937,7789,14729,7283,8144,15434,7821,8574,16395
LGA10180,28,12,13,31,43,35,79,23,61,78,39,52,85,22,62,85,0,0,0,0,3,3,0,0,0,41,71,110,52,68,115,67,98,163,944,1056,2000,1112,1208,2323,1358,1539,2900,5006,5507,10511,5204,5760,10963,5043,5778,10828
LGA10250,37,18,22,41,36,23,56,49,103,156,40,100,143,70,134,202,0,0,0,0,0,3,3,0,8,65,126,195,62,119,182,108,154,260,1109,1155,2269,1576,1735,3311,1261,1335,2593,5196,5647,10847,5675,6118,11789,5954,6226,12182
LGA10300,9,3,0,0,0,0,0,0,4,4,3,6,8,0,0,5,0,0,0,0,0,0,0,0,0,0,10,11,3,8,8,0,7,7,140,105,248,145,125,273,156,156,310,360,327,686,367,348,714,365,374,732
LGA10470,27,29,28,54,26,24,54,39,88,128,47,106,149,57,92,151,0,7,9,0,0,0,3,3,10,52,111,161,76,135,213,83,122,208,1949,1309,3259,2399,1653,4051,2045,1097,3140,6977,6553,13522,7485,7122,14607,7216,6694,13908
LGA10500,616,459,586,1042,698,660,1362,315,436,753,531,754,1285,927,1122,2047,15,10,26,20,16,42,9,9,16,648,752,1398,1014,1357,2369,1638,1789,3423,5517,5241,10760,5489,5555,11043,5304,4986,10296,20906,20279,41184,24339,24485,48826,26900,26984,53886
LGA10550,21,19,13,28,27,30,57,30,79,112,22,77,101,33,73,99,0,0,0,0,0,0,5,0,4,42,89,132,38,90,123,60,104,167,965,1061,2029,1448,1538,2981,1248,1230,2475,4028,4414,8440,4241,4554,8796,4325,4580,8902
LGA10600,6,0,6,6,3,9,14,8,40,47,11,30,38,14,27,39,0,0,0,0,3,0,0,5,0,10,41,58,15,41,54,20,39,59,324,309,632,484,533,1015,511,525,1038,1740,1883,3614,1688,1930,3616,1787,1986,3766
LGA10650,3,0,4,4,9,8,10,7,4,15,4,14,21,7,16,24,0,0,0,0,0,0,0,0,0,15,13,24,8,17,28,20,23,40,314,328,639,449,471,925,400,429,828,1047,1122,2169,1133,1236,2371,1104,1253,2356
LGA10750,900,645,707,1347,1104,881,1984,545,905,1452,618,1075,1697,1034,1325,2354,20,36,54,19,25,45,29,25,51,973,1425,2401,1285,1809,3091,2164,2229,4396,10424,9443,19871,10626,9928,20552,12242,10843,23084,49785,49277,99064,55038,54944,109987,66627,66914,133544
LGA10800,6,0,3,3,0,0,5,5,12,15,3,14,13,5,6,14,0,0,0,0,0,4,0,0,0,3,13,21,3,18,25,5,7,16,153,138,291,366,378,739,265,253,517,756,856,1613,926,1013,1933,785,846,1628
LGA10850,3,0,3,3,0,3,4,3,13,21,3,12,15,11,18,28,0,0,0,0,0,0,0,0,0,3,21,26,4,16,21,9,25,30,245,233,484,297,274,574,249,245,498,990,1100,2093,1090,1176,2264,1090,1189,2277
LGA10900,112,60,90,148,71,89,160,136,269,410,106,243,352,128,229,346,4,3,3,4,0,5,3,3,6,198,326,527,173,335,505,198,316,513,2309,2292,4599,1846,1970,3818,1260,1358,2617,11518,12069,23585,10922,11635,22559,10537,11336,21872
LGA10950,0,0,0,0,0,5,4,0,7,10,0,4,7,0,5,5,0,0,0,0,0,0,0,0,0,0,8,11,0,4,4,3,6,8,138,130,268,161,169,330,110,97,211,458,436,896,401,453,850,364,383,745
LGA11150,6,0,0,4,6,0,9,0,4,10,0,4,3,0,9,9,0,0,0,0,0,0,0,0,0,3,4,14,0,0,5,6,12,18,254,229,491,268,268,534,225,228,450,504,506,1007,485,523,1008,438,439,879
