LGA_CODE_2021,C16_2500_2999_R650more,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R1_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650more,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000more_R1_74,C16_4000more_R75_99,C16_4000more_R100_149,C16_4000more_R150_199,C16_4000more_R200_224,C16_4000more_R225_274,C16_4000more_R275_349,C16_4000more_R350_449,C16_4000more_R450_549,C16_4000more_R550_649,C16_4000more_R650more,C16_4000more_R_NS,C16_4000more_R_Tot,C16_PI_S_R1_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650more,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R1_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650more,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R1_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650more,C16_Tot_R_NS,C16_Tot_R_Tot,C21_Neg_Ni_inc_R1_74,C21_Neg_Ni_inc_R75_99,C21_Neg_Ni_inc_R100_149,C21_Neg_Ni_inc_R150_199,C21_Neg_Ni_inc_R200_224,C21_Neg_Ni_inc_R225_274,C21_Neg_Ni_inc_R275_349,C21_Neg_Ni_inc_R350_449,C21_Neg_Ni_inc_R450_549,C21_Neg_Ni_inc_R550_649,C21_Neg_Ni_inc_R650more,C21_Neg_Ni_inc_R_NS,C21_Neg_Ni_inc_R_Tot,C21_1_149_R1_74,C21_1_149_R75_99,C21_1_149_R100_149,C21_1_149_R150_149,C21_1_149_R200_224,C21_1_149_R225_274,C21_1_149_R275_349,C21_1_149_R350_449,C21_1_149_R450_549,C21_1_149_R550_649,C21_1_149_R650more,C21_1_149_R_NS,C21_1_149_R_Tot,C21_150_299_R1_74,C21_150_299_R75_99,C21_150_299_R100_149,C21_150_299_R150_199,C21_150_299_R150_224,C21_150_299_R225_274,C21_150_299_R275_349,C21_150_299_R350_449,C21_150_299_R450_549,C21_150_299_R550_649,C21_150_299_R650more,C21_150_299_R_NS,C21_150_299_R_Tot,C21_300_399_R1_74,C21_300_399_R75_99,C21_300_399_R100_149,C21_300_399_R150_199,C21_300_399_R200_224,C21_300_399_R225_274,C21_300_399_R275_349,C21_300_399_R350_449,C21_300_399_R450_549,C21_300_399_R550_649,C21_300_399_R650more,C21_300_399_R_NS,C21_300_399_R_Tot,C21_400_499_R1_74,C21_400_499_R75_99,C21_400_499_R100_149,C21_400_499_R150_199,C21_400_499_R200_224,C21_400_499_R225_274,C21_400_499_R275_349,C21_400_499_R350_449,C21_400_499_R450_549,C21_400_499_R550_649,C21_400_499_R650more,C21_400_499_R_NS,C21_400_499_R_Tot,C21_500_649_R1_74,C21_500_649_R75_99,C21_500_649_R100_149,C21_500_649_R150_199,C21_500_649_R200_224,C21_500_649_R225_274,C21_500_649_R275_349,C21_500_649_R350_449,C21_500_649_R450_549,C21_500_649_R550_649,C21_500_649_R650more,C21_500_649_R_NS,C21_500_649_R_Tot,C21_650_799_R1_74,C21_650_799_R75_99,C21_650_799_R100_149,C21_650_799_R150_199,C21_650_799_R200_224,C21_650_799_R225_274,C21_650_799_R275_349,C21_650_799_R350_449,C21_650_799_R450_549,C21_650_799_R550_649,C21_650_799_R650more,C21_650_799_R_NS,C21_650_799_R_Tot,C21_800_999_R1_74,C21_800_999_R75_99,C21_800_999_R100_149,C21_800_999_R150_199,C21_800_999_R200_224,C21_800_999_R225_274,C21_800_999_R275_349,C21_800_999_R350_449,C21_800_999_R450_549,C21_800_999_R550_649,C21_800_999_R650more,C21_800_999_R_NS,C21_800_999_R_Tot,C21_1000_1249_R1_74,C21_1000_1249_R75_99,C21_1000_1249_R100_149,C21_1000_1249_R150_199,C21_1000_1249_R200_224,C21_1000_1249_R225_274,C21_1000_1249_R275_349,C21_1000_1249_R350_449,C21_1000_1249_R450_549,C21_1000_1249_R550_649,C21_1000_1249_R650more,C21_1000_1249_R_NS,C21_1000_1249_R_Tot,C21_1250_1499_R1_74,C21_1250_1499_R75_99,C21_1250_1499_R100_149,C21_1250_1499_R150_199,C21_1250_1499_R200_224,C21_1250_1499_R225_274,C21_1250_1499_R275_349,C21_1250_1499_R350_449,C21_1250_1499_R450_549,C21_1250_1499_R550_649,C21_1250_1499_R650more,C21_1250_1499_R_NS,C21_1250_1499_R_Tot,C21_1500_1999_R1_74,C21_1500_1999_R75_99
LGA10050,0,4,164,0,0,5,9,0,20,18,58,18,3,3,4,142,0,0,0,7,0,6,9,23,13,6,0,6,66,3,5,22,28,29,65,81,80,14,0,0,11,337,0,6,31,42,15,20,14,5,0,0,0,44,176,57,100,736,1261,730,1321,1295,714,115,17,20,199,6566,0,7,13,29,9,18,18,5,4,0,0,24,120,0,5,8,4,6,9,0,3,0,0,0,3,42,11,11,30,42,18,18,18,8,0,3,0,16,169,5,22,68,109,28,39,36,12,0,0,0,12,321,4,6,128,164,73,113,57,18,3,5,0,16,591,3,8,65,210,103,157,106,49,10,0,3,20,733,0,9,37,136,73,126,139,67,5,0,0,14,621,6,4,28,98,76,177,149,74,8,0,6,16,642,6,9,15,95,74,164,217,108,14,0,3,20,718,0,3,15,71,54,125,226,131,20,11,0,17,674,0,0
LGA10180,0,0,95,0,0,0,6,4,14,12,40,16,0,0,5,91,0,0,5,0,0,0,0,19,9,3,0,0,33,0,4,11,19,16,37,62,58,11,4,3,0,227,0,0,9,31,13,15,8,3,3,3,0,21,102,43,58,282,488,407,633,783,593,108,21,13,106,3534,0,0,6,5,3,11,17,10,3,0,0,4,61,5,0,3,7,0,3,6,3,0,0,0,0,28,0,12,10,17,14,13,20,6,0,0,0,9,97,0,3,18,52,29,17,14,11,3,0,4,7,157,0,4,16,58,32,38,50,20,0,0,0,8,229,0,4,6,80,38,87,77,37,0,0,4,4,346,0,0,13,34,39,74,73,39,9,5,0,8,295,3,0,6,30,28,91,91,61,4,4,6,8,338,4,0,4,25,37,66,118,79,13,3,7,10,364,4,0,10,14,29,68,112,75,10,0,0,8,335,4,0
LGA10250,11,5,147,0,0,4,5,3,0,12,35,33,26,22,0,149,0,0,0,0,0,0,7,9,25,17,12,6,72,0,0,13,8,5,17,53,100,61,31,16,10,300,0,0,26,12,10,12,24,11,11,0,0,24,127,24,31,390,225,209,400,919,1211,611,218,123,144,4507,0,0,6,4,3,3,4,3,3,0,6,14,63,0,4,11,4,3,0,0,3,4,3,0,7,36,4,0,17,5,7,7,11,8,7,0,0,3,67,0,6,57,18,10,16,26,11,3,0,3,10,164,8,0,122,38,14,22,41,24,7,3,5,18,311,4,0,33,28,23,37,81,66,31,7,15,16,348,4,4,11,27,14,29,64,100,41,21,12,10,331,0,0,28,6,19,27,81,108,53,17,11,7,364,0,0,4,11,14,26,76,138,80,53,30,3,433,0,3,6,9,5,14,45,133,136,56,32,9,454,3,0
LGA10300,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,4,18,0,0,0,6,6,0,0,0,0,0,0,0,12,19,7,39,70,32,17,4,6,0,0,0,29,217,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,5,0,0,0,0,0,0,16,0,0,0,5,0,8,0,0,0,0,0,0,17,0,0,0,0,4,0,0,0,0,0,0,0,15,7,0
LGA10470,0,4,156,0,0,0,0,5,12,26,61,9,0,0,4,122,0,0,0,0,0,0,12,19,11,0,0,0,42,0,0,12,23,24,32,78,79,11,0,0,12,277,0,0,23,7,3,5,16,5,0,0,0,23,93,61,46,325,432,371,732,1215,890,92,7,12,144,4333,0,3,7,4,8,3,10,4,5,0,0,14,63,0,0,6,0,0,5,5,5,4,0,0,0,21,5,9,14,8,6,9,7,4,0,0,0,4,73,0,11,33,35,19,15,24,12,0,0,0,11,168,10,7,67,40,35,32,44,25,0,0,0,10,280,3,0,31,57,36,68,95,43,8,0,0,12,356,3,0,14,33,47,57,87,66,9,0,0,13,335,0,3,25,44,46,74,141,88,14,0,0,10,451,0,5,10,19,36,64,185,128,29,0,0,15,498,0,3,6,14,25,53,138,160,32,3,3,10,444,0,0
LGA10500,335,23,1483,4,5,11,4,9,18,37,209,399,509,547,31,1771,0,0,0,3,0,11,18,58,127,222,426,24,897,3,0,24,24,15,43,65,274,318,291,320,86,1466,14,5,75,10,6,9,9,34,33,31,27,63,318,151,119,1074,519,349,473,1055,4808,4737,3619,3179,722,20801,11,7,44,22,5,13,52,108,164,111,126,50,719,0,3,14,9,0,5,14,22,24,23,13,11,144,15,33,58,25,9,8,23,39,46,22,21,18,314,16,36,230,63,23,27,42,78,64,28,23,31,665,13,9,371,70,27,26,52,150,100,48,34,30,937,3,14,68,72,37,48,107,246,169,72,48,30,912,16,5,48,73,49,55,122,271,251,119,75,33,1113,8,8,41,31,34,68,141,431,325,160,119,47,1423,3,0,20,26,32,60,177,591,517,258,175,53,1922,4,0,18,20,25,44,135,617,587,356,265,51,2121,0,3
LGA10550,0,3,54,0,0,0,0,0,0,11,21,9,0,3,3,54,0,0,3,0,3,0,4,8,4,0,5,0,19,0,0,11,15,14,26,57,38,3,4,0,11,191,4,3,8,15,9,5,5,0,0,0,4,15,71,33,41,278,347,339,529,710,436,44,7,24,115,2919,0,0,6,5,5,3,7,9,0,0,0,7,56,0,0,7,0,6,7,0,9,0,0,0,4,32,8,0,15,12,8,6,7,4,0,0,0,3,57,4,0,26,23,22,19,22,8,3,0,0,4,131,3,3,57,30,33,33,38,21,3,0,0,17,235,0,3,29,54,38,72,63,48,9,0,0,9,329,5,3,15,18,14,42,68,45,18,0,3,8,247,0,0,12,12,29,32,71,61,11,0,3,7,242,4,0,11,9,23,32,79,88,19,8,0,11,289,0,0,8,6,16,37,82,92,35,0,4,14,305,6,0
LGA10600,0,0,23,0,0,0,0,0,0,8,8,6,0,0,4,26,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,3,0,3,8,22,26,4,0,0,5,73,3,0,4,4,0,4,6,4,0,0,0,12,37,17,10,101,110,82,187,299,263,45,11,12,37,1184,0,0,3,0,0,0,4,7,0,0,0,3,21,0,0,0,4,0,0,3,0,0,0,0,0,7,0,0,5,0,0,3,0,0,0,0,0,0,14,0,0,10,12,11,10,17,11,4,0,0,8,69,5,3,0,10,3,18,12,13,3,0,0,5,84,0,0,3,12,18,26,26,22,6,0,0,0,105,0,0,5,15,0,19,27,36,8,0,0,10,114,0,0,3,4,7,8,40,35,19,3,0,4,119,0,0,0,4,3,14,35,41,10,5,0,0,115,5,0,0,4,4,9,27,41,13,8,0,0,105,0,0
LGA10650,0,0,10,0,0,0,0,5,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,10,11,8,9,0,0,0,0,0,49,0,3,7,8,0,0,0,3,0,0,0,0,25,20,45,132,202,109,106,60,15,0,0,5,39,740,0,0,3,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,8,0,0,3,3,4,9,0,0,0,0,0,0,23,0,11,23,21,3,7,9,0,0,0,0,3,72,0,0,16,17,22,16,3,0,0,0,0,6,86,0,0,4,8,5,8,11,5,0,0,0,0,57,0,0,8,16,8,13,9,3,0,0,0,4,66,6,0,8,14,9,12,22,0,0,0,0,0,73,0,0,0,10,7,15,12,0,0,0,0,0,51,0,0
LGA10750,115,36,1842,14,3,18,15,21,33,111,510,526,329,180,33,1789,0,0,7,11,4,14,44,203,209,233,190,29,937,12,13,82,107,72,115,288,696,392,197,110,150,2219,26,21,131,76,37,32,64,114,34,13,7,198,756,390,337,2361,1786,1009,1481,4518,11007,4973,2152,1031,1134,32194,20,29,97,57,39,35,94,201,83,40,24,116,837,6,19,30,16,10,11,19,33,18,3,4,20,195,45,100,127,62,36,33,54,79,31,14,4,37,620,49,101,447,144,70,74,131,174,48,16,4,53,1316,28,41,798,289,98,113,168,253,77,20,10,86,1976,14,28,173,205,123,153,305,450,125,55,20,49,1702,15,31,131,330,113,184,379,725,247,94,21,58,2326,16,12,122,151,149,218,460,961,315,121,54,82,2646,8,9,52,102,93,179,581,1303,543,196,58,82,3205,11,3,46,98,68,147,545,1519,681,282,86,57,3547,8,9
