LGA_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
LGA10050,31,4,3,486,877,374,39,44,21,1345,18642,4233,357,132,49,23414
LGA10180,3,0,4,281,606,117,71,49,11,850,9561,1215,542,116,38,11467
LGA10250,54,13,0,597,585,280,81,213,15,1167,13671,4023,992,646,77,19412
LGA10300,0,4,9,54,131,5,0,0,4,140,793,34,14,23,30,891
LGA10470,32,6,7,266,635,142,69,37,5,890,14145,1769,771,83,51,16818
LGA10500,467,12,5,923,957,415,2479,81,45,3971,23075,8302,36123,540,184,68218
LGA10550,20,20,5,386,758,102,57,66,10,999,13167,1371,784,428,82,15841
LGA10600,0,3,0,108,333,18,25,38,0,417,5087,213,192,212,29,5738
LGA10650,0,8,3,106,317,22,9,32,14,397,3318,258,38,65,40,3716
LGA10750,108,0,3,1315,5490,1171,868,14,30,7569,102829,15456,8898,110,234,127529
LGA10800,0,3,10,133,195,4,11,25,30,262,2181,97,51,69,52,2455
LGA10850,0,0,0,66,188,9,3,0,0,194,2816,91,27,19,11,2967
LGA10900,89,0,9,479,828,80,79,10,23,1013,29025,1414,1013,58,69,31576
LGA10950,0,0,0,49,82,7,0,0,5,92,931,60,6,21,25,1039
LGA11150,0,7,6,65,147,4,0,9,20,179,872,8,17,46,45,983
LGA11200,0,3,3,46,109,14,3,13,12,139,520,44,4,16,25,613
LGA11250,21,3,9,174,544,21,46,12,8,633,7470,206,226,80,40,8021
LGA11300,180,0,4,304,215,81,494,6,22,820,5033,2213,7370,104,91,14817
LGA11350,25,23,9,312,1099,145,92,98,8,1447,11468,1545,911,557,90,14568
LGA11400,4,13,0,197,353,9,10,27,0,404,4949,78,63,216,8,5320
LGA11450,19,3,10,575,1111,126,26,22,8,1296,35264,2293,379,181,66,38185
LGA11500,305,0,5,1063,2249,817,305,0,21,3391,46767,9393,3927,15,76,60175
LGA11520,249,12,0,445,358,131,840,29,13,1367,13052,3425,18777,402,56,35718
LGA11570,544,16,12,1885,3845,1157,3501,79,65,8645,67401,19325,36457,653,297,124137
