SA4_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
101,587,832,1418,308,355,662,264,904,1172,307,1854,2156,1096,5089,6187,1182,3033,4214,4115,2065,6181,3533,2479,6008,4067,2637,6703,4999,1752,6748,3427,1540,4969,3705,1197,4898,7634,1798,9432,5629,194,5823,4745,407,5149,3169,42,3210,9121,619,9743,4167,291,4456,840,1097,1936,62892,28187,91076
102,912,1393,2303,352,503,860,341,1211,1551,447,2737,3188,1497,7701,9192,1767,5312,7077,6265,2972,9237,5353,3460,8816,6289,3289,9580,7360,2303,9668,5305,1835,7139,5616,1410,7029,11857,1931,13786,9036,276,9312,7255,469,7722,4497,99,4598,11550,707,12261,5244,390,5633,1066,1703,2767,92003,39707,131713
103,531,875,1403,269,372,643,239,903,1149,336,1868,2211,1097,5048,6140,1130,2712,3841,3925,1787,5713,3244,2293,5534,3752,2201,5955,4261,1507,5766,3093,1263,4358,3273,914,4184,6849,1488,8332,5255,181,5429,3927,277,4206,2497,45,2546,5820,462,6290,4007,283,4291,848,1202,2056,54344,25695,80039
104,392,516,911,210,203,410,201,637,840,271,1342,1611,836,3639,4470,900,2570,3466,3441,1374,4813,2821,1633,4455,3374,1424,4795,3715,899,4614,2435,709,3145,2530,519,3046,4624,715,5340,3116,105,3225,2199,122,2315,1259,38,1299,2702,240,2941,2615,253,2869,568,752,1317,38194,17690,55888
105,380,461,838,115,176,296,136,488,617,165,1034,1198,598,2844,3444,644,1329,1969,2026,867,2889,1689,1235,2924,1987,1140,3124,2199,877,3076,1543,673,2214,1648,561,2209,3532,844,4375,2460,116,2567,1835,178,2024,1168,37,1203,2488,289,2780,2408,156,2559,619,775,1399,27631,14073,41704
106,796,976,1775,336,335,664,316,892,1211,391,1901,2291,1346,5419,6768,1575,3439,5016,5462,1942,7406,4600,2525,7127,5356,2674,8030,6181,1807,7991,4463,1490,5955,4676,1103,5773,10269,1811,12079,7654,184,7838,6115,375,6494,3777,58,3832,8574,459,9034,5447,315,5763,997,1151,2140,78334,28856,107191
107,819,1055,1877,290,417,708,329,1205,1536,449,2479,2933,1395,6150,7550,1583,3550,5133,5128,2234,7358,4592,2628,7223,5228,2715,7941,6043,2060,8100,4362,1703,6065,4737,1422,6162,10298,2284,12588,8496,366,8860,7164,511,7672,4776,163,4940,12296,737,13031,4432,693,5126,853,1131,1987,83273,33509,116785
108,749,932,1679,383,387,776,349,1087,1432,431,2409,2837,1533,6853,8385,1571,4517,6088,6697,2332,9028,5231,2691,7925,5676,2360,8030,6353,1394,7753,3725,1023,4743,3772,743,4515,6786,929,7714,4474,138,4614,3115,178,3291,1795,29,1828,3828,372,4204,3824,306,4130,1080,1594,2679,61375,30285,91662
109,337,457,798,152,172,328,163,578,745,163,1095,1256,641,3018,3661,748,1999,2743,2499,1228,3726,2016,1472,3491,2337,1477,3811,2755,987,3740,1940,726,2670,2108,478,2584,4270,700,4971,2855,98,2953,2157,125,2284,1256,38,1294,2557,236,2800,2233,156,2392,616,818,1438,31800,15886,47684
110,577,662,1234,244,301,551,249,902,1158,282,1715,1997,1077,4421,5504,1121,2483,3603,3797,1633,5430,3037,2110,5155,3502,1943,5442,3974,1310,5283,2727,1009,3728,3051,767,3814,5935,1144,7073,3937,164,4099,2983,254,3238,1765,53,1816,3890,414,4305,3201,266,3465,846,1145,1991,46201,22692,68894
