SA4_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
101,93329,94492,187827,4750,5070,9817,6703,6914,13622,555,518,1067,477,533,1008,110,99,205,141,136,277,42,65,111,71,61,128,2084,2105,4189,3,4,4,10187,10429,20610,511,513,1022,274,196,469,15721,16201,31927,8834,7815,16655,117893,118508,236403
102,135314,143689,279003,4139,4500,8631,15831,16792,32623,213,223,444,275,338,618,47,42,88,81,81,158,33,35,66,26,43,71,41,48,90,0,5,0,16551,17614,34166,620,654,1274,450,356,806,21761,23126,44882,9000,9968,18968,166071,176781,342852
103,82081,83556,165643,4818,5164,9987,7497,7857,15356,194,180,372,340,345,680,37,38,80,51,43,96,24,23,52,44,35,80,73,66,142,0,0,3,8272,8596,16862,291,310,597,244,210,454,13621,14276,27899,9178,7798,16972,104885,105633,210514
104,55542,58499,114039,2950,3235,6189,4826,5274,10094,310,330,640,565,642,1210,33,33,65,68,58,126,56,59,116,49,52,101,52,61,113,0,0,4,5962,6505,12473,267,306,570,218,222,436,9401,10265,19664,5922,5207,11128,70865,73972,144839
105,42049,43202,85253,2458,2802,5260,3515,3708,7221,163,149,311,252,273,524,108,104,219,39,57,90,24,28,50,33,33,67,34,31,57,0,0,0,4171,4374,8540,198,186,387,186,151,334,7012,7514,14520,7501,6805,14310,56562,57524,114085
106,113622,116622,230247,5406,5856,11269,12574,13381,25958,295,236,533,609,552,1158,97,68,172,108,82,192,52,36,90,117,109,223,99,67,165,0,0,0,13950,14534,28487,468,456,931,378,354,733,20206,21205,41413,9527,7339,16864,143356,145164,288523
107,124986,129256,254247,4414,4525,8938,13780,14908,28688,282,278,564,285,291,570,32,46,85,58,66,124,50,39,94,27,32,54,181,210,388,0,4,4,14701,15872,30571,623,635,1264,373,313,688,20109,21351,41466,7164,7403,14566,152262,158012,310274
108,87263,92742,180004,4360,4821,9182,8476,9266,17747,260,295,553,530,536,1068,47,37,81,72,86,155,35,40,76,36,46,88,78,87,162,3,5,3,9538,10395,19938,294,304,599,330,302,630,14523,15824,30349,8585,8185,16767,110370,116743,227112
109,47041,48554,95594,2421,2560,4984,2812,3057,5869,2123,2275,4399,225,210,437,39,40,79,42,57,100,25,19,44,30,26,49,46,43,84,0,0,0,5341,5726,11060,218,206,427,128,113,241,8112,8596,16705,5065,4819,9882,60220,61967,122186
110,68010,70278,138290,5183,5509,10693,5842,6333,12178,198,169,369,799,894,1691,41,47,85,56,53,104,27,32,64,31,37,71,35,35,69,0,0,0,7033,7593,14626,340,310,648,196,217,413,12753,13631,26383,9404,9433,18841,90167,93349,183513
111,152736,159022,311758,4844,5123,9968,19590,21434,41023,457,443,906,508,546,1058,99,94,191,116,111,230,78,77,158,81,89,171,155,164,321,8,10,16,21101,22972,44075,904,915,1822,630,520,1154,27479,29540,57019,8622,8855,17475,188837,197413,386249
112,96378,102178,198557,4464,5033,9493,8312,9280,17593,712,830,1541,2086,2343,4434,93,100,190,101,104,202,68,65,130,64,56,126,55,68,126,3,0,5,11495,12856,24348,633,674,1304,464,420,884,17053,18976,36031,9887,10280,20171,123321,131433,254757
113,62545,64064,126611,3644,4005,7654,5011,5453,10470,565,573,1138,513,467,980,142,134,274,67,62,120,27,43,70,61,49,106,189,197,385,4,0,6,6573,6973,13543,402,299,699,171,146,319,10786,11424,22213,7002,5832,12832,80334,81320,161649
114,61712,64810,126520,3031,3308,6340,6490,6895,13387,198,199,393,219,241,461,25,29,54,95,74,171,28,24,50,37,41,78,165,197,365,15,5,16,7281,7699,14979,252,291,537,163,158,324,10722,11454,22180,5704,5072,10779,78142,81333,159469
115,108898,111138,220034,2294,2374,4671,13234,13645,26881,181,182,365,139,143,280,44,44,94,44,45,88,11,17,27,14,7,24,43,40,80,0,0,0,13710,14127,27836,989,987,1979,152,157,308,17139,17648,34792,3538,3528,7066,129579,132319,261896
116,157976,160001,317981,4092,4050,8143,20918,21169,42081,344,290,637,249,267,520,58,57,113,64,66,130,19,23,39,36,25,59,67,58,123,0,0,0,21743,21964,43712,1227,1345,2574,410,319,731,27481,27681,55160,11758,10511,22270,197213,198195,395413
117,110685,104617,215302,8882,8746,17624,30706,29609,60320,1265,1153,2420,954,971,1927,253,270,522,347,326,676,73,70,147,76,69,142,332,353,688,3,0,10,34026,32825,66851,3211,3032,6247,702,554,1261,46818,45161,91980,11246,9427,20672,168746,159205,327952
118,92091,99181,191275,4603,5042,9644,16096,18019,34112,591,685,1273,498,595,1093,118,139,259,166,194,362,23,23,50,35,26,60,184,206,394,22,4,25,17734,19896,37629,1992,2175,4166,386,284,672,24711,27397,52108,7762,7339,15106,124568,133917,258484
119,238823,243090,481913,8522,7823,16348,28656,27663,56313,488,365,850,283,306,591,123,100,219,76,77,154,51,56,106,45,48,97,101,98,196,0,0,0,29822,28711,58532,2307,2381,4692,714,517,1233,41376,39426,80801,17655,17581,35233,297853,300095,597945
