CED_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
CED101,3,3,10,83,35,49,57,72,31,351,6,33,45,143,126,295,443,578,225,1886,12,66,121,857,413,832,568,94,30,2990,14,68,154,955,348,264,173,102,46,2112,3,25,100,710,374,210,173,80,16,1692,0,4,8,110,28,33,14,6,0,208,0,0,9,73,48,53,24,12,0,215,3,20,5,127,72,55,54,31,17,385,0,4,12,86,63,146,231,257,149,953,3,10,21,123,83,55,24,6,0,320,0,9,33,174,103,84,58,36,8,501,0,43,81,649,590,714,500,252,60,2887,5,29,90,490,214,195,219,73,20,1336,0,0,0,7,10,27,101,66,26,239,0,0,7,36,38,47,46,20,11,210,0,0,6,38,34,34,13,9,3,138,6,42,1572,3535,165,48,25,0,0,5393,4,0,5,16,20,16,17,24,12,111,14,93,286,793,420,427,196,73,15,2315,3,10,16,257,249,407,384,184,68,1579
CED102,5,9,15,116,51,49,45,49,18,356,13,40,61,230,212,536,1327,2020,976,5409,9,52,164,949,351,566,481,106,29,2700,45,248,146,1914,296,168,94,76,26,3014,4,28,216,1277,397,236,239,93,23,2509,0,8,10,162,40,24,14,5,0,275,0,6,11,98,31,22,15,7,0,193,5,27,12,307,85,60,38,29,8,566,4,5,26,266,97,213,411,574,412,2015,7,6,28,248,144,71,18,7,3,530,4,14,38,368,150,92,52,34,9,757,20,73,134,883,986,1083,750,344,100,4372,5,16,125,722,167,195,211,71,11,1529,0,3,0,7,10,35,108,102,53,320,0,0,6,54,23,25,27,14,9,146,0,5,12,43,17,33,18,9,0,135,13,82,2799,5457,196,46,21,4,0,8618,0,0,0,37,18,13,20,17,6,115,11,57,238,821,513,430,228,55,18,2357,5,23,37,379,334,668,984,587,194,3213
CED103,3,10,25,149,79,51,76,85,38,511,0,8,16,38,36,62,107,167,61,488,37,249,388,2142,830,1356,1138,180,57,6375,157,863,607,5260,854,617,371,164,63,8961,10,49,226,882,324,218,172,93,31,1997,11,59,102,1424,286,305,252,99,47,2597,4,4,7,84,62,51,26,23,4,269,0,8,18,171,94,92,49,49,14,492,0,11,19,236,95,233,452,444,300,1795,10,41,59,299,207,90,46,15,10,772,28,311,715,3812,1767,1101,642,264,61,8709,9,11,16,180,186,309,277,167,62,1217,6,79,230,1106,447,376,439,195,36,2914,0,0,0,0,8,26,50,48,15,142,0,0,12,52,16,32,23,12,8,154,0,0,23,89,47,48,52,25,0,285,0,3,264,668,25,6,0,3,0,980,3,7,13,29,29,25,33,33,28,208,15,126,231,615,371,393,195,95,22,2062,0,0,4,22,15,21,38,15,3,123
CED104,3,19,21,98,93,101,119,147,47,644,0,0,3,0,8,28,42,51,23,163,18,139,139,568,303,757,561,94,27,2603,27,424,370,2344,1193,716,428,211,69,5784,0,7,35,197,153,93,111,55,14,660,3,75,80,673,289,222,173,69,8,1600,0,3,0,33,13,10,14,8,0,75,0,22,19,88,119,88,70,50,13,470,4,0,15,40,60,151,275,229,147,911,0,36,34,100,108,61,29,14,5,391,3,123,191,668,593,326,200,85,12,2201,0,0,15,117,151,226,172,140,38,868,0,75,141,347,328,341,411,173,42,1851,0,0,0,7,8,38,67,41,17,171,0,0,9,20,22,40,16,0,3,109,0,0,6,33,34,34,26,10,3,151,0,9,68,324,60,14,3,0,0,476,4,11,24,33,56,57,76,92,32,389,10,103,171,408,459,448,291,135,43,2074,0,0,0,0,6,11,4,5,0,25
CED105,0,7,10,51,29,18,96,83,35,328,0,10,35,52,71,137,312,413,144,1182,3,14,46,324,81,207,116,15,11,822,63,285,357,2314,330,221,126,59,36,3797,3,27,74,389,217,136,90,29,7,981,3,48,119,332,55,50,26,12,3,635,0,81,176,824,480,303,84,39,14,2006,0,3,3,20,16,17,38,22,9,129,0,4,11,43,40,136,223,347,234,1034,0,5,7,42,28,15,3,7,8,120,8,19,102,652,334,316,164,111,40,1745,40,176,459,3103,2454,2533,1786,756,175,11487,14,43,112,604,147,118,111,36,7,1194,0,0,0,3,5,16,61,85,30,197,0,0,9,39,22,48,41,23,12,193,0,9,32,222,128,89,56,19,4,567,5,27,2391,3411,67,40,11,4,0,5957,0,4,6,14,0,0,4,15,19,68,14,164,317,643,207,205,114,25,8,1696,0,8,23,118,161,287,359,191,62,1202
CED106,7,32,36,119,124,78,101,132,60,680,0,6,0,8,12,25,34,47,23,158,46,483,373,1401,792,895,905,194,73,5155,62,543,243,2919,816,506,324,217,73,5706,0,24,56,429,223,118,120,90,24,1078,4,109,87,1064,393,267,231,96,30,2273,0,0,0,17,17,13,8,6,5,56,0,23,32,119,112,100,61,41,19,506,0,8,5,80,48,59,142,133,99,578,38,144,113,416,337,208,110,50,15,1422,22,223,348,1427,968,505,309,132,33,3966,0,7,0,50,43,68,53,22,17,268,6,69,125,666,477,340,340,191,46,2258,0,0,0,3,6,12,12,10,5,44,0,0,0,31,10,24,21,10,6,106,0,0,8,33,29,21,20,12,11,131,0,14,370,956,53,18,10,0,0,1423,3,28,37,32,59,46,59,67,42,374,17,124,291,468,549,538,338,224,107,2649,0,0,0,6,15,12,3,0,3,38
CED107,0,10,10,42,33,59,160,119,35,467,0,3,0,8,6,7,38,11,14,89,0,8,4,35,8,18,18,4,0,89,13,73,99,704,102,41,36,21,0,1089,0,4,6,54,17,11,18,7,5,119,0,6,4,42,13,7,3,5,0,75,0,3,7,23,10,7,6,0,4,49,0,12,7,50,49,28,46,28,11,231,0,5,0,23,7,44,72,49,34,247,0,4,8,19,26,11,10,0,5,75,4,11,4,98,12,6,0,0,0,135,0,0,0,24,25,18,24,9,0,106,0,0,18,61,49,39,17,4,8,188,0,0,0,0,4,13,37,13,0,75,0,0,0,9,0,6,0,0,0,15,0,0,3,13,0,0,4,0,4,24,6,8,64,407,17,8,3,0,0,504,0,0,3,23,21,42,132,111,24,356,5,38,96,405,335,377,269,117,23,1659,0,0,0,3,4,8,0,4,0,16
CED108,4,5,16,39,21,50,129,114,57,426,0,7,12,22,19,40,92,97,45,332,0,15,16,95,57,82,62,10,3,338,140,1181,1884,12182,1853,980,638,182,51,19095,0,21,31,327,149,125,114,20,12,804,0,38,61,272,77,75,55,15,3,601,9,120,222,663,302,255,128,30,6,1742,0,16,9,45,25,34,46,33,11,216,0,8,12,51,35,107,142,126,59,538,3,15,12,22,14,7,6,0,0,77,0,21,52,270,152,143,79,35,5,764,4,21,40,273,215,232,205,53,16,1061,7,40,20,203,67,95,73,28,3,539,0,0,4,26,32,174,455,289,124,1100,0,4,14,62,43,81,71,43,15,328,5,10,21,174,114,75,45,19,5,462,0,48,174,1260,88,50,27,4,0,1650,0,3,9,10,15,23,65,61,27,207,53,546,890,2127,686,429,219,60,8,5013,0,0,0,26,15,29,36,21,11,136
CED109,0,4,14,124,66,59,95,103,47,512,0,37,52,123,115,351,621,716,289,2313,7,42,46,183,118,184,163,44,20,803,4,26,62,317,120,87,66,59,20,760,0,7,25,149,100,47,58,33,11,433,0,6,8,75,27,19,15,4,0,153,0,5,5,46,25,14,8,3,5,97,0,32,30,257,116,77,68,41,21,637,0,8,0,139,53,151,243,277,172,1048,0,19,12,73,54,38,14,6,0,212,4,5,14,79,31,26,14,9,6,180,3,9,11,130,163,186,133,70,22,720,0,0,21,100,92,83,113,54,11,476,0,0,0,13,6,25,101,91,28,263,0,0,4,12,8,26,13,6,0,78,0,0,0,18,8,10,4,5,4,46,0,0,27,84,20,3,0,0,0,126,3,3,7,36,29,30,58,63,38,255,8,74,150,686,489,372,231,115,27,2157,0,7,14,157,130,216,178,83,25,814
CED110,0,9,8,79,58,130,237,219,58,797,0,0,0,0,3,6,18,6,6,48,0,8,4,40,8,26,17,7,3,119,8,67,55,550,106,49,54,39,10,946,4,10,6,56,24,17,16,11,6,149,0,0,3,12,7,5,3,7,0,43,19,139,66,139,17,9,13,0,0,409,0,20,10,76,54,33,58,51,6,301,0,9,3,24,17,30,73,57,31,245,0,18,15,52,30,7,13,3,0,141,0,3,4,56,12,10,5,0,0,89,0,0,0,9,9,17,3,9,0,50,19,67,14,92,50,49,29,5,4,336,0,0,0,0,6,12,56,23,6,106,0,0,3,3,5,3,4,0,0,19,0,28,82,253,63,24,13,0,4,465,0,4,33,226,5,0,0,0,0,268,0,0,4,44,19,58,183,163,68,542,7,48,69,400,379,536,471,247,83,2239,0,0,0,0,0,4,0,0,0,8
