CED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
CED101,3004,4290,7292,6317,7480,13796,5,12,24,1427,1797,3221,8,9,12,17458,19576,37036,47,53,105,6704,7058,13771,157,220,373,140,151,295,73,101,178,1005,1011,2013,381,484,861,490,614,1107,1014,1188,2209,83,118,208,60,87,140,1022,1369,2384,2306,2452,4758,143,162,301,38841,43945,82781,3912,3300,7213,5297,4941,10240,91,81,177,6,5,12,240,247,491,212,252,463,461,505,968,23275,20904,44177,199,122,317,77,125,205,23552,21144,44697,4718,4820,9533,79869,83028,162893
CED102,3950,5385,9333,3116,3461,6577,36,21,56,621,707,1324,4,6,10,17047,18355,35401,67,65,129,11414,11931,23338,176,221,399,77,101,178,73,89,159,698,719,1420,355,405,757,397,478,878,804,886,1691,66,98,163,83,113,193,624,733,1355,2256,2689,4945,31,38,69,37938,41119,79056,6229,4921,11152,7837,7060,14893,182,177,360,0,8,8,132,120,247,266,256,526,401,389,783,27060,25503,52561,268,214,484,98,159,261,27432,25877,53307,6546,6217,12762,90505,91139,181643
CED103,3545,4986,8534,6002,6943,12946,64,75,138,1749,2051,3804,151,187,340,18669,21113,39777,76,82,157,1816,1880,3689,106,152,261,82,91,175,133,156,291,948,1001,1947,527,609,1140,796,940,1732,2896,3457,6357,37,47,88,139,167,304,1515,1934,3443,2518,2893,5409,55,56,108,38276,43835,82112,5035,4729,9759,3267,2900,6170,247,249,496,4,0,5,369,370,732,392,461,852,763,827,1588,36506,34435,70942,290,216,500,106,155,269,36908,34801,71710,5479,5360,10841,93521,97697,191219
CED104,1929,2547,4481,9657,11014,20673,8,6,12,1619,1848,3462,163,162,328,16017,17336,33352,67,82,151,889,914,1801,127,134,263,120,125,248,188,219,412,207,216,421,334,384,717,850,950,1798,1671,1887,3552,65,82,150,362,445,803,2049,2562,4616,1885,2132,4017,68,97,167,36350,40595,76944,3533,3632,7169,1355,1335,2688,156,164,317,4,0,3,322,320,639,337,376,711,659,697,1358,27545,24879,52425,270,228,495,93,144,237,27902,25254,53154,3313,3147,6459,75201,77373,152571
CED105,6659,8014,14674,2537,2927,5463,36,28,60,831,939,1774,8,13,17,15544,16488,32035,30,41,68,3868,3997,7866,130,186,313,194,199,390,67,84,149,394,421,820,335,361,693,450,573,1024,787,874,1668,47,70,117,133,143,277,820,893,1711,2066,2166,4235,87,74,166,28378,30463,58837,4255,3303,7557,31074,28626,59699,21,24,42,0,5,5,248,190,437,296,296,595,540,489,1032,15815,12614,28430,109,75,181,56,69,124,15979,12763,28738,9611,8420,18027,96511,92095,188607
CED106,2345,3601,5952,10277,12126,22396,9,10,17,914,1222,2140,6,0,6,13223,15084,28306,73,61,135,796,846,1640,54,84,143,54,60,114,159,234,387,276,272,544,365,430,795,542,660,1200,1879,2145,4022,42,43,92,239,315,557,2319,3191,5511,1689,2094,3787,60,69,129,32968,38955,71920,3693,3635,7323,1132,1130,2268,1587,1594,3181,0,0,0,437,393,830,388,443,834,823,842,1659,34905,33252,68154,284,246,525,76,139,214,35264,33635,68899,3833,4139,7979,81650,87529,169182
CED107,438,635,1067,14041,15969,30014,0,0,0,1010,1144,2151,330,338,672,20619,22314,42934,33,46,84,298,271,566,209,252,463,75,79,163,135,151,287,25,23,48,408,449,864,627,775,1403,2186,2423,4608,136,189,325,155,184,341,3080,3729,6814,1546,1662,3210,37,49,86,44957,50063,95015,627,570,1196,430,345,777,51,43,93,23,29,53,193,181,376,206,317,523,431,530,962,28607,25611,54215,247,193,437,65,128,191,28925,25928,54850,8866,6401,15272,84728,84502,169232
CED108,1400,1657,3059,6367,7445,13804,104,94,199,995,1180,2174,13,17,31,25322,27764,53084,245,251,492,1378,1486,2861,287,385,675,675,737,1409,80,83,163,1217,1254,2467,1073,1162,2234,1602,1759,3362,1232,1471,2702,58,94,152,547,645,1186,1295,1420,2719,3886,4206,8091,98,116,213,46458,51557,98014,11161,10942,22101,9898,9557,19454,27,20,49,9,12,18,4223,3420,7644,404,473,871,4633,3904,8537,18363,16251,34612,138,107,244,97,112,208,18594,16466,35062,7952,7831,15786,100120,101944,202063
CED109,786,1385,2169,9368,11358,20727,18,11,20,782,914,1697,0,3,5,18753,21140,39898,30,43,73,7323,7683,15005,132,175,304,51,44,96,103,138,236,795,768,1564,205,253,457,566,684,1245,989,1193,2178,54,93,147,23,36,57,1144,1585,2722,1504,1702,3207,47,49,104,41885,47870,89755,494,503,993,1337,1325,2667,150,158,311,7,5,6,74,62,142,125,162,288,207,230,436,23393,20951,44342,200,159,353,70,154,228,23661,21263,44921,4122,4083,8206,72635,76813,149450
CED110,625,897,1521,12475,15100,27569,0,0,0,882,977,1860,4,7,15,14513,17184,31696,37,51,92,214,209,427,440,573,1015,59,71,126,140,209,344,36,34,73,419,465,889,894,1137,2030,2152,2556,4710,230,337,563,485,608,1092,2252,3137,5387,1775,2235,4011,50,60,107,37054,44959,82012,411,371,787,270,251,522,77,75,159,47,55,106,335,286,627,463,642,1105,853,991,1838,34729,33006,67740,296,205,501,160,286,446,35185,33505,68686,7710,6973,14680,82185,88020,170205
