CED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
CED101,427,2477,661,564,99,5693,1529,423,3543,1373,1330,251,8441,76,18,268,115,202,13,695,166,43,419,300,906,45,1877,317,36,751,382,538,288,2315,8510,1922,21048,9077,12015,1774,54347
CED102,410,2401,585,450,98,5834,1988,445,4354,1440,1279,284,9788,146,30,441,180,181,14,990,216,57,563,313,887,64,2089,481,44,1066,460,485,420,2964,12386,2150,27086,10197,11232,2202,65248
CED103,511,3145,619,518,99,7505,2590,627,5226,1342,1134,261,11178,142,32,397,136,170,25,896,362,60,666,324,779,58,2250,857,76,1355,375,428,361,3450,19670,2934,34550,9304,9878,2004,78337
CED104,635,3071,726,678,93,7138,1841,555,4014,1321,1099,204,9027,94,31,290,135,143,13,701,208,67,478,331,863,49,1996,458,67,853,298,451,203,2330,12012,2713,23863,8238,11415,1396,59631
CED105,213,1484,471,439,87,3652,1058,269,2867,1278,1223,242,6930,32,4,145,74,79,19,346,95,21,299,281,673,31,1406,284,35,700,447,551,531,2553,5691,996,14852,7321,8876,1897,39642
CED106,523,2790,540,326,70,6372,2759,572,4937,1111,771,257,10403,159,31,362,97,110,11,772,275,63,578,236,430,39,1623,753,71,1167,293,244,254,2786,18123,3154,31574,7166,5843,1574,67439
CED107,560,2748,761,1191,97,6233,1042,548,3181,1748,3012,275,9802,34,13,152,68,222,14,499,57,29,226,264,1569,38,2176,64,14,183,159,799,272,1484,3528,1820,12370,7692,24594,1784,51790
CED108,279,1519,458,620,74,4096,1304,395,4547,1703,2334,342,10624,29,13,137,76,133,10,398,135,22,320,252,973,58,1761,320,29,834,410,840,487,2927,8167,1465,20119,8688,15353,2232,56022
CED109,456,2724,685,586,108,5712,1243,401,3293,1311,1233,285,7768,69,23,302,146,247,32,822,113,35,332,375,1200,48,2104,190,44,659,362,654,213,2114,6034,1911,19400,9975,15960,1827,55103
CED110,578,2658,813,1112,92,6002,1095,569,3804,2001,3812,385,11673,34,12,136,92,254,10,537,52,27,192,324,1336,46,1977,56,19,205,180,762,308,1522,3020,1785,11535,7539,21112,1851,46839
CED111,783,3461,756,928,95,8407,1933,630,4208,1730,2330,249,11080,86,41,303,144,228,18,818,155,31,377,320,1220,36,2136,200,29,463,220,634,197,1743,8003,2484,18334,8534,17841,1306,56497
CED112,437,2292,673,851,84,5042,764,497,3129,1987,3625,310,10308,32,14,131,92,238,14,513,38,22,213,292,1459,44,2075,56,16,268,267,816,230,1651,2716,1477,10722,8364,22304,1549,47137
CED113,587,2274,648,869,82,5394,871,504,2386,1296,1932,196,7190,97,45,363,158,382,30,1077,106,31,211,259,1386,31,2017,126,23,332,235,789,265,1762,5913,2613,14102,8805,21485,1745,54662
CED114,651,2730,711,1123,81,5942,728,525,2847,1745,2813,276,8934,18,15,85,76,184,16,394,38,15,156,317,1507,51,2087,61,22,197,219,854,343,1699,2652,1850,11667,7855,23605,2053,49689
