CED_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
CED101,19615,1284,473,217,25,10,58,21679
CED102,19643,1149,329,204,15,11,43,21395
CED103,23877,1340,362,169,5,6,40,25802
CED104,22110,1346,411,169,8,4,37,24086
CED105,20789,1182,539,357,19,12,79,22985
CED106,23746,1493,329,123,10,4,47,25758
CED107,13998,1958,932,178,42,12,178,17294
CED108,24516,1807,886,517,48,24,136,27941
CED109,17329,1474,464,106,16,0,38,19431
CED110,12198,1732,747,174,31,12,146,15044
CED111,16291,1476,492,116,11,11,75,18465
CED112,14688,2019,973,166,33,22,135,18035
CED113,14746,1792,785,146,30,5,120,17638
CED114,14412,1740,809,159,31,13,164,17319
CED115,19047,1289,519,374,42,17,101,21399
CED116,12212,1660,671,135,28,12,168,14878
CED117,14530,1015,232,80,10,4,33,15905
CED118,28890,1787,717,379,25,13,81,31890
CED119,20198,1554,554,129,15,0,33,22491
CED120,18725,2024,1103,217,33,14,140,22259
CED121,15302,2385,1077,219,57,25,178,19241
CED122,18228,1261,359,92,10,0,58,19998
CED123,19759,2216,1128,271,37,18,118,23569
CED124,11425,1636,694,173,34,12,179,14145
CED125,24612,2181,1076,402,60,28,141,28499
CED126,19200,1574,430,123,14,7,59,21405
CED127,15157,1644,711,155,30,8,110,17819
CED128,21111,1273,587,287,42,13,80,23392
CED129,28761,1760,560,204,14,3,55,31350
CED130,12014,1594,795,143,29,13,177,14762
CED131,14616,1692,561,109,23,0,74,17080
CED132,18417,1286,259,66,8,0,33,20068
CED133,12467,1801,796,191,37,20,155,15465
CED134,11626,1640,738,183,28,15,188,14431
CED135,24543,1327,387,229,14,4,63,26562
CED136,15211,2566,1166,191,60,24,166,19387
CED137,21237,1358,303,142,10,0,56,23107
CED138,13386,1747,613,150,24,11,99,16028
CED139,13361,1616,830,134,28,18,141,16132
CED140,14433,1589,621,122,15,7,84,16859
CED141,14060,1874,765,153,37,13,120,17022
CED142,9617,845,125,45,8,0,44,10685
CED143,17666,1316,330,63,7,0,38,19426
CED144,21081,1193,422,250,29,8,60,23031
CED145,13343,1030,242,41,3,3,21,14688
CED146,26158,1603,755,445,32,12,106,29103
CED147,16154,2156,963,181,33,14,145,19639
CED194,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0
