CED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
CED101,79869,83028,162893,4673,4196,8868,9699,9222,18924,4748,4391,9139,5722,5304,11023,11459,11309,22767,10778,11446,22229,9903,10912,20812,10000,10613,20615,7221,7934,15152,3956,4901,8857,1708,2801,4515,78143,81224,159367,1727,1804,3531,722,829,1550,24,15,38,8,18,28,752,859,1618,45385,45665,91050,31299,34076,65372,40128,39861,79993,36156,39268,75423,65050,67828,132876,1427,1286,2718,9197,8708,17907,3960,3832,7795,2795,2754,5546,2953,4018,6975,42308,44647,86954,3285,2889,6171,10480,10795,21271,2801,3132,5934,2336,3017,5349,827,1243,2069,76316,78974,155288,2899,3363,6265
CED102,90505,91139,181643,5116,4725,9848,9074,8572,17651,4379,3875,8255,7254,6453,13703,17800,17474,35274,13783,13496,27276,10595,11368,21959,9324,9928,19253,6993,7618,14612,4312,5043,9357,1877,2581,4459,88497,89140,177637,2008,1999,4008,607,669,1268,21,23,40,20,27,46,638,717,1356,42503,40610,83119,43648,46449,90093,34860,32478,67338,50234,53325,103562,66932,67995,134920,1490,1413,2905,8491,8049,16539,3617,3386,7001,3909,3463,7371,5194,6466,11659,51822,52591,104412,3462,3052,6510,8996,8489,17484,2369,2351,4717,3288,4385,7674,1352,1936,3290,85276,85928,171208,5012,5053,10065
CED103,93521,97697,191219,5407,5160,10569,11387,10682,22066,4820,4479,9295,6369,6060,12422,16022,16760,32784,15438,15883,31319,11005,11904,22907,10025,11054,21079,7472,8296,15766,3832,4725,8557,1736,2710,4449,91328,95445,186773,2194,2254,4444,421,418,834,21,21,39,12,19,26,459,450,903,44611,43577,88189,45753,50897,96647,42274,41133,83398,47471,52691,100168,70646,71860,142506,1757,1617,3375,10909,10239,21145,4353,4078,8432,3663,3591,7254,4779,6572,11350,58781,61933,120712,2886,2732,5621,7122,8001,15117,2151,2410,4558,1651,2088,3742,685,971,1652,88994,92886,181881,4180,4381,8567
CED104,75201,77373,152571,3577,3436,7012,11415,10329,21749,5546,5080,10623,4655,4109,8767,6187,6248,12432,9435,10548,19980,10985,11646,22631,9805,10343,20148,7544,8158,15702,4471,4987,9461,1578,2491,4070,73539,75734,149270,1660,1641,3305,518,456,973,17,14,25,7,12,18,538,480,1014,47615,47247,94860,26034,28545,54579,51177,50843,102018,22058,24386,46439,66387,67513,133895,1329,1306,2636,11105,10046,21149,4887,4609,9501,2494,2365,4861,2112,3342,5451,42534,44674,87208,3084,2941,6025,8874,9699,18573,2350,2477,4826,1097,1202,2300,313,398,714,72665,74472,147129,1876,2477,4350
CED105,96511,92095,188607,6842,6475,13322,12945,12339,25283,6136,5583,11724,8237,7128,15369,16742,14941,31675,12886,11959,24842,10817,10644,21465,10066,10018,20086,6813,7073,13887,3613,3818,7429,1413,2114,3523,94559,90410,184967,1954,1691,3642,476,487,963,18,27,46,16,18,33,515,533,1049,40754,40227,80982,48399,45290,93689,23679,22109,45785,64279,62365,126652,69460,70184,139647,1676,1509,3186,11406,10992,22403,4709,4609,9314,3910,3597,7511,4244,4809,9049,43693,42074,85766,3724,3317,7037,10743,9767,20512,3548,3343,6889,4567,4979,9551,2864,3371,6229,88864,85178,174044,7414,6700,14114
CED106,81650,87529,169182,4331,3896,8228,12366,11779,24142,5788,5485,11279,4876,4526,9400,7657,8159,15818,11509,13200,24709,11591,13038,24628,9500,10103,19602,7152,8284,15435,4754,5737,10492,2140,3309,5448,79588,85312,164899,2066,2217,4279,205,195,399,19,13,27,8,9,17,235,215,446,43668,43961,87633,36064,41487,77546,49365,49738,99107,29955,35216,65166,67046,70021,137062,1611,1520,3135,12003,11467,23468,5352,5188,10539,2999,2903,5898,2743,4390,7137,52681,56503,109181,2594,2927,5526,4585,6181,10772,1766,2069,3837,890,1081,1976,305,471,777,78415,83654,162075,2674,3533,6210
CED107,84728,84502,169232,5207,4798,10004,11828,11097,22924,5362,4805,10167,4765,4297,9063,10247,10215,20457,9825,9828,19654,10363,10681,21049,10845,11069,21909,9525,9504,19023,5246,5684,10926,1526,2522,4049,80479,81248,161725,4252,3256,7506,6648,6140,12786,103,103,209,146,125,265,6894,6365,13259,70895,70843,141740,7782,7893,15670,73177,74944,148123,4007,4181,8186,74288,76028,150314,1486,1435,2925,10851,10195,21047,3587,3519,7105,1065,1397,2465,1885,3537,5417,25254,31483,56735,4897,4647,9545,20932,18896,39827,5603,5301,10907,3414,2861,6266,279,216,498,75383,77530,152916,9668,7214,16883
CED108,100120,101944,202063,8150,7669,15819,15760,15124,30886,6508,6078,12586,7220,6627,13850,14758,16069,30830,15941,15852,31791,11585,11663,23248,9690,10097,19794,6661,7547,14213,3012,3582,6589,833,1634,2464,98219,100317,198537,1902,1624,3528,3834,4253,8090,73,87,155,94,95,187,3994,4432,8427,49892,49597,99496,43772,45815,89587,46708,46199,92904,46268,48501,94772,79358,80465,159822,1988,1845,3837,14226,13677,27903,4698,4679,9380,2558,2676,5230,3304,4942,8243,43751,45862,89618,4306,4275,8584,13847,13340,27185,4220,4289,8514,3171,3800,6967,1006,1424,2428,93719,95192,188917,6118,6614,12728
CED109,72635,76813,149450,4292,3941,8231,9064,8346,17406,4372,4165,8537,4182,4115,8298,8769,9279,18049,9300,10011,19311,9987,10660,20639,9103,9639,18747,7105,8028,15129,4501,5506,10008,1967,3133,5094,70582,74863,145443,2058,1949,4003,924,896,1816,28,14,43,25,23,39,970,930,1897,53577,55281,108854,16248,18727,34974,54434,55988,110423,15094,17536,32629,65517,68964,134486,1417,1322,2734,8628,7983,16608,3686,3616,7300,1752,1839,3591,1892,2970,4864,36016,39517,75531,3582,3047,6623,12137,13023,25161,2638,3179,5814,1631,2022,3647,354,451,813,68918,72916,141832,3098,3520,6615
CED110,82185,88020,170205,4127,3976,8104,10092,9934,20031,4938,4737,9679,3928,3802,7729,8214,8450,16670,8556,9302,17863,9691,10877,20566,11430,12940,24368,11917,12455,24373,6910,7896,14808,2368,3654,6018,78398,84539,162937,3783,3480,7265,5760,5987,11751,87,82,168,127,139,266,5979,6205,12182,66298,70633,136935,10168,11513,21684,71830,77449,149279,4334,5054,9390,72839,78685,151527,1251,1228,2475,9238,9099,18335,3309,3379,6689,945,1316,2256,1925,3772,5695,26561,31650,58210,5329,5252,10579,19990,21532,41524,6263,6358,12620,3479,3253,6728,337,340,675,75007,81040,156045,8320,8250,16576
