CED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED101,574,669,1246,187,200,382,226,518,744,210,1250,1465,691,2484,3177,714,1203,1916,2034,857,2889,1806,1024,2823,2300,1166,3463,2688,980,3666,2099,768,2867,2274,632,2900,5141,1089,6233,4132,178,4310,3660,270,3928,2575,83,2654,8303,337,8642,2120,201,2321,417,518,935,42142,14413,56556
CED102,750,939,1691,217,240,453,227,475,696,248,1086,1340,704,2252,2962,781,1274,2055,2262,938,3208,1923,1358,3278,2425,1627,4050,3004,1414,4426,2374,1389,3760,2556,1135,3689,6055,2064,8119,4539,460,4996,3884,615,4499,2885,196,3081,8313,753,9061,2180,458,2632,477,433,909,45807,19098,64902
CED103,808,994,1800,257,280,538,260,543,799,244,1090,1333,687,1892,2572,702,1387,2086,1747,1119,2868,1769,1398,3166,2304,1854,4150,2900,1619,4523,2338,1449,3786,2442,1221,3658,6232,2356,8593,4743,268,5012,4463,583,5046,3363,137,3501,12607,807,13415,2347,319,2663,413,408,821,50622,19718,70339
CED104,377,336,714,164,151,315,136,273,410,139,427,562,425,1113,1533,415,919,1332,1168,633,1805,1267,724,1991,1692,703,2403,2100,608,2708,1584,491,2069,1745,406,2150,4040,729,4770,3445,72,3517,3598,182,3784,2879,22,2897,13800,302,14101,2111,72,2180,305,225,533,41392,8387,49783
CED105,894,777,1675,218,174,393,344,649,993,392,1397,1792,1103,2226,3324,1193,1000,2195,2993,777,3770,2590,952,3539,3229,997,4225,3508,750,4259,2647,579,3231,2597,462,3055,4974,697,5669,3419,252,3671,2592,205,2795,1699,132,1836,3943,373,4315,2444,327,2776,671,509,1183,41450,13235,54690
CED106,753,490,1242,229,205,433,203,358,560,179,520,700,478,1072,1550,501,946,1441,1111,787,1904,1144,949,2095,1691,1104,2795,2068,895,2960,1614,938,2551,1860,735,2597,4443,1458,5897,3342,132,3476,3546,482,4026,2494,63,2556,17846,827,18663,2456,140,2595,332,297,626,46271,12391,58668
CED107,384,679,1057,193,269,458,183,689,870,265,1387,1656,801,3775,4576,859,2113,2970,2848,1357,4207,2458,1760,4226,2862,1688,4555,3307,1194,4499,2420,1042,3462,2555,748,3304,5483,1216,6694,4251,158,4405,3235,244,3475,2135,36,2169,4944,380,5328,3092,223,3308,649,861,1513,42907,19826,62731
CED108,552,584,1130,145,164,314,227,447,672,318,1009,1322,853,2062,2912,1041,957,1998,2600,653,3251,2286,987,3274,2722,1120,3844,3656,779,4440,2958,609,3571,2983,429,3409,7052,689,7742,5303,140,5438,4255,162,4416,2779,58,2838,5796,199,6001,2702,169,2871,654,474,1124,48872,11689,60567
CED109,458,601,1058,168,256,421,159,423,587,123,819,937,489,2089,2575,500,1376,1871,1496,1039,2531,1358,1228,2586,1840,1382,3223,2147,1184,3332,1741,1112,2845,1938,898,2834,4470,1526,5995,3723,144,3873,3640,429,4071,2670,79,2751,10813,564,11372,2084,165,2247,359,400,760,40164,15715,55876
CED110,437,664,1101,233,254,486,235,812,1053,282,1726,2006,1025,4605,5635,1091,3285,4380,4132,1719,5859,3390,2077,5467,3850,1829,5674,4442,1140,5580,2775,867,3640,2779,661,3442,5203,850,6058,3579,134,3708,2570,161,2733,1524,32,1561,3259,315,3571,2770,290,3063,670,1068,1737,44240,22495,66737
CED111,373,596,971,158,269,424,169,686,857,240,1492,1727,671,3311,3978,752,1899,2649,2235,1298,3536,2109,1471,3583,2472,1557,4028,2805,1286,4098,2011,1077,3085,2235,883,3125,4858,1530,6381,4187,282,4460,3633,363,3995,2603,126,2728,7528,558,8091,2117,560,2675,369,618,986,41534,19863,61396
CED112,415,597,1016,152,202,352,159,529,682,216,1264,1473,697,3574,4271,873,2085,2957,2853,1273,4125,2537,1547,4080,2975,1455,4427,3404,981,4382,2531,762,3295,2696,574,3271,5706,723,6435,4414,98,4514,3335,173,3504,2055,43,2096,4671,242,4913,2508,184,2690,501,779,1285,42687,17087,59780
CED113,354,526,883,198,209,409,166,547,714,183,1092,1279,677,3024,3702,718,1873,2592,2384,1299,3682,2144,1574,3718,2492,1698,4188,3043,1186,4230,2170,1154,3319,2418,888,3311,5037,1370,6410,3941,137,4079,3468,309,3773,2413,36,2444,7467,473,7932,2910,201,3112,492,619,1114,42665,18219,60888
CED114,471,627,1100,215,232,447,205,757,966,241,1432,1673,867,3929,4802,995,2439,3434,3208,1594,4797,2688,1966,4651,3145,1993,5137,3767,1341,5107,2693,999,3690,2971,695,3665,6025,993,7020,4053,141,4198,3020,182,3204,1818,60,1879,3651,345,3996,3130,208,3333,831,1050,1880,43977,20989,64963
CED115,974,722,1694,208,148,355,313,540,850,449,1316,1767,1069,2184,3258,1125,1035,2165,3229,804,4035,2839,1103,3938,3163,1123,4289,3444,806,4251,2755,542,3295,2539,403,2942,4831,603,5433,3348,89,3435,2515,123,2637,1677,32,1704,3734,141,3878,2103,149,2249,589,465,1052,40908,12332,53241
CED116,517,624,1142,249,284,539,213,653,870,249,1363,1609,957,4126,5080,1049,2658,3705,4083,1565,5650,3199,1761,4963,3847,1639,5485,4394,1106,5495,2665,813,3475,2818,627,3444,5351,840,6189,3607,97,3707,2664,173,2827,1573,27,1604,3879,320,4200,2684,194,2876,618,912,1527,44603,19772,64375
CED117,332,629,955,129,187,313,93,485,582,126,1031,1157,364,1859,2228,336,1274,1609,950,1190,2141,944,1440,2383,1279,1843,3119,1553,1838,3393,1248,1722,2971,1463,1522,2990,3744,3219,6966,3139,503,3640,3274,1047,4323,2643,308,2952,14762,2024,16786,1637,701,2331,241,371,609,38252,23196,61444
CED118,499,497,995,116,135,248,161,364,527,197,762,961,559,1585,2148,620,813,1438,1679,636,2317,1607,848,2452,2277,1040,3317,2765,863,3629,2472,745,3217,2632,647,3273,7088,1038,8119,5775,184,5957,5563,250,5818,4041,88,4128,10766,353,11113,2393,197,2589,491,329,814,51708,11363,63077
CED119,327,355,682,137,144,278,107,302,414,106,569,677,452,1493,1948,461,849,1304,1303,652,1957,1332,742,2075,1747,896,2638,2193,683,2881,1646,638,2284,1884,526,2408,4696,1013,5710,4347,84,4430,4229,204,4434,3253,35,3287,10417,272,10689,2025,90,2114,320,260,579,40970,9818,50790
CED120,401,498,903,172,184,356,143,419,559,177,843,1027,564,2378,2937,656,1355,2013,2198,884,3087,1918,1187,3108,2392,1260,3651,2965,837,3795,2448,710,3160,2590,574,3159,6035,908,6952,5106,97,5202,4295,184,4481,2819,26,2845,7192,267,7457,2641,126,2764,538,506,1044,45257,13246,58501
