CED_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
CED101,..,12705,12705,15236,1104,16338,9932,330,10265,10236,161,10400,4336,72,4407,2402,37,2437,42142,14413,56556
CED102,..,15164,15164,18225,2506,20735,11265,832,12095,9849,386,10237,4029,121,4151,2437,80,2519,45807,19098,64902
CED103,..,16844,16844,20299,2044,22343,12345,491,12838,11873,202,12076,4140,73,4211,1966,61,2022,50622,19718,70339
CED104,..,7725,7725,14148,494,14644,8974,104,9083,11503,41,11544,4507,21,4524,2259,5,2266,41392,8387,49783
CED105,..,10587,10587,11736,1201,12938,9083,622,9707,9216,442,9660,5812,218,6026,5607,167,5774,41450,13235,54690
CED106,..,11208,11208,16895,866,17761,10837,188,11024,12340,84,12422,4518,31,4557,1688,19,1702,46271,12391,58668
CED107,..,18041,18041,20610,1404,22014,8402,261,8660,7938,77,8009,4024,34,4061,1930,8,1947,42907,19826,62731
CED108,..,10079,10079,13765,1133,14896,11879,274,12145,12519,139,12655,6047,42,6094,4666,35,4699,48872,11689,60567
CED109,..,14327,14327,17218,1159,18377,8455,166,8624,9192,39,9233,3841,12,3850,1456,8,1465,40164,15715,55876
CED110,..,20219,20219,23319,1859,25179,8529,289,8815,7243,83,7328,3303,26,3329,1846,17,1866,44240,22495,66737
CED111,..,16711,16711,18591,1867,20458,8728,789,9512,9192,325,9511,3591,110,3695,1434,69,1499,41534,19863,61396
CED112,..,15344,15344,18441,1433,19876,9121,207,9323,9004,67,9069,4030,22,4061,2092,9,2101,42687,17087,59780
CED113,..,16704,16704,21064,1211,22272,8297,192,8490,8119,81,8202,3547,17,3558,1636,23,1658,42665,18219,60888
CED114,..,19160,19160,22002,1423,23429,8320,257,8579,7842,87,7930,3927,30,3957,1881,28,1909,43977,20989,64963
CED115,..,10842,10842,12658,1093,13749,9386,236,9619,9184,92,9276,5099,49,5145,4585,23,4612,40908,12332,53241
CED116,..,18114,18114,24981,1402,26385,7824,175,7997,7158,66,7225,3152,18,3165,1491,7,1498,44603,19772,64375
CED117,..,18666,18666,18829,2740,21564,8735,1136,9872,7996,485,8486,2046,131,2174,648,45,692,38252,23196,61444
CED118,..,9641,9641,14537,1093,15632,12839,346,13188,15506,147,15661,5664,92,5757,3161,43,3201,51708,11363,63077
CED119,..,8998,8998,14873,672,15545,8823,98,8922,10994,30,11023,4575,17,4599,1700,0,1700,40970,9818,50790
CED120,..,12190,12190,18097,895,18997,9064,105,9168,10183,33,10215,5185,11,5193,2731,6,2737,45257,13246,58501
CED121,..,15493,15493,20744,1300,22047,9721,176,9896,9293,43,9341,4176,28,4203,2159,11,2172,46098,17043,63147
CED122,..,19080,19080,20126,3579,23702,10473,1233,11703,9869,360,10227,3318,119,3432,1305,73,1382,45094,24440,69536
CED123,..,14640,14640,17449,1484,18934,11173,202,11375,10981,55,11042,5073,24,5105,2992,13,3004,47669,16428,64098
CED124,..,17517,17517,24420,1395,25812,7493,122,7622,6650,26,6678,3113,17,3132,1657,12,1666,43332,19090,62418
CED125,..,11712,11712,16908,1160,18068,12310,200,12504,12842,61,12903,6220,30,6247,4151,17,4168,52430,13178,65604
CED126,..,11974,11974,16377,946,17329,8506,203,8709,10701,91,10791,4273,41,4313,1701,13,1714,41555,13263,54824
CED127,..,13157,13157,17293,1044,18332,8175,140,8311,8069,47,8118,3735,11,3745,1917,4,1921,39187,14403,53591
CED128,..,9939,9939,13027,906,13934,9138,231,9372,9666,101,9773,5632,37,5674,4694,35,4720,42158,11250,53405
CED129,..,8017,8017,15415,657,16072,11560,162,11724,15085,75,15159,6070,39,6104,2690,18,2703,50821,8969,59786
CED130,..,18054,18054,20488,1448,21932,7677,248,7929,6966,100,7064,3355,30,3385,1668,14,1689,40151,19903,60053
CED131,..,18838,18838,19459,2643,22096,9048,1245,10293,8538,423,8959,3227,134,3362,1164,69,1236,41430,23361,64787
CED132,..,20372,20372,21286,2065,23354,9866,527,10394,9498,133,9630,3052,32,3083,868,19,884,44574,23145,67719
CED133,..,18321,18321,22727,1944,24670,8433,249,8685,7302,74,7380,3440,19,3464,1994,28,2020,43903,20639,64545
CED134,..,16864,16864,17824,1282,19112,7479,205,7683,6546,63,6614,3520,20,3546,1851,13,1863,37236,18441,55677
CED135,..,15873,15873,17088,2470,19551,13452,953,14404,11795,508,12299,4406,179,4590,2884,111,2999,49624,20085,69717
CED136,..,16370,16370,22074,1401,23476,10027,195,10231,9404,61,9466,4177,32,4203,2107,9,2115,47788,18062,65852
CED137,..,18017,18017,23003,3158,26164,12723,1175,13900,10851,593,11445,3813,254,4071,1772,128,1902,52164,23328,75494
CED138,..,18140,18140,21302,2175,23481,8540,561,9093,8069,197,8267,3288,78,3364,1557,30,1587,42756,21179,63929
CED139,..,18001,18001,20222,1367,21592,7811,264,8070,7098,84,7186,3862,30,3899,1978,15,1999,40979,19766,60743
CED140,..,16827,16827,19127,1407,20534,8383,244,8621,8375,73,8448,3293,10,3303,1456,11,1461,40637,18560,59198
CED141,..,15453,15453,19600,1239,20841,8520,184,8704,8800,58,8858,3460,16,3474,1375,5,1377,41758,16954,58712
CED142,..,37208,37208,29639,6877,36514,8595,2612,11211,5060,1167,6226,1239,340,1578,509,152,663,45043,48352,93398
CED143,..,15276,15276,17733,1656,19387,8246,476,8715,9598,98,9694,3528,37,3568,1073,18,1092,40171,17559,57730
CED144,..,12611,12611,13892,1679,15571,10001,625,10623,9536,342,9879,5177,147,5332,4165,121,4288,42775,15532,58304
