CED_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
CED101,3759,734,4515,27508,4510,308,32325,95709,7073,135106
CED102,3546,873,4459,28229,4376,272,32882,111204,10062,154148
CED103,3847,569,4449,35339,5056,286,40685,110758,7140,158584
CED104,3380,664,4070,29692,5609,347,35649,84104,4064,123813
CED105,2810,696,3523,27666,4125,331,32127,103466,14414,150001
CED106,4866,554,5448,35412,5370,294,41078,91298,4430,136812
CED107,3548,449,4049,25857,9348,1214,36418,88175,11711,136304
CED108,2106,343,2464,36419,5965,607,42993,100825,11548,155365
CED109,4327,731,5094,25892,5995,362,32239,85667,5899,123810
CED110,4960,1016,6018,22974,8912,1202,33086,97932,11053,142073
CED111,3722,729,4479,26523,7173,502,34200,93202,6841,134240
CED112,3736,1043,4801,27221,6831,775,34829,88574,8337,131734
CED113,2936,475,3452,24926,8719,1059,34703,88925,9325,132953
CED114,3961,702,4701,24989,9687,1132,35814,92952,12246,141007
CED115,2736,774,3531,23428,4141,261,27829,103330,11316,142478
CED116,4725,650,5405,21427,9217,1075,31716,96325,10026,138060
CED117,2241,398,2659,25406,3163,276,28843,92908,6606,128354
CED118,1781,198,1995,43077,5224,461,48759,98389,9211,156361
CED119,2354,800,3181,29869,5723,368,35956,79504,4636,120095
CED120,2600,488,3108,31559,7674,889,40126,87992,7993,136113
CED121,3789,564,4383,28404,10404,1140,39952,91782,9564,141295
CED122,3125,629,3791,29078,4582,319,33980,110137,10416,154528
CED123,1907,527,2446,34458,6605,759,41823,95228,10666,147710
CED124,4707,790,5529,20032,8376,904,29308,94253,9016,132575
CED125,1487,271,1764,40120,6847,745,47706,100775,9145,157621
CED126,4162,661,4854,29375,6050,431,35854,85953,5316,127120
CED127,2627,331,2981,25070,6076,567,31717,81984,5148,118852
CED128,2529,463,3016,26389,4610,360,31361,98622,9979,139961
CED129,2491,376,2888,40975,6051,420,47455,95521,4546,147523
CED130,3457,676,4170,22404,8040,1004,31442,85804,11845,129088
CED131,3340,818,4195,26134,8974,845,35948,95259,7802,139005
CED132,3276,677,3978,30655,4664,328,35650,97559,6306,139516
CED133,4095,643,4765,23064,9386,1204,33655,94388,11927,139966
CED134,3092,658,3784,21718,8156,968,30834,77238,15548,123625
CED135,2394,340,2750,36625,4080,281,40986,111323,12514,164828
CED136,3027,529,3585,29159,10058,1258,40472,93592,7371,141438
CED137,3383,603,4033,32046,4846,283,37175,124556,10914,172643
CED138,4865,897,5793,24650,8548,1046,34251,94606,11218,140075
CED139,3900,543,4472,23957,9115,1095,34173,85496,10458,130124
CED140,3888,990,4904,25094,6456,525,32074,86592,7298,125967
CED141,3704,560,4300,25027,9482,853,35358,83459,5943,124765
CED142,1443,265,1726,18937,3307,202,22449,151605,14408,188461
CED143,3154,416,3588,29154,4882,355,34391,84691,4746,123828
CED144,3464,538,4030,28748,3928,335,33008,103833,11553,148398
CED145,2751,1124,3903,23629,4266,267,28157,87981,8116,124257
CED146,1696,612,2331,34039,5374,492,39906,104251,10055,154210
CED147,3663,804,4497,27858,8554,844,37244,92896,7091,137237
CED194,33,16,49,818,332,37,1191,5556,3362,10112
CED197,0,0,0,0,0,0,0,0,0,0
