UCL_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
UCL101001,1185624,..,..,..,..,1185624,..,2300,39,2338,14,2349,..,82530,13668,96196,914,97118,..,178,13,187,9,197,..,48198,15579,63777,300,64076,..,74432,28662,103096,573,103671,..,5747,2094,7841,46,7882,..,128380,46334,174717,924,175633,..,7359,1043,8402,73,8480,..,2314,60,2375,28,2402,..,8830,367,9200,79,9282,..,6430,188,6620,67,6686,..,30731,4824,35557,322,35877,..,15397,840,16236,99,16335,..,30584,1007,31594,246,31845,..,14173,1138,15312,121,15441,..,4746,150,4893,25,4917,..,14641,908,15549,179,15726,..,29826,1614,31442,240,31689,..,109371,5657,115036,911,115943,..,25177,3122,28301,304,28603,..,5018,930,5950,39,5994,..,18456,8428,26888,249,27136,..,7882,1255,9132,112,9249,..,3899,296,4197,59,4257,..,8769,1956,10721,106,10828,..,4560,503,5062,42,5107,..,6112,1024,7129,39,7171,..,6412,691,7103,148,7247,..,7128,1460,8583,85,8671,..,8649,242,8890,61,8954,..,12065,1187,13247,92,13341,..,16269,459,16726,155,16877,..,1907
UCL102001,14287,..,..,..,..,14287,..,13,0,13,0,13,..,56,9,65,0,65,..,8,0,8,0,8,..,28,11,42,0,46,..,68,22,88,0,88,..,0,4,3,0,3,..,102,35,135,0,132,..,85,10,95,3,95,..,12,0,12,0,12,..,45,0,45,0,45,..,45,0,45,0,43,..,87,12,97,0,97,..,93,7,98,0,99,..,108,4,115,0,115,..,199,15,209,4,217,..,27,0,27,0,27,..,70,3,71,0,71,..,113,5,119,0,119,..,610,29,643,5,651,..,219,27,249,3,246,..,10,3,13,0,13,..,9,3,20,0,20,..,367,72,440,3,446,..,20,0,17,0,17,..,17,0,14,0,14,..,27,0,22,0,29,..,28,3,28,0,30,..,30,0,36,0,33,..,103,12,117,4,121,..,43,0,43,0,43,..,23,3,23,0,23,..,63,0,59,0,63,..,4
UCL102002,131965,..,..,..,..,131965,..,193,0,192,0,194,..,257,17,277,3,282,..,30,0,27,0,27,..,261,114,374,4,375,..,423,160,581,7,593,..,22,7,26,0,26,..,701,275,983,10,991,..,109,8,121,4,120,..,180,0,181,3,186,..,239,15,253,3,252,..,375,13,396,0,393,..,280,26,306,6,314,..,38,0,38,0,38,..,180,10,184,0,190,..,107,11,119,0,118,..,28,3,33,0,33,..,68,3,70,0,70,..,118,5,126,3,125,..,539,30,568,3,572,..,488,51,545,4,550,..,136,19,152,0,157,..,201,95,295,3,300,..,10,3,14,0,14,..,147,3,156,3,152,..,51,7,56,0,57,..,112,9,121,0,123,..,197,18,216,0,217,..,61,3,64,0,64,..,75,4,83,0,83,..,126,4,124,3,131,..,91,9,105,0,105,..,177,4,183,3,184,..,49
UCL102003,25370,..,..,..,..,25370,..,12,0,12,5,18,..,19,4,19,0,19,..,10,0,10,0,10,..,34,15,45,4,53,..,51,24,73,4,73,..,7,0,7,0,7,..,86,35,126,9,128,..,13,0,10,0,10,..,19,0,15,0,15,..,71,3,72,0,72,..,87,3,89,0,88,..,21,0,26,0,26,..,3,0,3,0,3,..,17,0,21,0,21,..,39,5,47,0,47,..,3,0,3,0,3,..,10,0,17,0,17,..,21,0,25,0,25,..,101,12,111,0,111,..,72,0,75,5,73,..,73,10,84,3,87,..,7,10,8,0,8,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,16,0,16,0,16,..,4,0,6,0,6,..,11,0,11,0,11,..,10,0,10,0,10,..,23,0,23,0,23,..,11,0,11,0,8,..,35,0,35,0,38,..,7
UCL102004,139663,..,..,..,..,139663,..,115,0,116,3,115,..,360,106,469,3,474,..,34,0,34,4,34,..,346,109,460,5,460,..,857,198,1062,3,1060,..,92,41,127,0,127,..,1300,347,1645,8,1655,..,146,23,163,0,163,..,123,0,123,3,123,..,226,11,231,3,239,..,332,8,342,8,354,..,461,45,506,0,508,..,133,4,134,0,134,..,253,6,264,3,263,..,160,12,174,0,176,..,103,10,114,0,114,..,191,13,204,0,204,..,174,14,187,0,188,..,1012,60,1078,8,1086,..,562,59,622,15,632,..,103,13,117,0,117,..,188,77,267,5,266,..,708,95,800,10,810,..,28,0,28,0,28,..,144,15,161,0,161,..,189,8,201,0,202,..,67,7,74,0,76,..,150,8,157,5,157,..,143,20,169,0,169,..,88,0,92,0,90,..,101,7,109,0,109,..,154,0,156,3,159,..,61
UCL102005,102509,..,..,..,..,102509,..,76,0,76,5,82,..,1237,299,1530,14,1543,..,18,0,18,0,18,..,264,102,365,0,369,..,1373,349,1721,4,1730,..,176,71,241,0,241,..,1811,517,2326,6,2339,..,393,59,447,7,450,..,143,0,146,4,150,..,168,8,173,3,175,..,397,15,410,10,419,..,833,98,924,9,942,..,81,4,89,0,89,..,237,6,242,0,241,..,63,3,67,3,69,..,100,0,100,0,100,..,201,4,208,0,208,..,149,6,153,0,150,..,837,24,861,3,862,..,1692,218,1913,46,1963,..,90,10,97,0,94,..,107,54,164,3,162,..,2610,496,3112,47,3154,..,215,17,228,5,241,..,221,22,243,4,246,..,175,21,194,0,199,..,76,11,92,0,92,..,42,0,40,0,40,..,667,155,817,6,825,..,83,0,83,0,82,..,136,14,150,0,150,..,158,3,163,3,164,..,92
UCL111001,19852,..,..,..,..,19852,..,25,0,26,0,26,..,43,8,46,0,46,..,13,0,13,0,13,..,27,8,34,0,34,..,40,23,69,0,69,..,0,0,4,0,4,..,70,30,97,0,97,..,17,3,22,0,22,..,23,0,23,0,23,..,17,0,17,0,17,..,49,5,55,4,61,..,66,7,73,0,70,..,49,0,49,0,49,..,66,4,77,0,77,..,118,19,139,5,146,..,21,3,23,0,23,..,19,3,21,0,21,..,192,124,318,0,317,..,470,153,627,5,628,..,46,0,42,0,42,..,8,0,7,0,7,..,4,4,12,0,12,..,4,0,4,0,4,..,0,0,0,0,0,..,19,0,19,0,19,..,10,0,14,0,14,..,11,3,13,0,13,..,0,0,0,0,0,..,20,0,20,0,20,..,27,0,24,0,24,..,4,0,4,0,4,..,44,3,43,0,41,..,13
UCL111002,34603,..,..,..,..,34603,..,77,0,78,0,78,..,40,6,46,0,46,..,15,0,15,0,15,..,48,31,84,0,85,..,55,50,108,4,109,..,0,0,3,0,3,..,112,81,195,7,200,..,11,0,12,0,12,..,14,0,14,0,14,..,23,0,20,0,20,..,57,0,57,4,60,..,37,3,37,0,40,..,20,4,24,0,24,..,37,6,37,0,37,..,56,0,57,0,57,..,9,0,9,0,9,..,40,0,40,0,41,..,33,0,36,0,36,..,195,9,206,0,206,..,52,3,55,0,54,..,8,0,15,0,15,..,14,3,18,0,22,..,10,0,10,0,10,..,7,0,7,0,7,..,3,0,3,0,3,..,30,3,34,0,34,..,6,3,9,0,9,..,17,0,23,0,23,..,9,4,11,0,11,..,20,0,20,0,20,..,12,0,12,0,12,..,45,0,51,0,51,..,5
UCL112001,7934,..,..,..,..,7934,..,12,0,12,0,12,..,134,30,164,0,170,..,9,0,14,0,14,..,21,7,24,0,24,..,75,42,119,0,119,..,11,11,18,0,18,..,114,55,164,0,164,..,0,0,0,0,0,..,5,0,5,0,5,..,28,0,24,0,31,..,42,0,42,0,42,..,19,0,16,0,16,..,27,0,35,0,35,..,25,0,25,0,25,..,28,0,28,0,28,..,13,3,16,0,16,..,15,0,15,0,15,..,70,5,78,0,78,..,189,9,200,0,200,..,7,0,9,0,9,..,13,0,13,0,13,..,9,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,22,0,22,..,6,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,18,3,20,..,12,0,12,0,12,..,19,0,19,0,19,..,13
UCL112002,14224,..,..,..,..,14224,..,21,0,21,0,21,..,43,6,44,0,44,..,14,0,18,0,18,..,24,12,42,0,42,..,37,11,45,0,44,..,6,0,9,0,9,..,68,22,98,0,94,..,10,3,10,0,10,..,15,0,15,0,15,..,19,0,18,4,21,..,19,0,15,0,15,..,10,0,10,0,10,..,22,0,26,0,26,..,29,0,31,0,31,..,28,5,32,0,32,..,10,0,10,0,9,..,17,0,17,0,17,..,33,0,33,0,33,..,135,10,141,0,144,..,16,0,14,0,14,..,8,3,11,0,10,..,11,6,14,0,14,..,3,0,3,0,3,..,7,0,7,0,7,..,9,3,10,0,10,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,11,0,9,0,9,..,21,0,21,0,23,..,0,0,0,0,0,..,21,0,21,0,21,..,4
