UCL_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL101001,982,5869,51552,313442,288027,82700,18522,15203,776295,735,5206,25219,31221,6353,777,174,2031,71723,463,6875,28922,69608,25302,3437,715,3352,138679,1197,12079,54146,100828,31659,4216,886,5390,210402,2141,19110,47367,13265,1488,298,216,3410,87299,2296,22741,101367,19341,889,131,121,4042,150929,5231,50279,114101,29922,1243,189,181,4911,206051,51,488,611,294,99,33,18,111,1699,9716,92621,263445,62817,3719,651,540,12475,445979,193,1560,2820,1764,548,149,64,475,7578,161,1027,1542,1090,670,209,102,1269,6074,12247,113159,373506,479939,324626,87929,20115,34813,1446323
UCL102001,6,51,443,3467,3496,726,166,158,8513,0,124,780,544,44,3,0,53,1549,5,81,557,503,46,3,0,35,1229,5,202,1341,1045,96,3,3,83,2775,20,411,413,54,10,0,3,27,934,3,128,322,17,3,0,0,11,490,0,211,656,38,0,0,3,18,925,0,5,3,3,0,0,0,0,8,29,753,1386,112,8,3,3,56,2355,3,7,3,8,0,3,0,6,24,0,4,5,7,5,0,0,6,32,38,1018,3179,4638,3610,736,170,299,13701
UCL102002,137,1352,10577,37655,29460,6398,1206,1880,88662,21,582,4419,3695,134,25,22,435,9325,23,475,1514,3091,329,22,8,167,5632,46,1054,5938,6787,460,45,28,598,14959,74,891,2915,1622,169,22,14,312,6012,4,102,991,343,13,4,0,55,1522,6,132,1035,382,14,0,0,36,1606,6,20,19,8,6,0,0,6,64,91,1144,4966,2358,196,29,11,405,9204,58,329,394,177,58,9,3,60,1083,24,93,117,82,55,4,0,120,504,358,3966,21986,47057,30232,6483,1252,3071,114410
UCL102003,19,153,1599,5783,4556,866,163,279,13419,6,219,1431,1914,55,7,3,158,3786,3,113,609,1042,99,13,4,45,1940,13,334,2041,2959,154,21,10,201,5726,22,239,889,323,25,5,0,74,1581,0,90,829,304,5,0,3,79,1316,0,64,446,205,7,0,0,31,751,0,3,3,0,0,0,0,0,5,30,403,2168,842,35,3,3,176,3656,62,414,276,31,11,0,3,60,855,3,21,37,23,9,0,0,10,109,129,1319,6126,9635,4755,887,182,731,23767
UCL102004,87,1008,13313,46652,26497,5085,991,1673,95313,23,1018,4565,2238,129,21,7,252,8262,23,666,2660,3105,425,80,28,179,7171,52,1689,7224,5337,553,107,38,434,15434,128,2036,2365,579,58,16,17,267,5462,36,456,1465,295,7,3,3,99,2359,45,460,994,663,39,3,0,48,2250,9,88,49,22,10,3,4,12,195,208,3045,4871,1558,107,27,30,422,10271,31,222,248,88,36,6,3,53,684,7,84,102,92,28,10,14,61,395,390,6042,25762,53729,27225,5228,1083,2640,122093
UCL102005,79,533,5462,32820,21736,4634,930,1332,67527,43,521,2743,2000,127,21,3,182,5639,17,505,2256,3320,378,34,5,205,6717,57,1025,4996,5325,503,53,15,381,12358,95,1323,3444,942,134,23,10,256,6237,21,377,1963,423,19,6,3,119,2935,25,372,2213,1138,47,3,3,91,3891,0,21,12,7,3,0,0,3,52,144,2094,7630,2512,210,40,16,466,13114,30,226,368,113,34,13,5,59,845,6,44,166,150,45,12,8,139,564,310,3919,18619,40925,22533,4748,968,2378,94407
UCL111001,17,95,1731,7369,4502,557,93,297,14662,13,348,1974,434,29,3,8,104,2907,7,105,152,107,17,0,3,18,416,17,458,2124,541,46,3,9,126,3325,0,51,189,25,0,0,0,26,294,0,8,46,0,0,0,0,0,52,0,3,22,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,61,252,25,5,0,0,30,379,9,20,24,16,3,0,0,7,82,4,7,21,23,11,4,0,0,65,55,642,4153,7977,4564,562,99,459,18506
UCL111002,18,159,1610,10640,9901,1315,212,424,24276,5,150,1039,705,66,3,0,59,2027,3,148,247,117,12,0,0,15,541,7,304,1285,820,74,3,5,71,2563,7,231,268,32,7,0,3,28,572,11,23,0,0,0,0,0,0,33,0,12,13,0,0,0,0,0,32,0,3,0,0,0,0,0,0,3,14,274,278,29,12,0,3,25,645,14,30,13,31,17,0,0,6,102,0,46,171,23,17,0,3,105,376,55,808,3365,11547,10019,1321,220,629,27965
UCL112001,5,112,629,2848,1538,300,87,122,5638,4,73,489,141,10,4,0,25,746,0,29,76,20,3,0,0,5,136,4,109,565,162,17,6,0,26,888,5,142,224,49,4,0,6,17,450,0,9,26,6,0,0,0,8,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,145,255,50,5,0,6,25,497,0,5,7,7,0,0,0,0,22,0,9,15,28,3,3,3,8,56,17,378,1468,3098,1565,314,94,179,7104
UCL112002,11,79,726,4172,3644,705,133,181,9652,5,99,624,326,33,4,0,37,1124,6,74,92,115,24,6,0,9,327,12,174,710,442,58,6,3,44,1452,16,120,342,56,6,0,4,22,571,0,3,6,0,0,0,0,0,11,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,125,350,63,6,0,4,22,581,0,5,18,7,3,0,0,0,38,0,61,7,8,3,3,0,49,140,40,440,1809,4695,3714,716,142,293,11861
