UCL_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL101001,7198,2162,20585,9099,7319,5593,2887,4234,711,59785,201,194,305,313,231,250,227,471,93,2294,3308,5291,1833,1954,3236,1634,1532,1275,726,20795,2988,3780,3928,2886,3630,2596,2673,3342,5917,31741,226210,509466,170711,127366,196168,91249,50273,61916,25236,1458609
UCL102001,75,24,247,94,131,70,30,55,7,726,0,0,0,3,3,3,0,0,0,18,54,33,9,27,38,14,15,6,7,208,25,33,41,30,56,21,21,45,49,313,2135,3227,1905,1415,2160,650,366,538,242,12633
UCL102002,553,163,1880,916,592,578,208,465,46,5386,3,9,6,12,13,10,9,14,0,89,121,169,125,107,107,51,105,69,34,888,178,192,397,311,267,259,218,372,355,2550,10113,22010,15369,11303,10693,5503,3268,5137,1329,84724
UCL102003,103,37,469,198,121,114,39,116,7,1206,0,4,0,0,3,5,0,0,0,16,23,30,20,24,21,4,15,21,14,167,29,28,69,63,52,45,28,62,53,434,1629,3683,2725,2292,1695,1017,529,1067,218,14860
UCL102004,487,159,1988,748,562,501,233,426,57,5167,3,5,10,14,9,12,7,28,3,86,135,239,150,119,154,64,109,78,44,1095,150,220,332,245,241,179,178,282,299,2128,11198,32648,16787,11414,12568,5250,4024,4779,1269,99938
UCL102005,369,102,1488,711,460,390,206,335,41,4099,5,11,9,13,9,8,5,17,6,80,103,158,94,85,131,32,77,60,31,783,117,170,367,222,167,185,194,298,283,2006,8548,21673,13809,9863,9592,4225,3756,4231,1132,76835
UCL111001,108,17,362,168,87,114,48,97,8,1004,3,6,0,3,4,3,0,4,0,26,29,25,14,18,17,9,22,13,0,156,26,22,56,39,21,34,41,65,48,353,1641,3824,2485,1863,1725,868,690,867,176,14139
UCL111002,111,24,511,231,127,160,97,148,13,1422,3,5,0,3,4,3,3,5,3,34,18,22,51,20,28,11,41,15,9,230,36,31,107,63,34,41,67,77,73,537,2218,5114,4815,2728,2753,1278,1532,1282,308,22016
UCL112001,27,7,112,43,28,32,8,31,0,292,0,0,0,5,0,3,0,3,0,7,6,11,4,9,4,0,6,4,0,54,10,26,11,16,7,13,9,36,13,136,567,1976,695,720,680,314,129,388,61,5539
UCL112002,65,14,224,101,53,47,25,66,6,598,0,0,0,0,4,3,0,4,0,16,9,8,13,12,12,5,14,4,12,100,17,13,43,26,24,18,15,51,26,234,1104,2622,1660,1414,1126,581,437,680,120,9736
UCL112003,54,15,190,101,41,28,21,46,4,504,0,3,0,3,0,0,0,11,0,17,29,54,8,21,22,17,8,15,6,186,17,22,31,31,22,17,18,36,27,212,1186,3296,1274,1277,1046,477,307,571,117,9550
UCL112004,53,7,136,52,38,34,13,52,0,381,0,0,0,0,0,0,0,0,0,4,18,18,3,11,9,3,7,9,3,72,19,14,22,11,17,20,11,24,12,149,964,1957,977,622,638,399,155,314,80,6102
UCL112005,39,3,162,77,38,45,49,45,4,461,0,0,0,4,0,4,0,0,0,12,3,10,7,4,3,0,9,3,0,34,7,12,25,26,12,23,20,30,19,170,449,739,1014,661,457,334,485,377,71,4578
UCL112006,107,28,358,137,103,96,20,90,4,943,0,3,0,3,0,0,0,3,0,16,16,18,16,13,19,16,9,10,4,129,27,28,52,38,39,48,23,55,51,345,1454,3488,1993,1733,1740,929,432,867,175,12801
UCL112007,57,19,225,112,63,84,28,73,6,676,0,3,0,0,0,3,0,0,0,8,6,11,10,12,10,12,3,8,5,82,18,29,44,35,26,33,25,52,44,306,1151,2628,1702,1464,1278,739,379,742,141,10224
UCL112008,45,5,140,69,30,44,15,41,5,394,0,0,0,0,0,0,0,5,0,10,8,8,7,11,12,0,7,3,7,58,23,11,20,34,13,22,30,32,30,219,648,1253,980,1083,667,364,326,387,89,5793
UCL112009,39,12,194,83,36,41,10,68,7,483,0,3,0,0,0,0,0,10,0,15,9,13,8,10,0,7,5,4,3,63,10,10,20,16,23,23,10,35,22,173,612,1991,1192,1116,946,493,270,568,85,7273
UCL112010,3,0,16,5,3,4,0,5,0,33,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,3,0,8,0,0,0,3,7,0,21,93,156,142,81,65,42,27,42,5,648
UCL112011,53,11,204,91,38,52,28,69,4,541,0,0,0,0,3,4,0,3,0,11,5,10,14,19,10,7,7,13,0,92,24,17,29,35,18,30,18,58,40,273,735,1582,1552,1268,836,477,296,587,102,7426
UCL112012,85,17,234,116,71,71,42,70,3,708,0,0,0,4,0,3,0,7,0,13,22,17,13,5,16,3,11,14,4,97,21,17,43,47,30,39,29,59,31,321,1221,3210,1855,1352,1344,655,496,632,122,10881
UCL112013,100,20,314,132,88,80,17,80,3,827,0,0,0,0,3,0,5,0,0,10,5,30,14,18,16,5,8,9,3,107,22,19,50,34,30,44,14,46,38,300,1364,3566,1893,1574,1555,834,316,653,131,11893
UCL112014,67,18,205,86,43,45,25,76,3,570,3,0,0,0,3,0,0,7,0,20,15,20,14,10,11,12,11,8,3,98,23,35,60,42,37,32,32,93,43,384,901,2397,1544,1153,1005,551,387,809,115,8875
UCL112015,84,22,334,140,101,103,21,105,4,915,3,10,3,3,0,4,3,5,0,34,25,27,19,24,30,13,21,19,3,184,31,33,58,48,38,49,36,69,35,397,1739,4242,2674,1848,1820,895,513,890,155,14780
UCL113001,33,10,112,48,20,31,9,22,3,287,0,0,0,0,0,0,0,0,0,6,5,7,3,8,6,7,0,0,3,42,9,8,24,20,8,16,13,35,15,147,443,1092,680,609,434,267,124,310,68,4022
UCL113002,20,6,69,31,20,32,13,15,0,217,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,4,3,24,8,5,16,11,3,15,4,24,20,101,281,407,402,337,248,219,83,150,53,2179
UCL113003,22,9,103,54,18,13,15,16,3,255,0,0,0,3,0,0,3,0,0,4,6,3,4,11,6,3,10,4,0,48,11,12,21,30,17,28,19,30,14,190,394,997,810,691,458,192,282,218,58,4100
UCL113004,16,5,61,22,9,15,3,8,0,143,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,3,0,0,18,12,6,4,5,7,6,4,7,0,50,245,362,263,173,121,97,53,122,7,1446
UCL113005,29,4,154,49,22,44,18,39,3,356,0,0,0,0,3,0,0,0,0,11,3,3,0,0,4,0,0,3,0,24,14,7,20,19,8,42,7,32,19,162,433,947,653,569,404,346,128,307,66,3852
UCL113006,15,4,92,43,16,27,10,24,0,239,0,0,0,0,0,0,0,0,0,4,7,12,7,10,7,3,3,7,0,53,8,5,12,11,18,19,17,20,16,136,324,797,577,661,463,268,163,256,42,3536
UCL113007,33,4,108,43,31,33,9,55,0,315,0,0,0,3,3,0,0,8,0,18,12,5,3,9,3,4,0,18,5,69,13,6,17,16,20,14,17,55,31,199,623,1083,908,556,535,297,222,577,81,4875
UCL113008,10,0,40,29,3,14,9,16,4,123,0,0,0,3,0,0,0,4,0,5,0,7,0,0,0,3,8,0,0,16,8,4,8,23,7,3,8,17,17,100,145,339,284,385,188,129,90,179,35,1774
UCL113009,22,3,84,32,21,15,11,19,3,214,0,0,0,0,0,0,0,0,0,3,10,9,5,3,3,0,3,4,5,49,9,9,10,4,5,3,3,4,7,59,614,1378,754,486,503,215,163,156,63,4341
UCL113010,27,8,119,55,23,23,20,36,0,309,0,0,0,0,0,0,4,3,0,9,0,0,10,3,8,0,9,3,3,32,3,3,26,15,15,12,25,29,10,132,264,554,958,513,441,211,405,329,56,3717
UCL113011,11,6,74,24,26,13,15,21,0,177,0,0,0,0,0,0,0,0,0,10,0,0,4,0,3,3,3,0,0,18,8,4,20,7,10,8,13,12,15,98,206,457,572,349,309,132,232,197,33,2492
UCL113012,27,9,82,43,29,27,11,31,3,267,0,0,0,0,0,0,0,3,0,6,4,10,7,6,4,3,9,3,3,46,3,13,28,17,9,9,14,19,20,133,480,1295,992,608,585,289,238,346,91,4916
UCL113013,14,5,78,47,17,28,23,15,0,227,0,0,0,0,0,0,0,0,0,0,5,3,9,3,3,0,8,8,0,43,13,11,29,15,18,18,24,5,11,135,340,647,679,335,295,190,315,186,32,3020
UCL113014,8,0,45,32,11,22,21,11,0,163,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,3,0,0,17,0,3,25,10,6,6,12,18,5,82,186,446,727,275,248,121,343,147,26,2520
UCL113015,23,8,97,60,31,23,11,21,4,281,0,0,0,0,0,0,0,0,0,3,9,6,13,6,9,0,4,4,0,44,13,6,19,8,9,4,3,10,18,92,492,873,686,469,429,224,108,248,56,3591
UCL113016,8,9,82,33,20,12,17,22,0,209,0,0,0,0,0,0,0,0,0,4,11,3,4,0,5,3,5,4,4,41,4,7,9,15,4,9,11,20,6,81,237,501,710,424,384,170,211,241,33,2913
UCL113017,12,3,63,45,17,22,33,27,0,229,0,0,0,0,0,0,0,0,0,3,4,4,11,4,3,0,21,3,0,55,8,3,13,5,4,9,13,13,20,96,365,693,899,400,407,179,557,206,59,3772
UCL113018,11,3,48,27,9,12,3,14,0,130,3,0,0,0,0,0,0,0,0,3,4,4,0,4,4,3,4,3,0,30,6,7,10,11,3,8,7,9,8,66,183,338,437,379,214,145,87,153,48,1971
UCL113019,31,4,98,47,15,34,8,37,3,279,0,0,8,0,0,0,0,0,0,5,3,5,3,0,3,3,4,5,0,30,9,5,14,21,8,19,19,21,19,143,327,815,580,587,370,329,167,313,38,3534
UCL113020,40,6,83,43,15,27,7,20,0,241,0,0,0,0,0,0,0,3,0,3,0,3,4,8,4,3,0,0,0,23,11,3,20,14,8,20,8,10,10,119,361,660,593,419,304,229,98,195,34,2889
UCL114001,8,3,33,12,6,5,4,7,0,87,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,3,0,10,3,3,3,0,3,0,0,4,9,27,140,403,225,180,181,64,46,72,23,1320
UCL114002,9,3,31,18,8,10,8,6,0,94,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3,0,3,0,17,4,5,6,11,0,5,0,7,0,42,189,315,307,195,142,89,68,95,10,1415
UCL114003,21,5,96,41,14,22,3,22,4,230,0,0,3,0,0,0,0,0,0,6,10,18,8,6,9,3,3,5,0,56,10,13,9,10,8,24,3,12,10,96,488,956,424,392,245,210,66,214,49,3046
UCL114004,13,0,49,16,3,10,7,17,5,111,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,15,0,3,12,7,4,3,10,6,6,44,108,260,245,196,102,96,51,122,27,1213
UCL114005,9,3,52,15,7,15,0,38,0,141,0,0,0,0,0,0,0,6,0,5,4,0,3,0,0,3,0,3,0,16,8,3,13,18,9,4,16,26,15,103,117,287,292,266,194,114,91,275,30,1672
