UCL_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
UCL101001,791775,549999,692752,615250,540936,441101,303013,166477,78737,4180038,673,802,753,521,497,411,364,271,179,4489,11156,16606,21948,13875,12395,11287,8974,5873,3728,105843,262,726,1988,2309,2445,1394,658,216,55,10053,321,958,1588,1592,1891,1409,900,257,57,8967,70,239,414,394,538,427,295,91,11,2486,210,338,699,607,675,501,250,91,15,3393,22,74,109,125,158,202,175,47,6,927,24,103,103,78,73,45,19,5,0,470,79,380,460,411,382,319,213,77,21,2340,0,7,0,3,8,3,3,0,0,24,12145,19429,27312,19398,18566,15599,11487,6648,3895,134494,12825,20237,28068,19923,19069,16008,11857,6920,4073,138979,804595,570234,720822,635170,559998,457108,314867,173403,82811,4319016
UCL102001,6835,4381,5437,4968,5381,3811,2174,1164,481,34624,3,0,5,0,3,0,4,0,0,16,82,116,160,142,164,155,57,34,21,930,5,12,16,10,12,5,4,0,0,72,3,12,7,11,25,34,6,5,0,110,0,3,3,0,8,7,4,0,0,28,0,0,0,3,3,3,4,0,0,12,0,0,3,3,7,5,3,0,0,26,0,0,0,0,0,0,0,0,0,3,32,65,73,33,17,10,9,3,0,249,0,0,0,0,0,0,0,0,0,0,125,212,271,206,231,219,91,40,24,1425,127,211,272,207,231,221,92,41,24,1444,6964,4593,5709,5177,5617,4033,2266,1204,507,36073
UCL102002,55479,33791,31659,35524,38707,37131,31864,19603,9476,293228,54,62,34,31,56,42,48,32,24,384,1100,1493,1451,1011,1021,1086,937,551,367,9015,33,27,34,43,46,55,58,16,0,323,45,32,61,68,75,80,59,16,0,449,15,7,15,19,12,16,24,3,0,108,6,10,21,26,26,34,11,5,0,138,3,6,4,3,11,11,8,9,0,49,3,3,3,5,7,0,6,0,0,32,30,18,23,22,11,20,12,3,0,137,0,0,0,0,0,0,4,0,0,8,1237,1593,1617,1185,1214,1295,1124,607,377,10250,1299,1656,1654,1220,1273,1336,1167,642,398,10637,56775,35444,33315,36741,39977,38467,33033,20241,9875,303867
UCL102003,9077,5549,5095,6179,7043,7930,7781,5434,2638,56713,7,4,3,3,7,15,6,9,3,73,160,210,227,188,227,350,457,246,78,2141,12,13,25,23,58,150,441,207,41,967,116,138,142,150,179,213,207,73,17,1232,10,3,4,4,10,27,91,61,7,203,3,5,3,3,10,16,15,4,0,57,0,0,3,0,9,24,50,35,11,138,0,0,0,0,0,0,3,0,0,7,0,3,4,0,3,12,23,8,0,59,0,0,0,0,0,0,0,0,0,0,294,374,417,374,497,787,1286,630,150,4808,304,373,420,377,506,806,1299,643,159,4887,9381,5926,5515,6552,7546,8730,9076,6080,2794,61604
UCL102004,55416,39457,39603,38396,39630,37734,29616,17163,8392,305406,54,70,43,42,37,34,41,40,14,380,1190,2045,1896,1351,1283,1250,955,608,372,10949,7,28,52,70,70,70,40,13,0,345,31,54,75,88,105,114,74,24,3,578,7,10,12,15,19,20,24,3,0,113,9,8,16,27,21,34,18,7,3,145,0,3,0,3,4,16,19,7,0,52,0,3,13,0,3,3,0,0,0,32,4,10,12,9,12,23,16,3,0,91,0,0,0,0,0,0,0,0,0,0,1254,2165,2072,1560,1518,1535,1148,670,375,12296,1304,2233,2117,1602,1560,1568,1187,707,397,12677,56723,41695,41718,39994,41190,39305,30802,17866,8787,318079
UCL102005,46833,34410,31148,31661,32764,29812,22954,14484,6133,250199,43,52,41,33,27,38,37,25,18,322,886,1619,1405,887,812,760,639,471,322,7803,15,38,83,26,29,39,41,13,3,289,10,31,56,33,45,57,25,15,0,283,3,7,5,12,13,13,9,0,0,60,10,7,16,24,18,14,15,3,0,100,0,3,5,3,9,17,14,10,0,55,0,6,3,4,0,0,0,0,0,15,6,31,32,17,19,16,6,5,0,126,0,0,0,0,0,0,0,0,0,0,924,1739,1605,1005,939,913,750,519,328,8723,962,1796,1648,1041,968,948,784,546,351,9042,47798,36205,32797,32699,33732,30767,23739,15030,6479,259241
UCL111001,8640,5911,5773,5548,5656,5580,4150,2504,1218,44983,11,7,8,11,10,3,0,8,3,68,168,300,235,168,175,180,118,87,55,1491,47,159,183,125,153,129,103,30,11,942,0,7,11,5,19,19,16,0,0,79,0,3,5,9,17,15,0,0,0,47,4,8,21,9,9,10,15,4,0,80,4,8,0,0,4,7,7,0,0,23,0,0,0,0,0,0,0,0,0,3,3,12,9,8,10,6,0,0,0,55,0,0,0,0,0,0,0,0,0,0,231,495,475,324,389,369,258,124,67,2722,243,508,480,332,400,376,260,130,70,2794,8878,6412,6257,5879,6057,5954,4411,2632,1287,47771
UCL111002,16507,9164,10291,9762,9454,8346,6312,3278,1265,74375,15,13,13,5,8,12,3,7,3,74,293,473,378,256,243,218,183,123,69,2239,3,0,5,4,8,6,7,0,0,45,17,6,24,20,27,26,14,0,3,127,0,0,0,0,0,3,3,3,0,18,0,6,4,3,5,4,4,0,0,25,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,320,486,419,283,286,263,224,126,71,2475,337,499,433,291,290,273,222,133,71,2544,16839,9663,10722,10052,9742,8615,6540,3410,1339,76926
UCL112001,3426,3913,2482,1977,2126,1964,1525,1006,460,18881,16,31,13,7,10,3,0,3,3,84,85,785,179,111,109,129,103,45,21,1571,0,21,12,10,4,13,15,5,0,85,6,72,24,10,22,16,27,0,0,180,7,15,11,0,3,3,10,4,0,45,0,0,0,3,3,0,5,0,0,13,0,0,0,0,0,0,7,3,0,13,0,0,0,0,0,0,0,0,0,5,0,11,0,7,0,0,3,3,0,26,0,0,0,0,0,0,0,0,0,0,99,899,221,145,149,169,167,57,21,1927,114,929,238,148,157,174,173,65,25,2014,3539,4839,2720,2126,2283,2136,1697,1069,479,20896
UCL112002,6596,4901,4274,3782,3795,3529,2589,1545,762,31777,9,11,8,6,4,9,0,3,0,65,127,735,177,112,140,118,98,69,29,1613,0,9,3,7,3,12,3,3,3,43,4,11,8,3,6,16,6,0,0,50,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,3,3,0,0,6,0,0,0,0,0,3,7,0,0,13,0,3,0,0,0,0,0,0,0,10,0,15,5,0,0,3,3,0,0,30,0,0,0,0,0,0,0,0,0,0,139,773,200,127,152,152,129,71,31,1780,148,785,206,134,150,162,136,75,34,1841,6744,5691,4482,3918,3949,3691,2726,1621,796,33615
