UCL_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL101001,12258,16703,28960,4814,5258,10075,7683,17763,25445,6284,27246,33532,22025,44901,66922,22719,24702,47420,51914,23178,75089,48227,27714,75941,66835,31393,98224,67631,24519,92151,59284,22537,81823,61212,18301,79508,130607,31967,162577,98116,6245,104356,71909,4036,75947,60774,18868,79644,160121,6736,166858,101168,13416,114582,12568,14695,27262,1066150,380174,1446323
UCL102001,50,70,114,20,40,63,47,165,209,52,301,359,149,529,675,158,303,464,400,356,748,390,388,780,528,497,1025,552,424,970,512,365,876,572,255,822,1229,380,1614,985,31,1015,767,23,794,592,111,704,1253,18,1269,877,61,935,93,161,251,9220,4481,13701
UCL102002,563,806,1371,348,412,764,503,1679,2186,551,3160,3715,2203,7428,9632,2329,3822,6150,7096,2733,9831,5476,2881,8356,6876,2551,9423,6794,1650,8443,5291,1215,6507,5351,922,6278,9902,1161,11060,6648,198,6846,4017,93,4113,2613,472,3087,4525,76,4598,7806,596,8401,1329,2333,3660,80219,34189,114410
UCL102003,120,189,311,81,97,178,100,390,488,96,824,915,515,1897,2415,501,1061,1564,1797,655,2454,1222,684,1905,1604,608,2211,1445,357,1806,1022,224,1247,930,189,1117,1665,181,1851,1061,43,1098,605,19,623,338,91,435,659,9,663,1451,141,1592,307,583,890,15522,8241,23767
UCL102004,496,841,1335,304,436,740,546,2024,2566,550,3644,4203,2127,7468,9593,2217,3360,5579,6758,2818,9576,5140,3049,8186,6810,3083,9890,6656,2184,8844,5274,1759,7033,5389,1295,6684,10568,1912,12482,7811,367,8182,5064,186,5254,3123,678,3802,6369,176,6545,7717,1023,8737,1061,1809,2874,83986,38107,122093
UCL102005,560,734,1294,348,380,733,505,1692,2194,472,3025,3500,2002,5394,7403,1980,2323,4306,5819,1872,7694,4140,2043,6186,5343,2103,7451,5148,1370,6511,4147,1159,5304,4316,859,5174,8291,1157,9444,5984,179,6165,3805,94,3895,2481,422,2900,4816,77,4891,6299,636,6932,957,1474,2428,67413,26993,94407
UCL111001,70,139,212,53,90,140,92,402,489,110,634,748,373,1186,1557,401,675,1080,999,621,1622,843,674,1515,1078,557,1639,1115,404,1523,829,246,1076,818,177,992,1469,249,1717,945,47,986,571,20,590,303,94,394,488,6,502,1040,140,1182,226,315,544,11833,6666,18506
UCL111002,127,136,269,77,78,155,117,371,487,169,640,806,563,1453,2014,636,645,1285,1781,537,2316,1340,666,2005,1725,585,2310,1783,374,2158,1492,291,1789,1415,248,1656,2737,306,3044,1854,37,1889,1092,20,1110,650,89,736,1195,26,1222,1884,120,2008,303,409,716,20932,7031,27965
UCL112001,36,58,92,11,36,50,49,175,215,39,235,276,134,476,605,182,263,444,352,265,614,358,229,587,393,238,630,411,131,545,311,121,428,309,89,395,535,133,664,304,15,316,185,10,193,126,37,166,207,8,214,394,71,467,65,129,193,4387,2716,7104
UCL112002,45,83,128,36,40,80,63,216,276,72,302,374,221,712,935,266,375,643,593,328,923,514,348,858,665,343,1001,696,240,933,547,194,736,526,160,688,1023,150,1167,734,24,758,499,16,509,260,48,304,393,7,400,725,102,826,118,183,304,7985,3876,11861
