UCL_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL101001,10610,60588,15296,13283,3040,140974,30801,9025,81949,32755,32509,6937,193983,2667,702,8777,4005,5347,841,22329,3922,951,10979,8748,26801,1814,53213,7491,1104,19633,9867,17145,8741,63983,223456,50155,550668,233503,343207,57610,1458609
UCL102001,111,442,141,183,18,1068,120,94,517,316,398,49,1497,8,13,54,29,52,0,157,18,12,66,81,318,10,501,32,4,42,43,192,66,392,1415,645,3257,2299,4606,409,12633
UCL102002,683,4084,1229,1397,192,8772,1101,708,5094,3389,5514,656,16469,45,29,251,223,508,51,1100,99,45,349,618,2905,125,4141,97,32,394,410,1550,518,3000,4382,2354,18769,15453,39836,3928,84724
UCL102003,177,785,236,281,40,1715,230,132,955,657,999,124,3086,9,5,55,43,106,5,224,3,9,64,109,432,23,638,6,10,94,79,294,91,581,686,485,3398,2728,6869,697,14860
UCL102004,912,5622,1447,1614,211,12172,2131,973,8207,3760,5439,678,21189,54,32,310,182,436,41,1056,126,41,499,552,2976,120,4321,137,43,515,358,1373,439,2858,8028,3349,28717,16175,40279,3392,99938
UCL102005,1100,4281,1219,1461,183,10574,1383,611,4250,2892,4190,495,13821,77,26,252,161,343,37,888,117,34,366,477,2437,107,3533,111,32,383,306,1239,400,2467,6478,2695,18722,13072,32851,3012,76835
UCL111001,216,805,233,256,33,1781,219,165,959,533,806,86,2770,6,3,28,22,54,4,125,18,9,44,91,475,17,655,12,7,58,46,235,78,436,795,594,3418,2306,6481,539,14139
UCL111002,202,980,297,370,40,2182,226,141,1124,782,1358,148,3769,4,5,27,32,90,14,168,20,13,72,171,873,37,1180,14,8,60,88,417,92,681,960,578,4238,3754,11675,807,22016
UCL112001,132,544,151,171,26,1578,107,67,342,198,260,37,1016,6,3,17,4,23,0,50,6,0,28,17,133,5,197,11,3,28,12,54,20,120,897,300,1569,721,1853,198,5539
UCL112002,141,704,196,251,32,1562,134,94,543,330,506,48,1656,11,0,26,22,46,8,103,9,3,41,39,293,9,395,7,5,35,35,148,41,267,571,371,2433,1469,4510,376,9736
UCL112003,176,617,195,151,27,1593,207,120,661,355,376,45,1761,44,17,80,61,81,5,296,30,3,52,55,184,4,332,27,4,69,37,125,47,303,1120,504,2740,1694,3128,364,9550
