UCL_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL101001,776295,2491406,71723,172782,138679,387108,210402,559885,87299,185537,150929,326370,206051,453551,1699,3812,445979,969267,355,588,745,1243,277,599,6204,15770,7578,18201,6074,13895,1446323,4052656,112070,..,1558391,4052656
UCL102001,8513,24215,1549,2905,1229,2483,2775,5386,934,1526,490,820,925,1604,8,29,2355,3986,8,12,3,4,0,5,13,45,24,58,32,76,13701,33726,1494,..,15192,33726
UCL102002,88662,240631,9325,15744,5632,11481,14959,27224,6012,10102,1522,2702,1606,2973,64,97,9204,15872,327,493,514,862,19,33,221,533,1083,1922,504,915,114410,286565,15931,..,130340,286565
UCL102003,13419,35794,3786,7094,1940,4093,5726,11190,1581,2712,1316,2397,751,1337,5,14,3656,6456,525,767,305,453,3,6,28,70,855,1297,109,189,23767,54928,2962,..,26730,54928
UCL102004,95313,253289,8262,14111,7171,14809,15434,28919,5462,8372,2359,3826,2250,3803,195,343,10271,16341,75,156,324,455,26,46,257,513,684,1170,395,776,122093,300494,12035,..,134128,300494
UCL102005,67527,192648,5639,10341,6717,14634,12358,24970,6237,11205,2935,5274,3891,7524,52,110,13114,24112,263,416,289,448,4,11,281,685,845,1557,564,1069,94407,244358,7733,..,102142,244358
UCL111001,14662,36820,2907,4653,416,675,3325,5324,294,441,52,82,29,35,0,3,379,564,21,31,29,46,0,0,25,60,82,141,65,125,18506,42977,2353,..,20852,42977
UCL111002,24276,67142,2027,3607,541,891,2563,4497,572,830,33,39,32,49,3,5,645,920,41,67,3,3,9,23,54,113,102,204,376,535,27965,73303,2151,..,30113,73303
UCL112001,5638,14048,746,1350,136,234,888,1586,450,746,46,89,0,3,0,3,497,847,4,11,9,18,3,5,8,15,22,47,56,122,7104,16648,1056,..,8160,16648
UCL112002,9652,25802,1124,1962,327,583,1452,2547,571,878,11,10,3,13,0,0,581,903,12,28,4,5,3,6,17,29,38,68,140,172,11861,29498,1501,..,13356,29498
