UCL_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL101001,80117,49571,31907,16054,4667,1106,276432,1430,13390,16276,13681,11639,5790,1525,338,64067,62828,225932,170514,113151,76607,40005,14781,4734,708551,25184,73288,73752,66632,46928,26581,11091,4090,327547,37802,82467,77186,75752,56702,35355,17638,6244,389143,4905,5626,6034,5793,4392,2357,727,271,30110,4532,8721,12186,15160,14298,10526,4331,1919,71672,47239,96817,95402,96703,75394,48235,22697,8435,490918,2658,6786,6632,6715,6551,5061,2608,1151,38157,41419,59640,45589,39925,35610,31351,24659,18218,296408,185947,563667,488281,386376,284624,173078,82025,38071,2202073
UCL102001,485,459,236,72,15,4,1665,9,148,189,231,113,53,10,0,755,257,1204,974,761,450,220,67,20,3956,158,610,646,727,416,183,56,23,2821,552,1155,1026,1013,717,301,126,39,4930,107,80,53,53,49,20,3,3,371,27,60,91,130,115,75,30,15,541,686,1298,1165,1194,879,397,161,57,5847,15,40,26,38,34,22,10,8,197,298,468,367,390,283,267,204,89,2373,1434,4144,3861,3810,2424,1212,525,205,17610
UCL102002,1398,1307,1169,749,249,71,5916,59,445,671,705,851,452,140,34,3354,1284,5772,6059,4503,4022,2577,1066,306,25590,1146,3682,4921,4980,4099,2736,1176,404,23144,4532,9402,9371,9993,8289,5640,2904,987,51119,730,555,606,610,536,328,83,27,3476,416,611,829,1199,1400,1258,512,195,6418,5677,10570,10804,11803,10222,7229,3503,1208,61014,85,211,259,387,477,514,272,127,2319,2615,2233,2453,2987,3283,3959,3837,2830,24202,10906,23845,26568,26666,24120,18210,10248,4983,145546
UCL102003,210,207,202,146,39,18,983,3,89,156,142,188,90,33,4,701,168,936,1168,885,798,543,230,65,4809,160,615,837,940,854,610,299,93,4405,721,1410,1626,1754,1732,1353,818,277,9684,105,96,90,87,105,68,17,9,571,75,129,147,202,297,237,130,66,1287,905,1634,1858,2043,2131,1661,964,347,11538,17,34,46,64,81,93,81,28,432,490,451,518,637,808,1050,1074,744,5770,1753,3910,4793,4918,5067,4185,2710,1302,28643
UCL102004,2707,2091,1777,969,300,65,10371,72,721,965,944,1220,547,123,37,4626,2451,10655,8970,5875,5129,2867,1023,249,37216,1359,4031,4798,5016,4402,2550,1017,337,23515,5222,10316,9011,9992,8264,5423,2579,906,51715,814,597,571,512,463,263,87,25,3325,446,586,838,1180,1368,1198,503,160,6271,6478,11493,10425,11683,10098,6886,3165,1090,61313,129,241,274,322,409,445,202,107,2133,2238,2315,2082,2689,2989,3253,3118,2611,21293,12804,31841,30222,28620,26024,17520,8953,4485,160467
UCL102005,2169,1720,1473,760,195,42,8619,101,748,782,664,817,336,94,23,3566,2450,6917,5862,4020,3303,1735,595,162,25048,1432,3518,4114,4070,3174,1748,592,192,18843,4323,8254,7683,7954,6456,3924,2045,637,41263,638,500,515,487,392,208,56,19,2820,390,521,817,1101,1144,811,355,129,5269,5349,9272,9014,9543,7993,4942,2451,784,49353,146,218,261,289,367,333,176,60,1850,2401,2149,1977,2341,2555,2763,2536,1502,18227,12015,24962,24194,22645,19683,12616,6642,2754,125506
UCL111001,264,209,172,74,25,3,984,8,141,163,168,195,87,8,0,774,239,1188,1068,713,611,359,106,31,4313,178,660,582,661,622,350,146,36,3238,993,1679,1453,1364,1225,680,323,114,7831,135,152,92,106,71,32,10,4,609,67,87,121,155,184,136,55,19,824,1198,1916,1666,1626,1476,849,384,136,9264,19,27,33,58,54,51,36,12,290,578,513,464,493,583,577,582,278,4072,2225,4673,4244,3935,3722,2341,1289,505,22934
UCL111002,306,290,218,98,31,3,1210,13,111,168,175,188,73,16,4,756,293,1509,1398,900,737,403,162,37,5437,309,1051,1197,1102,867,438,147,41,5151,1505,3565,2902,2530,1804,1106,445,124,13990,251,228,178,129,116,57,13,3,977,114,171,202,266,290,175,85,20,1330,1872,3960,3291,2920,2221,1337,545,150,16298,22,72,71,73,93,64,30,13,433,595,672,613,662,689,747,594,332,4905,3107,7627,7042,6130,5009,3165,1527,580,34190
UCL112001,309,262,251,169,73,24,1357,7,70,74,95,108,48,18,3,426,230,669,467,347,328,224,96,35,2395,72,180,192,247,215,154,86,24,1169,416,508,365,383,301,176,99,18,2270,103,38,21,32,29,7,8,5,242,51,31,35,63,68,54,25,10,342,569,578,427,472,395,233,139,33,2849,15,23,8,12,20,30,12,10,140,450,238,147,257,193,192,198,107,1790,1351,2032,1627,1701,1514,1054,610,241,10125
UCL112002,163,159,174,87,30,11,765,10,85,99,111,102,74,12,3,494,203,830,700,545,457,230,97,30,3079,125,339,391,437,418,243,97,49,2097,658,1207,989,920,732,426,190,65,5199,116,99,68,71,58,22,6,3,438,54,74,91,123,131,103,39,14,631,826,1380,1149,1117,918,551,239,80,6266,19,27,24,32,35,37,14,11,199,701,539,392,339,347,353,316,206,3193,1879,3346,2913,2736,2445,1571,806,394,16095
