UCL_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL101001,366202,733186,8725,50509,52129,244986,11986,56204,299028,1156699,371869,1508396,33261,142236,49801,174195,103274,337613,186339,654040,558210,2162431,2200,10541,10736,39021,5058,18399,53801,146508,71799,214479,8458,27824,19270,44527,67429,149884,95161,222241,166958,436719,21372,46035,1112747,3378373
UCL102001,3241,6411,62,329,465,2138,115,526,2478,9428,3120,12421,230,932,394,1332,724,2309,1351,4578,4472,16998,23,105,80,251,42,151,652,1689,802,2201,65,203,150,337,572,1248,786,1778,1588,3981,138,290,9437,27686
UCL102002,31236,62202,604,3354,3167,14699,1148,5252,17516,68923,22438,92230,1883,7831,2511,8483,7026,22181,11426,38498,33860,130726,216,993,1101,3867,667,2394,6029,16530,8014,23782,672,2103,1417,3101,6120,13166,8205,18375,16218,42156,1148,2378,82459,237461
UCL102003,7251,14412,93,482,515,2385,171,779,2911,11347,3687,14987,246,1008,442,1451,1084,3391,1772,5843,5457,20838,36,174,177,624,99,360,1040,2713,1362,3872,125,383,305,680,1164,2470,1591,3533,2952,7405,218,453,15879,43107
UCL102004,33282,65878,480,2617,3379,15418,1021,4509,19129,74055,24007,96600,1805,7369,2938,9871,7031,21975,11766,39215,35776,135816,200,864,994,3432,501,1791,5645,15141,7340,21228,553,1754,1552,3424,5851,12414,7961,17597,15300,38821,1363,2807,85719,243325
UCL102005,25062,49839,533,2997,2784,12972,886,4023,15550,61128,19756,81125,1821,7625,2509,8617,6541,20887,10874,37130,30633,118253,161,749,871,3088,454,1660,4509,12203,5991,17705,527,1682,1237,2762,4812,10376,6580,14819,12572,32524,1071,2227,69336,202850
UCL111001,4865,9598,68,374,459,2142,126,552,2749,10630,3405,13698,215,880,372,1205,743,2298,1332,4386,4732,18087,26,135,165,572,81,268,1012,2743,1287,3716,58,179,206,441,663,1401,932,2022,2215,5744,162,339,11976,33754
UCL111002,7648,15194,154,842,899,4157,316,1415,5202,20411,6568,26825,427,1761,665,2217,1756,5513,2850,9489,9420,36313,60,283,283,1026,141,504,1764,5018,2247,6831,166,513,330,715,1258,2675,1748,3894,4000,10732,316,652,21387,62887
UCL112001,1792,3534,33,212,162,748,46,225,994,3854,1234,5039,54,220,128,405,240,741,425,1366,1655,6406,15,66,71,256,34,120,428,1138,543,1584,20,67,96,205,252,544,374,808,915,2392,101,202,4462,12535
UCL112002,2997,5941,69,360,377,1773,95,443,1946,7711,2482,10294,122,515,241,789,544,1685,915,2987,3395,13276,21,112,132,479,51,192,768,2134,978,2916,50,164,146,313,456,968,651,1445,1622,4354,113,235,8135,23810
