UCL_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
UCL101001,79922,13994,17929,22277,23045,23836,13520,7469,276697,36,22,64,22,19,19,23,17,20,835,1079,61847,42610,93885,18656,23015,27688,28250,28940,16451,10549,351890,36780,17102,14456,2686,2295,1982,1710,1542,813,1802,81164,67168,48915,46067,6137,6399,6321,5750,5443,2957,3017,198166,5239,5493,7158,1336,1853,2185,1793,1750,1097,1094,28987,485,335,295,42,44,63,45,41,18,90,1456,72889,54733,53515,7509,8294,8564,7591,7227,4077,4200,228609,58,41,30,5,7,8,4,3,4,606,766,109727,71876,68001,10211,10597,10561,9308,8773,4887,6604,310546,61259,10078,5829,988,904,715,623,567,303,1863,83136,103474,20953,12237,1677,1612,1546,1237,1031,554,2679,147001,19563,6111,5931,1075,1319,1520,1296,1292,921,1749,40775,766,156,108,21,22,19,12,16,9,94,1223,123803,27214,18283,2767,2951,3081,2547,2336,1489,4522,189002,111,32,10,3,0,0,3,0,0,460,625,185179,37319,24118,3754,3861,3805,3172,2909,1799,6854,272760,59192,3033,1466,275,264,215,202,208,103,1425,66397,96947,6004,2657,451
UCL102001,405,64,63,82,115,102,44,17,1040,0,0,0,0,0,0,0,0,0,0,0,204,91,476,85,74,92,121,109,54,24,1338,233,68,58,9,10,10,8,14,0,12,417,146,126,239,35,35,26,33,32,12,14,700,7,3,10,0,0,4,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,3,151,125,246,36,40,31,35,40,14,14,735,0,0,0,0,0,0,0,0,0,0,0,383,193,308,45,55,41,48,48,12,22,1157,504,51,44,7,6,4,12,5,3,15,646,267,62,63,13,3,7,9,3,0,14,441,27,8,13,0,3,3,3,0,3,4,61,8,0,0,0,0,0,0,0,0,0,8,297,66,79,13,9,9,8,8,4,18,512,3,0,0,0,0,0,0,0,0,0,4,801,119,123,17,17,16,22,9,6,33,1158,510,27,14,0,3,3,0,0,0,12,570,357,18,10,0
UCL102002,647,134,166,157,144,131,81,72,1994,0,0,0,0,0,0,0,0,0,8,12,1143,468,1048,213,271,244,224,192,117,153,4069,1941,735,629,98,112,60,56,40,18,101,3800,573,545,709,118,108,82,70,54,25,47,2329,25,40,57,9,17,14,9,12,12,11,192,8,5,5,0,0,0,0,0,0,0,17,603,592,770,124,123,99,80,65,37,61,2547,3,0,3,0,0,0,0,0,0,12,10,2547,1330,1399,217,229,157,139,111,52,170,6361,4349,623,410,53,41,31,23,24,12,162,5726,1150,326,242,35,27,31,23,24,5,39,1899,69,37,63,10,0,14,4,6,8,26,232,12,0,3,0,0,0,0,0,0,0,17,1226,361,300,49,33,41,32,29,11,62,2144,3,0,0,0,0,0,0,0,0,7,16,5578,982,710,103,68,69,55,52,27,234,7887,5365,221,129,18,24,22,14,20,3,149,5968,1323,70,54,7
UCL102003,141,42,28,33,52,24,21,10,406,0,0,0,0,0,0,0,0,0,0,0,158,93,252,71,50,50,71,42,29,26,833,341,143,133,22,21,21,10,10,5,22,729,70,67,139,16,21,15,16,7,8,12,371,3,10,5,0,3,3,0,0,3,0,28,0,0,3,0,0,0,0,0,0,0,3,75,77,142,14,21,17,16,6,12,12,399,0,0,0,0,0,0,0,0,0,0,3,417,226,278,37,42,35,25,14,17,38,1133,781,110,78,16,7,11,3,3,3,32,1047,116,52,41,11,6,3,6,3,0,4,229,13,6,8,0,0,0,0,0,0,3,29,3,0,0,0,0,0,0,0,0,0,5,127,60,47,11,4,3,7,4,0,8,266,3,0,0,0,0,0,0,0,0,0,3,906,165,128,23,15,14,8,11,3,34,1313,1073,53,41,5,11,4,0,3,3,47,1239,139,10,16,5
UCL102004,920,198,280,347,397,389,229,104,3447,0,0,0,0,0,0,0,0,0,11,7,1039,519,1374,325,414,448,509,503,285,179,5596,1411,468,477,64,85,48,45,37,24,62,2725,488,543,800,113,166,131,106,101,50,53,2553,21,31,61,20,10,23,26,24,27,20,252,0,0,4,0,0,0,0,0,0,0,11,509,575,865,133,179,157,131,123,74,74,2818,0,0,0,0,0,0,0,0,0,7,6,1921,1045,1346,201,265,206,175,160,100,138,5555,2720,314,240,40,54,32,32,23,13,88,3553,960,256,216,40,50,25,19,11,19,25,1618,77,35,48,12,22,7,4,9,17,19,250,0,5,3,0,0,0,0,0,0,3,12,1033,300,267,49,67,32,22,21,34,43,1880,3,0,0,0,0,0,0,0,0,5,8,3755,613,508,89,127,69,53,46,45,145,5440,3177,126,79,13,18,10,9,13,3,109,3556,1204,70,30,9
UCL102005,906,237,326,401,504,493,276,130,4038,0,0,0,0,0,0,0,0,0,8,9,1010,498,1224,350,412,478,577,561,322,195,5626,1447,401,374,67,64,58,32,40,19,78,2576,994,557,677,108,169,188,139,99,59,61,3045,37,57,86,9,17,32,65,31,33,27,397,11,0,0,0,0,0,0,3,0,0,17,1040,613,761,123,190,225,198,136,89,87,3463,0,0,0,0,0,0,0,0,0,5,5,2487,1012,1136,187,256,278,235,173,110,167,6036,4219,282,211,18,29,19,21,18,9,149,4975,2278,293,225,21,42,34,33,20,11,85,3034,182,68,68,18,23,24,36,9,14,24,461,25,3,3,0,0,0,0,0,0,0,38,2494,360,295,31,65,57,66,29,23,110,3527,10,0,0,0,0,0,0,0,0,5,21,6724,647,504,56,88,80,87,47,35,260,8523,4979,105,64,11,6,14,9,4,3,141,5328,2862,70,35,4
UCL111001,278,57,61,50,45,40,28,11,625,0,0,0,0,0,0,0,0,0,0,0,96,63,332,75,73,54,62,48,34,16,840,146,62,34,13,9,3,8,10,8,3,283,64,59,188,26,37,11,26,16,13,6,448,3,5,30,21,6,5,4,14,0,0,90,0,0,3,0,0,0,0,0,0,0,3,75,69,215,40,40,22,35,25,17,5,540,0,0,0,0,0,0,0,0,0,0,0,213,123,249,51,52,26,43,32,22,11,824,357,35,40,3,6,5,3,0,0,16,470,94,34,48,10,5,6,3,3,4,3,211,6,0,20,7,8,13,10,4,0,0,73,0,0,0,0,0,0,0,0,0,0,0,104,39,73,15,17,16,14,7,3,3,286,0,0,0,0,0,0,0,0,0,0,0,461,72,109,21,24,24,17,10,3,16,762,463,18,9,0,0,0,3,4,0,12,511,126,9,3,0
UCL111002,167,35,52,43,46,50,14,31,547,0,0,0,0,0,0,0,0,0,0,3,191,117,246,64,70,66,55,68,24,36,919,304,96,91,24,6,11,6,5,3,10,549,74,92,164,31,23,19,20,12,11,10,457,3,8,7,0,5,0,0,3,0,0,31,0,0,0,0,0,0,0,0,0,0,3,77,97,173,28,25,20,18,12,16,10,491,0,0,0,0,0,0,0,0,0,0,0,380,189,265,53,36,36,29,19,19,27,1042,549,76,52,15,4,13,6,5,0,17,734,166,52,81,9,9,11,4,0,0,3,336,13,6,7,0,0,0,11,0,0,3,49,4,0,0,0,0,0,0,0,0,0,4,184,60,92,14,13,9,11,3,0,9,390,0,0,0,0,0,0,0,0,0,0,0,736,130,140,28,16,23,19,5,0,24,1121,637,19,16,7,3,4,0,3,0,16,711,124,11,17,0
UCL112001,105,23,51,53,73,140,83,17,564,0,0,0,0,0,0,0,0,0,0,0,49,33,122,25,51,56,75,151,84,23,675,60,25,17,3,4,6,6,3,3,4,118,27,29,83,11,14,30,39,30,15,0,288,4,0,6,0,0,0,3,9,4,7,31,0,0,0,0,0,0,0,0,0,0,0,30,35,88,12,17,31,41,38,24,7,322,0,0,0,0,0,0,0,0,0,0,0,93,56,106,15,19,32,48,43,21,15,442,127,25,12,3,8,3,0,0,3,7,186,52,30,40,4,10,4,3,6,6,0,152,3,0,3,3,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,51,26,44,8,10,4,3,10,6,5,165,0,0,0,0,0,0,0,0,0,0,0,183,56,49,14,10,10,9,9,6,12,354,188,6,7,0,3,0,0,0,0,0,210,57,3,4,0
UCL112002,87,12,15,15,24,24,11,9,229,0,0,0,0,0,0,0,0,0,47,47,67,23,124,19,24,24,25,23,16,57,402,109,37,30,5,6,3,6,3,6,3,214,44,38,66,17,11,10,8,10,3,3,209,0,9,3,5,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,43,41,70,23,11,8,16,12,4,4,230,0,0,0,0,0,0,0,0,0,28,30,156,77,101,32,16,16,20,18,13,39,477,214,20,24,9,0,13,3,0,0,10,294,77,32,23,3,6,5,0,0,0,3,155,11,0,3,3,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,90,32,25,3,6,3,3,0,5,3,172,0,0,0,0,0,0,0,0,0,15,13,301,52,52,11,9,13,10,0,5,25,481,279,13,11,0,5,0,0,0,3,9,316,54,4,8,0
