UCL_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
UCL101001,80,34,22,40,4,101,7,121,57,9721,98,10281,33,78,5,15,0,38,8,264,41,2914,32,3428,22,67,5,24,0,75,10,703,51,1779,30,2779,3,8,0,10,0,85,3,624,35,1024,14,1807,62,317,20,56,0,260,28,1263,133,11418,131,13688,44,365,25,127,18,939,33,1947,144,3926,53,7616,190,1274,63,349,18,2130,95,2592,261,26211,322,33503,315,1558,55,940,63,3917,114,2798,323,10057,145,20282,1008,2571,127,2926,147,5295,200,2858,389,11581,174,27270,3099,2152,163,4851,264,4528,222,2168,347,7932,144,25867,3478,1137,114,4534,297,3968,154,1426,222,3019,53,18402,6100,1033,160,4372,371,3293,144,1064,209,3240,68,20056,20469,1545,397,7663,901,6000,277,1715,316,4432,111,43831,18003,850,292,5576,758,2171,196,906,167,2195,45,31165,14026,529,211,3132,466,1046,108,471,84,1240,32,21351,10131,257,144,1276,320,2506,50,410,106,795,22,16007,23346,1151,393,5634,864,3476,167,1349
UCL102001,0,0,0,0,0,0,0,0,0,31,0,31,0,0,0,0,0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,6,0,10,0,14,0,0,0,0,0,0,0,3,0,9,0,9,0,3,0,0,0,3,0,6,0,70,0,82,0,0,0,0,0,4,0,13,0,29,0,51,0,7,0,4,0,19,0,17,3,194,3,247,8,10,0,12,0,40,3,19,3,97,0,181,9,16,0,44,3,50,5,24,3,88,3,245,43,7,0,64,6,36,4,12,4,73,3,247,51,4,3,44,4,36,0,9,3,42,0,193,62,4,0,55,8,35,3,13,0,24,0,214,251,14,6,74,3,51,0,22,9,37,0,474,179,5,4,56,10,26,0,6,4,25,0,314,145,4,0,42,13,14,3,5,0,0,0,226,113,0,7,14,4,18,3,3,0,0,0,158,200,5,3,40,13,17,0,3
UCL102002,3,0,0,5,0,10,0,10,4,365,11,404,7,3,0,3,0,0,0,34,4,174,7,227,0,6,0,3,0,8,0,42,4,130,0,190,0,0,0,0,0,8,0,24,5,79,3,124,11,34,3,8,0,21,0,89,7,1196,24,1399,6,29,0,10,0,51,9,166,11,472,7,761,13,99,8,43,0,137,9,295,37,4535,74,5258,44,123,8,86,13,334,11,388,41,1714,27,2791,92,192,13,281,20,395,18,335,48,1780,28,3205,279,174,20,503,26,372,25,256,33,1218,22,2925,305,95,19,427,25,301,16,113,21,317,6,1638,494,76,11,442,32,262,17,115,13,318,4,1795,1353,137,29,706,60,407,30,104,22,371,8,3248,967,58,23,453,43,116,23,68,7,163,0,1923,605,35,22,211,34,49,12,16,5,58,0,1047,306,19,6,79,14,124,3,20,9,46,0,625,465,44,15,208,21,83,7,43
UCL102003,3,0,0,0,0,0,0,0,0,77,0,82,0,3,0,0,0,0,0,5,0,51,0,60,0,0,0,0,0,3,0,11,0,21,0,39,0,0,0,0,0,0,0,0,0,14,0,18,0,4,0,0,0,5,0,25,7,313,7,373,3,5,0,4,0,11,0,44,4,141,0,209,4,31,0,3,0,17,0,83,11,1248,16,1417,12,29,0,17,3,63,0,101,14,458,4,699,15,64,5,67,3,87,8,83,3,474,12,823,65,62,0,133,5,73,7,54,3,306,3,715,54,27,0,86,4,51,6,31,3,81,0,351,79,28,3,88,13,42,4,15,3,84,0,363,232,28,3,167,12,63,6,22,9,120,3,667,165,11,8,70,11,20,7,16,0,38,4,358,83,7,0,33,3,15,0,0,3,27,0,173,42,4,0,9,0,15,0,0,0,7,0,81,50,11,4,32,3,16,3,9
UCL102004,3,0,0,3,0,0,0,11,4,308,4,334,0,0,0,0,0,0,0,21,0,164,6,193,4,6,0,3,0,8,0,46,0,124,0,188,0,0,0,0,0,9,0,36,3,89,3,139,6,25,0,5,0,15,0,99,3,1103,16,1291,5,33,0,10,0,42,4,161,12,461,3,737,13,111,3,30,4,108,9,311,30,4187,55,4856,21,118,8,89,6,264,14,357,41,1592,16,2528,83,205,14,251,15,382,22,353,52,1910,22,3302,281,193,14,547,22,341,28,260,45,1227,17,2979,298,86,14,463,29,307,12,163,27,413,7,1826,481,94,17,516,30,256,15,108,29,390,0,1948,1631,123,35,859,95,500,34,131,47,442,16,3917,1352,82,28,551,63,167,17,86,19,155,3,2521,845,43,13,299,47,83,11,36,8,78,3,1471,436,15,7,111,21,124,0,33,6,62,0,821,709,74,17,345,42,151,3,60
UCL102005,4,0,0,0,0,8,0,4,3,348,8,384,3,4,0,0,0,3,0,19,5,207,5,246,0,4,0,4,0,10,0,45,0,113,0,184,0,0,0,0,0,4,0,25,7,71,0,113,6,22,3,4,0,12,0,80,8,1070,16,1220,0,20,0,5,0,49,3,144,21,451,5,705,16,64,9,20,0,100,4,255,34,3647,54,4201,22,83,4,61,8,195,10,280,22,1256,18,1961,68,131,7,214,13,323,23,238,47,1353,21,2427,200,155,3,355,23,281,18,175,22,881,9,2126,215,49,3,308,22,269,14,97,22,231,8,1247,375,68,8,336,31,198,16,77,24,232,3,1370,1013,112,33,580,68,345,27,109,33,296,7,2611,843,44,21,398,57,119,17,44,11,106,3,1660,597,23,14,212,31,57,7,17,4,45,0,1001,317,5,11,50,13,101,5,14,13,21,0,558,452,23,9,187,30,106,11,29
UCL111001,0,0,0,0,0,0,0,0,0,46,0,47,0,0,0,0,0,0,0,0,0,20,0,24,0,4,0,0,0,0,0,4,0,11,0,25,0,0,0,0,0,0,0,4,0,16,0,24,0,3,0,3,0,3,0,16,0,141,5,171,0,5,0,7,0,10,0,26,3,49,0,101,4,17,0,10,0,34,0,64,3,510,7,657,8,21,3,27,3,62,0,60,8,191,4,382,27,44,0,82,4,74,3,53,3,224,3,525,82,42,4,124,9,65,9,39,6,142,3,523,59,21,3,86,4,47,0,22,3,39,0,285,105,17,3,100,5,42,0,24,4,35,0,329,261,21,3,144,13,49,3,23,4,50,0,579,162,15,5,93,8,18,3,6,0,28,0,342,97,12,0,33,7,11,0,7,0,11,0,176,47,0,0,11,0,11,0,3,0,6,0,86,55,4,0,41,7,23,0,3
UCL111002,0,0,0,0,0,0,0,3,0,67,0,71,0,0,0,0,0,3,0,3,0,44,0,52,0,0,0,0,0,0,0,4,0,26,0,37,3,0,0,0,0,0,0,6,3,21,0,35,0,4,3,3,0,3,3,27,3,296,0,352,0,5,0,3,0,9,0,37,0,129,0,195,8,17,0,9,0,35,0,80,13,988,9,1160,0,22,3,23,0,82,3,96,12,394,3,633,21,57,4,75,6,100,3,73,19,383,3,741,79,39,7,151,16,99,6,43,7,218,3,665,103,18,3,146,7,103,0,29,3,70,0,487,157,20,4,117,15,77,10,20,9,55,0,483,454,13,0,217,20,123,7,14,10,45,3,923,306,20,4,118,13,34,6,9,6,15,3,530,206,7,3,61,8,11,5,3,3,12,0,324,74,3,0,7,5,32,0,0,3,4,0,129,107,12,5,51,7,21,0,6
UCL112001,0,0,0,0,0,0,0,3,0,17,0,16,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,3,0,12,0,16,0,0,0,0,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,3,0,50,0,62,0,3,0,0,0,7,0,19,0,17,0,48,3,11,0,3,0,5,0,15,0,169,0,203,4,18,0,16,0,18,0,22,3,72,3,163,8,19,0,24,0,20,3,21,0,63,0,168,30,12,0,52,0,17,0,10,3,66,0,193,22,5,0,28,0,22,0,4,0,15,0,97,35,5,0,25,3,12,0,12,3,29,0,127,96,6,0,52,0,32,0,3,6,37,0,234,55,4,0,19,6,18,0,5,0,16,0,124,32,0,0,12,0,6,0,3,0,11,0,68,19,0,0,0,0,7,0,0,0,3,0,37,36,0,0,21,0,5,0,7
UCL112002,0,0,0,0,0,3,0,0,0,30,0,31,4,0,0,0,0,0,0,4,0,8,0,18,0,0,0,4,0,0,0,3,0,12,0,19,0,0,0,0,0,0,0,3,0,15,0,15,0,0,0,0,0,0,0,10,4,104,0,122,0,3,0,0,0,3,0,13,3,29,0,59,4,11,0,10,0,15,0,33,3,293,6,379,4,10,3,15,0,34,0,24,3,122,0,219,4,17,3,41,0,25,0,40,8,125,0,270,47,14,0,74,7,41,3,22,5,94,0,301,47,9,0,53,7,28,3,16,4,22,0,189,57,3,0,46,3,27,3,8,4,29,0,179,173,15,3,80,10,37,4,21,0,42,3,384,132,5,3,52,5,27,0,4,0,9,0,244,97,3,6,22,0,6,0,3,3,3,0,146,33,3,0,13,5,11,0,0,0,5,0,65,54,3,0,37,0,7,3,0
