UCL_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
UCL101001,69443,12217,82975,717075,217143,19747,953963,2300917,260860,3515745
UCL102001,446,62,523,6159,2040,210,8405,18874,2080,29355
UCL102002,7656,2233,9964,49033,21029,2412,72472,158572,19802,250854
UCL102003,2200,551,2769,8276,3491,352,12127,33559,4789,50478
UCL102004,6421,2280,8800,51729,24385,2305,78426,169010,17937,265368
UCL102005,5311,1081,6480,42000,19212,1915,63123,135909,14854,213890
UCL111001,1030,250,1294,7425,2972,347,10742,24645,3661,39049
UCL111002,1061,252,1326,14246,5586,717,20551,36405,4104,61062
UCL112001,403,86,494,2680,1030,115,3830,11393,1617,16835
UCL112002,603,181,795,5403,2184,243,7837,16088,2906,26826
UCL112003,549,79,632,4439,1841,261,6540,16110,1710,24358
UCL112004,720,92,827,3007,1397,129,4533,11980,1417,17929
UCL112005,467,82,553,3272,1598,157,5030,10173,2201,17401
UCL112006,1082,527,1627,7073,2833,336,10247,25450,3825,39520
UCL112007,663,121,793,5510,2163,264,7934,16682,2472,27090
UCL112008,436,224,667,3320,1410,158,4888,11159,2308,18355
UCL112009,778,167,946,3966,1600,240,5808,14615,2204,22629
UCL112010,17,3,20,390,156,13,559,955,147,1659
UCL112011,619,222,851,4519,1881,244,6641,15119,3087,24849
UCL112012,742,136,892,6199,2396,325,8918,17863,2477,29257
UCL112013,1664,285,1965,6490,2488,291,9270,25046,3055,37370
UCL112014,780,190,984,4975,2189,263,7423,16753,2862,27033
UCL112015,991,174,1170,7762,3104,325,11186,24390,2838,38413
UCL113001,746,284,1036,1971,992,62,3029,9711,1569,14303
UCL113002,377,170,546,1228,606,61,1892,6554,1145,9590
UCL113003,480,114,593,2332,1135,100,3565,9605,1500,14672
UCL113004,126,32,160,853,295,37,1183,3014,441,4636
UCL113005,931,289,1224,2036,1068,77,3182,12342,1842,17363
UCL113006,564,91,662,2324,1129,157,3609,8536,1495,13634
UCL113007,361,219,588,2863,1060,112,4029,9104,1854,14988
UCL113008,217,141,358,1256,594,63,1915,4870,1771,8556
UCL113009,331,101,435,2075,1147,100,3317,7161,749,11229
UCL113010,246,79,323,2732,1334,139,4205,7952,1175,13331
UCL113011,301,68,366,1592,760,74,2418,6124,1021,9566
UCL113012,698,95,792,2688,1389,112,4192,10362,1066,15621
UCL113013,250,38,285,1863,614,92,2574,5033,926,8533
UCL113014,108,27,139,1838,635,68,2539,4851,663,8057
UCL113015,454,79,530,1833,929,85,2853,7980,971,11800
UCL113016,218,42,268,2117,914,118,3150,6336,1025,10513
UCL113017,242,29,276,2421,836,107,3362,6301,728,10395
UCL113018,178,75,258,1374,599,71,2045,5602,788,8434
UCL113019,605,206,816,2371,1052,94,3519,9846,1461,14819
UCL113020,345,98,446,1651,766,61,2475,7565,1021,11059
UCL114001,305,43,354,727,340,40,1110,2783,302,4197
UCL114002,62,33,88,764,360,41,1160,2585,462,4204
UCL114003,157,54,223,1241,460,40,1737,4809,1388,7928
UCL114004,327,149,479,668,447,22,1136,4858,752,6747
UCL114005,316,61,380,1270,594,73,1931,5194,851,7980
UCL114006,157,75,235,819,343,26,1183,3422,785,5390
UCL114007,226,42,267,647,355,47,1056,3230,462,4744
UCL114008,146,70,217,696,361,28,1090,2888,496,4473
UCL114009,316,60,372,1030,489,57,1579,4457,730,6769
UCL114010,217,47,271,914,421,27,1363,3623,693,5682
UCL114011,144,29,175,954,390,41,1389,3570,644,5602
UCL114012,148,64,223,650,300,39,993,2633,566,4189
UCL114013,235,39,283,1247,460,64,1768,3930,674,6372
UCL114014,45,9,60,1337,396,62,1794,2625,227,4653
UCL114015,254,47,307,1353,567,69,1985,4848,747,7580
UCL114016,168,30,204,972,447,30,1445,3463,647,5555
UCL114017,76,12,89,1178,392,53,1625,2914,330,4870
UCL114018,35,3,40,1761,622,79,2459,3832,560,6852
UCL114019,241,88,327,827,431,35,1292,4671,629,6592
UCL114020,110,17,131,1009,418,47,1475,3449,903,5826
UCL114021,117,12,135,1225,531,59,1813,4033,534,6380
UCL114022,272,142,422,1374,580,60,2012,4632,850,7501
UCL114023,266,114,376,607,348,34,989,3803,686,5469
UCL114024,89,45,142,839,371,42,1256,2802,619,4671
UCL114025,241,90,337,1483,584,74,2148,4791,967,7900
UCL114026,67,94,161,1301,404,54,1763,2806,402,4972
UCL114027,208,37,249,668,359,33,1059,3010,414,4486
UCL114028,175,24,205,529,232,26,785,3176,387,4344
UCL114029,85,13,94,937,428,40,1401,3057,271,4728
UCL114030,134,90,225,892,381,34,1316,2958,704,4976
UCL114031,233,30,268,978,416,55,1447,3483,515,5446
UCL114032,251,49,305,639,290,22,950,3780,540,5268
UCL114033,40,12,62,225,138,15,377,1107,187,1672
UCL114034,114,99,214,857,372,41,1270,2569,517,4354
UCL114035,240,44,288,1007,427,59,1487,3572,580,5635
UCL115001,19,10,28,330,121,9,464,873,147,1478
UCL115002,13,0,14,280,105,23,403,634,57,1094
UCL115003,42,6,51,212,103,3,313,921,168,1401
UCL115004,24,7,29,149,80,3,234,591,130,957
UCL115005,33,21,57,368,54,17,438,733,133,1301
UCL115006,51,5,58,561,226,24,816,1588,169,2568
UCL115007,71,25,90,112,60,3,167,709,122,998
UCL115008,27,14,37,244,100,9,347,833,177,1361
UCL115009,44,9,61,93,48,3,153,690,137,977
UCL115010,43,26,63,226,93,23,335,804,129,1263
UCL115011,31,14,41,131,41,0,174,575,120,873
UCL115012,136,28,164,588,279,37,901,2104,324,3329
UCL115013,74,14,89,548,189,40,781,1396,208,2382
UCL115014,51,4,55,151,89,4,241,898,126,1268
UCL115015,158,16,177,242,149,16,403,1243,115,1765
UCL115016,57,21,76,88,45,0,133,683,138,958
UCL115017,79,3,81,605,253,49,912,2439,251,3605
UCL115018,78,13,93,480,182,22,695,1417,242,2354
UCL115019,48,4,56,174,55,4,235,641,102,978
