UCL_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
UCL101001,1549,4271,11035,9344,8487,4937,1414,304,97,41437,42814,95857,250963,220241,196454,123807,27714,2476,349,960684,168,542,1240,1252,1434,1025,451,112,19,6247,14,116,864,923,799,495,120,21,0,3353,2305,6616,23554,28631,30196,20825,4060,386,63,116636,111,733,3491,4225,3838,2387,386,24,0,15200,6296,17133,43476,38160,31164,17877,4138,360,39,158642,937,4368,18175,20717,17699,10851,2495,266,37,75539,19748,33139,46688,34583,29501,19191,5181,584,53,188669,25936,26492,37100,19579,15409,9697,2054,207,37,136503,1220,5850,22551,25487,26856,18816,4026,290,23,105115,1364,4426,18069,17619,11657,5314,1094,120,16,59678,760,7978,42227,43240,27906,12913,2637,335,89,138091,864,3503,11200,9535,7922,4852,1842,381,61,40148,1984,16152,65803,56651,38841,22993,7785,995,116,211324,1198,6371,20251,17273,15312,10379,2740,262,35,73830,933,5940,26530,28478,27013,17979,3620,281,30,110808,4900,13418,36898,36035,36152,28737,7265,670,50,164124,3703,18314,58022,51480,50802,39091,10677,1000,86,233170,3002,5172,9212,6936,5342,3344,1055,181,22,34272
UCL102001,10,37,47,41,67,38,6,6,0,251,575,925,2126,2067,2286,1201,173,21,0,9375,0,3,11,9,16,4,12,4,0,53,0,6,13,13,13,3,0,0,0,39,53,47,168,157,150,109,28,7,0,725,4,5,43,48,57,33,10,0,0,203,85,242,496,385,389,237,38,3,0,1871,18,30,78,79,85,48,3,0,0,336,321,308,390,264,264,186,42,7,0,1776,345,200,275,133,105,58,15,0,0,1138,13,39,136,143,178,135,34,4,0,681,6,20,76,67,70,30,7,0,0,276,0,27,59,64,50,32,8,0,0,236,3,24,83,69,59,45,9,0,0,298,20,104,314,291,274,148,35,3,0,1189,10,48,113,110,151,137,31,0,0,604,32,196,1120,1414,1612,638,75,8,0,5092,36,96,288,297,350,204,38,0,0,1312,66,222,441,417,479,303,51,0,0,1979,35,35,56,39,46,28,11,0,0,250
UCL102002,114,163,323,414,451,359,106,24,7,1970,4356,5742,11654,13361,15060,10885,2012,144,23,63229,26,74,117,120,145,117,45,19,3,667,0,24,175,214,161,87,11,0,0,685,276,668,1517,1916,2087,1382,239,20,0,8122,10,60,252,374,388,313,42,0,0,1444,708,1646,3479,3388,2969,1938,368,17,5,14525,71,206,550,839,849,523,128,6,0,3177,2030,2168,2676,2423,2727,2081,480,45,9,14627,3096,1749,1670,1260,1222,826,184,25,3,10034,65,166,597,994,1456,1262,305,26,0,4867,121,205,508,584,648,386,71,10,0,2536,39,228,927,1239,1165,690,125,13,3,4432,60,202,442,511,531,383,137,13,4,2274,97,469,1411,1790,1621,1165,403,38,4,6996,122,383,837,1031,1213,885,213,15,0,4693,65,288,1477,2243,2360,1549,236,10,6,8236,191,596,2027,2213,2466,2102,358,30,0,9989,306,1354,3709,4204,5396,4411,837,47,4,20274,194,271,409,382,343,235,90,7,3,1941
UCL102003,25,40,63,86,89,75,22,11,4,417,779,885,1912,2430,2806,2348,438,29,10,11636,10,18,33,32,44,39,17,4,0,190,0,3,52,44,40,21,0,0,0,174,47,86,182,184,209,173,37,9,0,922,3,15,34,49,63,58,0,0,0,218,106,229,530,653,562,453,77,3,0,2623,3,23,65,105,88,101,20,7,0,416,439,391,481,424,530,425,103,11,0,2809,598,366,441,395,379,365,80,3,0,2630,13,40,96,168,235,212,82,7,0,853,22,23,41,63,44,37,14,0,0,242,5,11,61,115,122,69,22,0,0,397,7,33,87,119,130,120,38,11,0,545,12,66,193,260,270,177,74,12,0,1061,11,59,125,209,256,225,49,3,3,944,3,37,196,301,372,232,44,3,0,1195,22,80,296,496,526,462,73,3,0,1960,41,184,611,774,1036,960,169,8,0,3775,35,52,74,83,66,57,19,0,0,386
UCL102004,109,209,308,364,364,252,89,25,3,1732,4533,7615,15645,15401,15694,10690,1750,157,18,71495,10,69,90,108,102,76,35,10,3,512,22,136,1026,909,787,392,28,0,3,3300,278,672,1791,1963,2164,1448,188,19,0,8519,17,107,478,557,561,355,40,0,0,2107,615,1489,3216,2839,2758,1630,278,25,3,12854,63,248,610,755,710,520,97,10,0,3014,2009,2799,3007,2278,2392,1645,364,40,3,14532,3432,2630,1983,1272,1121,714,187,10,3,11353,55,236,967,1157,1540,1314,296,35,0,5591,113,210,377,319,282,181,33,4,0,1524,34,308,1427,1282,1182,652,84,21,6,4983,59,199,442,498,439,329,116,17,0,2104,134,719,2478,2348,1812,1221,332,53,0,9090,87,398,988,1060,1044,819,161,9,3,4574,50,516,2156,2593,2621,1541,192,12,3,9670,268,895,2833,3298,3257,2800,437,36,3,13820,355,2019,5993,5622,6162,4756,776,65,8,25758,277,336,378,341,277,200,85,7,0,1898
UCL102005,97,153,278,304,314,174,48,23,11,1413,3454,6058,11267,11927,12154,7778,1152,98,24,53903,16,41,60,67,60,55,36,12,0,346,3,79,621,739,545,314,30,0,0,2319,165,536,1138,1530,2122,1246,146,12,0,6896,16,75,264,302,304,206,15,0,0,1189,633,1349,2557,2327,2069,1236,183,14,0,10372,49,189,492,578,550,339,66,8,3,2266,1648,2038,2366,2047,2038,1233,224,31,4,11626,2374,2071,1422,912,922,615,106,10,0,8435,72,264,832,1291,1494,1071,228,18,7,5273,57,144,319,339,246,118,20,3,0,1244,37,279,1064,1212,927,453,72,5,4,4042,46,169,386,377,342,218,68,6,0,1620,124,572,1419,1527,1149,773,196,16,0,5777,100,355,784,858,960,675,113,7,0,3857,70,407,1735,2248,2133,1259,132,13,0,7993,246,913,2514,2796,2874,2314,396,33,4,12084,276,1388,3654,3739,4122,2980,499,44,4,16715,202,281,330,275,255,183,45,3,0,1572
UCL111001,20,32,41,48,55,46,22,4,0,264,766,1100,2171,2109,2261,1765,336,26,0,10525,9,20,47,46,49,42,20,5,3,230,0,0,16,7,11,3,0,0,0,41,83,172,428,444,464,327,41,0,0,1969,0,4,33,33,50,38,4,0,0,158,113,264,477,375,338,317,44,0,0,1934,7,29,88,119,129,83,26,3,0,486,392,393,530,406,397,296,69,3,0,2495,525,346,345,245,182,157,53,0,0,1848,9,56,182,189,237,204,87,4,0,978,16,37,69,56,35,20,9,0,0,254,10,32,91,100,94,49,12,3,0,392,7,29,58,47,55,46,18,0,0,270,12,70,207,185,181,149,68,3,0,879,16,41,120,147,162,135,37,4,0,657,12,80,306,422,429,297,31,3,0,1578,50,142,425,455,480,433,63,5,0,2041,47,215,763,695,739,677,119,8,0,3260,27,49,36,32,39,22,3,0,0,203
UCL111002,37,44,89,100,92,53,18,3,3,430,1122,1710,3832,3617,3656,2186,350,29,5,16504,6,40,66,75,88,49,19,8,0,351,21,115,678,740,520,220,21,0,0,2327,107,271,666,605,639,398,45,7,3,2742,8,22,90,138,141,81,10,0,0,491,165,315,836,653,567,392,55,3,0,2990,17,74,176,159,158,104,19,0,0,717,460,611,861,704,679,411,69,12,0,3797,865,473,462,301,235,155,38,0,0,2525,16,76,264,331,454,359,88,8,0,1603,7,32,68,53,52,43,8,0,0,261,11,78,227,215,171,93,22,0,0,815,17,47,119,123,108,70,20,3,0,505,25,129,429,388,291,203,59,3,0,1529,47,98,268,313,281,191,26,5,0,1226,13,98,530,613,595,313,46,6,0,2218,39,142,478,636,650,495,76,7,0,2522,99,402,1105,1026,1126,797,137,3,0,4695,49,52,67,58,47,36,12,3,0,327
UCL112001,10,8,20,12,10,9,7,0,0,76,339,539,834,726,825,674,119,7,3,4060,13,50,102,57,54,28,10,3,0,312,0,0,12,7,7,3,0,0,0,33,17,29,35,32,34,21,8,0,0,179,0,4,16,4,16,14,0,0,0,53,26,51,102,80,74,76,18,0,0,433,6,10,34,14,17,21,10,0,0,124,194,240,200,131,141,85,14,0,0,1007,210,184,142,73,69,62,9,0,0,748,0,8,29,29,49,45,8,5,0,169,3,6,14,17,15,13,3,0,0,77,0,23,40,50,36,27,5,0,0,178,8,11,19,6,14,13,6,0,0,72,4,42,96,93,88,86,27,3,0,442,5,38,72,55,51,44,9,0,0,278,8,18,77,92,103,94,15,3,0,404,26,125,339,368,463,398,75,4,0,1795,32,131,287,231,293,212,43,0,0,1233,9,9,14,5,12,14,0,0,0,68
UCL112002,17,20,35,42,27,30,13,0,0,180,502,840,1513,1469,1514,1144,214,12,4,7220,3,13,53,43,47,42,14,4,3,223,5,17,82,47,38,23,0,0,0,206,55,107,232,297,324,209,36,7,0,1262,3,4,41,43,57,39,0,0,0,187,72,151,369,227,187,141,21,4,0,1177,11,28,60,56,36,39,9,3,0,240,240,330,399,275,224,164,39,7,0,1670,286,269,221,131,117,94,28,3,0,1157,9,25,76,107,144,114,35,4,0,507,25,33,66,59,37,17,0,0,0,240,3,14,54,43,58,36,5,0,0,211,4,19,31,32,40,33,14,0,0,179,4,37,142,134,91,103,39,7,0,564,13,29,97,87,120,70,22,0,0,447,9,76,299,330,327,236,28,6,0,1315,28,135,347,409,462,368,64,8,0,1813,48,212,437,400,454,414,64,5,0,2041,26,37,42,25,19,21,10,0,0,178
