UCL_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
UCL101001,..,62288,11799,74086,706,74791,..,27474,2410,29884,193,30083,..,60102,2839,62944,528,63470,..,25185,2688,27877,216,28095,..,9480,360,9843,46,9887,..,25234,2280,27520,311,27825,..,55010,4252,59260,447,59707,..,202496,14838,217331,1747,219071,..,51013,7708,58719,660,59381,..,12279,2293,14572,111,14680,..,37483,18969,56456,498,56957,..,15572,3001,18569,222,18792,..,8200,715,8917,121,9042,..,16573,3754,20331,198,20529,..,10173,1243,11416,96,11512,..,14058,2606,16667,97,16761,..,13641,1287,14932,322,15248,..,14687,3154,17840,174,18011,..,20223,575,20801,153,20950,..,25236,2859,28093,204,28300,..,38245,1155,39406,375,39780,..,4389,278,4663,36,4699,..,88091,4869,92967,763,93730,..,47463,6611,54070,569,54641,..,25509,2556,28062,195,28260,..,15072,5665,20733,185,20917,..,15759,3650,19415,192,19604,..,65787,32293,98079,559,98637,..,164568,38928,203498,4125,207621,..,1369809,306416,1676222,15896,1692120,..,10505,2656,13161,237424,250585,2378833,1380311,309071,1689384,253320,4321535
UCL102001,..,157,27,191,0,191,..,162,17,180,0,180,..,218,15,233,0,233,..,349,37,391,6,395,..,53,0,53,0,53,..,119,6,132,0,134,..,221,8,227,0,227,..,1116,89,1204,15,1220,..,443,55,494,10,502,..,31,3,34,0,34,..,29,7,43,0,43,..,689,147,836,10,843,..,31,0,34,0,34,..,27,6,35,0,37,..,62,9,65,3,71,..,52,7,59,0,67,..,59,0,60,0,62,..,197,28,225,8,232,..,110,0,108,0,108,..,53,5,65,0,63,..,173,4,171,0,174,..,19,4,25,0,25,..,354,18,373,3,369,..,118,15,129,4,137,..,55,3,63,0,65,..,57,11,64,0,70,..,25,0,28,0,28,..,68,24,95,0,95,..,643,117,755,31,793,..,4952,684,5636,91,5726,..,85,16,100,1999,2093,28524,5034,697,5735,2091,36348
UCL102002,..,534,70,599,13,612,..,72,0,77,0,77,..,331,18,350,0,353,..,200,29,232,3,229,..,71,0,71,0,71,..,116,5,126,0,126,..,234,23,252,5,255,..,1028,81,1106,4,1114,..,948,94,1038,8,1049,..,356,45,399,0,397,..,424,181,612,8,621,..,33,4,32,0,32,..,313,8,323,4,327,..,98,17,111,3,113,..,265,24,287,8,288,..,426,63,489,3,495,..,109,13,124,0,124,..,153,20,176,0,173,..,370,14,383,9,394,..,240,20,259,0,258,..,635,19,652,11,659,..,115,11,122,3,130,..,1358,65,1418,23,1441,..,1329,131,1461,21,1480,..,118,12,129,0,129,..,429,92,523,5,526,..,93,15,112,0,112,..,262,80,343,0,347,..,2922,475,3401,81,3480,..,15721,2280,18006,237,18243,..,905,88,993,16346,17342,272160,16634,2367,19002,16580,307742
UCL102003,..,54,0,52,0,55,..,13,0,13,0,13,..,35,0,36,0,36,..,72,10,84,0,89,..,10,0,10,0,10,..,17,3,23,0,23,..,32,0,34,0,34,..,178,19,193,0,194,..,133,12,147,5,149,..,168,25,196,3,198,..,14,14,29,0,29,..,4,0,4,0,4,..,21,0,21,0,21,..,3,0,3,0,3,..,35,0,42,0,42,..,25,0,28,3,29,..,19,0,19,0,19,..,14,0,17,0,17,..,87,3,94,0,92,..,31,0,34,0,36,..,140,0,142,0,146,..,18,0,18,0,18,..,281,7,290,7,293,..,135,14,147,0,148,..,3,0,3,0,3,..,81,3,92,3,92,..,16,3,20,0,20,..,24,3,30,0,32,..,533,72,608,15,619,..,2414,290,2709,48,2754,..,168,8,175,3891,4073,52948,2588,300,2887,3942,59776
UCL102004,..,898,144,1045,11,1053,..,250,16,269,0,269,..,490,25,507,5,517,..,266,25,288,7,294,..,212,17,230,3,229,..,297,28,326,3,328,..,344,30,376,3,379,..,1865,138,1996,19,2016,..,1148,154,1299,22,1319,..,243,27,271,0,271,..,399,150,548,11,553,..,1351,260,1619,15,1628,..,52,9,56,0,56,..,254,33,289,0,286,..,475,37,514,4,515,..,181,12,196,0,197,..,284,9,292,6,298,..,277,58,338,3,337,..,303,11,314,8,325,..,220,17,232,6,239,..,540,13,558,11,564,..,184,6,191,0,187,..,1246,51,1300,19,1314,..,727,68,797,6,806,..,290,19,311,0,316,..,356,109,462,3,470,..,69,9,77,0,77,..,440,173,619,3,622,..,3244,727,3968,99,4060,..,19292,3240,22527,271,22800,..,752,97,853,14439,15291,284182,20043,3335,23383,14717,322278
UCL102005,..,1663,286,1947,36,1981,..,156,9,165,0,165,..,443,19,459,3,463,..,114,14,130,3,127,..,204,9,217,0,217,..,308,18,332,0,330,..,277,7,289,0,290,..,1512,74,1587,8,1592,..,3470,622,4093,96,4189,..,228,29,252,0,257,..,240,116,351,3,356,..,4896,1290,6189,82,6270,..,487,34,519,10,534,..,391,58,445,3,452,..,417,60,475,7,483,..,182,27,207,0,205,..,84,0,86,0,86,..,1336,346,1678,13,1695,..,280,6,286,5,294,..,273,32,305,0,305,..,547,24,573,14,586,..,188,15,199,0,200,..,1288,79,1370,19,1392,..,1931,335,2267,13,2278,..,174,5,179,0,178,..,479,117,595,3,603,..,998,219,1213,9,1228,..,950,333,1284,3,1286,..,4311,1108,5426,113,5535,..,33340,7001,40347,534,40885,..,643,98,738,12233,12971,208044,33986,7098,41083,12770,261896
UCL111001,..,129,12,145,0,148,..,83,9,91,0,91,..,138,11,146,0,143,..,226,39,264,7,271,..,58,4,59,0,59,..,28,13,39,0,39,..,348,267,620,4,626,..,878,338,1217,15,1227,..,94,9,100,0,102,..,19,3,21,0,21,..,17,6,21,0,21,..,5,0,5,0,5,..,3,0,3,0,3,..,26,6,29,0,29,..,18,0,25,0,25,..,29,4,27,0,27,..,0,0,0,0,0,..,43,4,47,0,47,..,83,0,89,0,89,..,13,0,13,0,13,..,107,3,114,0,111,..,20,0,20,0,20,..,227,4,229,0,234,..,62,5,69,0,69,..,36,0,36,0,34,..,58,11,66,0,65,..,0,0,0,0,3,..,23,13,31,5,37,..,489,118,609,11,616,..,2695,628,3323,42,3367,..,121,14,132,3221,3348,41256,2809,639,3456,3265,47974
UCL111002,..,54,4,60,0,62,..,42,8,53,0,53,..,84,8,87,0,87,..,109,6,124,0,124,..,16,0,23,0,23,..,62,3,64,0,65,..,66,7,73,0,73,..,384,29,422,0,420,..,86,14,99,3,99,..,23,0,20,0,20,..,27,13,39,3,40,..,20,0,20,0,20,..,9,0,12,0,12,..,3,0,3,0,3,..,90,11,98,0,104,..,27,6,33,0,33,..,46,4,43,0,43,..,11,4,13,0,20,..,82,0,82,0,82,..,29,3,32,0,32,..,161,3,161,7,168,..,22,3,23,0,23,..,290,10,301,7,308,..,117,11,124,0,124,..,37,3,38,0,38,..,46,17,65,0,61,..,9,3,13,0,13,..,58,20,79,0,79,..,599,124,720,22,734,..,2684,497,3179,49,3226,..,156,13,168,3744,3915,70873,2838,509,3346,3790,78015
UCL112001,..,31,5,34,0,34,..,53,5,66,0,66,..,46,0,46,0,46,..,48,0,48,0,48,..,41,3,44,0,44,..,20,0,23,0,23,..,166,9,177,0,178,..,371,17,392,0,395,..,24,0,27,0,27,..,36,3,36,0,36,..,12,3,18,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,40,5,41,0,41,..,8,0,12,0,12,..,14,0,14,0,14,..,0,0,0,0,0,..,7,0,6,0,6,..,42,0,42,4,47,..,24,0,26,0,26,..,55,3,56,3,58,..,18,0,18,0,18,..,140,4,146,8,150,..,58,7,59,0,59,..,18,0,18,0,18,..,22,5,32,0,32,..,3,0,3,0,3,..,48,13,63,0,63,..,317,44,360,8,370,..,1800,292,2095,24,2111,..,51,4,56,1481,1534,16736,1853,296,2151,1503,20386
UCL112002,..,20,0,20,0,20,..,39,3,45,0,45,..,49,0,47,0,47,..,54,12,63,0,63,..,18,0,18,0,18,..,21,0,21,0,26,..,61,0,65,0,65,..,243,17,265,0,267,..,37,8,38,0,42,..,29,3,32,0,34,..,14,5,18,0,18,..,3,0,3,0,3,..,11,0,11,0,11,..,25,3,31,0,31,..,9,0,9,0,9,..,12,0,13,0,13,..,3,0,3,0,3,..,19,3,23,0,23,..,43,0,43,0,46,..,3,0,3,0,3,..,56,0,56,0,57,..,11,0,11,0,11,..,107,0,107,4,111,..,43,0,44,0,48,..,24,4,29,0,29,..,34,14,47,0,47,..,4,0,4,0,4,..,41,14,53,0,53,..,247,49,296,5,302,..,1325,195,1521,24,1539,..,71,0,67,2722,2791,29252,1397,193,1594,2741,33587
