LGA_CODE_2016,C16_AP_75_79_NCB_4,C16_AP_75_79_NCB_5,C16_AP_75_79_NCB_6m,C16_AP_75_79_NCB_NS,C16_AP_75_79_Tot,C16_AP_80_84_NCB_0,C16_AP_80_84_NCB_1,C16_AP_80_84_NCB_2,C16_AP_80_84_NCB_3,C16_AP_80_84_NCB_4,C16_AP_80_84_NCB_5,C16_AP_80_84_NCB_6m,C16_AP_80_84_NCB_NS,C16_AP_80_84_Tot,C16_AP_85andover_N_c_b_0,C16_AP_85andover_N_c_b_1,C16_AP_85andover_N_c_b_2,C16_AP_85andover_N_c_b_3,C16_AP_85andover_N_c_b_4,C16_AP_85andover_N_c_b_5,C16_AP_85ov_N_c_b_6mor,C16_AP_85andover_N_c_b_NS,C16_AP_85_and_over_Tot,C16_AP_Tot_NCB_0,C16_AP_Tot_NCB_1,C16_AP_Tot_NCB_2,C16_AP_Tot_NCB_3,C16_AP_Tot_NCB_4,C16_AP_Tot_NCB_5,C16_AP_Tot_N_ch_b_6mor,C16_AP_Tot_NCB_NS,C16_AP_T_T
LGA12380,313,154,220,195,2328,138,152,395,332,244,134,162,186,1735,186,187,451,371,222,132,274,286,2111,25852,12143,18449,10160,5183,2262,2191,7101,83333
LGA12700,25,9,4,17,174,6,3,20,21,12,4,12,16,94,7,9,14,23,19,4,8,27,112,818,328,1010,743,309,91,65,333,3687
LGA12730,37,12,14,27,205,12,3,23,37,34,16,10,28,162,16,14,34,36,33,23,14,20,181,777,317,862,734,379,136,90,424,3720
LGA12750,136,65,27,119,1001,60,40,154,162,110,58,36,90,703,48,51,186,162,105,49,44,184,841,3204,1585,4751,3156,1404,469,285,1524,16390
LGA12850,326,211,403,210,2651,118,154,388,362,248,147,431,161,2005,118,166,371,314,259,195,461,306,2192,24961,8886,19250,12091,5728,2492,2894,6157,82452
LGA12870,59,33,23,44,343,12,8,38,45,41,21,26,36,225,16,15,30,43,29,11,17,61,226,956,414,1322,1046,525,191,138,525,5122
LGA12900,30,14,17,33,209,9,6,31,39,28,21,11,19,170,10,5,31,39,28,17,10,19,166,773,312,874,814,389,176,90,396,3815
LGA12930,237,64,55,153,2182,127,177,538,395,203,98,80,113,1733,229,261,705,473,253,111,138,289,2456,21470,9807,16499,7370,2526,744,561,4168,63143
LGA12950,15,7,8,16,110,5,3,12,22,10,13,8,6,71,4,5,17,17,10,4,9,8,75,331,141,392,395,201,73,59,171,1752
LGA13010,34,15,3,24,219,9,8,41,38,19,10,11,27,151,9,8,39,40,22,14,17,48,187,717,338,912,764,347,130,96,394,3692
LGA13310,86,40,17,67,544,35,22,71,100,52,26,29,61,398,35,28,77,85,63,32,34,126,484,2879,1315,3089,2167,980,359,231,1042,12065
LGA13340,20,12,11,12,157,8,7,21,18,25,13,10,16,118,7,3,22,35,25,9,10,33,154,808,310,982,900,465,155,105,341,4061
LGA13450,71,33,13,47,403,10,14,62,94,61,30,28,51,352,17,19,101,83,50,33,32,85,424,2344,925,2357,1973,917,291,205,1184,10196
LGA13510,58,28,14,34,329,10,18,24,36,26,27,15,22,181,20,19,53,44,40,27,28,28,258,910,389,1179,979,497,217,141,368,4692
LGA13550,39,17,28,36,256,6,3,31,45,26,16,14,41,185,8,13,24,40,29,13,17,57,211,991,472,1189,992,476,167,129,467,4887
LGA13660,17,11,10,19,133,6,0,9,14,17,12,10,18,80,3,3,25,14,18,8,16,22,107,384,155,567,439,216,92,65,231,2137
LGA13800,120,50,40,87,846,40,40,155,108,85,44,48,57,583,46,54,150,127,69,50,38,101,639,7262,2859,6924,4624,1857,562,392,1917,26394
LGA13850,17,4,13,12,68,0,0,9,9,3,3,7,13,46,0,3,3,3,6,0,3,12,32,226,109,280,228,113,42,45,159,1210
LGA13910,69,35,40,43,383,26,12,38,55,46,36,35,33,286,46,21,46,51,62,25,43,52,337,1602,699,1736,1504,834,329,275,681,7657
LGA14000,263,75,53,163,2205,127,112,450,436,233,82,55,167,1654,227,209,547,441,269,118,101,539,2453,17061,8067,18327,8877,2799,714,426,3294,59570
LGA14100,28,10,11,29,260,30,11,48,59,17,10,12,29,213,86,37,86,78,32,11,14,157,502,1711,643,1606,886,290,75,61,517,5794
LGA14170,205,89,50,196,2070,195,175,515,326,155,65,84,164,1682,254,239,469,306,206,99,145,282,2004,37054,11002,15455,5853,1889,613,535,7315,79710
LGA14200,66,27,16,38,378,20,9,44,44,58,17,17,21,238,22,16,57,45,41,21,27,38,269,1374,635,1660,1349,656,260,187,628,6759
LGA14300,19,5,6,10,81,3,3,9,21,6,7,0,7,64,3,3,15,16,14,4,10,8,68,453,169,505,419,248,106,56,226,2176
LGA14350,101,49,25,75,605,34,23,68,80,65,32,29,82,405,31,47,91,77,80,42,34,142,542,2290,1204,2993,2270,1095,454,296,1372,11972
LGA14400,60,19,20,51,464,28,32,76,74,56,20,12,46,343,37,39,92,97,61,32,19,83,456,2100,823,2800,1867,655,178,87,679,9206
LGA14500,240,91,28,116,2068,136,125,473,464,230,71,52,141,1700,204,213,654,537,284,102,70,477,2538,13788,5979,15866,8207,2366,565,272,2786,49830
LGA14550,35,17,18,16,163,3,6,17,24,31,15,17,22,139,8,9,20,33,29,14,19,34,151,696,323,836,754,427,164,106,379,3686
LGA14600,29,10,8,14,126,9,3,16,19,12,18,12,11,88,7,3,7,23,9,13,21,18,110,462,219,497,484,269,124,89,302,2442
LGA14650,555,210,148,332,3904,195,197,711,749,455,210,156,355,3038,196,286,762,745,422,193,188,781,3568,19790,9097,25368,15530,5797,1749,1122,5086,83535
LGA14700,46,15,5,24,449,51,31,102,71,57,11,14,31,374,50,73,134,101,48,25,8,74,512,5925,2209,3637,1675,506,114,65,955,15081
LGA14750,30,19,20,29,212,15,3,15,33,25,17,22,24,155,7,4,20,27,22,18,12,48,157,1062,375,988,821,454,157,120,495,4482
LGA14850,126,62,45,88,746,38,29,101,115,81,56,52,49,520,62,43,150,147,118,53,71,101,750,4742,1976,4583,3140,1403,504,361,1707,18420
LGA14870,67,27,20,42,435,31,20,59,68,44,20,21,40,300,22,32,75,57,40,23,25,55,328,1866,890,2279,1553,700,234,174,952,8641
LGA14900,299,155,181,223,2073,72,113,336,302,180,114,185,158,1455,74,129,299,258,178,94,220,222,1459,22442,9186,20335,12023,5349,2111,1842,7104,80386
LGA14920,26,14,10,21,173,12,7,25,12,23,8,6,8,105,11,5,21,24,13,7,11,15,108,572,289,811,626,283,125,76,349,3137
LGA14950,11,3,6,9,75,0,3,7,5,5,4,9,9,44,3,3,10,6,10,8,4,11,55,189,87,286,281,149,55,50,135,1232
LGA15050,150,83,57,89,1040,46,42,167,191,119,60,53,96,776,66,60,157,174,135,50,56,152,848,7876,3510,8910,5641,2269,736,531,1916,31383
LGA15240,384,142,103,237,2528,142,100,403,422,290,127,87,215,1791,147,144,447,393,273,105,100,429,2049,7609,3701,11184,8026,3661,1218,718,3338,39457
LGA15270,78,24,29,65,441,28,25,55,60,43,32,28,45,315,26,32,69,55,46,29,25,32,305,1968,982,2465,1806,868,293,198,1050,9626
LGA15300,27,14,10,36,185,9,9,20,26,19,18,11,24,130,4,11,17,24,17,13,13,19,113,1072,502,1138,855,456,172,176,728,5105
LGA15350,39,11,4,45,502,65,24,91,93,32,16,12,30,361,81,48,138,145,58,16,17,77,578,4782,1545,3119,1737,457,98,53,1064,12852
LGA15520,64,28,14,35,307,17,9,37,34,24,23,19,31,199,16,11,32,47,30,21,22,24,204,911,395,1315,1069,463,179,103,453,4889
LGA15560,21,3,10,3,73,0,3,6,3,10,8,3,4,39,0,3,3,10,11,10,5,0,41,267,129,312,297,178,59,46,170,1466
LGA15650,45,8,11,15,185,7,12,26,32,23,14,13,14,144,10,9,22,25,19,18,13,16,137,1381,603,1572,1186,527,197,168,470,6097
LGA15700,70,30,15,48,461,21,18,67,77,60,33,19,50,347,30,33,87,69,49,33,21,99,418,1604,816,2194,1576,775,298,181,781,8233
LGA15750,48,15,12,37,236,8,5,32,32,24,22,16,27,168,10,10,20,20,27,6,16,56,166,986,420,1296,1026,487,171,132,623,5134
LGA15800,22,13,0,19,106,3,8,25,16,16,3,11,24,94,8,13,22,21,22,10,12,27,132,405,211,547,496,253,86,62,306,2370
LGA15850,19,13,3,14,126,7,3,17,21,20,10,4,12,94,6,6,16,19,23,8,13,14,111,456,208,590,518,298,112,80,301,2567
LGA15900,281,101,87,257,2348,129,157,474,434,277,134,91,310,1991,183,209,579,421,279,144,122,846,2771,22575,7617,16828,9269,3327,1073,675,4794,66161
LGA15950,84,24,8,70,906,114,51,149,108,75,27,13,55,598,148,76,174,150,70,34,27,100,769,15926,4109,5523,2223,691,164,91,2792,31513
LGA15990,457,146,49,297,3995,254,235,815,815,405,148,107,356,3124,375,390,1137,893,488,183,158,860,4489,32407,12628,30969,15597,4640,1093,568,7277,105173
LGA16100,17,4,6,14,76,5,3,4,13,8,6,14,17,69,0,8,12,10,17,9,8,8,65,417,182,527,393,204,71,60,247,2101
LGA16150,107,43,45,68,676,32,33,112,131,95,49,49,47,550,46,42,126,138,99,39,48,66,605,4273,1741,4240,3013,1311,446,375,1263,16661
LGA16200,43,21,23,52,304,19,8,42,39,33,27,25,41,230,17,10,48,55,36,25,26,59,283,1227,525,1357,1157,604,228,195,688,5981
LGA16260,296,138,92,212,2642,150,134,514,470,273,114,132,192,1979,197,238,585,476,313,136,182,324,2453,31156,16033,23202,9589,3406,1104,833,7391,92711
LGA16350,288,159,138,173,1999,72,117,279,271,223,132,134,173,1407,106,136,343,255,185,102,154,248,1529,21978,9474,20560,12573,5261,1860,1332,6037,79074
LGA16380,291,120,57,216,2143,150,119,390,344,242,95,82,177,1607,182,155,383,356,238,78,97,342,1830,7426,3631,9986,6595,2721,872,505,2721,34451
LGA16400,187,75,42,166,1459,67,64,220,240,154,59,51,144,999,65,78,202,171,124,61,58,250,1026,6236,2938,8575,5528,2217,664,405,2552,29111
LGA16490,93,40,29,66,604,24,23,67,103,61,29,24,32,365,16,42,81,98,65,32,30,72,434,6756,2753,5808,3507,1292,367,254,1885,22624
LGA16550,162,39,40,176,1831,176,154,397,286,155,64,53,177,1468,259,232,502,327,173,70,97,397,2053,27623,7367,12726,5427,1617,416,329,5688,61199
LGA16610,93,44,37,42,491,22,17,71,92,72,37,53,28,397,33,27,87,82,55,37,45,33,394,1848,859,2373,1839,943,371,284,825,9347
LGA16650,148,39,60,167,1706,129,122,407,278,134,57,47,204,1381,172,184,400,259,147,56,81,405,1702,17376,6827,10774,4829,1780,585,477,4211,46861
LGA16700,197,65,44,119,1664,127,113,357,322,163,78,59,126,1336,201,174,410,387,216,109,115,277,1895,19959,7462,12076,5235,1642,522,366,3359,50619
LGA16900,178,83,48,123,1161,30,39,190,176,118,63,51,103,780,36,45,163,161,99,49,54,233,839,6677,2984,8437,5145,1975,712,417,2038,28388
LGA16950,368,133,76,265,2480,97,111,409,438,250,119,95,259,1782,112,117,390,392,224,89,92,432,1861,8803,4374,11915,8154,3616,1123,671,3779,42438
LGA17000,53,21,13,28,249,13,12,23,49,31,17,20,17,187,25,13,36,37,30,28,21,30,226,2102,887,2358,1637,716,235,163,773,8877
LGA17040,43,20,23,41,321,23,14,44,57,37,20,12,41,247,18,16,56,46,36,17,25,67,285,2091,819,2152,1335,574,202,137,816,8118
LGA17080,45,26,32,32,279,11,8,28,45,32,25,30,29,206,14,13,44,46,32,41,32,68,276,1101,514,1471,1162,551,241,171,613,5830
LGA17100,43,31,32,34,466,37,41,92,81,50,24,23,28,372,56,66,107,79,60,33,43,31,474,6467,2486,3669,1670,604,241,189,1531,16861
LGA17150,433,128,76,183,3352,192,191,832,698,376,133,111,198,2736,275,355,1141,839,469,193,154,405,3827,26197,10348,28011,15519,4804,1190,657,4821,91552
LGA17200,120,37,29,212,1498,148,148,227,162,88,43,49,158,1026,152,126,229,148,95,47,54,228,1075,58040,9059,8486,3089,1077,372,331,13093,93549
LGA17310,197,67,75,133,1173,50,42,175,168,120,79,49,99,789,70,58,186,184,142,86,88,133,942,5594,2522,6405,4611,2105,757,541,2176,24711
LGA17350,42,15,4,13,154,10,4,22,22,25,10,8,11,114,19,10,15,30,20,20,11,6,135,502,208,558,511,339,134,84,185,2527
LGA17400,21,8,9,23,152,9,3,11,24,10,7,15,23,106,11,7,10,18,14,9,9,45,116,580,237,648,559,257,87,97,376,2845
LGA17420,238,92,51,82,1804,75,85,352,272,140,57,59,84,1118,65,130,312,254,150,74,109,156,1247,17496,7688,20525,10299,3115,818,535,2957,63430
LGA17550,312,102,90,222,2241,139,129,383,426,252,123,93,264,1801,179,174,435,404,258,95,105,479,2132,8949,4536,11082,7110,2975,934,614,3614,39810
LGA17620,41,14,8,33,265,17,18,38,48,30,11,22,20,202,18,13,39,38,35,16,19,42,216,1259,518,1416,1148,488,156,109,590,5691
LGA17640,24,7,5,21,152,16,11,24,19,22,13,12,12,132,10,12,20,17,14,7,13,6,97,648,294,778,629,319,106,79,285,3138
LGA17650,23,10,4,5,112,7,3,10,16,6,11,5,7,75,3,9,15,11,10,9,7,11,76,568,267,642,474,230,93,52,220,2530
LGA17750,182,71,80,90,971,44,36,136,160,156,59,84,61,737,65,65,161,173,130,86,95,106,887,7376,2453,6042,4495,2175,780,606,1769,25689
LGA17850,8,4,0,12,82,0,3,6,11,6,3,5,12,46,3,4,9,10,3,0,0,29,61,222,115,340,267,109,39,19,166,1276
LGA17900,13,7,7,19,98,7,9,7,6,3,4,4,9,48,3,0,4,12,9,0,9,7,43,468,205,506,347,201,95,93,363,2275
LGA17950,12,7,3,4,54,4,0,3,3,9,0,3,12,39,3,0,7,10,10,0,0,3,41,213,92,242,199,129,43,24,130,1069
LGA18020,31,20,14,31,211,9,13,30,37,42,11,18,26,175,8,11,36,30,38,11,18,18,183,672,294,914,763,444,151,151,472,3856
LGA18050,62,14,9,121,804,78,73,201,130,49,12,22,110,684,110,134,274,130,64,14,22,199,941,13091,3615,5614,2393,588,122,116,3618,29153
LGA18100,20,9,3,12,92,5,0,10,16,12,4,3,12,66,7,5,12,14,17,12,12,7,82,266,131,349,337,198,58,37,164,1530
LGA18200,28,8,6,13,106,4,3,15,11,16,9,6,12,72,3,9,16,10,18,8,9,11,88,519,215,680,537,275,78,62,310,2683
LGA18230,156,69,58,106,864,39,31,103,131,102,60,71,77,618,48,40,111,139,113,38,63,111,666,4908,2019,4720,3750,1830,648,540,2059,20481
LGA18250,107,24,10,58,918,103,73,197,182,103,38,33,50,775,145,104,275,214,125,63,51,99,1078,11783,4990,8064,3407,934,240,166,2062,31651
LGA18350,162,60,45,96,1201,82,65,192,189,121,36,36,94,812,86,68,205,181,90,45,44,169,894,5225,2180,5694,3850,1562,450,292,1611,20861
LGA18400,63,36,27,49,547,21,18,90,90,54,30,23,60,374,19,40,80,85,47,20,28,88,404,4922,1921,5307,3627,1397,447,224,1336,19180
LGA18450,469,174,116,284,3675,160,160,817,776,357,190,141,329,2935,166,278,886,737,374,220,187,471,3313,24529,9130,23695,14204,5148,1722,1126,5704,85266
LGA18500,86,28,14,130,1004,89,54,163,156,62,23,16,94,655,138,110,281,178,94,21,28,161,1014,10225,2784,5308,2747,785,158,96,2664,24768
LGA18710,27,14,10,28,224,4,5,30,36,28,10,8,38,156,5,7,35,24,20,6,21,68,183,1651,657,1766,1182,468,140,103,590,6564
LGA19399,3,0,0,0,12,0,0,0,4,0,0,0,0,4,0,0,7,3,0,0,0,3,10,105,39,114,74,24,11,0,47,400
LGA19499,3,3,0,23,78,4,8,4,11,3,0,3,11,38,3,0,15,6,3,4,7,13,48,1744,350,650,414,184,65,57,1134,4590
LGA19799,0,0,0,5,14,0,0,0,0,3,0,0,3,10,0,0,3,3,0,0,0,0,7,39,21,65,35,21,6,0,37,220
