LGA_CODE_2016,C11_Rel_NS_0_14,C11_Rel_NS_15_24,C11_Rel_NS_25_34,C11_Rel_NS_35_44,C11_Rel_NS_45_54,C11_Rel_NS_55_64,C11_Rel_NS_65_74,C11_Rel_NS_75_84,C11_Rel_NS_85ov,C11_Rel_NS_T,C11_Tot_0_14_yrs,C11_Tot_15_24_yrs,C11_Tot_25_34_yrs,C11_Tot_35_44_yrs,C11_Tot_45_54_yrs,C11_Tot_55_64_yrs,C11_Tot_65_74_yrs,C11_Tot_75_84_yrs,C11_Tot_85o,C11_T_T,C16_Buddhism_0_14,C16_Buddhism_15_24,C16_Buddhism_25_34,C16_Buddhism_35_44,C16_Buddhism_45_54,C16_Buddhism_55_64,C16_Buddhism_65_74,C16_Buddhism_75_84,C16_Buddhism_85oe,C16_Buddhism_Tot,C16_Christ_Angli_0_14,C16_Christ_Angl_15_24,C16_Christ_Angl_25_34,C16_Christ_Angl_35_44,C16_Christ_Angl_45_54,C16_Christ_Angl_55_64,C16_Christ_Angl_65_74,C16_Christ_Angl_75_84,C16_Christ_Anglic_85oe,C16_Christ_Anglic_Tot,C16_Chr_Ass_Apo_0_14,C16_Chr_Ass_Apo_15_24,C16_Chr_Ass_Apo_25_34,C16_Chr_Ass_Apo_35_44,C16_Chr_Ass_Apo_45_54,C16_Chr_Ass_Apo_55_64,C16_Chr_Ass_Apo_65_74,C16_Chr_Ass_Apo_75_84,C16_Chr_Ass_Apo_85ov,C16_Chr_Ass_Apo_Tot,C16_Chr_Bapt_0_14,C16_Chr_Bapt_15_24,C16_Chr_Bapt_25_34,C16_Chr_Bapt_35_44,C16_Chr_Bapt_45_54,C16_Chr_Bapt_55_64,C16_Chr_Bapt_65_74,C16_Chr_Bapt_75_84,C16_Chr_Bapt_85ov,C16_Chr_Bapt_Tot,C16_Chr_Breth_0_14,C16_Chr_Bret_15_24,C16_Chr_Bret_25_34,C16_Chr_Bret_35_44,C16_Chr_Bret_45_54,C16_Chr_Bret_55_64,C16_Chr_Bret_65_74,C16_Chr_Bret_75_84,C16_Chr_Breth_85ov,C16_Chr_Bret_To,C16_Chr_Cath_0_14,C16_Chr_Cath_15_24,C16_Chr_Cath_25_34,C16_Chr_Cath_35_44,C16_Chr_Cath_45_54,C16_Chr_Cath_55_64,C16_Chr_Cath_65_74,C16_Chr_Cath_75_84,C16_Chr_Catho_85ov,C16_Chr_Catho_Tot,C16_C_Chur_Christ_0_14,C16_C_Chur_Christ_15_24,C16_C_Chur_Christ_25_34,C16_C_Chur_Christ_35_44,C16_C_Chur_Christ_45_54,C16_C_Chur_Christ_55_64,C16_C_Chur_Christ_65_74,C16_C_Chur_Christ_75_84,C16_C_Chur_Christ_85ov,C16_C_Chur_Christ_Tot,C16_C_East_Ortho_0_14,C16_C_East_Ortho_15_24,C16_C_East_Ortho_25_34,C16_C_East_Ortho_35_44,C16_C_East_Ortho_45_54,C16_C_East_Ortho_55_64,C16_C_East_Ortho_65_74,C16_C_East_Ortho_75_84,C16_C_East_Ortho_85ov,C16_C_East_Ortho_To,C16_C_Jeh_Wit_0_14,C16_C_Jeh_Wit_15_24,C16_C_Jeh_Wit_25_34,C16_C_Jeh_Wit_35_44,C16_C_Jeh_Wit_45_54,C16_C_Jeh_Wit_55_64,C16_C_Jeh_Wit_65_74,C16_C_Jeh_Wit_75_84,C16_C_Jeh_Wit_85ov,C16_C_Jeh_Wit_Tot,C16_C_La_Da_Sai_0_14,C16_C_La_Da_Sa_15_24,C16_C_La_Da_Sa_25_34,C16_C_La_Da_Sa_35_44,C16_C_La_Da_Sa_45_54,C16_C_La_Da_Sa_55_64,C16_C_La_Da_Sa_65_74,C16_C_La_Da_Sa_75_84,C16_C_Lat_Da_Sa_85ov,C16_C_Lat_Da_Sa_Tot,C16_C_Luthe_0_14,C16_C_Luthe_15_24,C16_C_Luthe_25_34,C16_C_Luthe_35_44,C16_C_Luthe_45_54,C16_C_Luthe_55_64,C16_C_Luthe_65_74,C16_C_Luthe_75_84,C16_C_Luthe_85ov,C16_C_Luthe_Tot,C16_C_Ori_Orth_0_14,C16_C_Ori_Orth_15_24,C16_C_Ori_Orth_25_34,C16_C_Ori_Orth_35_44,C16_C_Ori_Orth_45_54,C16_C_Ori_Orth_55_64,C16_C_Ori_Orth_65_74,C16_C_Ori_Orth_75_84,C16_C_Ori_Orth_85ov,C16_C_Ori_Ort_To,C16_C_Oth_Pro_0_14,C16_C_Oth_Pro_15_24,C16_C_Oth_Pro_25_34,C16_C_Oth_Pro_35_44,C16_C_Oth_Pro_45_54,C16_C_Oth_Pro_55_64,C16_C_Oth_Pro_65_74,C16_C_Oth_Pro_75_84,C16_C_Oth_Pro_85ov,C16_C_Oth_Pro_Tot,C16_C_Pent_0_14,C16_C_Pent_15_24,C16_C_Pent_25_34,C16_C_Pent_35_44,C16_C_Pent_45_54,C16_C_Pent_55_64,C16_C_Pent_65_74,C16_C_Pent_75_84,C16_C_Pent_85ov,C16_C_Pent_Tot,C16_C_Pres_Ref_0_14,C16_C_Pres_Ref_15_24,C16_C_Pres_Ref_25_34,C16_C_Pres_Ref_35_44,C16_C_Pres_Ref_45_54,C16_C_Pres_Ref_55_64,C16_C_Pres_Ref_65_74,C16_C_Pres_Ref_75_84,C16_C_Pres_Ref_85ov,C16_C_Pres_Ref_Tot,C16_C_Sal_Army_0_14,C16_C_Sal_Army_15_24,C16_C_Sal_Army_25_34,C16_C_Sal_Army_35_44,C16_C_Sal_Army_45_54,C16_C_Sal_Army_55_64,C16_C_Sal_Army_65_74,C16_C_Sal_Army_75_84,C16_C_Sal_Army_85ov,C16_C_Sal_Army_Tot,C16_C_Sev_day_Adv_0_14,C16_C_Sev_day_Adv_15_24,C16_C_Sev_day_Adv_25_34,C16_C_Sev_day_Adv_35_44,C16_C_Sev_day_Adv_45_54,C16_C_Sev_day_Adv_55_64,C16_C_Sev_day_Adv_65_74,C16_C_Sev_day_Adv_75_84,C16_C_Sev_day_Adv_85ov,C16_C_Sev_day_Adv_Tot,C16_Chr_Unit_Ch_0_14,C16_Chr_Unit_Ch_15_24,C16_Chr_Unit_Ch_25_34,C16_Chr_Unit_Ch_35_44,C16_Chr_Unit_Ch_45_54,C16_Chr_Unit_Ch_55_64,C16_Chr_Unit_Ch_65_74,C16_Chr_Unit_Ch_75_84,C16_Chr_Unit_Ch_85ov,C16_Chr_Unit_Ch_Tot
LGA10050,826,682,522,515,484,431,269,209,91,4018,9298,6990,5974,6144,6436,5695,3727,2479,1065,47808,74,65,81,113,86,56,34,7,3,515,1205,797,686,962,1247,1387,1253,767,345,8647,0,0,0,0,0,0,0,0,0,0,111,67,60,65,59,63,58,42,14,533,22,13,37,11,9,12,10,3,3,116,2749,1700,1487,1485,1739,1625,1235,704,350,13079,0,0,0,3,5,11,4,5,0,38,46,27,22,37,48,38,40,40,18,312,29,11,27,27,23,18,24,10,14,178,3,9,8,6,6,0,9,0,0,49,162,117,97,100,130,153,132,103,68,1073,6,3,0,3,0,3,0,0,0,17,16,4,11,3,14,16,12,11,7,104,111,67,85,76,58,71,30,27,3,523,157,125,100,164,260,353,343,207,114,1825,22,14,5,22,12,31,25,18,3,140,43,13,26,26,24,25,31,8,0,204,200,198,164,196,307,394,322,245,111,2139
LGA10130,630,518,335,331,284,278,179,112,40,2710,5571,5291,3016,3214,3829,3334,2308,1378,561,28503,52,52,64,62,34,39,12,10,0,313,1037,907,538,688,928,984,850,564,233,6726,0,0,0,0,0,0,0,0,0,0,48,45,28,29,42,56,29,23,8,309,36,37,14,11,23,6,3,10,0,141,1199,1057,635,630,802,685,507,311,133,5947,11,13,10,8,13,3,0,0,0,55,14,5,14,12,10,8,7,8,0,82,16,5,5,4,16,11,7,7,3,77,13,5,9,7,7,3,8,3,0,53,11,11,4,10,14,10,7,6,0,70,0,3,0,3,0,0,0,0,0,3,7,7,3,9,14,14,8,0,0,67,56,25,36,22,33,27,27,12,0,244,118,125,66,118,209,221,232,154,82,1330,17,24,20,25,23,33,13,13,0,165,48,24,24,16,34,13,21,12,3,185,98,99,82,86,130,144,138,95,42,912
LGA10250,617,313,325,369,423,418,276,240,160,3146,7043,3994,3278,4886,5779,5846,4120,2927,1401,39272,68,35,55,88,110,76,61,8,4,503,808,547,412,690,1105,1361,1566,928,542,7966,0,0,0,0,0,0,0,0,0,0,67,38,38,35,61,96,86,50,30,507,0,0,0,0,0,0,3,0,0,3,1758,948,661,1008,1318,1367,1111,706,279,9168,0,4,0,0,3,8,3,8,0,26,24,5,5,16,19,16,12,10,3,105,29,20,23,31,29,41,32,27,4,238,13,9,9,8,8,4,0,3,3,59,19,3,9,12,18,16,13,19,3,114,0,0,0,0,0,0,0,0,0,5,17,4,12,14,14,26,20,13,16,131,100,68,62,56,67,97,40,20,6,519,119,68,71,141,241,324,385,277,153,1775,3,9,4,9,13,12,17,15,6,90,24,11,10,10,26,29,41,37,29,220,146,92,75,143,236,338,364,257,159,1809
LGA10300,48,46,22,27,40,35,24,13,0,251,469,254,217,297,359,331,195,123,34,2282,0,0,3,3,4,6,0,0,0,16,38,16,35,31,50,79,51,29,4,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,218,95,70,105,101,105,65,46,12,810,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,3,0,0,0,0,11,10,8,7,13,25,45,19,17,11,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,10,25,7,4,0,68
LGA10470,664,670,611,532,425,384,238,144,51,3713,7999,6227,4485,4931,5054,4472,2932,1773,647,38517,48,36,51,50,58,42,14,3,0,307,1183,868,739,952,1089,1157,1043,578,279,7893,0,0,0,0,0,0,0,0,0,0,95,69,40,67,79,96,52,26,4,524,46,28,33,22,17,13,9,5,3,166,3054,1880,1373,1384,1702,1501,1088,620,235,12833,13,4,3,7,3,8,3,0,0,43,34,18,5,25,21,15,17,6,0,147,23,3,17,20,17,16,17,13,0,126,19,7,11,6,7,7,0,0,0,61,8,7,6,7,8,7,7,19,3,79,3,0,7,0,0,0,0,0,0,14,15,22,18,21,23,29,17,3,3,148,73,44,27,38,36,27,13,3,3,260,200,143,134,166,259,326,248,160,79,1723,24,14,6,12,8,20,14,7,4,115,6,13,11,5,8,11,14,5,0,69,166,148,162,143,221,246,235,127,57,1512
LGA10550,595,292,272,325,412,507,287,201,98,2986,5589,3152,2329,3496,5035,5519,3893,2134,803,31950,48,31,29,52,56,77,44,9,0,342,753,555,340,574,1000,1447,1443,803,366,7277,0,0,0,0,0,0,0,0,0,0,52,22,19,30,43,59,75,49,14,361,0,0,0,0,0,0,0,0,0,3,916,515,460,620,872,1037,886,466,171,5949,3,0,0,0,0,3,6,0,3,16,23,0,5,17,16,18,16,9,3,98,34,11,24,20,36,43,23,18,3,212,20,3,7,3,7,6,10,3,0,58,3,5,0,5,24,26,20,16,14,111,0,0,0,0,0,0,0,0,0,3,4,0,7,4,17,18,19,15,5,82,4,16,3,9,14,26,7,0,0,82,42,27,24,47,122,218,241,168,61,950,11,5,8,0,13,15,15,3,0,80,29,5,12,7,11,17,16,3,3,111,111,74,50,89,169,259,268,180,56,1245
LGA10600,241,141,76,133,185,148,85,52,21,1089,2445,1227,848,1478,2054,1973,1382,792,318,12515,27,17,16,27,45,52,25,10,0,210,280,144,115,196,338,433,451,301,127,2392,0,0,0,0,0,0,0,0,0,0,10,0,0,6,3,13,17,8,7,65,0,0,0,0,0,0,0,0,0,0,311,173,131,190,291,292,251,168,58,1859,0,0,0,0,0,0,0,4,0,7,4,0,0,0,3,3,0,0,0,10,0,6,0,0,0,4,3,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,10,11,3,4,36,30,20,21,6,19,33,17,0,5,143,25,14,16,20,62,71,77,50,16,345,3,0,3,4,4,3,3,3,0,21,7,5,0,4,8,7,3,5,0,28,69,45,29,42,85,117,125,86,47,636
LGA10650,126,77,53,78,80,90,98,65,29,697,1398,800,656,845,1050,1282,1124,652,255,8067,0,0,3,9,3,4,4,0,0,19,222,94,84,149,181,279,338,205,80,1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,11,0,3,23,0,0,0,0,0,0,0,0,0,0,444,209,203,220,255,332,319,177,76,2239,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,4,0,0,20,3,3,0,3,3,8,0,0,0,21,37,13,13,5,13,7,9,4,0,101,5,0,0,5,0,11,6,3,0,36,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,3,3,17,5,11,6,7,9,3,7,0,0,52,39,27,20,35,52,112,140,81,40,547,0,0,0,3,0,0,3,3,0,12,0,0,0,0,0,0,0,0,0,0,51,46,44,57,77,114,127,75,40,628
LGA10750,4706,2913,3054,2693,2230,1716,953,596,206,19075,71462,42373,46566,45132,38806,29673,16061,8259,2771,301097,921,600,891,1111,928,760,363,109,35,5731,6070,3878,3649,5216,5386,4967,4000,1982,701,35864,31,16,29,22,23,25,15,9,3,171,938,621,593,632,634,567,325,142,48,4499,28,18,10,17,11,18,13,3,0,106,21205,13594,12652,13734,13097,11210,7721,3544,1514,98278,184,137,149,133,134,122,58,21,4,946,1135,696,720,912,860,664,578,365,103,6025,199,147,132,191,162,165,113,64,20,1186,749,420,320,326,246,183,83,20,3,2344,38,34,28,54,63,67,72,72,32,458,755,524,536,501,414,452,301,126,40,3648,582,543,451,372,507,370,189,86,29,3124,1816,1422,1135,1054,1097,684,246,81,23,7563,986,606,599,791,933,883,714,366,112,5987,58,44,36,67,74,84,82,47,6,501,446,238,239,245,239,169,133,66,43,1827,1237,910,724,774,842,873,569,260,87,6278
LGA10800,62,33,37,40,36,49,35,22,7,311,1285,589,580,698,823,762,562,412,153,5862,0,3,3,9,4,0,3,0,0,21,276,125,119,149,185,230,194,156,49,1484,0,0,0,0,0,0,0,0,0,0,3,4,3,5,3,6,11,3,0,33,0,0,0,0,0,0,0,0,0,0,383,179,168,185,185,211,136,76,28,1545,0,0,0,0,0,0,3,0,0,3,4,0,0,0,3,0,0,0,0,8,3,4,8,0,5,9,7,0,3,34,0,3,0,0,0,0,3,0,0,3,15,10,10,4,10,11,15,7,0,86,0,0,0,0,0,0,0,0,0,3,9,0,0,8,7,3,4,0,3,32,12,0,3,4,0,4,0,0,0,22,53,30,17,45,50,69,62,52,28,406,3,3,0,5,3,3,0,0,0,28,3,0,0,0,0,0,0,0,0,6,46,30,30,53,48,87,53,30,22,391
