LGA_CODE_2016,C06_P_FoodHos_PS_15_19,C06_P_FoodHos_PS_20_24,C06_P_FoodHos_PS_25_34,C06_P_FoodHos_PS_35_44,C06_P_FoodHos_PS_45_54,C06_P_FoodHos_PS_55_64,C06_P_FoodHos_PS_65_74,C06_P_FoodHos_PS_75_84,C06_P_FoodHos_PS_85o,C06_P_Foo_hos_pers_S_Tot,C06_P_MixFld_pr_15_19,C06_P_MixFld_pr_20_24,C06_P_MixFld_pr_25_34,C06_P_MixFld_pr_35_44,C06_P_MixFld_pr_45_54,C06_P_MixFld_pr_55_64,C06_P_MixFld_pr_65_74,C06_P_MixFld_pr_75_84,C06_P_MixFld_pr_85_ov,C06_P_MixFld_pr_Tot,C06_P_FldStu_ID_15_19,C06_P_FldStu_ID_20_24,C06_P_FldStu_ID_25_34,C06_P_FldStu_ID_35_44,C06_P_FldStu_ID_45_54,C06_P_FldStu_ID_55_64,C06_P_FldStu_ID_65_74,C06_P_FldStu_ID_75_84,C06_P_FldStu_ID_85o,C06_P_FldStu_ID_Tot,C06_P_FldStu_NS_15_19,C06_P_FldStu_NS_20_24,C06_P_FldStu_NS_25_34,C06_P_FldStu_NS_35_44,C06_P_FldStu_NS_45_54,C06_P_FldStu_NS_55_64,C06_P_FldStu_NS_65_74,C06_P_FldStu_NS_75_84,C06_P_FldStu_NS_85o,C06_P_FldStu_NS_T,C06_P_Tot_15_19,C06_P_Tot_20_24,C06_P_Tot_25_34,C06_P_Tot_35_44,C06_P_Tot_45_54,C06_P_Tot_55_64,C06_P_Tot_65_74,C06_P_Tot_75_84,C06_P_Tot_85o,C06_P_T_T,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85_ov,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85_ov,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85_ov,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85o,C11_P_Arch_building_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85o,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85o,C11_P_Healt_To,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85o,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85o,C11_P_MngtCom_T,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85o,C11_P_Soc_cult_T,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_arts_85o,C11_P_Creative_arts_Tot,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85o,C11_P_FoodHos_PS_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85_ov,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85o,C11_P_FldStu_ID_T,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85o,C11_P_FldStu_NS_T,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85o,C11_P_T_T
LGA10850,8,12,37,20,17,10,5,0,0,107,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,18,38,15,29,39,56,59,80,63,6,388,72,129,359,522,482,372,246,128,15,2326,0,3,4,18,10,8,3,0,0,42,0,3,0,6,4,3,0,0,0,19,3,33,81,102,114,70,43,33,9,483,0,15,34,24,30,24,16,6,0,149,3,16,23,50,45,31,21,8,0,199,0,14,44,62,75,62,43,11,0,313,0,7,29,37,39,65,34,6,0,219,4,35,86,110,89,66,23,12,3,432,3,15,31,43,54,51,19,4,0,225,0,3,4,13,13,10,3,3,3,60,4,17,42,35,23,11,7,4,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,23,52,31,24,60,69,79,87,75,11,494,70,175,416,577,568,489,299,169,25,2800
LGA10900,76,224,358,311,217,154,72,35,9,1449,7,3,4,4,8,8,4,5,3,50,4,18,68,100,105,76,54,23,3,450,520,231,462,667,760,702,612,694,358,5000,848,1974,5400,7674,8675,6284,3243,1933,649,36671,0,40,135,285,286,280,143,52,12,1232,29,58,162,185,177,117,37,3,0,758,23,204,542,1003,1239,1141,761,316,115,5341,12,135,329,444,395,346,203,105,39,2009,13,87,217,274,216,150,78,20,7,1057,12,116,545,824,1053,887,431,226,78,4175,3,84,489,943,1219,1438,582,230,34,5009,62,291,801,1246,1387,1266,653,231,82,6010,42,255,715,1067,1187,1179,560,181,33,5235,21,157,397,558,451,332,140,68,16,2141,64,198,339,340,251,170,98,44,13,1506,7,5,7,5,11,9,0,0,4,43,4,17,62,115,110,103,47,33,3,500,438,258,402,651,801,767,597,551,346,4813,730,1904,5136,7936,8775,8183,4324,2066,786,39836
LGA10950,0,4,13,7,3,6,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,6,26,9,26,20,30,35,33,36,5,219,32,46,172,173,155,122,73,47,9,835,0,0,0,8,0,3,0,0,0,12,0,0,3,0,4,3,0,0,0,10,0,15,26,31,37,17,12,6,0,149,0,12,6,4,6,0,4,3,0,40,0,6,20,14,11,12,3,9,0,77,0,0,10,20,13,18,11,0,3,86,0,5,26,24,19,5,3,0,0,80,5,9,18,29,28,16,3,9,0,107,0,5,14,14,14,6,3,0,0,60,0,0,3,4,0,3,0,0,0,12,0,5,12,12,7,3,4,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,23,13,19,44,48,39,53,41,9,291,33,65,164,217,185,128,105,64,16,972
LGA11100,20,64,209,177,107,71,26,7,0,676,6,5,9,4,3,4,5,0,0,42,0,12,55,60,37,17,14,3,4,204,314,275,565,590,547,483,432,419,148,3767,420,1276,3833,3512,2524,1609,994,680,217,15069,3,35,144,140,100,63,28,7,0,523,4,44,401,237,80,23,4,0,0,795,13,125,511,570,569,429,291,132,29,2668,8,47,161,208,159,92,54,37,9,770,0,5,45,51,39,21,6,5,0,176,7,64,300,332,210,152,60,24,11,1151,0,43,201,271,191,136,72,30,6,961,42,319,1379,1091,644,336,153,62,20,4036,11,127,491,405,293,157,64,21,0,1579,6,78,239,136,83,44,17,12,0,615,14,93,261,246,147,77,48,12,5,898,3,7,7,4,3,7,0,3,0,47,0,8,51,52,51,27,11,6,3,215,233,240,519,554,464,488,476,364,174,3508,348,1245,4714,4297,3026,2043,1278,718,275,17937
LGA11150,0,4,11,12,3,0,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,10,37,29,57,54,55,55,39,24,3,349,54,96,266,214,185,116,64,35,8,1033,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,10,18,25,22,22,6,3,0,103,0,0,5,4,15,13,7,0,0,40,0,3,11,17,15,4,0,0,0,56,0,8,18,27,29,26,3,0,0,107,0,10,38,24,20,11,3,3,0,107,0,9,33,24,28,10,10,0,0,122,0,8,45,36,14,4,7,0,0,123,0,0,0,4,0,4,0,0,0,10,0,10,8,5,7,0,0,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,45,29,53,85,66,59,50,49,3,443,53,76,245,270,214,157,82,65,9,1167
LGA11200,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,29,40,47,52,41,25,18,14,5,275,36,73,110,135,105,61,31,23,5,578,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,8,8,11,13,3,3,0,46,0,0,6,8,3,3,0,0,0,26,4,9,7,9,13,6,0,0,0,46,0,3,9,14,8,9,0,0,3,53,0,4,16,13,17,17,3,0,0,73,0,0,5,12,5,6,0,0,0,39,0,3,13,9,9,9,0,0,0,43,0,0,4,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,22,30,42,13,8,6,3,189,37,51,101,107,114,69,19,19,11,531
LGA11250,16,47,86,53,53,49,13,7,0,328,0,0,0,0,6,0,0,0,0,10,0,0,16,7,16,11,0,4,0,48,176,117,208,245,301,269,343,410,185,2251,242,425,1001,1264,1420,950,665,578,225,6769,0,3,19,19,13,18,6,3,0,67,0,17,33,22,37,16,4,0,0,125,20,78,192,215,265,266,149,73,11,1271,4,35,46,40,69,83,43,23,3,350,0,11,12,20,29,14,3,3,0,95,13,42,127,153,231,123,55,24,10,765,0,19,88,114,117,65,24,15,0,446,16,69,134,167,192,139,46,31,8,800,4,42,107,110,120,100,18,0,0,496,4,15,16,17,11,21,10,4,0,99,5,48,94,85,67,52,23,8,0,384,0,3,0,0,4,0,0,0,0,7,0,7,0,5,6,8,3,7,0,35,119,114,222,194,281,293,310,429,243,2209,194,500,1090,1158,1436,1192,699,615,277,7157
LGA11300,11,76,148,132,66,34,21,11,9,498,7,7,3,0,3,5,5,3,0,35,3,32,62,46,49,15,10,9,3,234,269,405,495,442,435,370,334,439,226,3419,345,1794,4068,3164,2504,1523,921,833,352,15499,0,54,151,109,137,88,49,13,0,599,4,90,603,212,122,35,6,0,0,1076,0,77,409,337,371,246,173,112,33,1765,4,42,126,147,114,72,47,30,5,587,0,11,24,13,24,13,8,3,0,97,4,100,304,247,249,191,98,50,27,1279,0,46,151,152,204,209,83,70,22,944,28,613,1605,879,647,346,104,63,35,4315,13,154,492,378,330,242,81,31,9,1726,6,101,236,136,109,50,11,20,6,672,14,171,345,124,80,53,28,10,3,828,8,22,3,3,5,3,0,0,3,44,3,19,66,40,41,19,10,4,7,217,188,310,521,292,336,265,260,320,291,2782,274,1814,5024,3067,2779,1827,959,725,452,16927
LGA11350,25,89,157,183,138,66,27,20,0,696,0,0,3,0,3,0,0,3,0,11,4,5,40,44,45,32,14,11,0,189,293,179,305,423,595,365,230,294,120,2799,372,665,1927,2926,3727,2163,883,631,197,13496,0,5,38,101,81,91,33,14,6,368,0,11,23,49,43,28,8,0,0,177,3,44,128,242,352,359,206,95,32,1460,6,49,114,244,292,238,77,30,8,1070,6,17,88,137,112,80,27,10,4,483,7,37,190,368,471,367,150,59,24,1666,0,12,103,273,387,447,160,51,18,1448,14,83,278,398,450,338,147,44,21,1771,9,50,249,426,503,455,136,23,3,1858,15,61,232,345,241,212,53,6,4,1170,22,69,200,243,171,92,36,20,3,859,3,0,0,3,3,0,0,0,0,13,0,10,22,44,49,29,14,6,3,183,195,127,245,335,383,352,222,178,98,2133,288,585,1924,3203,3541,3100,1271,540,225,14670
LGA11400,11,13,57,61,25,28,14,8,0,221,0,0,0,0,0,0,0,0,0,4,0,0,7,13,14,7,5,3,0,52,95,43,76,95,109,132,126,120,38,832,143,225,744,1043,1008,815,452,227,63,4716,0,0,9,18,22,25,16,3,0,101,3,3,6,8,12,3,3,0,0,47,17,46,125,170,203,132,105,30,5,831,7,24,50,70,75,46,31,8,0,321,10,21,66,106,112,78,66,12,3,479,5,20,89,116,163,132,83,25,4,643,0,8,53,84,110,114,66,17,6,458,13,39,126,193,212,139,49,22,3,806,8,19,77,91,108,63,25,0,0,397,3,3,26,18,14,19,14,4,0,95,12,28,56,65,43,33,11,3,3,253,0,0,0,0,3,3,0,0,0,10,0,0,0,22,16,9,0,5,0,58,68,31,51,84,98,130,115,129,71,780,143,258,741,1052,1197,935,594,267,99,5286
LGA11450,60,117,274,257,122,79,24,15,6,954,3,0,4,0,3,3,0,0,3,24,3,8,51,46,41,21,7,6,0,188,427,238,434,527,431,365,322,311,154,3208,636,1444,4666,4749,3598,2174,992,607,232,19112,3,44,76,135,90,73,19,3,0,433,18,44,177,134,66,30,3,0,0,477,34,253,784,1130,1020,772,341,168,49,4545,20,167,425,455,286,181,104,42,10,1690,3,44,114,89,84,41,22,9,4,408,18,116,395,507,379,252,122,42,18,1848,3,76,537,588,396,348,122,41,15,2133,59,314,1107,1288,925,543,181,61,25,4501,39,259,655,642,388,229,68,26,7,2301,14,116,157,95,83,45,22,5,6,540,46,171,283,325,181,122,41,13,3,1196,0,3,4,5,4,3,4,0,0,25,5,16,47,74,46,31,7,4,3,235,370,189,368,494,451,407,357,289,120,3050,629,1814,5129,5956,4405,3076,1414,700,250,23383
LGA11500,133,370,701,483,372,202,57,27,3,2347,3,11,14,25,16,9,5,3,0,93,13,39,156,142,154,66,28,10,7,619,1570,1113,1831,2016,2029,1644,1051,947,407,12599,2292,5239,10716,10713,10900,6827,2613,1521,523,51346,6,119,266,284,242,187,58,24,5,1186,45,189,771,489,252,109,21,6,0,1874,79,579,1626,1898,2483,2143,962,273,74,10118,77,297,658,592,495,473,228,82,17,2916,23,82,210,132,142,82,29,9,3,707,53,321,882,887,894,641,214,69,20,3970,7,198,764,731,785,730,277,82,17,3586,186,1059,2920,2403,2207,1581,448,121,24,10950,124,684,1541,1201,1095,641,171,38,6,5502,40,287,405,216,159,134,52,11,3,1308,126,396,815,571,383,304,107,35,3,2742,21,8,3,22,23,12,9,3,0,99,14,48,140,168,158,114,35,17,11,709,1303,887,1561,1605,1754,1626,1090,804,472,11108,2090,5146,12573,11209,11071,8778,3696,1575,645,56779
LGA11520,37,160,381,348,174,148,54,34,5,1338,10,8,4,0,10,4,4,3,0,51,0,29,126,105,76,43,18,7,3,408,431,421,1093,971,903,713,594,639,228,6005,589,2289,9179,8213,6203,4046,1994,1464,462,34429,4,86,339,334,287,199,86,23,8,1371,10,59,821,540,267,67,15,3,0,1784,4,178,850,962,1002,725,438,277,107,4550,3,98,377,456,361,229,166,73,11,1782,0,23,80,65,48,43,15,9,0,299,10,153,855,800,641,479,258,141,39,3372,0,89,466,559,581,650,282,98,32,2760,36,824,3617,2986,2012,1171,459,163,87,11351,17,273,1203,1176,790,632,205,73,23,4395,28,240,689,502,247,121,45,25,7,1902,30,205,471,401,252,151,68,39,11,1619,0,19,12,3,12,7,0,5,0,55,4,35,110,122,92,50,32,12,3,471,356,493,1197,950,780,591,560,555,290,5767,500,2778,11089,9862,7380,5122,2629,1498,626,41478
LGA11570,224,737,1404,1036,603,425,154,108,29,4728,25,33,57,56,57,34,24,17,3,310,15,119,342,338,254,128,72,42,11,1322,2801,2348,4514,5129,4516,3433,3046,3316,1140,30244,3944,10239,27051,25223,19136,11894,7327,6000,1695,112507,10,293,805,844,737,353,155,57,12,3253,42,386,2531,1567,719,199,26,6,0,5480,103,816,3102,3990,4151,2903,1875,1186,379,18503,94,536,1458,1503,1091,738,506,303,98,6327,19,77,251,218,229,120,50,21,8,983,72,673,2106,1727,1429,901,407,223,53,7591,38,472,1730,1663,1549,1211,503,246,79,7477,339,2720,8482,6549,4411,2392,871,439,159,26370,153,1221,3304,2801,2134,1279,403,135,37,11460,61,500,1150,855,578,256,110,51,22,3586,170,822,2009,1416,857,489,239,108,29,6153,33,41,33,46,51,53,20,21,3,298,14,101,399,411,290,154,83,55,15,1529,2377,2129,4377,4238,4071,3366,2796,2815,1621,27780,3506,10789,31744,27819,22297,14413,8039,5664,2516,126787
LGA11600,3,3,10,3,5,4,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,19,13,24,51,34,38,40,39,6,262,36,65,169,206,175,94,75,48,13,871,0,0,0,3,0,3,0,0,0,9,0,0,0,3,0,0,0,0,0,10,3,9,24,22,34,20,11,0,0,133,0,4,4,8,6,9,6,3,0,35,3,14,22,34,35,18,3,3,0,127,0,3,20,15,12,13,4,3,0,75,0,3,12,17,24,13,3,0,0,76,4,4,26,36,23,10,5,0,0,105,0,8,13,15,16,12,0,0,0,59,0,0,3,3,0,3,0,0,0,11,5,6,9,3,3,3,3,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,17,5,20,26,31,18,25,21,7,168,30,62,160,181,194,116,59,30,7,848
LGA11650,232,792,1602,1479,1055,776,385,216,48,6581,8,4,15,23,30,10,21,18,7,133,13,56,163,249,241,188,86,89,28,1119,2483,1344,2542,3504,3499,3327,4098,5292,2384,28477,3767,7614,19714,24222,24081,17263,12455,10568,3527,123204,3,127,333,513,424,359,226,110,30,2129,62,247,648,693,526,270,60,14,3,2530,119,908,2547,3790,4772,4153,3225,1884,591,21977,92,611,1792,2156,2075,1591,1058,596,170,10132,63,231,574,622,522,282,173,79,23,2567,108,604,2115,2739,3298,2291,1159,635,172,13117,21,302,1589,1898,2145,2411,1119,554,136,10173,416,1542,4341,5183,4795,3794,2242,1003,321,23644,221,1053,2508,2851,2560,1862,880,354,86,12379,80,402,809,831,596,455,281,125,42,3610,261,820,1813,1856,1299,951,540,246,74,7863,12,9,22,24,27,25,12,17,5,152,19,53,154,263,230,202,119,70,40,1163,2126,1197,2110,2915,3260,3077,3707,4240,2664,25299,3599,8109,21351,26324,26545,21721,14810,9932,4352,136737
LGA11700,0,0,3,9,3,4,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,9,26,30,34,47,36,30,33,12,3,240,30,54,102,120,118,101,52,23,7,599,0,0,0,3,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,9,7,16,18,10,0,0,67,0,0,0,3,3,9,3,0,0,25,0,5,11,12,6,7,7,0,0,54,0,5,8,11,23,10,4,3,0,64,0,7,26,19,6,12,0,0,0,74,0,4,14,12,5,14,0,0,0,56,3,0,13,11,5,5,4,0,0,46,0,0,0,0,3,0,0,0,0,8,0,0,0,3,7,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,6,22,32,36,33,30,21,9,3,196,19,52,123,117,119,117,56,20,4,615
LGA11720,55,160,303,235,141,83,49,13,8,1044,0,7,3,4,3,3,0,0,0,17,3,5,28,29,39,19,7,0,3,134,387,251,570,644,532,554,528,605,200,4262,639,1236,3000,3319,3325,2458,1362,953,267,16561,0,9,45,75,57,52,29,4,0,271,13,34,68,43,52,33,5,0,0,248,46,361,804,915,950,861,440,191,46,4625,8,66,195,207,225,194,116,35,10,1060,12,33,118,104,88,69,22,5,0,456,10,84,286,333,459,409,165,59,19,1822,0,35,174,178,187,236,111,39,10,964,65,261,616,599,472,371,161,54,11,2607,26,123,284,298,284,227,78,15,3,1335,0,30,81,57,62,49,20,11,3,319,38,195,431,304,173,119,54,24,5,1345,3,3,0,3,6,0,0,0,0,19,4,8,31,41,36,31,17,0,0,163,400,268,589,645,648,680,515,506,203,4452,626,1511,3723,3806,3706,3330,1728,950,308,19688
LGA11730,32,94,200,228,167,131,54,24,0,921,0,5,0,3,0,3,0,0,0,16,0,3,18,37,38,27,19,3,0,153,377,164,406,557,539,512,668,703,266,4190,543,763,2255,3256,4077,3088,2071,1388,393,17834,0,3,23,40,45,81,35,10,0,254,12,23,36,51,47,40,9,4,0,214,43,121,282,486,687,781,583,312,60,3357,19,53,164,230,347,379,197,93,16,1506,7,36,123,151,154,95,48,22,6,641,20,63,212,325,481,484,249,108,20,1961,0,29,147,231,390,459,247,91,17,1616,49,184,418,546,636,627,312,109,36,2922,18,103,289,396,468,372,129,47,12,1834,3,27,78,77,95,69,38,12,3,408,41,118,225,269,221,163,89,25,3,1149,8,5,0,0,0,3,0,3,0,22,6,8,16,25,44,39,20,12,4,179,320,195,349,499,538,539,615,626,271,3955,551,978,2363,3326,4146,4129,2574,1470,459,20002
LGA11750,3,16,19,16,14,7,7,0,0,83,0,0,0,0,0,3,0,0,0,5,0,0,0,5,0,0,3,0,0,4,63,29,74,87,75,74,82,32,12,528,78,146,389,406,327,186,141,54,10,1724,0,0,10,4,8,3,0,0,0,28,0,0,4,0,0,0,0,0,0,12,5,55,116,103,99,58,19,8,0,457,0,3,16,19,13,15,10,3,0,76,0,10,15,31,19,7,6,4,0,92,0,4,28,21,37,15,5,9,3,123,0,14,26,24,20,11,4,0,0,99,4,17,57,42,41,16,3,3,0,186,0,5,38,29,16,13,3,0,0,111,0,0,0,0,3,0,3,0,0,11,3,13,28,16,16,6,3,0,0,88,0,0,0,0,0,0,0,0,0,5,0,0,3,8,0,0,0,0,0,8,42,27,75,65,57,64,54,40,9,427,60,150,407,358,333,212,117,67,14,1709
LGA11800,54,200,376,358,271,194,79,43,8,1585,3,4,4,3,7,3,5,3,3,41,6,13,42,52,67,39,31,11,5,270,521,258,438,631,682,621,690,874,398,5118,802,1519,3616,5183,5953,4169,2499,1801,618,26152,0,18,61,91,102,123,62,22,3,485,15,70,117,104,78,47,23,7,0,464,47,158,462,681,895,1007,677,344,93,4374,25,104,298,405,552,425,242,125,37,2218,14,68,167,246,213,147,54,34,3,944,23,92,389,660,849,652,300,135,37,3134,3,43,332,473,605,736,367,126,24,2705,81,348,859,1008,1131,924,409,160,71,4992,46,171,513,645,689,592,203,70,18,2947,13,43,132,174,154,129,65,21,4,742,56,214,459,380,306,240,121,47,15,1835,3,11,4,6,4,3,3,3,3,42,3,7,27,61,57,59,22,16,7,266,458,259,462,567,684,716,720,829,601,5288,789,1616,4281,5515,6319,5812,3268,1934,921,30443
LGA12000,0,6,17,10,13,9,0,3,0,66,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,13,25,7,13,37,37,36,41,46,11,252,51,63,202,276,272,176,109,77,13,1233,0,0,4,13,3,6,0,0,0,33,3,0,3,3,0,0,0,0,0,9,5,7,35,40,61,37,17,9,4,211,4,6,9,10,12,7,9,3,0,64,0,5,15,38,34,24,15,6,3,140,3,7,21,26,22,26,8,9,5,124,0,6,18,34,38,35,11,9,0,155,3,12,28,40,51,34,9,11,3,189,5,11,23,30,19,23,7,0,0,121,0,0,7,3,7,4,0,0,0,26,4,8,9,14,12,11,4,0,0,69,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,5,0,0,0,13,30,19,15,34,64,36,65,52,31,329,51,82,191,288,322,248,155,93,44,1478
LGA12150,4,9,12,4,5,0,7,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,24,12,30,49,49,44,66,36,10,321,45,86,204,267,247,147,117,63,16,1188,0,3,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,6,3,7,25,25,31,29,11,10,0,145,0,7,8,11,23,0,7,0,0,68,3,8,26,25,28,10,5,0,0,115,0,9,15,24,36,24,14,9,0,127,0,3,33,37,23,18,3,4,0,119,4,6,41,43,39,15,10,4,3,176,0,6,19,15,19,11,6,0,0,86,0,0,0,0,3,3,0,0,0,11,3,9,16,7,0,3,4,3,0,40,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,4,0,0,0,15,52,19,25,44,49,63,76,55,19,396,73,87,220,232,270,185,133,88,22,1308
LGA12350,8,28,49,42,37,22,13,5,0,208,0,0,0,0,0,0,0,0,0,4,0,5,3,3,8,10,0,0,3,34,90,28,90,120,112,135,176,177,49,975,141,223,625,786,863,706,482,318,83,4231,0,0,7,10,3,18,6,0,0,52,0,5,13,10,8,4,3,0,0,42,8,40,85,116,137,153,104,53,13,708,3,12,37,45,72,52,35,24,5,287,0,13,38,56,71,70,41,19,3,305,3,11,40,65,96,116,52,28,7,410,0,10,47,75,76,115,55,23,5,407,10,30,108,136,142,135,64,28,10,659,11,22,47,87,73,60,25,6,5,347,0,3,12,9,17,15,12,3,0,76,8,27,37,49,37,21,14,10,3,218,0,0,0,0,0,3,0,0,0,3,0,3,3,5,5,6,0,0,0,34,102,52,111,135,142,170,213,172,62,1141,155,230,583,806,876,932,619,358,118,4681
LGA12380,118,426,766,525,311,204,82,39,10,2484,26,24,33,35,17,19,11,4,3,175,18,80,201,204,153,71,41,18,4,790,1883,1712,3158,3041,2474,1888,1690,1694,662,18202,2598,6956,17569,14000,10523,6560,3775,2768,923,65673,13,227,724,617,460,236,98,29,3,2406,37,340,2481,1229,444,103,15,0,0,4643,64,562,2252,2287,2326,1725,942,445,146,10741,45,310,1000,813,582,401,239,116,30,3537,6,42,161,133,131,62,31,17,0,588,39,475,1553,1137,860,574,237,111,27,5003,14,236,995,812,797,626,332,133,29,3980,198,1959,6910,3936,2445,1339,442,179,49,17451,98,736,2045,1490,1103,711,217,73,24,6504,27,334,681,366,205,150,42,28,0,1847,87,742,1433,705,432,255,95,48,15,3815,24,33,41,30,38,31,18,3,0,215,6,87,321,253,165,107,30,27,6,994,1476,1755,3340,2511,2325,1813,1454,1329,722,16729,2127,7846,23933,16321,12314,8123,4194,2545,1056,78466
