LGA_CODE_2016,C16_85o_Seprtd_M,C16_85o_Seprtd_F,C16_85o_Divorce_M,C16_85o_Divorce_F,C16_85o_Wid_M,C16_85o_Wid_F,C16_85o_Nvr_mard_M,C16_85o_Nvr_mard_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Married_M,C16_T_Married_F,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
LGA10050,0,6,37,31,172,657,20,24,490,841,1329,9445,9494,660,824,1667,2352,557,2076,7438,6967,19759,21704,41468
LGA10130,3,3,11,27,69,330,10,13,220,426,649,5157,5185,325,435,800,1073,320,1117,4949,4767,11545,12567,24115
LGA10250,14,6,31,51,215,824,28,30,655,1104,1755,8537,8510,519,662,1553,2295,601,2152,5285,4747,16498,18363,34860
LGA10300,0,0,0,0,5,20,0,4,12,22,35,460,441,29,19,67,70,17,97,352,254,922,879,1801
LGA10470,3,4,24,37,98,449,14,34,293,600,892,7559,7372,519,628,1244,1640,384,1468,6766,5598,16480,16703,33181
LGA10550,7,0,14,36,126,453,24,8,373,621,999,6885,6923,511,544,1545,1747,463,1560,4143,3665,13549,14437,27994
LGA10600,4,0,12,14,54,183,10,0,135,233,368,2343,2355,187,214,610,794,173,562,1721,1512,5030,5433,10465
LGA10650,3,0,3,0,44,146,3,3,133,182,313,1830,1850,125,127,348,344,174,455,1011,760,3483,3532,7018
LGA10750,22,19,68,136,453,1766,54,63,1248,2303,3553,68245,67798,3778,4796,6980,10288,2214,9139,46953,40103,128170,132134,260306
LGA10800,0,0,0,4,26,102,9,4,76,135,211,1277,1269,83,66,170,157,96,307,736,564,2366,2363,4725
LGA10850,0,0,3,7,21,71,5,7,67,96,165,1446,1455,103,112,277,282,100,252,910,817,2832,2918,5751
LGA10900,7,10,29,89,200,776,37,58,554,1079,1630,15424,15445,864,1101,2486,4121,751,2662,10383,9599,29902,32926,62830
LGA10950,0,3,0,0,6,25,0,0,22,39,65,501,491,39,47,83,54,44,130,406,337,1079,1059,2140
LGA11100,4,4,22,29,82,361,10,23,265,497,765,8716,8688,481,587,1209,1757,324,1468,8421,7089,19152,19583,38732
LGA11150,0,0,0,0,8,23,0,0,11,27,40,394,376,33,38,70,60,31,92,466,462,991,1023,2016
LGA11200,0,0,0,0,4,10,0,3,10,15,21,163,156,18,17,39,30,25,43,399,379,647,621,1274
LGA11250,3,0,15,18,68,310,13,9,194,398,593,3057,3037,296,320,736,874,239,1000,2802,2398,7134,7629,14767
LGA11300,6,7,16,21,100,410,29,56,378,601,976,7262,7305,318,361,751,1217,236,1236,6798,6517,15370,16638,32004
LGA11350,4,3,25,44,79,338,13,15,237,450,687,4871,4882,446,506,1629,2172,296,1032,5301,5132,12547,13726,26265
LGA11400,0,4,3,4,44,143,0,3,113,188,306,2956,2940,165,167,419,383,161,523,1517,1274,5217,5283,10499
LGA11450,7,7,12,22,120,515,7,11,327,652,980,16452,16507,804,1072,1578,2596,452,1873,9518,8677,28799,30720,59521
LGA11500,12,11,31,68,215,821,21,24,572,1096,1666,29149,29161,2118,2852,4106,6261,1146,4313,23093,20948,59612,63534,123148
LGA11520,13,7,22,66,220,959,30,78,738,1279,2020,18603,18867,708,918,1994,3267,645,2823,13108,12790,35060,38670,73728
LGA11570,53,14,120,192,968,3456,105,144,2921,4568,7487,71130,70212,4113,5385,8849,12956,2861,12064,48691,39003,135647,139620,275266
LGA11600,0,0,0,0,6,29,0,0,26,38,60,545,544,44,29,71,57,49,95,436,317,1145,1038,2185
LGA11650,63,43,220,395,1413,4665,149,183,3866,6407,10278,61857,62039,4701,5864,11885,17383,4251,14661,44915,39759,127602,139707,267307
LGA11700,0,0,0,3,3,6,0,3,5,19,23,261,229,43,16,86,41,25,42,381,352,800,685,1485
LGA11720,5,0,30,34,126,570,16,24,343,706,1052,9917,9741,921,975,1996,2459,594,2079,8393,7101,21820,22360,44189
LGA11730,17,6,27,45,185,744,32,32,609,1014,1618,10002,9963,845,907,2261,2537,778,2590,6880,5602,20766,21595,42364
LGA11750,0,0,3,0,14,32,0,0,27,47,78,840,814,79,70,175,133,52,158,724,576,1870,1753,3623
LGA11800,21,5,35,69,266,975,26,27,786,1284,2070,13930,13958,1125,1359,2902,3913,884,3146,9713,8672,28551,31045,59595
LGA12000,0,0,4,5,13,54,3,0,47,76,120,922,922,69,69,133,118,58,204,493,439,1680,1751,3431
LGA12150,0,0,5,3,8,53,0,5,35,70,105,647,641,60,48,122,108,56,183,665,589,1550,1573,3124
LGA12350,3,8,3,9,59,202,11,16,163,273,433,2441,2439,192,215,521,510,210,633,1709,1426,5073,5229,10296
LGA12380,21,21,43,74,420,1629,58,81,1169,2111,3282,47117,44416,2424,3002,4799,6558,1495,6446,32543,22906,88379,83333,171707
LGA12700,0,0,3,5,27,89,10,0,69,112,179,1977,1974,92,115,355,347,106,320,1093,925,3622,3687,7315
LGA12730,0,0,6,5,45,142,5,4,111,181,295,1714,1708,122,123,333,383,135,454,1258,1048,3552,3720,7276
LGA12750,11,0,27,37,201,613,25,10,549,841,1388,7954,7954,606,611,1819,2071,653,2017,4491,3731,15527,16390,31914
LGA12850,41,21,49,97,418,1660,52,60,1399,2192,3585,38683,38660,2774,3456,5676,8099,1574,7378,29722,24860,78424,82452,160880
LGA12870,3,0,8,9,65,162,8,4,185,226,411,2662,2691,199,205,466,479,228,591,1502,1151,5060,5122,10187
LGA12900,0,0,4,6,36,128,7,9,96,166,254,1858,1857,148,157,312,305,146,438,1364,1060,3821,3815,7636
LGA12930,17,19,44,109,427,1873,58,90,1311,2456,3763,32266,32679,1246,1646,3174,5115,1160,5205,21231,18504,59077,63143,122216
LGA12950,0,0,4,0,18,57,3,3,60,75,134,867,851,55,61,126,130,60,203,581,499,1688,1752,3440
LGA13010,0,3,3,7,36,145,0,11,92,187,279,1732,1694,149,151,366,423,148,468,1238,964,3635,3692,7322
LGA13310,6,0,16,26,82,378,20,19,254,484,738,5727,5506,442,465,989,1286,373,1279,4633,3526,12173,12065,24238
LGA13340,0,0,7,3,49,120,11,4,110,154,259,2231,2261,122,115,353,368,161,376,1187,951,4051,4061,8116
LGA13450,3,3,5,9,78,330,11,10,244,424,669,5328,5191,312,345,557,647,267,1064,3613,2950,10081,10196,20274
LGA13510,0,0,5,6,44,208,6,4,137,258,391,2351,2332,125,141,387,432,152,610,1426,1173,4438,4692,9126
LGA13550,0,3,8,3,48,173,0,3,107,211,318,2324,2331,205,178,371,369,163,600,1730,1409,4799,4887,9686
LGA13660,0,0,0,0,19,83,0,3,53,107,155,1138,1123,90,65,201,177,104,283,608,495,2143,2137,4280
LGA13800,16,0,15,40,133,478,17,13,373,639,1010,12752,12757,763,941,1974,2748,531,1878,9308,8075,25325,26394,51718
LGA13850,0,0,3,5,10,21,3,0,27,32,60,608,602,53,40,102,90,34,141,429,337,1220,1210,2431
LGA13910,3,7,10,12,74,260,10,27,178,337,516,3670,3670,295,316,637,696,241,865,2386,2111,7230,7657,14883
LGA14000,15,8,62,119,454,1771,36,120,1389,2453,3841,33565,33933,982,1283,2517,4682,1145,4640,17017,15029,55227,59570,114796
LGA14100,0,0,14,39,73,325,21,68,249,502,746,2978,3010,99,118,299,548,148,643,2036,1478,5549,5794,11350
LGA14170,20,29,80,122,323,1423,134,156,1168,2004,3170,29832,29823,1686,2056,5409,7500,1113,4769,36383,35563,74421,79710,154128
LGA14200,0,0,7,4,42,207,9,16,139,269,408,3116,3128,245,277,524,607,220,749,2290,1990,6398,6759,13158
LGA14300,0,0,0,3,15,60,0,0,40,68,115,1345,1067,119,85,205,201,75,214,1254,603,2993,2176,5173
LGA14350,3,5,24,20,138,411,19,14,324,542,867,5288,5202,528,559,1327,1355,466,1428,4330,3430,11942,11972,23915
LGA14400,0,0,12,19,74,347,10,21,249,456,704,5117,5116,217,228,633,874,242,906,2449,2078,8649,9206,17852
LGA14500,20,4,40,99,460,1782,44,113,1492,2538,4036,28384,29331,625,842,1513,3091,1008,4193,12840,12369,44363,49830,94189
LGA14550,0,0,11,5,30,128,4,5,84,151,239,1708,1696,161,151,451,486,136,399,1336,956,3790,3686,7473
LGA14600,0,0,3,0,28,86,4,4,66,110,172,1173,1149,78,73,201,161,102,285,848,780,2397,2442,4846
LGA14650,32,16,96,133,778,2692,40,88,2111,3568,5681,40250,40376,2368,2945,6413,8985,2462,8492,26237,22739,77721,83535,161262
LGA14700,4,3,5,35,79,351,18,35,265,512,777,7606,7669,281,360,793,1295,216,942,5401,4814,14294,15081,29376
LGA14750,0,0,3,4,37,136,5,4,84,157,239,2155,2127,150,146,311,323,144,482,1623,1401,4388,4482,8868
LGA14850,6,0,11,44,139,564,18,37,398,750,1148,7242,7301,647,749,1739,2340,414,1601,6958,6422,17014,18420,35430
LGA14870,4,4,11,11,69,249,12,10,190,328,516,4041,3902,347,324,888,986,284,936,3288,2498,8849,8641,17496
LGA14900,12,11,36,72,286,1139,31,44,827,1459,2283,41018,40904,2559,3430,4605,6730,1246,5841,28219,23490,77640,80386,158031
LGA14920,0,0,3,3,35,85,9,5,78,108,191,1495,1503,130,135,295,313,125,348,1058,838,3107,3137,6243
LGA14950,0,0,0,0,19,42,4,0,46,55,101,693,703,46,41,100,94,53,143,359,253,1253,1232,2477
LGA15050,10,6,18,35,142,644,26,35,428,848,1280,14690,14854,986,1229,2194,3265,645,2450,10509,9587,29015,31383,60404
LGA15240,22,14,86,86,459,1522,35,46,1371,2049,3421,18921,18895,1553,1575,4143,4770,1616,4989,10684,9233,36916,39457,76370
LGA15270,3,5,9,12,71,241,11,9,182,305,487,4630,4642,400,395,885,972,307,991,3318,2632,9550,9626,19175
LGA15300,0,0,0,0,19,87,0,4,60,113,176,2270,2210,210,203,372,331,163,444,2162,1915,5169,5105,10270
LGA15350,0,0,17,38,94,391,16,59,332,578,910,6066,6132,209,277,720,1350,196,1024,3413,4069,10613,12852,23465
LGA15520,0,0,6,5,53,160,14,0,140,204,341,2679,2661,171,165,434,413,209,550,1303,1097,4792,4889,9683
LGA15560,0,0,0,0,9,26,0,0,24,41,70,753,754,69,71,119,105,43,133,595,408,1581,1466,3051
LGA15650,0,3,4,11,29,113,7,0,69,137,203,2856,2762,293,282,532,553,147,515,2537,1988,6366,6097,12458
LGA15700,6,6,14,28,109,297,13,12,285,418,706,3602,3600,330,362,967,1063,347,986,2567,2213,7808,8233,16040
LGA15750,0,0,3,12,42,129,3,3,88,166,256,2597,2557,185,180,399,362,174,532,1805,1504,5153,5134,10296
LGA15800,3,0,0,0,20,106,0,4,69,132,199,1141,1129,98,86,179,175,90,313,815,661,2325,2370,4697
LGA15850,4,0,3,10,25,85,6,3,67,111,179,1201,1227,108,101,208,203,106,320,878,718,2501,2567,5069
