LGA_CODE_2016,C06_0_14_SEO,C06_0_14_SOL_SE_Vw_w,C06_0_14_SOL_SE_Nw_Na,C06_0_14_SOL_SE_P_E_n,C06_0_14_SOL_SE_T,C06_0_14_LPE_NS,C06_0_14_T,C06_15_24_SEO,C06_15_24_SOL_SE_Vw_w,C06_15_24_SOL_SE_Nw_N,C06_15_24_SOL_SE_P_E_n,C06_15_24_S_ot_l_SE_T,C06_15_24_LPE_NS,C06_15_24_T,C06_25_34_SEO,C06_25_34_SOL_SE_Vw_w,C06_25_34_SOL_SE_Na,C06_25_34_SOL_SE_P_E_n,C06_25_34_SOL_SE_To,C06_25_34_LPE_NS,C06_25_34_T,C06_35_44_SEO,C06_35_44_SOL_SE_Vw_w,C06_35_44_SOL_SE_Na,C06_35_44_SOL_SE_P_E_n,C06_35_44_SOL_SE_To,C06_35_44_LPE_NS,C06_35_44_T,C06_45_54_SEO,C06_45_54_SOL_SE_Vw_w,C06_45_54_SOL_SE_Na,C06_45_54_SOL_SE_P_E_n,C06_45_54_SOL_SE_To,C06_45_54_LPE_NS,C06_45_54_T,C06_55_64_SEO,C06_55_64_SOL_SE_Vw_w,C06_55_64_SOL_SE_Na,C06_55_64_SOL_SE_P_E_n,C06_55_64_SOL_SE_To,C06_55_64_LPE_NS,C06_55_64_T,C06_65_74_SEO,C06_65_74_SOL_SE_Vw_w,C06_65_74_SOL_SE_Na,C06_65_74_SOL_SE_P_E_n,C06_65_74_SOL_SE_To,C06_65_74_LPE_NS,C06_65_74_T,C06_75_84_SEO,C06_75_84_SOL_SE_Vw_w,C06_75_84_SOL_SE_Na,C06_75_84_SOL_SE_P_E_n,C06_75_84_SOL_SE_To,C06_75_84_LPE_NS,C06_75_84_T,C06_85ov_SEO,C06_85o_SOL_SE_Vw_w,C06_85o_SOL_SE_Na,C06_85o_SOL_SE_P_E_n,C06_85o_SOL_SE_To,C06_85o_LPE_NS,C06_85o_T,C06_T_SEO,C06_To_SOL_SE_Vw_w,C06_To_SOL_SE_Nw_Na,C06_To_SOL_SE_P_E_n,C06_T_SOL_SE_T,C06_T_LPE_NS,C06_T_T,C11_0_14_SEO,C11_0_14_SOL_SE_Vw_w,C11_0_14_SOL_SE_Nw_Na,C11_0_14_SOL_SE_P_E_n,C11_0_14_SOL_SE_T,C11_0_14_LPE_NS,C11_0_14_T,C11_15_24_SEO,C11_15_24_SOL_SE_Vw_w,C11_15_24_SOL_SE_Nw_N,C11_15_24_SOL_SE_P_E_n,C11_15_24_S_ot_l_SE_T,C11_15_24_LPE_NS,C11_15_24_T,C11_25_34_SEO,C11_25_34_SOL_SE_Vw_w,C11_25_34_SOL_SE_Na,C11_25_34_SOL_SE_P_E_n,C11_25_34_SOL_SE_To,C11_25_34_LPE_NS,C11_25_34_T,C11_35_44_SEO,C11_35_44_SOL_SE_Vw_w,C11_35_44_SOL_SE_Na,C11_35_44_SOL_SE_P_E_n,C11_35_44_SOL_SE_To,C11_35_44_LPE_NS,C11_35_44_T,C11_45_54_SEO,C11_45_54_SOL_SE_Vw_w,C11_45_54_SOL_SE_Na,C11_45_54_SOL_SE_P_E_n,C11_45_54_SOL_SE_To,C11_45_54_LPE_NS,C11_45_54_T,C11_55_64_SEO,C11_55_64_SOL_SE_Vw_w,C11_55_64_SOL_SE_Na,C11_55_64_SOL_SE_P_E_n,C11_55_64_SOL_SE_To,C11_55_64_LPE_NS,C11_55_64_T,C11_65_74_SEO,C11_65_74_SOL_SE_Vw_w,C11_65_74_SOL_SE_Na,C11_65_74_SOL_SE_P_E_n,C11_65_74_SOL_SE_To,C11_65_74_LPE_NS,C11_65_74_T,C11_75_84_SEO,C11_75_84_SOL_SE_Vw_w,C11_75_84_SOL_SE_Na,C11_75_84_SOL_SE_P_E_n,C11_75_84_SOL_SE_To,C11_75_84_LPE_NS,C11_75_84_T,C11_85ov_SEO,C11_85o_SOL_SE_Vw_w,C11_85o_SOL_SE_Na,C11_85o_SOL_SE_P_E_n,C11_85o_SOL_SE_To,C11_85o_LPE_NS,C11_85o_T,C11_T_SEO,C11_To_SOL_SE_Vw_w,C11_To_SOL_SE_Nw_Na,C11_To_SOL_SE_P_E_n,C11_T_SOL_SE_T,C11_T_LPE_NS,C11_T_T,C16_0_14_SEO,C16_0_14_SOL_SE_Vw_w,C16_0_14_SOL_SE_Nw_Na,C16_0_14_SOL_SE_P_E_n,C16_0_14_SOL_SE_T,C16_0_14_LPE_NS,C16_0_14_T,C16_15_24_SEO,C16_15_24_SOL_SE_Vw_w,C16_15_24_SOL_SE_Nw_N,C16_15_24_SOL_SE_P_E_n,C16_15_24_S_ot_l_SE_T,C16_15_24_LPE_NS,C16_15_24_T,C16_25_34_SEO,C16_25_34_SOL_SE_Vw_w,C16_25_34_SOL_SE_Na,C16_25_34_SOL_SE_P_E_n,C16_25_34_SOL_SE_To,C16_25_34_LPE_NS,C16_25_34_T,C16_35_44_SEO,C16_35_44_SOL_SE_Vw_w,C16_35_44_SOL_SE_Na,C16_35_44_SOL_SE_P_E_n,C16_35_44_SOL_SE_To,C16_35_44_LPE_NS,C16_35_44_T,C16_45_54_SEO,C16_45_54_SOL_SE_Vw_w,C16_45_54_SOL_SE_Na,C16_45_54_SOL_SE_P_E_n,C16_45_54_SOL_SE_To,C16_45_54_LPE_NS,C16_45_54_T,C16_55_64_SEO,C16_55_64_SOL_SE_Vw_w,C16_55_64_SOL_SE_Na,C16_55_64_SOL_SE_P_E_n,C16_55_64_SOL_SE_To,C16_55_64_LPE_NS,C16_55_64_T,C16_65_74_SEO,C16_65_74_SOL_SE_Vw_w,C16_65_74_SOL_SE_Na,C16_65_74_SOL_SE_P_E_n,C16_65_74_SOL_SE_To,C16_65_74_LPE_NS,C16_65_74_T,C16_75_84_SEO,C16_75_84_SOL_SE_Vw_w,C16_75_84_SOL_SE_Na,C16_75_84_SOL_SE_P_E_n,C16_75_84_SOL_SE_To,C16_75_84_LPE_NS,C16_75_84_T,C16_85o_SEO,C16_85o_SOL_SE_Vw_w,C16_85o_SOL_SE_Na,C16_85o_SOL_SE_P_E_n
LGA10850,1447,8,3,3,15,18,1479,719,10,0,0,7,4,735,600,12,0,0,9,17,623,942,12,3,0,12,21,977,907,18,7,0,21,17,945,775,10,8,0,18,25,818,562,11,0,0,11,22,599,324,4,0,0,3,7,339,78,0,0,0,0,0,77,6349,77,25,4,102,139,6594,1470,24,9,0,27,63,1567,734,13,0,0,13,37,787,581,20,0,0,22,17,623,873,9,3,0,15,38,922,937,20,0,0,20,38,996,852,23,0,0,20,34,910,627,10,0,0,9,31,674,380,3,0,0,3,27,414,87,3,0,0,3,9,101,6545,122,13,0,141,301,6985,1404,22,3,0,22,81,1508,716,13,3,0,15,49,786,660,10,0,0,13,44,707,785,15,3,0,15,57,861,930,24,0,0,30,73,1029,929,23,0,0,23,60,1014,695,13,0,0,8,51,759,380,5,0,0,5,36,426,151,3,0,0
LGA10900,14001,383,104,74,552,556,15108,8531,402,27,3,426,309,9263,6994,360,21,7,389,280,7660,9683,563,23,7,599,383,10669,10982,543,20,6,569,409,11961,8640,498,28,5,534,342,9510,4723,310,28,3,343,193,5259,2976,231,22,3,253,160,3389,1055,68,15,0,85,104,1244,67574,3367,281,108,3757,2735,74064,13543,441,123,23,583,663,14800,8051,296,32,4,326,370,8742,6308,373,26,3,398,284,6989,9290,646,33,5,685,427,10400,10467,595,27,0,628,549,11647,10442,535,24,11,568,444,11455,6103,390,29,11,427,269,6801,3098,239,27,10,274,177,3552,1299,100,14,0,115,144,1557,68602,3601,333,69,4003,3338,75941,12858,579,131,22,726,482,14071,7611,467,19,4,485,300,8402,6175,487,47,4,535,283,6985,8489,740,41,4,786,409,9687,9773,677,35,4,724,484,10982,10607,580,35,3,619,526,11758,8197,537,49,0,587,496,9280,3576,253,35,4,298,237,4107,1408,108,27,0
LGA10950,689,0,0,3,0,7,695,259,3,0,0,3,7,264,327,4,0,0,4,4,337,421,0,0,0,0,0,425,333,4,0,0,8,0,339,362,10,0,0,12,3,376,261,3,0,0,3,8,277,127,0,0,0,0,8,138,33,0,0,0,0,3,38,2809,29,3,3,32,45,2879,628,15,0,0,19,34,681,301,3,0,0,4,18,324,267,11,3,0,14,12,282,373,13,0,0,13,25,413,338,3,0,0,5,29,375,270,9,0,0,6,24,298,288,0,3,0,6,23,316,142,0,0,0,0,10,154,45,0,0,0,0,4,47,2655,56,10,0,69,175,2900,475,6,3,0,8,72,550,289,3,0,0,3,32,323,259,12,0,0,12,37,317,253,12,3,0,13,28,296,339,10,0,0,10,41,394,246,7,0,0,11,28,280,260,3,0,0,3,19,284,169,0,0,0,0,15,187,45,0,0,0
LGA11100,3747,1826,368,93,2287,532,6564,2318,1973,66,24,2068,241,4629,2498,2514,150,30,2694,343,5532,2793,2245,242,32,2509,267,5570,2358,1790,353,20,2161,220,4744,1763,1350,500,26,1878,190,3826,1187,823,549,18,1386,103,2677,987,368,339,11,719,133,1835,392,61,105,9,172,47,604,18041,12940,2677,256,15878,2072,35994,4290,1859,517,60,2438,415,7141,2451,1975,119,21,2114,244,4806,2642,3145,175,19,3336,333,6316,3191,2506,188,21,2715,321,6230,2586,1919,318,18,2252,229,5070,1990,1471,435,20,1927,212,4137,1343,1002,557,17,1573,158,3073,875,488,434,16,938,98,1906,397,99,136,0,238,44,673,19774,14464,2874,194,17529,2057,39354,4885,1943,569,75,2590,445,7919,3015,2779,250,19,3055,378,6447,3734,4103,289,27,4421,617,8770,3420,3034,236,33,3302,432,7156,3107,2131,294,15,2432,308,5846,2149,1564,434,26,2026,256,4430,1487,1110,482,17,1612,169,3269,796,624,495,11,1133,122,2052,346,175,187,7
LGA11150,749,4,3,0,12,62,815,375,3,0,0,4,25,411,381,7,3,0,11,29,413,401,11,0,0,10,30,445,363,7,3,0,12,21,400,273,6,0,0,6,23,301,173,4,0,0,4,4,182,96,3,0,0,3,11,104,19,0,0,0,0,3,28,2831,44,13,3,60,207,3094,588,17,3,0,17,117,727,282,7,0,0,7,53,332,321,5,0,0,5,33,362,357,5,0,0,5,55,416,342,10,0,0,9,43,390,263,6,0,0,6,32,306,158,3,0,0,7,30,195,95,3,0,0,3,25,127,15,0,0,0,0,4,19,2417,55,4,5,62,389,2867,481,10,5,0,14,113,616,235,3,0,0,3,47,286,281,24,0,0,25,60,369,222,10,0,0,17,52,294,310,12,0,0,9,81,401,243,3,3,0,7,65,309,167,3,0,0,3,44,209,77,4,0,0,4,27,110,26,0,0,0
LGA11200,487,0,0,0,3,34,525,244,3,0,0,3,48,304,198,0,0,0,0,38,230,285,0,0,0,0,25,305,212,3,0,0,3,19,236,160,3,0,0,3,9,173,82,4,0,0,3,4,91,60,0,0,0,0,7,72,17,0,0,0,0,0,17,1741,21,0,0,20,184,1943,407,16,0,0,16,28,448,250,3,0,3,6,8,265,173,8,0,0,8,8,194,202,3,0,0,3,14,218,261,9,0,0,9,14,281,170,4,0,0,4,8,185,86,0,0,0,0,7,88,59,0,0,0,0,6,64,18,0,0,0,0,0,19,1628,42,0,3,43,93,1766,337,13,0,0,16,27,377,170,6,0,0,4,37,213,182,10,0,0,14,38,231,138,7,0,0,7,14,155,234,6,3,0,13,32,270,190,10,0,0,10,20,216,105,0,0,0,0,8,110,41,0,0,0,0,5,45,18,0,0,0
LGA11250,3554,32,15,8,60,187,3799,2021,9,0,0,11,146,2179,1780,54,8,0,57,100,1941,2278,48,7,3,55,128,2464,2703,44,3,3,56,150,2902,2231,42,5,0,52,117,2406,1662,51,8,0,59,114,1833,1186,43,9,0,53,155,1390,314,9,7,0,13,121,447,17733,329,64,16,411,1222,19366,3103,49,22,3,72,162,3339,2023,18,3,0,24,131,2181,1672,67,5,0,77,139,1885,1954,53,4,0,56,112,2123,2521,54,4,0,60,152,2733,2399,53,3,0,55,140,2598,1630,43,0,0,49,112,1793,1207,48,11,3,62,111,1383,408,20,5,0,25,58,491,16917,404,59,9,471,1127,18519,2693,56,17,0,84,176,2948,1771,23,0,0,24,112,1911,1838,77,4,0,85,192,2114,1640,79,0,0,86,136,1861,2114,65,3,0,67,173,2356,2441,48,3,3,52,173,2663,1825,37,4,0,45,179,2049,1009,28,7,4,34,171,1219,378,11,6,0
LGA11300,2275,1711,393,78,2182,332,4783,1638,2805,237,36,3075,394,5102,1467,2988,267,40,3295,332,5099,1524,2177,442,26,2650,238,4414,1656,1538,554,9,2101,230,3983,1144,1099,458,17,1567,187,2896,700,744,564,18,1324,138,2167,720,448,454,15,915,121,1758,367,118,164,5,291,58,713,11499,13628,3525,246,17404,2030,30924,2373,1678,480,47,2208,191,4777,1742,2936,243,30,3213,279,5226,1504,3993,262,48,4302,327,6134,1428,2163,393,16,2575,159,4167,1574,1828,589,18,2432,202,4207,1270,1222,597,10,1832,120,3226,759,761,524,12,1301,81,2140,586,458,586,29,1075,78,1733,375,143,190,43,376,60,809,11605,15188,3879,256,19322,1501,32424,2299,1682,572,44,2296,207,4802,1751,3970,494,19,4492,315,6559,1662,5075,699,38,5813,387,7860,1339,2409,399,15,2818,223,4385,1440,1999,692,24,2715,179,4337,1296,1361,786,19,2171,154,3615,901,917,537,16,1471,112,2484,521,561,613,16,1183,93,1798,343,212,346,3
LGA11350,4878,271,34,24,330,382,5588,2879,133,14,0,147,298,3321,2560,215,7,4,230,225,3011,3751,295,11,8,308,294,4355,4766,267,11,6,289,436,5488,3137,124,7,3,134,242,3519,1514,60,7,0,66,121,1704,1152,50,13,0,61,119,1332,396,15,7,0,22,28,446,25031,1426,112,46,1594,2148,28765,4774,293,57,16,361,250,5388,2539,174,13,0,186,189,2916,2367,276,12,3,297,172,2833,3802,358,23,8,385,210,4398,4542,331,10,0,346,262,5153,4214,186,9,0,192,217,4631,1929,80,4,0,91,107,2120,1095,37,7,0,41,60,1199,518,14,3,0,10,36,573,25786,1750,139,27,1917,1508,29207,4300,349,52,10,409,577,5289,2308,166,7,3,174,322,2806,2562,361,21,0,377,455,3390,3444,414,9,10,429,509,4381,3947,333,6,0,335,591,4879,4530,275,14,0,290,667,5482,2838,130,3,3,137,400,3371,1060,47,5,3,56,153,1270,563,18,11,0
LGA11400,2623,21,3,10,35,56,2723,1186,13,5,0,19,37,1240,1150,10,4,0,13,29,1196,1632,35,0,0,38,43,1711,1750,23,3,0,31,49,1825,1604,21,0,0,26,54,1683,1097,12,4,0,18,44,1163,605,12,0,0,14,29,648,192,0,3,0,3,10,211,11846,160,28,10,201,349,12396,2692,34,11,3,48,66,2804,1309,16,0,0,18,25,1354,1035,40,4,0,45,29,1107,1515,39,0,0,39,35,1590,1869,33,0,0,33,34,1941,1696,22,3,0,31,42,1767,1235,17,3,0,16,30,1277,695,16,0,3,16,30,734,219,3,0,0,3,17,247,12259,215,31,10,248,312,12823,2663,53,10,0,65,157,2891,1297,25,3,0,31,92,1420,1072,44,3,0,49,78,1193,1409,47,0,0,51,99,1555,1722,34,3,0,39,133,1887,1636,32,3,0,38,112,1782,1425,22,5,0,28,105,1559,707,18,4,0,24,59,792,271,11,0,0
LGA11450,11456,629,130,65,823,412,12683,5967,473,22,15,509,219,6692,6360,643,35,6,685,225,7274,7038,788,64,6,861,223,8124,5384,616,88,3,710,188,6286,3679,450,69,4,525,156,4359,1819,264,75,3,336,102,2260,1171,115,41,0,165,90,1418,478,19,17,0,34,25,538,43354,4009,542,105,4652,1644,49645,12393,754,178,30,961,413,13767,6870,602,13,8,619,253,7747,6377,824,38,8,869,230,7473,7782,1038,76,3,1120,247,9149,6313,843,90,7,940,213,7471,4730,586,110,5,698,174,5601,2548,328,84,8,424,125,3087,1322,145,85,6,237,97,1654,640,57,25,0,86,45,767,48973,5185,695,73,5949,1796,56719,16006,1571,408,40,2026,674,18701,8714,1049,30,8,1089,393,10195,9402,1886,70,11,1968,529,11903,9236,2121,123,16,2261,463,11954,7799,1478,136,17,1632,408,9839,5843,1033,203,14,1247,287,7377,3961,614,150,7,764,249,4977,1753,265,117,4,391,147,2292,758,65,46,8
LGA11500,25168,5440,1031,259,6734,2117,34019,17915,4510,107,59,4680,1149,23738,13742,4354,285,37,4673,913,19333,13278,5079,569,46,5693,903,19875,15120,4178,788,42,5004,910,21034,10753,2436,600,24,3057,659,14467,4336,971,525,16,1508,322,6170,2391,393,282,11,687,359,3435,598,71,74,0,149,260,1001,103290,27430,4265,492,32188,7594,143075,23184,5665,1255,184,7097,1733,32017,16588,4798,131,50,4977,1007,22567,13982,5524,263,42,5832,859,20670,12082,5719,485,68,6264,743,19092,13704,5119,720,54,5898,827,20427,12822,3325,748,39,4111,644,17579,6007,1448,568,14,2031,346,8387,2618,545,362,14,920,317,3860,863,103,123,3,233,272,1367,101865,32242,4660,462,37367,6739,145969,23088,7192,1543,179,8909,1862,33860,15148,5610,171,56,5838,1124,22104,13926,7664,443,76,8183,1197,23307,11540,7894,546,86,8527,1028,21097,11672,6058,819,80,6958,937,19566,12450,4097,1060,45,5203,900,18553,8293,2236,730,31,3001,784,12079,3072,757,493,13,1270,433,4780,966,166,166,9
LGA11520,7548,1942,414,116,2467,812,10829,4673,2178,115,29,2319,481,7477,7044,3332,151,39,3521,851,11419,6556,3276,256,27,3563,698,10817,5632,2328,367,25,2721,572,8921,4295,1767,499,12,2279,425,7004,2147,1374,822,30,2226,249,4619,1896,702,651,9,1361,230,3490,792,116,175,7,293,93,1174,40583,17005,3442,289,20739,4424,65746,8958,2319,675,65,3061,726,12745,4999,3068,194,21,3282,543,8827,6677,5281,334,32,5643,966,13286,7079,4095,309,41,4449,701,12228,5999,3126,486,17,3635,479,10113,5088,2144,492,22,2654,327,8074,2804,1610,662,18,2287,219,5312,1682,962,807,23,1792,197,3673,896,212,288,8,511,103,1505,44186,22825,4242,246,27311,4267,75762,9601,2774,1156,100,4022,664,14289,5213,3993,509,32,4536,542,10293,6679,8140,742,38,8917,1087,16685,7087,5030,450,42,5517,737,13340,6325,3719,591,28,4342,572,11236,5390,2542,838,29,3411,465,9267,3999,1814,666,17,2494,375,6867,1759,1196,854,26,2070,196,4023,989,414,468,0
LGA11570,23528,26990,6737,1357,35078,5192,63793,14695,22444,1021,206,23671,2240,40607,13180,23740,2817,232,26784,2473,42437,14228,21894,5208,229,27333,2452,44012,14515,15565,6749,161,22478,2064,39062,12614,9766,5300,132,15197,1399,29208,8409,5695,5450,80,11222,1032,20661,9139,2618,3271,71,5956,951,16039,2984,471,832,22,1328,317,4630,113295,129173,37390,2486,169044,18112,300449,25706,28724,7183,959,36862,4440,67001,15145,23900,1243,234,25382,2187,42711,12666,28344,2663,243,31253,2699,46620,13774,23991,4430,227,28652,2254,44680,14136,18930,7071,225,26219,1993,42345,12774,11940,6485,157,18580,1532,32890,8520,6794,5378,107,12277,974,21768,6959,3296,4428,95,7824,857,15637,3556,775,1255,31,2057,534,6153,113232,146682,40142,2282,189107,17468,319807,30174,28972,7107,700,36784,4084,71036,16095,26104,1631,211,27948,2318,46356,14082,32001,3740,239,35985,3000,53063,13312,26283,4509,264,31054,2484,46854,13376,21127,6813,200,28137,2292,43804,12300,14353,8360,160,22878,1767,36941,9268,8241,5976,127,14347,1280,24897,5575,4200,5091,96,9397,893,15862,3765,1189,1999,55
LGA11600,596,6,3,3,16,21,623,278,7,12,4,21,22,318,281,7,10,0,20,13,318,404,10,3,0,13,26,439,375,14,0,0,12,14,407,245,11,3,3,14,26,286,228,3,0,0,3,24,259,111,3,0,0,3,21,136,26,0,0,0,0,6,33,2555,66,27,7,100,165,2817,516,15,3,0,22,22,554,256,0,5,0,4,3,270,247,15,15,0,32,9,286,326,7,0,5,16,10,351,407,6,0,0,11,9,427,296,8,0,0,8,6,312,214,10,0,0,10,6,230,124,0,0,0,3,4,131,33,0,0,0,0,3,36,2405,72,22,3,98,75,2585,480,10,3,0,15,40,537,261,15,13,0,29,23,311,266,38,10,0,54,41,362,267,26,0,0,31,29,328,348,15,0,0,18,30,397,343,9,0,0,9,31,382,189,4,0,0,4,12,204,122,3,0,0,3,11,135,52,0,3,0
LGA11650,56095,1256,343,156,1761,3032,60883,33261,942,57,16,1012,1762,36034,28866,1323,93,8,1421,1516,31800,36764,1875,128,27,2030,1861,40654,36999,1644,143,27,1816,1812,40629,30456,1399,173,37,1608,1581,33636,23113,1231,202,16,1454,1440,25996,18615,756,146,14,921,1651,21189,5939,219,65,6,295,902,7132,270097,10645,1348,318,12314,15541,297957,56143,1683,433,83,2191,2361,60701,35583,1127,63,18,1208,1457,38255,29167,1733,107,18,1856,1323,32339,36192,2337,166,31,2535,1622,40353,38915,2041,176,26,2246,1691,42856,34967,1741,221,16,1980,1450,38396,26745,1481,238,14,1734,1328,29809,18190,910,174,30,1117,1213,20516,7719,328,85,3,417,827,8966,283619,13389,1671,236,15286,13278,312182,54696,2424,682,69,3170,2563,60427,34880,1334,89,5,1426,1793,38098,30885,2442,200,15,2664,1724,35278,34098,3130,228,33,3391,1885,39376,38482,2712,275,26,3019,2127,43630,37731,2081,339,31,2448,2188,42364,32236,1814,327,31,2173,2184,36591,18534,1132,214,31,1378,1782,21691,8234,469,118,5
LGA11700,366,11,5,0,15,14,392,200,3,0,0,3,27,234,204,6,0,0,6,20,232,246,3,0,0,3,28,278,277,6,0,0,6,17,301,264,8,0,0,8,13,281,132,0,0,0,0,8,140,53,0,0,0,0,7,59,12,0,0,0,0,3,15,1754,36,5,0,42,143,1939,371,8,3,0,16,22,412,213,6,0,0,6,16,236,210,14,4,0,16,23,248,227,15,0,0,15,19,261,257,6,0,0,6,13,281,269,8,3,0,14,8,287,174,4,0,0,4,13,188,54,3,0,0,3,0,65,9,0,0,0,0,3,11,1796,64,9,0,77,114,1992,292,3,3,0,4,52,352,194,0,0,4,3,29,227,177,13,0,3,12,67,249,159,4,0,0,4,35,201,197,9,0,0,5,45,249,220,12,0,0,9,33,268,166,4,0,0,4,27,197,61,3,0,0,3,9,73,20,0,0,0
LGA11720,9541,82,27,16,119,382,10048,5526,68,9,0,79,275,5879,5117,64,8,0,71,361,5551,5763,125,8,0,134,371,6272,6265,124,12,3,137,201,6611,5257,110,10,0,126,193,5577,3058,51,15,0,58,138,3251,2116,52,17,0,68,112,2301,664,20,15,0,30,27,725,43318,693,115,18,832,2059,46209,10311,91,38,14,146,405,10858,6080,82,8,3,98,340,6516,5721,119,19,7,145,406,6269,6169,139,7,0,151,386,6700,6266,142,12,3,156,342,6764,6121,118,6,3,132,320,6568,3706,88,10,0,95,170,3968,2133,38,10,0,46,141,2325,783,22,12,0,30,52,863,47276,841,132,28,998,2569,50840,10480,121,55,8,189,711,11374,6268,83,8,0,89,535,6895,6165,184,13,3,203,789,7149,6059,154,13,4,168,640,6867,6282,155,12,3,179,524,6988,6501,129,14,6,148,529,7177,4938,97,6,5,103,473,5519,2244,46,7,0,54,238,2538,897,17,6,0
LGA11730,9109,89,24,16,136,303,9544,4716,52,7,0,57,213,4985,3830,72,5,0,75,222,4125,5662,107,22,0,126,272,6060,6936,141,14,7,154,247,7335,6478,95,9,3,103,209,6797,4764,71,7,0,81,173,5014,3023,54,8,4,63,155,3239,959,19,3,0,20,67,1042,45483,694,95,27,817,1843,48148,8693,133,32,12,169,365,9227,5021,60,11,0,71,226,5322,3551,125,7,3,139,242,3928,5223,141,5,0,153,271,5650,6800,152,19,0,171,263,7231,7385,121,14,3,138,229,7752,5557,89,7,0,91,174,5819,3279,68,4,0,76,144,3494,1165,21,3,0,25,56,1249,46664,910,109,20,1042,1968,49666,7624,154,23,3,188,497,8303,4573,51,9,3,64,372,5011,3613,136,17,3,153,383,4148,4513,188,4,0,197,435,5145,6062,153,18,3,175,469,6710,7575,165,14,10,189,586,8345,6746,113,12,7,129,528,7399,3596,73,8,5,81,308,3989,1446,24,0,3
LGA11750,1034,12,10,8,28,65,1125,626,9,0,0,9,49,683,571,23,0,0,23,48,642,667,12,3,0,19,51,737,647,28,0,0,28,48,725,432,6,0,0,6,41,477,299,3,0,0,3,23,327,149,0,3,0,4,13,163,41,0,0,0,0,4,48,4456,101,15,8,121,345,4915,947,24,5,0,31,77,1057,542,17,0,0,15,44,600,583,30,0,0,29,51,666,533,28,0,0,28,52,610,628,23,3,0,27,38,695,475,9,0,0,8,35,515,294,7,0,0,7,18,328,173,0,0,0,0,11,184,52,0,0,0,4,3,61,4220,145,20,0,157,334,4713,871,39,7,0,45,111,1031,433,19,0,0,16,64,511,591,36,8,5,46,77,708,477,43,5,0,46,66,588,482,22,6,0,28,81,586,504,13,0,0,20,67,591,314,0,0,0,0,40,350,177,7,0,0,7,22,212,64,0,0,0
LGA11800,12203,421,99,38,556,398,13156,7388,317,24,6,350,323,8053,5595,294,19,3,312,217,6131,7933,403,50,8,464,276,8673,9209,373,55,7,434,328,9969,7562,282,18,3,308,262,8129,5116,206,39,4,252,232,5598,3436,151,45,0,197,271,3904,1078,47,16,0,61,149,1296,59521,2504,364,71,2934,2460,64913,11827,566,199,31,790,494,13113,7347,494,68,8,563,300,8214,5759,475,87,13,572,252,6589,7487,511,91,7,604,304,8404,9126,450,66,8,519,340,9985,8991,370,49,4,432,350,9772,6080,202,33,4,239,259,6579,3616,188,40,3,237,207,4059,1527,58,28,0,88,94,1707,61766,3316,654,76,4046,2604,68414,11456,870,272,26,1166,731,13351,6850,583,104,8,688,488,8022,6108,822,200,14,1036,509,7649,6886,698,150,13,860,475,8219,8325,561,142,13,717,596,9633,9436,437,100,11,545,714,10689,7565,290,53,8,357,591,8512,4058,208,36,9,247,489,4793,1568,98,24,0
LGA12000,926,17,0,7,26,13,965,404,0,0,0,0,5,412,327,6,0,0,6,9,341,546,7,0,0,7,4,565,532,9,0,0,9,11,552,475,4,0,0,5,13,488,364,0,0,0,0,14,379,217,0,0,0,0,19,239,84,0,0,0,0,3,85,3882,52,0,11,60,88,4032,879,11,3,0,12,28,922,398,4,0,0,4,18,430,304,3,0,0,3,6,316,469,7,0,0,7,17,493,546,13,0,0,13,37,594,496,0,0,0,0,20,513,430,0,0,0,0,29,455,257,3,0,0,3,15,277,100,0,0,0,0,8,102,3873,51,3,0,49,174,4100,804,6,0,0,11,76,887,431,7,0,0,7,26,462,303,9,0,0,8,40,354,397,10,0,0,10,54,457,539,9,0,0,13,44,594,494,4,3,0,6,50,554,479,3,0,0,3,64,550,291,0,0,0,4,52,344,86,0,0,0
LGA12150,962,3,0,0,5,34,999,445,9,0,0,9,13,461,413,3,0,0,3,13,427,549,3,0,0,3,21,566,574,3,0,0,3,20,595,484,8,3,0,11,10,507,324,5,0,0,5,19,353,221,0,0,0,0,5,229,60,0,0,0,0,3,65,4025,43,8,0,48,135,4212,817,0,0,0,5,36,861,446,3,0,0,3,34,485,380,9,0,0,5,8,399,453,3,0,0,3,25,485,535,5,0,0,5,25,568,500,11,0,0,15,30,541,346,6,0,0,9,21,374,231,4,0,0,4,12,245,70,0,0,0,0,3,71,3778,42,6,0,54,206,4031,681,11,0,0,10,105,797,360,4,0,0,4,45,417,354,17,0,0,17,64,440,307,7,0,0,7,66,378,474,9,0,0,8,85,568,460,4,0,0,7,76,546,346,9,0,0,9,84,439,189,9,0,0,9,34,239,85,0,0,0
